id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sooner Manor,1000 Main Street,Stilwell,Adair,OK,73001,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90001,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8264,-94.67540000000001
34,Red River Village,1300 Pioneer Drive,Durant,Bryan,OK,73034,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90034,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.bryan-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.9064,-96.39540000000001
35,Oklahoma City Commons,1400 Oil Country Street,Durant,Bryan,OK,73035,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90035,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.bryan-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.9164,-96.3854
36,Sooner Manor,1000 Main Street,Anadarko,Caddo,OK,73036,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90036,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.caddo-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.0764,-98.37540000000001
37,Pioneer Village,1100 Oklahoma Avenue,Anadarko,Caddo,OK,73037,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90037,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.caddo-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.0864,-98.36540000000001
38,Oil Country Commons,1200 Sooner Boulevard,Anadarko,Caddo,OK,73038,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90038,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.caddo-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.096399999999996,-98.3554
39,Red River Village,1300 Pioneer Drive,Anadarko,Caddo,OK,73039,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90039,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.caddo-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.106399999999994,-98.34540000000001
40,Oklahoma City Commons,1400 Oil Country Street,Anadarko,Caddo,OK,73040,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90040,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.caddo-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1164,-98.3354
41,Sooner Manor,1000 Main Street,El Reno,Canadian,OK,73041,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90041,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.476400000000005,-97.97540000000001
42,Pioneer Village,1100 Oklahoma Avenue,El Reno,Canadian,OK,73042,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90042,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.4864,-97.9654
43,Oil Country Commons,1200 Sooner Boulevard,El Reno,Canadian,OK,73043,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90043,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.4964,-97.9554
44,Red River Village,1300 Pioneer Drive,El Reno,Canadian,OK,73044,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90044,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.5064,-97.9454
45,Oklahoma City Commons,1400 Oil Country Street,El Reno,Canadian,OK,73045,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90045,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.516400000000004,-97.9354
46,Tulsa Manor,1500 Red River Avenue,El Reno,Canadian,OK,73046,(410) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,OK-ALF-90046,Oklahoma Department of Health,2024-08-06,80,False,False,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.5264,-97.9254
47,Norman Village,1600 Oklahoma City Boulevard,El Reno,Canadian,OK,73047,(411) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,OK-ALF-90047,Oklahoma Department of Health,2024-09-07,81,True,True,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.5364,-97.9154
48,Broken Arrow Commons,1700 Tulsa Drive,El Reno,Canadian,OK,73048,(412) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,OK-ALF-90048,Oklahoma Department of Health,2024-10-08,82,False,False,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.546400000000006,-97.9054
49,Lawton Manor,1800 Norman Street,El Reno,Canadian,OK,73049,(413) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,OK-ALF-90049,Oklahoma Department of Health,2024-11-09,83,False,True,True,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.556400000000004,-97.97540000000001
50,Edmond Village,1900 Broken Arrow Avenue,El Reno,Canadian,OK,73050,(414) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,OK-ALF-90050,Oklahoma Department of Health,2024-03-10,84,True,False,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.5664,-97.9654
51,Moore Commons,2000 Lawton Boulevard,El Reno,Canadian,OK,73051,(415) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,OK-ALF-90051,Oklahoma Department of Health,2024-04-11,85,False,True,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.476400000000005,-97.9554
52,Midwest City Manor,2100 Edmond Drive,El Reno,Canadian,OK,73052,(416) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,OK-ALF-90052,Oklahoma Department of Health,2024-05-12,86,False,False,False,https://www.canadian-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.4864,-97.9454
53,Sooner Manor,1000 Main Street,Ardmore,Carter,OK,73053,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90053,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.1764,-97.17540000000001
54,Pioneer Village,1100 Oklahoma Avenue,Ardmore,Carter,OK,73054,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90054,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.1864,-97.1654
55,Oil Country Commons,1200 Sooner Boulevard,Ardmore,Carter,OK,73055,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90055,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.1964,-97.1554
56,Red River Village,1300 Pioneer Drive,Ardmore,Carter,OK,73056,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90056,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.206399999999995,-97.14540000000001
57,Oklahoma City Commons,1400 Oil Country Street,Ardmore,Carter,OK,73057,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90057,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.2164,-97.1354
58,Tulsa Manor,1500 Red River Avenue,Ardmore,Carter,OK,73058,(410) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,OK-ALF-90058,Oklahoma Department of Health,2024-08-06,80,False,False,False,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.2264,-97.1254
59,Norman Village,1600 Oklahoma City Boulevard,Ardmore,Carter,OK,73059,(411) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,OK-ALF-90059,Oklahoma Department of Health,2024-09-07,81,True,True,False,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.236399999999996,-97.11540000000001
60,Broken Arrow Commons,1700 Tulsa Drive,Ardmore,Carter,OK,73060,(412) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,OK-ALF-90060,Oklahoma Department of Health,2024-10-08,82,False,False,False,https://www.carter-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.2464,-97.1054
61,Sooner Manor,1000 Main Street,Tahlequah,Cherokee,OK,73061,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90061,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.cherokee-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.876400000000004,-94.97540000000001
62,Pioneer Village,1100 Oklahoma Avenue,Tahlequah,Cherokee,OK,73062,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90062,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.cherokee-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8864,-94.9654
63,Oil Country Commons,1200 Sooner Boulevard,Tahlequah,Cherokee,OK,73063,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90063,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.cherokee-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8964,-94.9554
64,Red River Village,1300 Pioneer Drive,Tahlequah,Cherokee,OK,73064,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90064,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.cherokee-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9064,-94.9454
65,Oklahoma City Commons,1400 Oil Country Street,Tahlequah,Cherokee,OK,73065,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90065,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.cherokee-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9164,-94.9354
66,Sooner Manor,1000 Main Street,Hugo,Choctaw,OK,73066,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90066,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.choctaw-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.976400000000005,-95.5754
67,Pioneer Village,1100 Oklahoma Avenue,Hugo,Choctaw,OK,73067,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90067,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.choctaw-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.9864,-95.5654
68,Oil Country Commons,1200 Sooner Boulevard,Hugo,Choctaw,OK,73068,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90068,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.choctaw-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.9964,-95.55539999999999
69,Red River Village,1300 Pioneer Drive,Hugo,Choctaw,OK,73069,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90069,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.choctaw-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.0064,-95.5454
70,Oklahoma City Commons,1400 Oil Country Street,Hugo,Choctaw,OK,73070,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90070,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.choctaw-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.016400000000004,-95.5354
71,Sooner Manor,1000 Main Street,Boise City,Cimarron,OK,73071,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90071,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.cimarron-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.476400000000005,-102.97540000000001
72,Pioneer Village,1100 Oklahoma Avenue,Boise City,Cimarron,OK,73072,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90072,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.cimarron-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.4864,-102.9654
73,Oil Country Commons,1200 Sooner Boulevard,Boise City,Cimarron,OK,73073,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90073,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.cimarron-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.4964,-102.9554
74,Red River Village,1300 Pioneer Drive,Boise City,Cimarron,OK,73074,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90074,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.cimarron-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.5064,-102.9454
75,Oklahoma City Commons,1400 Oil Country Street,Boise City,Cimarron,OK,73075,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90075,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.cimarron-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.516400000000004,-102.9354
76,Sooner Manor,1000 Main Street,Norman,Cleveland,OK,73076,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90076,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1719,-97.47940000000001
77,Pioneer Village,1100 Oklahoma Avenue,Norman,Cleveland,OK,73077,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90077,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1819,-97.46940000000001
78,Oil Country Commons,1200 Sooner Boulevard,Norman,Cleveland,OK,73078,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90078,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1919,-97.4594
79,Red River Village,1300 Pioneer Drive,Norman,Cleveland,OK,73079,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90079,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.201899999999995,-97.44940000000001
80,Oklahoma City Commons,1400 Oil Country Street,Norman,Cleveland,OK,73080,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90080,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2119,-97.4394
81,Tulsa Manor,1500 Red River Avenue,Norman,Cleveland,OK,73081,(410) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,OK-ALF-90081,Oklahoma Department of Health,2024-08-06,80,False,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2219,-97.4294
82,Norman Village,1600 Oklahoma City Boulevard,Norman,Cleveland,OK,73082,(411) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,OK-ALF-90082,Oklahoma Department of Health,2024-09-07,81,True,True,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.231899999999996,-97.41940000000001
