id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,North Star Manor,1000 Main Street,Aitkin,Aitkin,MN,55001,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50001,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
17,Lakeshore Commons,1900 Second Street,Blaine,Anoka,MN,55017,(621) 309-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,MN-ALF-50017,Minnesota Department of Health,2024-03-10,84,True,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.238,-93.2669
18,Pineview Manor,2000 Third Street,Blaine,Anoka,MN,55018,(622) 310-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,MN-ALF-50018,Minnesota Department of Health,2024-04-11,85,False,True,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.148,-93.2569
19,Birchwood Village,2100 Fourth Street,Blaine,Anoka,MN,55019,(623) 311-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,MN-ALF-50019,Minnesota Department of Health,2024-05-12,86,False,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.158,-93.24690000000001
20,Timber Creek Commons,2200 Lincoln Avenue,Blaine,Anoka,MN,55020,(624) 312-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,47,MN-ALF-50020,Minnesota Department of Health,2024-06-13,87,True,True,True,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.168,-93.2369
21,Wildwood Manor,2300 Washington Street,Blaine,Anoka,MN,55021,(625) 313-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,48,MN-ALF-50021,Minnesota Department of Health,2024-07-14,88,False,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.178,-93.2269
22,Maple Grove Village,2400 Jefferson Street,Blaine,Anoka,MN,55022,(626) 314-1014,Senior Living,Assisted Living; Memory Care; Independent Living,49,MN-ALF-50022,Minnesota Department of Health,2024-08-15,89,False,True,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.188,-93.21690000000001
23,North Star Manor,1000 Main Street,Detroit Lakes,Becker,MN,55023,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50023,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
24,Land of Lakes Commons,1100 Minnesota Avenue,Detroit Lakes,Becker,MN,55024,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50024,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
25,Prairie View Care,1200 State Street,Detroit Lakes,Becker,MN,55025,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50025,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
26,Gopher State Village,1300 Lake Street,Detroit Lakes,Becker,MN,55026,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50026,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
27,Twin Cities Manor,1400 Oak Street,Detroit Lakes,Becker,MN,55027,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50027,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
28,Boundary Waters Commons,1500 Maple Avenue,Detroit Lakes,Becker,MN,55028,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50028,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
29,Iron Range Care,1600 Pine Street,Detroit Lakes,Becker,MN,55029,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50029,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.becker-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
30,North Star Manor,1000 Main Street,Bemidji,Beltrami,MN,55030,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50030,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
31,Land of Lakes Commons,1100 Minnesota Avenue,Bemidji,Beltrami,MN,55031,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50031,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
32,Prairie View Care,1200 State Street,Bemidji,Beltrami,MN,55032,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50032,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
33,Gopher State Village,1300 Lake Street,Bemidji,Beltrami,MN,55033,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50033,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
34,Twin Cities Manor,1400 Oak Street,Bemidji,Beltrami,MN,55034,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50034,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
35,Boundary Waters Commons,1500 Maple Avenue,Bemidji,Beltrami,MN,55035,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50035,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
36,Iron Range Care,1600 Pine Street,Bemidji,Beltrami,MN,55036,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50036,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.beltrami-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
37,North Star Manor,1000 Main Street,Foley,Benton,MN,55037,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50037,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
38,Land of Lakes Commons,1100 Minnesota Avenue,Foley,Benton,MN,55038,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50038,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
39,Prairie View Care,1200 State Street,Foley,Benton,MN,55039,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50039,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
40,Gopher State Village,1300 Lake Street,Foley,Benton,MN,55040,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50040,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
41,Twin Cities Manor,1400 Oak Street,Foley,Benton,MN,55041,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50041,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
42,Boundary Waters Commons,1500 Maple Avenue,Foley,Benton,MN,55042,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50042,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
43,Iron Range Care,1600 Pine Street,Foley,Benton,MN,55043,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50043,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.benton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
44,North Star Manor,1000 Main Street,Ortonville,Big Stone,MN,55044,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50044,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
45,Land of Lakes Commons,1100 Minnesota Avenue,Ortonville,Big Stone,MN,55045,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50045,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
46,Prairie View Care,1200 State Street,Ortonville,Big Stone,MN,55046,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50046,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
47,Gopher State Village,1300 Lake Street,Ortonville,Big Stone,MN,55047,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50047,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
48,Twin Cities Manor,1400 Oak Street,Ortonville,Big Stone,MN,55048,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50048,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
49,Boundary Waters Commons,1500 Maple Avenue,Ortonville,Big Stone,MN,55049,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50049,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
50,Iron Range Care,1600 Pine Street,Ortonville,Big Stone,MN,55050,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50050,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.bigstone-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
51,North Star Manor,1000 Main Street,Mankato,Blue Earth,MN,55051,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50051,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.0133,-94.0421
52,Land of Lakes Commons,1100 Minnesota Avenue,Mankato,Blue Earth,MN,55052,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50052,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.0233,-94.0321
53,Prairie View Care,1200 State Street,Mankato,Blue Earth,MN,55053,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50053,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.0333,-94.0221
54,Gopher State Village,1300 Lake Street,Mankato,Blue Earth,MN,55054,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50054,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.043299999999995,-94.0121
55,Twin Cities Manor,1400 Oak Street,Mankato,Blue Earth,MN,55055,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50055,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.0533,-94.0021
56,Boundary Waters Commons,1500 Maple Avenue,Mankato,Blue Earth,MN,55056,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50056,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.0633,-93.9921
57,Iron Range Care,1600 Pine Street,Mankato,Blue Earth,MN,55057,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50057,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.blueearth-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.073299999999996,-93.9821
58,North Star Manor,1000 Main Street,New Ulm,Brown,MN,55058,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50058,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
59,Land of Lakes Commons,1100 Minnesota Avenue,New Ulm,Brown,MN,55059,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50059,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
60,Prairie View Care,1200 State Street,New Ulm,Brown,MN,55060,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50060,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
61,Gopher State Village,1300 Lake Street,New Ulm,Brown,MN,55061,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50061,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
62,Twin Cities Manor,1400 Oak Street,New Ulm,Brown,MN,55062,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50062,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
63,Boundary Waters Commons,1500 Maple Avenue,New Ulm,Brown,MN,55063,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50063,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
64,Iron Range Care,1600 Pine Street,New Ulm,Brown,MN,55064,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50064,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.brown-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
65,North Star Manor,1000 Main Street,Carlton,Carlton,MN,55065,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50065,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
66,Land of Lakes Commons,1100 Minnesota Avenue,Carlton,Carlton,MN,55066,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50066,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
67,Prairie View Care,1200 State Street,Carlton,Carlton,MN,55067,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50067,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
68,Gopher State Village,1300 Lake Street,Carlton,Carlton,MN,55068,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50068,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
69,Twin Cities Manor,1400 Oak Street,Carlton,Carlton,MN,55069,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50069,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
70,Boundary Waters Commons,1500 Maple Avenue,Carlton,Carlton,MN,55070,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50070,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
71,Iron Range Care,1600 Pine Street,Carlton,Carlton,MN,55071,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50071,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.carlton-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
72,North Star Manor,1000 Main Street,Chaska,Carver,MN,55072,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50072,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.721700000000006,-93.86410000000001
73,Land of Lakes Commons,1100 Minnesota Avenue,Chaska,Carver,MN,55073,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50073,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.731700000000004,-93.8541
74,Prairie View Care,1200 State Street,Chaska,Carver,MN,55074,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50074,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.7417,-93.8441
75,Gopher State Village,1300 Lake Street,Chaska,Carver,MN,55075,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50075,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.7517,-93.8341
76,Twin Cities Manor,1400 Oak Street,Chaska,Carver,MN,55076,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50076,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.761700000000005,-93.8241
77,Boundary Waters Commons,1500 Maple Avenue,Chaska,Carver,MN,55077,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50077,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.7717,-93.8141
78,Iron Range Care,1600 Pine Street,Chaska,Carver,MN,55078,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50078,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.7817,-93.8041
79,Mississippi River Manor,1700 Cedar Avenue,Chaska,Carver,MN,55079,(619) 307-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,MN-ALF-50079,Minnesota Department of Health,2024-10-08,82,False,False,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.791700000000006,-93.7941
80,Northwoods Village,1800 First Street,Chaska,Carver,MN,55080,(620) 308-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,MN-ALF-50080,Minnesota Department of Health,2024-11-09,83,False,True,True,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.801700000000004,-93.86410000000001
81,Lakeshore Commons,1900 Second Street,Chaska,Carver,MN,55081,(621) 309-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,MN-ALF-50081,Minnesota Department of Health,2024-03-10,84,True,False,False,https://www.carver-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.8117,-93.8541
82,North Star Manor,1000 Main Street,Walker,Cass,MN,55082,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50082,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.cass-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
83,Land of Lakes Commons,1100 Minnesota Avenue,Walker,Cass,MN,55083,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50083,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.cass-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
84,Prairie View Care,1200 State Street,Walker,Cass,MN,55084,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50084,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.cass-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
85,Gopher State Village,1300 Lake Street,Walker,Cass,MN,55085,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50085,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.cass-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
