id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Chesapeake Bay Manor,1000 Main Street,Cumberland,Allegany,MD,20001,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20001,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5764,-78.8054
21,Columbia Manor,2000 Bethesda Boulevard,Severna Park,Anne Arundel,MD,20021,(240) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,MD-ALF-20021,Maryland Department of Health,2024-04-11,90,False,True,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.976400000000005,-76.5354
22,Bowie Commons,2100 Towson Drive,Pasadena,Anne Arundel,MD,20022,(240) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,MD-ALF-20022,Maryland Department of Health,2024-05-12,91,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9864,-76.5254
23,Hagerstown Village,2200 Columbia Street,Crofton,Anne Arundel,MD,20023,(240) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,MD-ALF-20023,Maryland Department of Health,2024-06-13,92,True,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9964,-76.5154
24,Salisbury Manor,2300 Bowie Avenue,Odenton,Anne Arundel,MD,20024,(240) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,MD-ALF-20024,Maryland Department of Health,2024-07-14,93,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0064,-76.5054
25,Cumberland Commons,2400 Hagerstown Boulevard,Arnold,Anne Arundel,MD,20025,(240) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,MD-ALF-20025,Maryland Department of Health,2024-08-15,94,False,True,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.016400000000004,-76.4954
26,Ocean City Village,2500 Salisbury Drive,Millersville,Anne Arundel,MD,20026,(240) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,MD-ALF-20026,Maryland Department of Health,2024-09-16,95,True,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0264,-76.4854
27,Crab Cake Manor,2600 Cumberland Street,Annapolis,Anne Arundel,MD,20027,(240) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,MD-ALF-20027,Maryland Department of Health,2024-10-17,96,False,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0364,-76.5554
28,Blue Crab Village,2700 Ocean City Avenue,Glen Burnie,Anne Arundel,MD,20028,(240) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,MD-ALF-20028,Maryland Department of Health,2024-11-18,97,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.046400000000006,-76.5454
29,Orioles Commons,2800 Crab Cake Boulevard,Severna Park,Anne Arundel,MD,20029,(240) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,48,MD-ALF-20029,Maryland Department of Health,2024-03-19,98,True,True,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.056400000000004,-76.5354
30,Ravens Manor,2900 Blue Crab Drive,Pasadena,Anne Arundel,MD,20030,(240) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,49,MD-ALF-20030,Maryland Department of Health,2024-04-20,99,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0664,-76.5254
31,Fort McHenry Village,3000 Orioles Street,Crofton,Anne Arundel,MD,20031,(240) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,50,MD-ALF-20031,Maryland Department of Health,2024-05-21,80,False,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.976400000000005,-76.5154
32,Harbor View Commons,3100 Ravens Avenue,Odenton,Anne Arundel,MD,20032,(240) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,51,MD-ALF-20032,Maryland Department of Health,2024-06-22,81,True,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9864,-76.5054
33,Antietam Manor,3200 Fort McHenry Boulevard,Arnold,Anne Arundel,MD,20033,(240) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,52,MD-ALF-20033,Maryland Department of Health,2024-07-23,82,False,True,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9964,-76.4954
34,Patapsco Village,3300 Harbor View Drive,Millersville,Anne Arundel,MD,20034,(240) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,53,MD-ALF-20034,Maryland Department of Health,2024-08-24,83,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0064,-76.4854
35,Severn Commons,3400 Antietam Street,Annapolis,Anne Arundel,MD,20035,(240) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,54,MD-ALF-20035,Maryland Department of Health,2024-09-25,84,True,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.016400000000004,-76.5554
36,Chesapeake Bay Manor,1000 Main Street,Towson,Baltimore,MD,20036,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20036,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.376400000000004,-76.6554
37,Old Line Village,1100 Maryland Avenue,Dundalk,Baltimore,MD,20037,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20037,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3864,-76.6454
38,Baltimore Commons,1200 Chesapeake Boulevard,Catonsville,Baltimore,MD,20038,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20038,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3964,-76.63539999999999
39,Annapolis Village,1300 Old Line Drive,Pikesville,Baltimore,MD,20039,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20039,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4064,-76.6254
40,Frederick Manor,1400 Baltimore Street,Owings Mills,Baltimore,MD,20040,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20040,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4164,-76.6154
41,Rockville Commons,1500 Annapolis Avenue,Parkville,Baltimore,MD,20041,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20041,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4264,-76.60539999999999
42,Gaithersburg Village,1600 Frederick Boulevard,Essex,Baltimore,MD,20042,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20042,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4364,-76.5954
43,Silver Spring Manor,1700 Rockville Drive,Middle River,Baltimore,MD,20043,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20043,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.446400000000004,-76.58539999999999
44,Bethesda Commons,1800 Gaithersburg Street,Towson,Baltimore,MD,20044,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20044,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4564,-76.6554
45,Towson Village,1900 Silver Spring Avenue,Dundalk,Baltimore,MD,20045,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20045,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4664,-76.6454
46,Columbia Manor,2000 Bethesda Boulevard,Catonsville,Baltimore,MD,20046,(240) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,MD-ALF-20046,Maryland Department of Health,2024-04-11,90,False,True,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.376400000000004,-76.63539999999999
47,Bowie Commons,2100 Towson Drive,Pikesville,Baltimore,MD,20047,(240) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,MD-ALF-20047,Maryland Department of Health,2024-05-12,91,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3864,-76.6254
48,Hagerstown Village,2200 Columbia Street,Owings Mills,Baltimore,MD,20048,(240) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,MD-ALF-20048,Maryland Department of Health,2024-06-13,92,True,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3964,-76.6154
49,Salisbury Manor,2300 Bowie Avenue,Parkville,Baltimore,MD,20049,(240) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,MD-ALF-20049,Maryland Department of Health,2024-07-14,93,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4064,-76.60539999999999
50,Cumberland Commons,2400 Hagerstown Boulevard,Essex,Baltimore,MD,20050,(240) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,MD-ALF-20050,Maryland Department of Health,2024-08-15,94,False,True,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4164,-76.5954
51,Ocean City Village,2500 Salisbury Drive,Middle River,Baltimore,MD,20051,(240) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,MD-ALF-20051,Maryland Department of Health,2024-09-16,95,True,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4264,-76.58539999999999
52,Crab Cake Manor,2600 Cumberland Street,Towson,Baltimore,MD,20052,(240) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,MD-ALF-20052,Maryland Department of Health,2024-10-17,96,False,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4364,-76.6554
53,Blue Crab Village,2700 Ocean City Avenue,Dundalk,Baltimore,MD,20053,(240) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,MD-ALF-20053,Maryland Department of Health,2024-11-18,97,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.446400000000004,-76.6454
54,Orioles Commons,2800 Crab Cake Boulevard,Catonsville,Baltimore,MD,20054,(240) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,48,MD-ALF-20054,Maryland Department of Health,2024-03-19,98,True,True,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4564,-76.63539999999999
55,Ravens Manor,2900 Blue Crab Drive,Pikesville,Baltimore,MD,20055,(240) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,49,MD-ALF-20055,Maryland Department of Health,2024-04-20,99,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4664,-76.6254
56,Fort McHenry Village,3000 Orioles Street,Owings Mills,Baltimore,MD,20056,(240) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,50,MD-ALF-20056,Maryland Department of Health,2024-05-21,80,False,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.376400000000004,-76.6154
57,Harbor View Commons,3100 Ravens Avenue,Parkville,Baltimore,MD,20057,(240) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,51,MD-ALF-20057,Maryland Department of Health,2024-06-22,81,True,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3864,-76.60539999999999
58,Antietam Manor,3200 Fort McHenry Boulevard,Essex,Baltimore,MD,20058,(240) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,52,MD-ALF-20058,Maryland Department of Health,2024-07-23,82,False,True,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3964,-76.5954
59,Patapsco Village,3300 Harbor View Drive,Middle River,Baltimore,MD,20059,(240) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,53,MD-ALF-20059,Maryland Department of Health,2024-08-24,83,False,False,False,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4064,-76.58539999999999
60,Severn Commons,3400 Antietam Street,Towson,Baltimore,MD,20060,(240) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,54,MD-ALF-20060,Maryland Department of Health,2024-09-25,84,True,True,True,https://www.baltimore-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4164,-76.6554
61,Chesapeake Bay Manor,1000 Main Street,Prince Frederick,Calvert,MD,20061,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20061,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.476400000000005,-76.5554
62,Old Line Village,1100 Maryland Avenue,Lusby,Calvert,MD,20062,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20062,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4864,-76.5454
63,Baltimore Commons,1200 Chesapeake Boulevard,Solomons,Calvert,MD,20063,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20063,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4964,-76.5354
64,Annapolis Village,1300 Old Line Drive,Huntingtown,Calvert,MD,20064,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20064,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5064,-76.5254
65,Frederick Manor,1400 Baltimore Street,Dunkirk,Calvert,MD,20065,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20065,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.516400000000004,-76.5154
66,Rockville Commons,1500 Annapolis Avenue,Owings,Calvert,MD,20066,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20066,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5264,-76.5054
67,Gaithersburg Village,1600 Frederick Boulevard,Port Republic,Calvert,MD,20067,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20067,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5364,-76.4954
68,Silver Spring Manor,1700 Rockville Drive,St. Leonard,Calvert,MD,20068,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20068,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.546400000000006,-76.4854
69,Bethesda Commons,1800 Gaithersburg Street,Prince Frederick,Calvert,MD,20069,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20069,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.556400000000004,-76.5554
70,Towson Village,1900 Silver Spring Avenue,Lusby,Calvert,MD,20070,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20070,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5664,-76.5454
71,Columbia Manor,2000 Bethesda Boulevard,Solomons,Calvert,MD,20071,(240) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,MD-ALF-20071,Maryland Department of Health,2024-04-11,90,False,True,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.476400000000005,-76.5354
72,Bowie Commons,2100 Towson Drive,Huntingtown,Calvert,MD,20072,(240) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,MD-ALF-20072,Maryland Department of Health,2024-05-12,91,False,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4864,-76.5254
73,Hagerstown Village,2200 Columbia Street,Dunkirk,Calvert,MD,20073,(240) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,MD-ALF-20073,Maryland Department of Health,2024-06-13,92,True,True,True,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4964,-76.5154
74,Salisbury Manor,2300 Bowie Avenue,Owings,Calvert,MD,20074,(240) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,MD-ALF-20074,Maryland Department of Health,2024-07-14,93,False,False,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5064,-76.5054
75,Cumberland Commons,2400 Hagerstown Boulevard,Port Republic,Calvert,MD,20075,(240) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,MD-ALF-20075,Maryland Department of Health,2024-08-15,94,False,True,False,https://www.calvert-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.516400000000004,-76.4954
76,Chesapeake Bay Manor,1000 Main Street,Denton,Caroline,MD,20076,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20076,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.876400000000004,-75.8554
77,Old Line Village,1100 Maryland Avenue,Ridgely,Caroline,MD,20077,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20077,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.8864,-75.8454
78,Baltimore Commons,1200 Chesapeake Boulevard,Federalsburg,Caroline,MD,20078,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20078,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.8964,-75.83539999999999
79,Annapolis Village,1300 Old Line Drive,Greensboro,Caroline,MD,20079,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20079,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9064,-75.8254
80,Frederick Manor,1400 Baltimore Street,Goldsboro,Caroline,MD,20080,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20080,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9164,-75.8154
81,Rockville Commons,1500 Annapolis Avenue,Henderson,Caroline,MD,20081,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20081,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9264,-75.80539999999999
82,Gaithersburg Village,1600 Frederick Boulevard,Hillsboro,Caroline,MD,20082,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20082,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9364,-75.7954
83,Silver Spring Manor,1700 Rockville Drive,Marydel,Caroline,MD,20083,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20083,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.946400000000004,-75.7854
