id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Northern Lights Manor,100 Main Street,Anchorage,Anchorage,AK,99501,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20001,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1681,-149.94029999999998
40,Tundra Winds Care,350 Glacier Avenue,Wasilla,Matanuska-Susitna,AK,99540,(907) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,20,AK-ALF-20040,Alaska Department of Health and Social Services,2024-08-06,75,False,False,False,https://www.matanuskasusitna-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.8739,-149.04940000000002
41,Northern Lights Manor,100 Main Street,Utqiagvik,North Slope,AK,99541,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20041,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.northslope-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,71.2406,-156.8286
42,Denali Care Center,150 Alaska Street,Utqiagvik,North Slope,AK,99542,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20042,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.northslope-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,71.25059999999999,-156.8186
43,Northern Lights Manor,100 Main Street,Kotzebue,Northwest Arctic,AK,99543,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20043,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.northwestarctic-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,66.84830000000001,-162.6367
44,Denali Care Center,150 Alaska Street,Kotzebue,Northwest Arctic,AK,99544,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20044,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.northwestarctic-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,66.8583,-162.6267
45,Northern Lights Manor,100 Main Street,Bethel,Bethel,AK,99545,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20045,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.bethel-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.742200000000004,-161.79579999999999
46,Denali Care Center,150 Alaska Street,Bethel,Bethel,AK,99546,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20046,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.bethel-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.7522,-161.7858
47,Northern Lights Manor,100 Main Street,Dillingham,Dillingham,AK,99547,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20047,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.dillingham-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.9894,-158.4975
48,Denali Care Center,150 Alaska Street,Dillingham,Dillingham,AK,99548,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20048,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.dillingham-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.9994,-158.4875
49,Northern Lights Manor,100 Main Street,Naknek,Bristol Bay,AK,99549,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20049,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.bristolbay-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.666900000000005,-156.9042
50,Denali Care Center,150 Alaska Street,Naknek,Bristol Bay,AK,99550,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20050,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.bristolbay-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.6769,-156.8942
51,Northern Lights Manor,100 Main Street,Sand Point,Aleutians East,AK,99551,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20051,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.aleutianseast-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.2869,-160.5369
52,Denali Care Center,150 Alaska Street,Sand Point,Aleutians East,AK,99552,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20052,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.aleutianseast-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.2969,-160.5269
53,Northern Lights Manor,100 Main Street,Unalaska,Aleutians West,AK,99553,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20053,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.aleutianswest-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,53.823600000000006,-166.57309999999998
54,Denali Care Center,150 Alaska Street,Unalaska,Aleutians West,AK,99554,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20054,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.aleutianswest-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,53.833600000000004,-166.5631
55,Northern Lights Manor,100 Main Street,King Salmon,Lake and Peninsula,AK,99555,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20055,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.lakeandpeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.636900000000004,-156.9042
56,Denali Care Center,150 Alaska Street,King Salmon,Lake and Peninsula,AK,99556,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20056,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.lakeandpeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.6469,-156.8942
57,Northern Lights Manor,100 Main Street,Nome,Nome,AK,99557,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20057,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.nome-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.4511,-165.44639999999998
58,Denali Care Center,150 Alaska Street,Nome,Nome,AK,99558,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20058,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.nome-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.46109999999999,-165.4364
59,Northern Lights Manor,100 Main Street,Delta Junction,Southeast Fairbanks,AK,99559,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20059,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.southeastfairbanks-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,63.99000000000001,-145.77439999999999
60,Denali Care Center,150 Alaska Street,Delta Junction,Southeast Fairbanks,AK,99560,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20060,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.southeastfairbanks-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.0,-145.7644
61,Northern Lights Manor,100 Main Street,Valdez,Valdez-Cordova,AK,99561,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20061,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.valdezcordova-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.0808,-146.38809999999998
62,Denali Care Center,150 Alaska Street,Valdez,Valdez-Cordova,AK,99562,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20062,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.valdezcordova-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.0908,-146.3781
63,Glacier View Commons,200 Frontier Avenue,Valdez,Valdez-Cordova,AK,99563,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20063,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.valdezcordova-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1008,-146.3681
64,Aurora Village,250 Northern Lights Boulevard,Valdez,Valdez-Cordova,AK,99564,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20064,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.valdezcordova-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1108,-146.35809999999998
65,Northern Lights Manor,100 Main Street,Hooper Bay,Wade Hampton,AK,99565,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20065,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.wadehampton-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.476400000000005,-165.8475
66,Denali Care Center,150 Alaska Street,Hooper Bay,Wade Hampton,AK,99566,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20066,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.wadehampton-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.4864,-165.8375
67,Northern Lights Manor,100 Main Street,Galena,Yukon-Koyukuk,AK,99567,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20067,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.yukonkoyukuk-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.68690000000001,-156.9675
68,Denali Care Center,150 Alaska Street,Galena,Yukon-Koyukuk,AK,99568,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20068,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.yukonkoyukuk-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.6969,-156.9575
69,Northern Lights Manor,100 Main Street,Healy,Denali,AK,99569,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20069,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.denali-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,63.6786,-148.9569
70,Denali Care Center,150 Alaska Street,Healy,Denali,AK,99570,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20070,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.denali-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,63.6886,-148.9469
71,Northern Lights Manor,100 Main Street,Haines,Haines,AK,99571,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20071,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.haines-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,59.1831,-135.4894
72,Denali Care Center,150 Alaska Street,Haines,Haines,AK,99572,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20072,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.haines-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,59.1931,-135.4794
73,Northern Lights Manor,100 Main Street,Skagway,Skagway,AK,99573,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20073,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.skagway-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,59.410000000000004,-135.35559999999998
74,Denali Care Center,150 Alaska Street,Skagway,Skagway,AK,99574,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20074,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.skagway-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,59.42,-135.3456
75,Northern Lights Manor,100 Main Street,Wrangell,Wrangell,AK,99575,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20075,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.wrangell-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,56.4206,-132.4169
76,Denali Care Center,150 Alaska Street,Wrangell,Wrangell,AK,99576,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20076,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.wrangell-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,56.4306,-132.4069
77,Northern Lights Manor,100 Main Street,Petersburg,Petersburg,AK,99577,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20077,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.petersburg-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,56.7625,-132.98499999999999
78,Denali Care Center,150 Alaska Street,Petersburg,Petersburg,AK,99578,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20078,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.petersburg-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,56.7725,-132.975
