id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Bay State Manor,1000 Main Street,Hyannis,Barnstable,MA,01001,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80001,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.6503,-70.3362
15,Beacon Hill Manor,1400 Washington Street,Pittsfield,Berkshire,MA,01015,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80015,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.3018,-73.1822
16,Cape Cod Village,1500 State Street,Pittsfield,Berkshire,MA,01016,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80016,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.3118,-73.17219999999999
17,Berkshire Commons,1600 Park Street,Pittsfield,Berkshire,MA,01017,(623) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MA-ALF-80017,Massachusetts Department of Public Health,2024-09-07,81,True,True,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.321799999999996,-73.1622
18,Pioneer Valley Manor,1700 School Street,Pittsfield,Berkshire,MA,01018,(624) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MA-ALF-80018,Massachusetts Department of Public Health,2024-10-08,82,False,False,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.3318,-73.1522
19,North Shore Village,1800 Church Street,Pittsfield,Berkshire,MA,01019,(625) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MA-ALF-80019,Massachusetts Department of Public Health,2024-11-09,83,False,True,True,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.3418,-73.2222
20,South Shore Commons,1900 Elm Street,Pittsfield,Berkshire,MA,01020,(626) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MA-ALF-80020,Massachusetts Department of Public Health,2024-03-10,84,True,False,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.3518,-73.2122
21,Bay State Manor,1000 Main Street,Fall River,Bristol,MA,01021,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80021,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.687000000000005,-71.1675
22,Commonwealth Commons,1100 Massachusetts Avenue,Fall River,Bristol,MA,01022,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80022,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.697,-71.1575
23,Pilgrim Village,1200 Commonwealth Avenue,Fall River,Bristol,MA,01023,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80023,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.707,-71.1475
24,Minuteman Care,1300 Beacon Street,Fall River,Bristol,MA,01024,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80024,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.717,-71.1375
25,Beacon Hill Manor,1400 Washington Street,Fall River,Bristol,MA,01025,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80025,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.727000000000004,-71.1275
26,Cape Cod Village,1500 State Street,Fall River,Bristol,MA,01026,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80026,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.737,-71.11749999999999
27,Berkshire Commons,1600 Park Street,Fall River,Bristol,MA,01027,(623) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MA-ALF-80027,Massachusetts Department of Public Health,2024-09-07,81,True,True,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.747,-71.1075
28,Pioneer Valley Manor,1700 School Street,Fall River,Bristol,MA,01028,(624) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MA-ALF-80028,Massachusetts Department of Public Health,2024-10-08,82,False,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.757000000000005,-71.0975
29,North Shore Village,1800 Church Street,Fall River,Bristol,MA,01029,(625) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MA-ALF-80029,Massachusetts Department of Public Health,2024-11-09,83,False,True,True,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.767,-71.1675
30,South Shore Commons,1900 Elm Street,Fall River,Bristol,MA,01030,(626) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MA-ALF-80030,Massachusetts Department of Public Health,2024-03-10,84,True,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.777,-71.1575
31,Merrimack Valley Manor,2000 Oak Street,Fall River,Bristol,MA,01031,(627) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,MA-ALF-80031,Massachusetts Department of Public Health,2024-04-11,85,False,True,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.687000000000005,-71.1475
32,Blackstone Village,2100 Maple Street,Fall River,Bristol,MA,01032,(628) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,MA-ALF-80032,Massachusetts Department of Public Health,2024-05-12,86,False,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.697,-71.1375
33,Freedom Trail Commons,2200 Harvard Street,Fall River,Bristol,MA,01033,(629) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,52,MA-ALF-80033,Massachusetts Department of Public Health,2024-06-13,87,True,True,True,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.707,-71.1275
34,Tea Party Manor,2300 Yale Street,Fall River,Bristol,MA,01034,(630) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,53,MA-ALF-80034,Massachusetts Department of Public Health,2024-07-14,88,False,False,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.717,-71.11749999999999
35,Salem Village,2400 MIT Avenue,Fall River,Bristol,MA,01035,(631) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,54,MA-ALF-80035,Massachusetts Department of Public Health,2024-08-15,89,False,True,False,https://www.bristol-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.727000000000004,-71.1075
36,Bay State Manor,1000 Main Street,Vineyard Haven,Dukes,MA,01036,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80036,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.dukes-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.338800000000006,-70.68180000000001
37,Commonwealth Commons,1100 Massachusetts Avenue,Vineyard Haven,Dukes,MA,01037,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80037,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.dukes-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.348800000000004,-70.6718
38,Pilgrim Village,1200 Commonwealth Avenue,Vineyard Haven,Dukes,MA,01038,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80038,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.dukes-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.3588,-70.6618
39,Minuteman Care,1300 Beacon Street,Vineyard Haven,Dukes,MA,01039,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80039,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.dukes-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.3688,-70.65180000000001
40,Beacon Hill Manor,1400 Washington Street,Vineyard Haven,Dukes,MA,01040,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80040,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.dukes-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.378800000000005,-70.6418
41,Bay State Manor,1000 Main Street,Salem,Essex,MA,01041,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80041,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.583400000000005,-70.9894
42,Commonwealth Commons,1100 Massachusetts Avenue,Salem,Essex,MA,01042,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80042,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5934,-70.9794
43,Pilgrim Village,1200 Commonwealth Avenue,Salem,Essex,MA,01043,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80043,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6034,-70.9694
44,Minuteman Care,1300 Beacon Street,Salem,Essex,MA,01044,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80044,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6134,-70.9594
45,Beacon Hill Manor,1400 Washington Street,Salem,Essex,MA,01045,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80045,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.623400000000004,-70.9494
46,Cape Cod Village,1500 State Street,Salem,Essex,MA,01046,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80046,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6334,-70.93939999999999
47,Berkshire Commons,1600 Park Street,Salem,Essex,MA,01047,(623) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MA-ALF-80047,Massachusetts Department of Public Health,2024-09-07,81,True,True,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6434,-70.9294
48,Pioneer Valley Manor,1700 School Street,Salem,Essex,MA,01048,(624) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MA-ALF-80048,Massachusetts Department of Public Health,2024-10-08,82,False,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.653400000000005,-70.9194
49,North Shore Village,1800 Church Street,Salem,Essex,MA,01049,(625) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MA-ALF-80049,Massachusetts Department of Public Health,2024-11-09,83,False,True,True,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6634,-70.9894
50,South Shore Commons,1900 Elm Street,Salem,Essex,MA,01050,(626) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MA-ALF-80050,Massachusetts Department of Public Health,2024-03-10,84,True,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6734,-70.9794
51,Merrimack Valley Manor,2000 Oak Street,Salem,Essex,MA,01051,(627) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,MA-ALF-80051,Massachusetts Department of Public Health,2024-04-11,85,False,True,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.583400000000005,-70.9694
52,Blackstone Village,2100 Maple Street,Salem,Essex,MA,01052,(628) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,MA-ALF-80052,Massachusetts Department of Public Health,2024-05-12,86,False,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5934,-70.9594
53,Freedom Trail Commons,2200 Harvard Street,Salem,Essex,MA,01053,(629) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,52,MA-ALF-80053,Massachusetts Department of Public Health,2024-06-13,87,True,True,True,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6034,-70.9494
54,Tea Party Manor,2300 Yale Street,Salem,Essex,MA,01054,(630) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,53,MA-ALF-80054,Massachusetts Department of Public Health,2024-07-14,88,False,False,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6134,-70.93939999999999
55,Salem Village,2400 MIT Avenue,Salem,Essex,MA,01055,(631) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,54,MA-ALF-80055,Massachusetts Department of Public Health,2024-08-15,89,False,True,False,https://www.essex-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.623400000000004,-70.9294
56,Bay State Manor,1000 Main Street,Greenfield,Franklin,MA,01056,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80056,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5407,-72.6418
57,Commonwealth Commons,1100 Massachusetts Avenue,Greenfield,Franklin,MA,01057,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80057,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5507,-72.6318
58,Pilgrim Village,1200 Commonwealth Avenue,Greenfield,Franklin,MA,01058,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80058,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5607,-72.6218
59,Minuteman Care,1300 Beacon Street,Greenfield,Franklin,MA,01059,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80059,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.570699999999995,-72.6118
60,Beacon Hill Manor,1400 Washington Street,Greenfield,Franklin,MA,01060,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80060,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5807,-72.6018
61,Cape Cod Village,1500 State Street,Greenfield,Franklin,MA,01061,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80061,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.5907,-72.59179999999999
62,Berkshire Commons,1600 Park Street,Greenfield,Franklin,MA,01062,(623) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MA-ALF-80062,Massachusetts Department of Public Health,2024-09-07,81,True,True,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.600699999999996,-72.5818
63,Pioneer Valley Manor,1700 School Street,Greenfield,Franklin,MA,01063,(624) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MA-ALF-80063,Massachusetts Department of Public Health,2024-10-08,82,False,False,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6107,-72.5718
64,North Shore Village,1800 Church Street,Greenfield,Franklin,MA,01064,(625) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MA-ALF-80064,Massachusetts Department of Public Health,2024-11-09,83,False,True,True,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6207,-72.6418
65,South Shore Commons,1900 Elm Street,Greenfield,Franklin,MA,01065,(626) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MA-ALF-80065,Massachusetts Department of Public Health,2024-03-10,84,True,False,False,https://www.franklin-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.6307,-72.6318
66,Bay State Manor,1000 Main Street,Springfield,Hampden,MA,01066,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80066,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.051500000000004,-72.58470000000001
67,Commonwealth Commons,1100 Massachusetts Avenue,Springfield,Hampden,MA,01067,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80067,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.0615,-72.5747
68,Pilgrim Village,1200 Commonwealth Avenue,Springfield,Hampden,MA,01068,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80068,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.0715,-72.5647
69,Minuteman Care,1300 Beacon Street,Springfield,Hampden,MA,01069,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80069,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.0815,-72.55470000000001
70,Beacon Hill Manor,1400 Washington Street,Springfield,Hampden,MA,01070,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80070,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.0915,-72.5447
71,Cape Cod Village,1500 State Street,Springfield,Hampden,MA,01071,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80071,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.1015,-72.5347
72,Berkshire Commons,1600 Park Street,Springfield,Hampden,MA,01072,(623) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MA-ALF-80072,Massachusetts Department of Public Health,2024-09-07,81,True,True,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.1115,-72.52470000000001
73,Pioneer Valley Manor,1700 School Street,Springfield,Hampden,MA,01073,(624) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MA-ALF-80073,Massachusetts Department of Public Health,2024-10-08,82,False,False,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.121500000000005,-72.5147
74,North Shore Village,1800 Church Street,Springfield,Hampden,MA,01074,(625) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MA-ALF-80074,Massachusetts Department of Public Health,2024-11-09,83,False,True,True,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.1315,-72.58470000000001
75,South Shore Commons,1900 Elm Street,Springfield,Hampden,MA,01075,(626) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MA-ALF-80075,Massachusetts Department of Public Health,2024-03-10,84,True,False,False,https://www.hampden-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.1415,-72.5747
76,Bay State Manor,1000 Main Street,Northampton,Hampshire,MA,01076,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80076,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.hampshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.287000000000006,-72.6812
77,Commonwealth Commons,1100 Massachusetts Avenue,Northampton,Hampshire,MA,01077,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80077,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.hampshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.297000000000004,-72.6712
78,Pilgrim Village,1200 Commonwealth Avenue,Northampton,Hampshire,MA,01078,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80078,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.hampshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.307,-72.6612
79,Minuteman Care,1300 Beacon Street,Northampton,Hampshire,MA,01079,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80079,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.hampshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.317,-72.6512
80,Beacon Hill Manor,1400 Washington Street,Northampton,Hampshire,MA,01080,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80080,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.hampshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.327000000000005,-72.6412
81,Cape Cod Village,1500 State Street,Northampton,Hampshire,MA,01081,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80081,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.hampshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.337,-72.63119999999999
