X,Y,OBJECTID,Number,Legal_Name,Business_Name,Capacity_Per_PEU,Address,Address_2,City,County,Zip_Code,Phone_Number,Latitude,Longitude,CountyName
-117.960597,33.822324,40,1699555334,"ABUNDANT GRACE CARE VILLA, INC",ABUNDANT GRACE CARE VILLA,6,9672 COLONY STREET,,ANAHEIM,ORANGE,92804,562-774-6297,33.822325508743,-117.960838063535,Orange County
-117.8990595,33.8738040000001,41,1447625090,KAIROS MANAGEMENT ONE LLC          ,ACACIA VILLAS                      ,99,1620 E CHAPMAN AVE,,FULLERTON           ,Orange,92831,7148790920,33.874122512321,-117.8990595,Orange County
-117.9392355,33.84684,42,1699489815,ACACIA GUEST HOME LLC,ACACIA GUEST HOME-ANAHEIM,6,1516 W LA PALMA AVE,,ANAHEIM,ORANGE,92801,626-541-5921,33.847078800421,-117.939239020399,Orange County
-117.6632415,33.620373,43,1861254989,"ACTIVE SENIOR HOME CARE, INC",ACTIVE SENIOR HOME CARE,6,26771 VIA VICTORIA,,MISSION VIEJO,ORANGE,92691,949-380-1143,33.620319188182,-117.663460016216,Orange County
-117.8236575,33.9886530000001,44,1437801081,ACACIA GUEST HOME LLC,ACACIA GUEST HOME,6,1847 ACACIA HILL ROAD,,DIAMOND BAR,Los Angeles,91765,6265415921,33.988793732154,-117.823447198049,Los Angeles County
-117.5706675,33.9761520000001,45,1891395547,ACCURO HOMES,ACCURO HOMES II,6,13172 EARLY CRIMSON ST,,EASTVALE,RIVERSIDE,92880,951-817-4598,33.975948906486,-117.570663560506,Riverside County
-117.6119505,33.864723,46,1366140907,ADOBE RESIDENTIAL CARE,ADOBE RESIDENTIAL CARE,6,2108 ADOBE AVE,,CORONA,RIVERSIDE,92882,714-371-8333,33.864626272837,-117.611672388453,Riverside County
-117.571608,33.9655500000001,47,1184391070,ACCURO HOMES,ACCURO HOMES,6,6764 BLACK FOREST DRIVE,,EASTVALE,RIVERSIDE,92880,951-415-0647,33.965548155981,-117.571826013302,Riverside County
-118.312479,34.0860060000001,48,1801220165,ADL BEST CARE LLC                  ,ADL BEST CARE LLC - 2              ,5,5431 MONROE ST,,HOLLYWOOD           ,Los Angeles,90038,8182884594,34.085793518755,-118.312479,Los Angeles County
-118.312479,34.0860060000001,49,1801220165,ADL BEST CARE LLC                  ,ADL BEST CARE LLC3                 ,5,5433 MONROE ST,,HOLLYWOOD           ,Los Angeles,90038,8182884594,34.085793518755,-118.312479,Los Angeles County
-122.0079825,37.9803690000001,50,1942693049,AGAPE ASSISTED LIVING INC          ,AGAPE ASSISTED LIVING INC          ,6,1841 ANDREA LN,,CONCORD             ,Contra Costa,94519,9257882530,37.980371514571,-122.007720900802,Contra Costa County
-117.3359115,34.4603430000001,51,1033864525,AGING GRACE SENIOR LIVING FACILITY LLC,AGING GRACE SENIOR LIVING FACILITY LLC,6,11539 HAWTHORNE AVE,,HESPERIA,San Bernardino,92345,4423163650,34.460339311963,-117.336354483583,San Bernardino County
-117.79461,33.76701,52,1225509896,AGAPE SENIOR HOMES LLC             ,AGAPE SENIOR HOMES LLC             ,6,11442 NEWPORT AVE,,SANTA ANA           ,Orange,92705,7143932308,33.767146876479,-117.794861457095,Orange County
-118.4843655,34.273494,53,1013509546,ALALIK CARE INC,ALALIK CARE HOME,6,11152 WOODLEY AVE,,GRANADA HILLS,Los Angeles,91344,818-818-1808,34.273494,-118.484672026199,Los Angeles County
-117.50337,34.103934,54,1699302240,EBRAHEEM HAMED,AL HAYBA HOME,6,13849 COBBLESTONE CT,,FONTANA,SAN BERNARDINO,92335,786-564-3771,34.104129717439,-117.503373855675,San Bernardino County
-118.5423975,34.1995230000001,55,1447958673,ALL COMFORT BOARD AND CARE INC,ALL COMFORT BOARD AND CARE,6,18757 GAULT STREET,,RESEDA,LOS ANGELES,91335,323-823-9000,34.199314122973,-118.542405630446,Los Angeles County
-118.1244915,34.0927560000001,56,1811681133,ALHAMBRA SENIOR VILLA LLC,SAVANT OF ALHAMBRA,176,1 E COMMONWEALTH AVE,,ALHAMBRA,LOS ANGELES,91801,626-289-3871,34.092366744417,-118.124250520284,Los Angeles County
-117.781803,34.1204040000001,57,1447989009,ALL IN CAREHOME LLC,ALL IN CAREHOME,6,1158 BEAVER WAY,,LA VERNE,Los Angeles,91750,626-698-9615,34.120601896734,-117.781791516793,Los Angeles County
-118.1067165,33.8545710000001,58,1316649742,ALL WE NEED IS LOVE LLC,ALL WE NEED IS LOVE RESIDENTIAL CARE,6,5340 KIRTLAND AVE,,LAKEWOOD,LOS ANGELES,90713,562-925-4611,33.854570077991,-118.106930489988,Los Angeles County
-117.9309285,34.09479,59,1083338172,D & P HOMECARE LLC,ALL FOR MOMS HOMECARE,6,16136 E CLOVERMEAD ST,,COVINA,Los Angeles,91722,626-456-1066,34.09497264167,-117.930925482515,Los Angeles County
-118.104687,33.8608080000001,60,1194392555,ALLEN'S PALM COVE RESIDENCE CARE INC,ALLEN'S PALM COVE CERRITOS,6,18714 KINGS ROW AVE,,CERRITOS,Los Angeles,90703,7143109495,33.860802551763,-118.10492588424,Los Angeles County
-117.695169,33.609537,61,1811680648,K PRIME HOME LLC,AK AND DAVID SENIOR CARE,6,24302 BARK ST,,LAKE FOREST,ORANGE,92630,949-462-0250,33.609552674159,-117.695420205638,Orange County
-117.5934915,33.9447420000001,62,1598383739,ALLWISE CARE COMPANION INC         ,ALLWISE RESIDENTIAL HOME           ,6,14299 POINTER LOOP,,EASTVALE            ,Riverside,92880,9514795293,33.944740407438,-117.593701215217,Riverside County
-117.9285525,33.8390640000001,63,1194392555,ALLEN'S PALM COVE RESIDENCE CARE INC,ALLEN'S PALM COVE RESIDENCE CARE,6,630 N WEST STREET,,ANAHEIM,Orange,92801,7147783949,33.838928883721,-117.929142669802,Orange County
-118.589625,34.1989560000001,64,1316663651,ORNA DR INC,ALLEVIATE CARE,6,20930 GAULT ST,,CANOGA PARK,LOS ANGELES,91303-2276,818-378-2772,34.199190860927,-118.589620306134,Los Angeles County
-117.694539,34.0723080000001,65,1598383739,ALLWISE CARE COMPANION INC,ALLWISE RESIDENTIAL HOME II,6,9995 GENEVA AVE,,MONTCLAIR,SAN BERNARDINO,91763,909-675-7007,34.072308,-117.694773525651,San Bernardino County
-121.240278,38.678256,66,1295475093,ALMOND HOUSE ASSISTED LIVING LLC,ALMOND HOUSE ASSISTED LIVING,78,6135 ALMOND AVE,,ORANGEVALE,Sacramento,95662,9169887506,38.678256,-121.240278,Sacramento County
-118.3586805,33.812217,67,1245929207,"AMALFI LIVING, INC","AMALFI LIVING, INC",6,23518 EVALYN AVE,,TORRANCE,LOS ANGELES,90505,424-250-9123,33.812217,-118.358944027036,Los Angeles County
-117.519696,34.117803,68,1104592914,ALOHA RESIDENTIAL CARE LLC,ALOHA RESIDENTIAL CARE,6,7476 BUNGALOW WAY,,RANCHO CUCAMONGA,San Bernardino,91739,9516757763,34.117635445756,-117.519501120751,San Bernardino County
-116.9505405,33.920487,69,1306452008,AMAZING GRACE CARE SERVICES,AMAZING GRACE CARE SERVICES,6,43 SITARA STREET,,BEAUMONT,Riverside,92223,3105925338,33.920357751053,-116.950265405938,Riverside County
-118.534536,34.2035730000001,70,1114335254,CANBY RETIREMENT CORP              ,AMBASSADOR GARDEN                  ,156,7324 CANBY AVE,,RESEDA              ,Los Angeles,91335,8187053404,34.203575263114,-118.534761892291,Los Angeles County
-118.282365,34.0484220000001,71,1194329474,RAD CARE SERVICES INC,ALVARADO CARE HOME,46,1217 SOUTH ALVARADO ST,,LOS ANGELES,Los Angeles,90006,323-452-9110,34.048291158491,-118.282064173495,Los Angeles County
-118.1670615,34.662654,72,1649951641,AMARE VILLA CORP,AMARE VILLA,6,2042 KALLIOPE AVE,,LANCASTER,LOS ANGELES,93536-4625,661-878-5085,34.662873102949,-118.167099218564,Los Angeles County
-117.5421105,33.9677370000001,73,1447859897,WILLIAMS CARE SERVICES INC         ,AMETRINE HOUSE                     ,4,6622 AMETRINE COURT,,MIRA LOMA           ,Riverside,91752,9096157534,33.967656366091,-117.542364723123,Riverside County
-118.504125,34.197345,74,1891416335,AMERIHOME INC,AMERIHOME INC,6,17019 MARLIN PL,,VAN NUYS,Los Angeles,91406,818-938-9046,34.197154479341,-118.504125,Los Angeles County
-122.085765,37.717479,75,1205378981,ALMOND ROAD SENIOR ESTATES,ALMOND ROAD SENIOR ESTATES,6,17635 ALMOND ROAD,,CASTRO VALLEY,ALAMEDA,94546-1205,510-886-0341,37.717872614173,-122.08573038274,Alameda County
-121.347108,38.398356,76,1568171783,AN ANGEL GARDEN INC,AN ANGEL GARDEN INC,6,9873 TRAVELER CT,,ELK GROVE,Sacramento,95624,530-886-9529,38.398356,-121.347108,Sacramento County
-118.416006,34.2115830000001,77,1538879978,THE RIGHT CHOICE HOME INC,ANA'S RESIDENCE CARE FACILITY,6,7747 VAN NOORD AVE,,NORTH HOLLYWOOD,LOS ANGELES,91605,323-688-3377,34.211554585348,-118.415783292833,Los Angeles County
-121.7576295,37.957428,78,1184380651,ANGEL WINGS CARE HOME INC,ANGEL WINGS CARE HOME III,6,5420 SAN MARTIN WAY,,ANTIOCH,Contra Costa,94531,9253928915,37.957619358849,-121.757611227451,Contra Costa County
-117.9937035,33.823386,79,1952813016,"KINCAID SENIOR LIVING, INC         ",ANAHEIM CROWN PLAZA                ,200,641 S BEACH BLVD,,ANAHEIM             ,Orange,92804,7148277007,33.82338943658,-117.993451791448,Orange County
-116.227278,33.7515930000001,80,1417675950,ANGELIC HANDS SENIOR SERVICES LLC,ANGELIC HANDS ASSISTED LIVING,6,82397 STRADIVARI RD,,INDIO,Riverside,92203,760-342-0248,33.75178167664,-116.227280682209,Riverside County
-117.3248415,33.234543,81,1639934409,ANGEL'S HOME CARE LLC,ANGEL'S HOME CARE LLC,6,427 CABO COURT,,OCEANSIDE,SAN DIEGO,92058,704-488-9659,33.234754056322,-117.324543942437,San Diego County
-118.008225,33.817914,82,1114705787,"ANAHEIM VILLA, INC.",ANAHEIM VILLA,210,3411 WEST BALL ROAD,,ANAHEIM,ORANGE,92804,714-821-9660,33.817304635639,-118.008203207052,Orange County
-117.9546525,33.7824360000001,83,1639870272,"GRANNY'S HOMES, INC",ANGELS CARE GUEST HOME,6,10212 MALINDA LN,,GARDEN GROVE,ORANGE,92840,714-244-5885,33.782608331929,-117.954501122829,Orange County
-122.266368,38.0049030000001,84,1619545472,ANGELS TOUCH CARE HOME LLC,ANGELS TOUCH CARE HOME LLC,6,1653 SWALLOW WAY,,HERCULES,Contra Costa,94547,5107252020,38.004729410785,-122.266506636678,Contra Costa County
-117.101988,33.5118600000001,85,1508549262,ANGELICA'S HOME INC,ANGELICA'S HOME INC,6,31916 CORTE POSITAS,,TEMECULA,RIVERSIDE,92592,951-240-7280,33.511616002799,-117.101993783513,Riverside County
-118.535751,34.264827,86,1710658133,YANA D. DIAZ,ANGELS OF THE VALLEY BOARD & CARE,6,10700 RESEDA BLVD,,NORTHRIDGE,LOS ANGELES,91326,818-831-0058,34.264827,-118.536083510099,Los Angeles County
-117.2212425,33.2044920000001,87,1285476812,LUZ PILIPINAS T VELASCO,ANGEL'S TOUCH II,6,138 BELLERIVE DRIVE,,VISTA,SAN DIEGO,92084,760-715-0529,33.20458202164,-117.221418939062,San Diego County
-117.8573895,33.8776740000001,88,1629657440,ANNISSA GEM CARE,ANNISSA GEM CARE,6,825 LILAC DRIVE,,PLACENTIA,Orange,92870,7146466750,33.877627815714,-117.857164362081,Orange County
-117.042165,33.0892470000001,89,1427446335,ANA S OSBORNE AND SCOTT S          ,ANNE'S PLACE II                    ,6,2690 MARY LANE PLACE,,ESCONDIDO           ,San Diego ,92025,7605221989,33.088292385048,-117.042108086877,San Diego County
-118.075635,33.894279,90,1922619295,ANL FACILITY HOME INC,ANL FACILITY HOME INC,6,12073 HIGHDALE ST,,NORWALK,Los Angeles,90650,5623104871,33.89408420457,-118.075632485429,Los Angeles County
-118.440279,34.214346,91,1992453930,ANO ONE FACILITY FOR THE ELDERLY INC,ANO ONE FACILITY FOR THE ELDERLY,6,7907 STANSBURY,,PANORAMA CITY,LOS ANGELES,91402,818-481-3837,34.214345497086,-118.439994685844,Los Angeles County
-118.4123475,34.1858790000001,92,1487350211,ANTHEM SENIOR CARE LLC,ANTHEM SENIOR CARE,6,12813 FRIAR STREET,,NORTH HOLLYWOOD,LOS ANGELES,91606,310-986-4533,34.185648497663,-118.412341716487,Los Angeles County
-118.440279,34.214346,93,1366190316,ANO TWO FACILITY FOR THE ELDERLY INC,ANO TWO FACILITY FOR THE ELDERLY,6,7905 STANSBURY AVE,,PANORAMA CITY,LOS ANGELES,91402,818-439-1822,34.214345497086,-118.439994685844,Los Angeles County
-121.3774785,38.6383230000001,94,1043578222,APPLERIDGE ASSISTED LIVING,APPLERIDGE ASSISTED LIVING,82,3950 ANNADALE LANE,,SACRAMENTO,Sacramento,95821,9164896900,38.638323,-121.3774785,Sacramento County
-117.2247435,34.4875410000001,95,1376315291,APPLE VALLEY RETIREMENT INC,APPLE GARDEN SENIORS,6,12994 RINCON ROAD,,APPLE VALLEY,SAN BERNARDINO,92308,760-240-2600,34.487542173466,-117.224435884154,San Bernardino County
-121.272669,38.1444660000001,96,1477855286,COVENANTCARE OF LODI LLC           ,ARBOR PLACE                        ,76,17 LOUIE AVE,,LODI                ,San Joaquin,95240,2093698282,38.143558491343,-121.272669,San Joaquin County
-118.0670355,34.133787,97,1629739453,ARCADIA LIVING LLC,ARCADIA LIVING LLC,130,601 SUNSET BLVD,,ARCADIA,Los Angeles,91007,951-907-9888,34.134079276964,-118.066849924664,Los Angeles County
-117.1805265,33.906366,98,1003416371,MUSARRAT KHAN                      ,AQUA BELLA RESIDENTIAL CARE        ,6,14736 WILLOW GROVE PLACE,,MORENO VALLEY       ,Riverside,92555,9092822316,33.9063642398,-117.180778292371,Riverside County
-122.1141915,37.6446960000001,99,1790467231,ARCADIAN RESIDENTIAL COMMUNITY CORPORATION,ARCADIAN RESIDENTIAL COMMUNITY,40,24647 MOHR DRIVE,,HAYWARD,ALAMEDA,94545,510-887-8898,37.644808736598,-122.113834766201,Alameda County
-118.134099,34.169454,100,1891000360,"ROBSAG, INC                        ",ARBOR VISTA RET HOME               ,69,811 E WASHINGTON ST,,PASADENA            ,Los Angeles,91104,6267977296,34.168998527382,-118.134099,Los Angeles County
-118.051758,34.1272440000001,101,1891187969,GOLDWATER SAG HOLDINGS LLC         ,ARCADIA RETIREMENT VILLAGE         ,149,607 WEST DUARTE ROAD,,ARCADIA             ,Los Angeles,91007,6264476070,34.12659213939,-118.051615256189,Los Angeles County
-118.4621985,34.282521,102,1720101769,"ARARAT HOME OF LA, INC             ",ARARAT HOME OF LA                  ,130,15105 MISSION HILLS RD,,MISSION HILLS       ,Los Angeles,91345,8183653000,34.282264094668,-118.462806774713,Los Angeles County
-118.057185,34.1261010000001,103,1801119813,PRIORITY HEALTH SERIVCES           ,ARCADIAN RETIREMENT CENTER         ,120,753 WEST DUARTE RD,,ARCADIA             ,Los Angeles,91007,6264457981,34.125767567892,-118.057124734116,Los Angeles County
-117.4035825,33.9469110000001,104,1437701307     ,ARLINGTON MANAGEMENT LLC           ,ARLINGTON RIVERSIDE SENIOR         ,150,4609 ARLINGTON AVE,,RIVERSIDE           ,Riverside,92504,9516844401,33.94641847937,-117.403560790871,Riverside County
-117.258975,34.5485160000001,105,1629684659,ARYA SENIOR CARE HOME LLC          ,ARYA SENIOR CARE HOME              ,6,18554 OLALEE WAY,,APPLE VALLEY        ,San Bernardino,92307,6262414585,34.548465121848,-117.259430640256,San Bernardino County
-117.972792,34.009011,106,1396523510,MORE MORE HOME HEALTH INC,ART OF LIVING SILVERTOWN,6,15431 GARO STREET,,HACIENDA HEIGHTS,LOS ANGELES,91745,213-820-3244,34.008757112153,-117.972906832073,Los Angeles County
-118.5505155,34.19865,107,1568152379,ASSISTED SENIOR CARE FACILITY INC,ASSISTED SENIOR CARE FACILITY,6,7039 CLAIRE AVE,,RESEDA,LOS ANGELES,91335,818-578-5958,34.198650586733,-118.55025230824,Los Angeles County
-117.959553,33.8066460000001,108,1851838379,ARDENT CARE LLC                    ,ARDENT CARE                        ,27,1665 SOUTH BROOKHURST ST,,ANAHEIM             ,Orange,92804,7143965979,33.806646,-117.958959477436,Orange County
-118.644777,34.170192,109,1588356836,"ASSISTED COMFORT HOME, INC.",ASSISTED COMFORT HOME,6,23731 KILLION STREET,,WOODLAND HILLS,LOS ANGELES,91367,818-800-9970,34.170018494604,-118.644639117693,Los Angeles County
-117.68175,33.5933190000001,110,1730873514,ASPEN VILLA,ASPEN VILLA II,6,25411 CHAMPLAIN ROAD,,LAGUNA HILLS,ORANGE,92653,949-648-9205,33.593417068267,-117.681542547896,Orange County
-122.084199,37.992033,111,1871290528,ASTER GARDEN CARE HOME INC,ASTER GARDEN CARE HOME,6,2046 ARNOLD DR,,MARTINEZ,Contra Costa,94553,925-407-7065,37.992247492902,-122.084306036904,Contra Costa County
-117.939699,33.930099,112,1033861372,ASSURED CARE VILLA INC,ASSURED CARE VILLA,6,561 EAST 2ND AVENUE,,LA HABRA,Orange,90631,5627746297,33.929918453806,-117.939699,Orange County
-121.4525655,37.746567,113,1649951328,"ASTORIA GARDENS TRACY LLC; AGEMARK MANAGEMENT LLC",ASTORIA GARDENS,77,1960 WEST LOWELL,,TRACY,SAN JOAQUIN,95376,209-833-2200,37.74699028611,-121.45254990966,San Joaquin County
-119.679327,36.73206,114,1699310425,ATTENTIVE SENIOR CARE II LLC       ,ATTENTIVE SENIOR CARE II LLC       ,6,6149 E LOWE AVE,,FRESNO              ,Fresno,93727,5595156874,36.732276001645,-119.679324820705,Fresno County
-118.131453,34.154703,115,1427795939,ASTORIA PARK SENIOR LIVING LLC,ASTORIA PARK SENIOR LIVING,220,925 EAST VILLA STREET,,PASADENA,Los Angeles,91106,626-796-4303,34.15432296451,-118.131440091869,Los Angeles County
-121.321863,38.6580060000001,116,1053906990     ,AUGUSTUS ELDER CARE HOME LLC       ,AUGUSTUS ELDER CARE HOME LLC       ,6,5105 SCHUYLER DR,,CARMICHAEL          ,Sacramento,95608,9164364533,38.658006,-121.321863,Sacramento County
-119.81214,36.7305210000001,117,1295113819,ATTENTIVE SENIOR CARE LLC          ,ATTENTIVE SENIOR CARE LLC          ,6,36 E. TUOLUMNE,,FRESNO              ,Fresno,93706,5594493566,36.730726440447,-119.812142179295,Fresno County
