name,address,city,province,postal_code,phone,facility_type,capacity,base_price_cad,care_types,data_source,country,currency,collection_date,data_quality,verified,international,expansion_phase
Maple Ridge Retirement Home - Mississauga,3867 Bloor Street,Mississauga,Ontario,L1P 61C,(450) 958-9263,Long-Term Care,258,6916,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512334,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kingston,7064 College Street,Kingston,Ontario,L6B 75V,(403) 757-7402,Long-Term Care,101,7362,"['Memory Care', 'Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512336,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Mississauga,1926 Main Street,Mississauga,Ontario,P2P 28W,(778) 618-5271,Continuing Care,169,7134,"['Independent Living', 'Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512338,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Markham,8102 Bloor Street,Markham,Ontario,M2A 26U,(819) 440-8601,Supportive Living,132,5376,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512339,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Ottawa,877 Bay Street,Ottawa,Ontario,N5F 42F,(403) 847-8499,Assisted Living,280,7528,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512341,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Markham,754 Main Street,Markham,Ontario,L0Z 57B,(647) 259-8110,Long-Term Care,106,5409,"['Long-Term Care', 'Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512343,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - London,1028 Yonge Street,London,Ontario,M3P 40Y,(416) 978-6985,Continuing Care,159,3931,"['Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512345,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Mississauga,5739 Yonge Street,Mississauga,Ontario,P0A 91T,(905) 600-6630,Continuing Care,122,4916,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512346,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Hamilton,3142 Main Street,Hamilton,Ontario,M6N 73H,(587) 319-9578,Long-Term Care,54,7127,"['Memory Care', 'Assisted Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512348,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - London,1551 College Street,London,Ontario,L9U 12W,(825) 145-2892,Long-Term Care,290,6153,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512350,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - London,9286 Queen Street,London,Ontario,K4J 27H,(819) 456-4723,Long-Term Care,225,3610,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512351,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - London,3830 College Street,London,Ontario,N7N 58H,(437) 823-9311,Continuing Care,110,6495,"['Memory Care', 'Long-Term Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512353,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Kitchener,864 Yonge Street,Kitchener,Ontario,M5Q 71K,(579) 723-7284,Long-Term Care,281,6216,"['Memory Care', 'Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512355,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Mississauga,1008 King Street,Mississauga,Ontario,N0A 99C,(416) 673-3806,Independent Living,116,4847,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512356,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Kingston,4466 Bay Street,Kingston,Ontario,L8L 96C,(647) 694-3425,Long-Term Care,106,7749,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512358,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Mississauga,2044 Queen Street,Mississauga,Ontario,L6Y 45I,(905) 319-7097,Long-Term Care,160,6844,"['Assisted Living', 'Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512359,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Brampton,6035 Queen Street,Brampton,Ontario,L9P 09M,(416) 378-2994,Supportive Living,152,4502,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512361,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Ottawa,42 Yonge Street,Ottawa,Ontario,K2I 16F,(416) 960-9658,Retirement Home,118,6472,"['Independent Living', 'Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512362,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Kitchener,814 College Street,Kitchener,Ontario,N5H 19S,(819) 240-4665,Independent Living,115,3522,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512364,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Hamilton,2751 College Street,Hamilton,Ontario,P8B 89V,(236) 877-5458,Long-Term Care,126,3876,"['Assisted Living', 'Long-Term Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512365,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Kingston,4323 Main Street,Kingston,Ontario,P0E 01L,(587) 427-2496,Continuing Care,87,6232,"['Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512367,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Toronto,6874 King Street,Toronto,Ontario,M8Y 90V,(514) 816-2957,Assisted Living,244,4435,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512369,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kingston,3468 Bloor Street,Kingston,Ontario,K0M 20K,(514) 275-9268,Supportive Living,92,4117,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512370,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Toronto,8706 Queen Street,Toronto,Ontario,N7P 82Z,(416) 257-4592,Long-Term Care,50,5683,"['Long-Term Care', 'Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512372,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Kitchener,8296 Yonge Street,Kitchener,Ontario,K5J 59T,(825) 646-2292,Supportive Living,125,6744,"['Assisted Living', 'Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512373,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Brampton,5473 Bloor Street,Brampton,Ontario,M0U 06D,(437) 413-3951,Memory Care,86,3839,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512375,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Windsor,4082 College Street,Windsor,Ontario,L0F 57H,(647) 201-8944,Assisted Living,59,7951,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512377,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Windsor,6665 Queen Street,Windsor,Ontario,M6F 48Q,(579) 568-5228,Supportive Living,167,5431,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512378,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Brampton,9692 King Street,Brampton,Ontario,P7Y 80T,(450) 616-4741,Memory Care,248,5127,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512380,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Markham,3289 Bloor Street,Markham,Ontario,N6G 89S,(403) 681-9479,Long-Term Care,258,5888,"['Long-Term Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512382,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Ottawa,4273 Dundas Street,Ottawa,Ontario,P5Z 19N,(450) 541-4375,Assisted Living,222,5377,"['Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512383,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Hamilton,9957 College Street,Hamilton,Ontario,N7T 53D,(438) 753-2518,Retirement Home,189,6761,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512385,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Toronto,6759 Dundas Street,Toronto,Ontario,N1C 71T,(579) 457-8003,Long-Term Care,235,5468,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512387,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Brampton,9190 Bloor Street,Brampton,Ontario,N5F 41E,(587) 261-6922,Long-Term Care,235,6071,"['Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512388,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Hamilton,5941 College Street,Hamilton,Ontario,N6Q 54H,(365) 645-8230,Memory Care,242,5342,"['Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512390,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Markham,4869 Main Street,Markham,Ontario,P3H 04A,(587) 206-4732,Supportive Living,105,5288,"['Memory Care', 'Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512392,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kingston,7466 Queen Street,Kingston,Ontario,P5A 01Y,(437) 580-5813,Supportive Living,255,6343,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512394,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Hamilton,1037 Queen Street,Hamilton,Ontario,P7I 42V,(403) 940-6567,Independent Living,81,7918,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512395,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Toronto,4399 Yonge Street,Toronto,Ontario,P0X 54U,(365) 244-8063,Assisted Living,191,3575,"['Independent Living', 'Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512397,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - London,2149 Bloor Street,London,Ontario,M3R 34I,(289) 200-8596,Long-Term Care,224,7112,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512399,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kitchener,2079 Dundas Street,Kitchener,Ontario,K1D 47N,(289) 172-7271,Memory Care,170,3629,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512401,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kitchener,2904 Bloor Street,Kitchener,Ontario,P5W 76I,(587) 960-3051,Assisted Living,171,4226,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512402,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Brampton,5393 Main Street,Brampton,Ontario,L9Q 52S,(437) 126-3659,Independent Living,109,7656,"['Long-Term Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512404,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Mississauga,3705 Main Street,Mississauga,Ontario,K9J 17A,(579) 503-7272,Continuing Care,292,4869,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512405,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Kingston,9069 College Street,Kingston,Ontario,K1Q 60B,(289) 146-3799,Memory Care,90,6589,"['Long-Term Care', 'Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512407,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Kitchener,609 Queen Street,Kitchener,Ontario,M0S 94J,(905) 766-3722,Retirement Home,175,6822,"['Long-Term Care', 'Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512409,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Brampton,2058 Yonge Street,Brampton,Ontario,L9G 66J,(437) 353-5071,Retirement Home,120,7310,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512410,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Brampton,4608 Yonge Street,Brampton,Ontario,K2G 70A,(604) 834-8227,Assisted Living,86,7879,"['Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512412,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Windsor,4357 College Street,Windsor,Ontario,M8I 07I,(416) 286-5189,Supportive Living,296,5830,"['Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512413,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Kingston,1461 Dundas Street,Kingston,Ontario,L2X 44T,(604) 429-5132,Supportive Living,158,5309,"['Independent Living', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512460,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Mississauga,2299 College Street,Mississauga,Ontario,K6U 43T,(416) 517-9159,Independent Living,164,3808,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512466,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - London,1881 College Street,London,Ontario,P0M 31X,(905) 503-3713,Memory Care,285,5597,"['Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512468,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - London,5783 College Street,London,Ontario,P6T 93M,(289) 203-4249,Independent Living,289,7244,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512470,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Brampton,7508 Yonge Street,Brampton,Ontario,N3F 18L,(416) 691-9826,Memory Care,280,6299,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512472,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kitchener,5853 Bloor Street,Kitchener,Ontario,N2R 93A,(905) 108-4299,Retirement Home,182,5376,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512474,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Kingston,105 Bloor Street,Kingston,Ontario,N6G 77Q,(437) 668-6556,Independent Living,286,7228,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512476,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Mississauga,2064 King Street,Mississauga,Ontario,L4K 99C,(289) 345-2565,Independent Living,53,5705,"['Independent Living', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512477,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Kitchener,3968 Dundas Street,Kitchener,Ontario,N4X 25O,(587) 593-4388,Retirement Home,100,7162,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512479,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Hamilton,9476 Queen Street,Hamilton,Ontario,N2O 46T,(905) 132-5713,Memory Care,145,7060,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512481,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Toronto,9801 King Street,Toronto,Ontario,K0A 80E,(587) 530-2983,Independent Living,52,7555,"['Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512482,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Toronto,4130 College Street,Toronto,Ontario,M9V 41C,(289) 166-1935,Continuing Care,153,4977,"['Long-Term Care', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512484,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Hamilton,919 Queen Street,Hamilton,Ontario,M1G 56Y,(905) 361-6227,Memory Care,219,4961,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512486,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Ottawa,2041 College Street,Ottawa,Ontario,M2Y 54W,(587) 561-1524,Assisted Living,290,6799,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512488,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Ottawa,9994 Dundas Street,Ottawa,Ontario,L4N 68T,(819) 836-5064,Continuing Care,233,6181,"['Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512489,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Windsor,1324 College Street,Windsor,Ontario,L6S 79J,(289) 974-1839,Retirement Home,60,6933,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512491,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Toronto,9887 Bloor Street,Toronto,Ontario,N4Y 07Q,(647) 448-1824,Independent Living,83,4044,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512493,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Kitchener,477 Bay Street,Kitchener,Ontario,P4Z 07D,(437) 377-3834,Continuing Care,87,6493,"['Long-Term Care', 'Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512495,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kitchener,5753 Dundas Street,Kitchener,Ontario,K6P 20Q,(365) 136-7629,Continuing Care,272,3808,"['Memory Care', 'Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512496,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Mississauga,6508 King Street,Mississauga,Ontario,P3V 61S,(778) 947-6027,Memory Care,163,4182,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512498,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Ottawa,8138 Bay Street,Ottawa,Ontario,L4T 20P,(416) 799-3596,Supportive Living,137,5190,"['Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512500,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Hamilton,9052 Main Street,Hamilton,Ontario,L0M 92H,(365) 613-3428,Assisted Living,80,7403,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512502,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Ottawa,5416 Yonge Street,Ottawa,Ontario,P5F 78C,(587) 404-5410,Continuing Care,136,5087,"['Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512503,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Ottawa,7383 Main Street,Ottawa,Ontario,L5S 26G,(579) 835-3859,Continuing Care,149,5741,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512505,government_sourced,True,True,Canadian_Big_4
