id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
13,Everglades Assisted Living,8382 Lincoln Road,Niceville,Okaloosa,FL,34564,(386) 648-5048,Adult Day Care Center,"Assisted Living, Adult Day Care, Continuing Care, Independent Living",50,FL-ALF-62166,Florida Agency for Health Care Administration,2024-01-07,84,False,True,False,https://www.niceville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.438625,-84.935673
14,Palm Manor,4895 Miracle Mile,Crestview,Okaloosa,FL,33679,(954) 252-2112,Memory Care Community,"Assisted Living, Respite Care, Independent Living",52,FL-ALF-46582,Florida Agency for Health Care Administration,2024-07-12,87,False,False,True,https://www.crestview-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.988559,-83.202152
15,Coastal Care Center,1795 Ocean Drive,Santa Rosa Beach,Walton,FL,33754,(754) 970-1945,Assisted Living Facility,"Respite Care, Skilled Nursing, Assisted Living",125,FL-ALF-87135,Florida Agency for Health Care Administration,2024-05-06,80,True,True,False,https://www.santarosabeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.90193,-81.771592
16,Magnolia Home,1449 Ocean Drive,DeFuniak Springs,Walton,FL,32708,(689) 786-4670,Assisted Living Facility,"Assisted Living, Memory Care, Independent Living, Adult Day Care",42,FL-ALF-48698,Florida Agency for Health Care Administration,2024-06-23,100,False,True,False,https://www.defuniaksprings-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.290722,-86.884096
17,Vista Assisted Living,9345 Collins Avenue,Freeport,Walton,FL,32250,(321) 888-7004,Skilled Nursing Facility,"Continuing Care, Assisted Living",79,FL-ALF-96437,Florida Agency for Health Care Administration,2024-09-14,87,False,True,False,https://www.freeport-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.375956,-83.865793
18,Bay Estates,8719 Collins Avenue,Freeport,Walton,FL,34737,(941) 703-3834,Adult Day Care Center,"Continuing Care, Memory Care, Independent Living",34,FL-ALF-37976,Florida Agency for Health Care Administration,2024-10-13,87,True,False,True,https://www.freeport-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.743968,-82.729014
19,Oaks Retirement Community,8928 Bayshore Drive,Freeport,Walton,FL,34190,(386) 535-6355,Skilled Nursing Facility,"Memory Care, Assisted Living",91,FL-ALF-11743,Florida Agency for Health Care Administration,2024-09-20,89,True,False,True,https://www.freeport-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.994267,-86.964263
20,Everglades Commons,9535 Flagler Street,Ponce de Leon,Holmes,FL,33173,(689) 314-2557,Memory Care Community,"Skilled Nursing, Adult Day Care",35,FL-ALF-79781,Florida Agency for Health Care Administration,2024-12-04,86,True,True,True,https://www.poncedeleon-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.311348,-84.2895
21,Oaks Retirement Community,2972 Bayshore Drive,Esto,Holmes,FL,32940,(561) 305-1474,Memory Care Community,"Memory Care, Independent Living, Adult Day Care",116,FL-ALF-51427,Florida Agency for Health Care Administration,2024-04-10,91,False,False,True,https://www.esto-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.265904,-87.417285
22,Vista Retirement Community,8736 Lincoln Road,Ponce de Leon,Holmes,FL,34931,(863) 560-7465,Continuing Care Retirement Community,"Respite Care, Independent Living",91,FL-ALF-35551,Florida Agency for Health Care Administration,2024-02-27,96,False,True,False,https://www.poncedeleon-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.741128,-81.863016
23,Bay Memory Care,157 Las Olas Boulevard,Ponce de Leon,Holmes,FL,33372,(352) 424-7334,Respite Care Center,"Respite Care, Skilled Nursing, Continuing Care",126,FL-ALF-21762,Florida Agency for Health Care Administration,2024-12-24,83,False,True,True,https://www.poncedeleon-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.870097,-85.582458
24,Springs Senior Living,5070 Gulf Drive,Chipley,Washington,FL,33537,(754) 551-4399,Assisted Living Facility,"Respite Care, Adult Day Care, Assisted Living, Continuing Care",32,FL-ALF-40780,Florida Agency for Health Care Administration,2024-04-20,84,True,True,True,https://www.chipley-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.528505,-82.90573
25,Cypress Residence,7631 Miracle Mile,Chipley,Washington,FL,33802,(561) 972-9237,Assisted Living Facility,"Assisted Living, Skilled Nursing",133,FL-ALF-42640,Florida Agency for Health Care Administration,2024-07-08,95,False,False,True,https://www.chipley-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.895741,-87.565049
26,Crest Memory Care,1845 Biscayne Boulevard,Chipley,Washington,FL,32768,(321) 587-4961,Respite Care Center,"Continuing Care, Independent Living, Adult Day Care",38,FL-ALF-44134,Florida Agency for Health Care Administration,2024-10-27,86,False,True,True,https://www.chipley-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.772493,-81.863047
27,Palm Manor,7104 Bayshore Drive,Caryville,Washington,FL,32151,(689) 457-8664,Adult Family Care Home,"Assisted Living, Independent Living, Respite Care",49,FL-ALF-27011,Florida Agency for Health Care Administration,2024-04-08,92,True,False,True,https://www.caryville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.63633,-80.260703
28,Hibiscus Home,3897 Ocean Drive,Chipley,Washington,FL,32525,(813) 412-4864,Adult Family Care Home,"Adult Day Care, Continuing Care, Assisted Living",41,FL-ALF-59264,Florida Agency for Health Care Administration,2024-08-22,86,True,True,True,https://www.chipley-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.63356,-81.56533
29,Gardens Manor,9868 Federal Highway,Panama City,Bay,FL,33948,(407) 335-3386,Skilled Nursing Facility,"Adult Day Care, Continuing Care, Independent Living, Assisted Living",110,FL-ALF-77554,Florida Agency for Health Care Administration,2024-11-23,83,False,False,True,https://www.panamacity-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.648524,-84.971946
30,Crest Assisted Living,4114 Lincoln Road,Lynn Haven,Bay,FL,32653,(386) 924-8037,Skilled Nursing Facility,"Assisted Living, Continuing Care, Adult Day Care, Memory Care",48,FL-ALF-49471,Florida Agency for Health Care Administration,2024-05-25,83,False,True,False,https://www.lynnhaven-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.159779,-80.312489
31,Crest Retirement Community,6743 Gulf Drive,Callaway,Bay,FL,33203,(850) 420-4316,Respite Care Center,"Memory Care, Continuing Care, Independent Living, Respite Care",26,FL-ALF-92726,Florida Agency for Health Care Administration,2024-11-01,81,False,False,True,https://www.callaway-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.334913,-84.509851
32,Vista Estates,456 Miracle Mile,Lynn Haven,Bay,FL,33231,(786) 642-9009,Assisted Living Facility,"Adult Day Care, Skilled Nursing, Respite Care",125,FL-ALF-26825,Florida Agency for Health Care Administration,2024-07-28,86,True,True,False,https://www.lynnhaven-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.69777,-81.468386
33,Oaks Court,2540 Miracle Mile,Callaway,Bay,FL,34378,(407) 788-8749,Adult Family Care Home,"Continuing Care, Assisted Living",39,FL-ALF-53157,Florida Agency for Health Care Administration,2024-06-04,98,True,True,False,https://www.callaway-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.189304,-87.164869
34,Magnolia Court,324 Bayshore Drive,Lynn Haven,Bay,FL,34546,(904) 376-1878,Continuing Care Retirement Community,"Independent Living, Skilled Nursing",32,FL-ALF-65927,Florida Agency for Health Care Administration,2024-01-23,86,True,True,True,https://www.lynnhaven-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.748241,-84.935569
35,Bay Gardens,5013 Alton Road,Cottondale,Jackson,FL,33639,(904) 485-7914,Skilled Nursing Facility,"Independent Living, Assisted Living, Memory Care",140,FL-ALF-12690,Florida Agency for Health Care Administration,2024-05-19,83,False,True,False,https://www.cottondale-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.993869,-83.09451
36,Grove Retirement Community,1675 Gulf Drive,Marianna,Jackson,FL,34989,(772) 461-4928,Adult Day Care Center,"Independent Living, Assisted Living",100,FL-ALF-53283,Florida Agency for Health Care Administration,2024-03-23,97,False,True,False,https://www.marianna-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.663685,-80.975618
37,Gardens Home,3558 Atlantic Avenue,Cottondale,Jackson,FL,33851,(786) 594-9712,Respite Care Center,"Continuing Care, Adult Day Care, Assisted Living, Respite Care",43,FL-ALF-75870,Florida Agency for Health Care Administration,2024-11-23,82,True,False,False,https://www.cottondale-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.103527,-83.871227
38,Cottondale Commons,5459 Washington Avenue,Cottondale,Jackson,FL,33779,(352) 908-2523,Respite Care Center,"Skilled Nursing, Independent Living, Respite Care, Continuing Care",138,FL-ALF-42619,Florida Agency for Health Care Administration,2024-02-19,82,True,False,False,https://www.cottondale-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.829579,-84.787186
39,Coastal Village,2848 Tamiami Trail,Cottondale,Jackson,FL,34448,(850) 483-6206,Respite Care Center,"Respite Care, Continuing Care",119,FL-ALF-68726,Florida Agency for Health Care Administration,2024-12-28,97,True,False,True,https://www.cottondale-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.040305,-86.009087
40,Magnolia Memory Care,907 Bayshore Drive,Blountstown,Calhoun,FL,34138,(813) 502-6430,Memory Care Community,"Assisted Living, Skilled Nursing, Independent Living, Respite Care",116,FL-ALF-29868,Florida Agency for Health Care Administration,2024-06-12,95,False,False,True,https://www.blountstown-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.16514,-82.680805
41,Oaks Center,3380 Las Olas Boulevard,Altha,Calhoun,FL,32290,(727) 606-6242,Assisted Living Facility,"Respite Care, Memory Care, Independent Living, Skilled Nursing",129,FL-ALF-32537,Florida Agency for Health Care Administration,2024-10-07,85,True,False,True,https://www.altha-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.74642,-82.040937
42,Hibiscus House,867 Park Avenue,Blountstown,Calhoun,FL,33380,(352) 443-7197,Skilled Nursing Facility,"Respite Care, Skilled Nursing, Independent Living",36,FL-ALF-89245,Florida Agency for Health Care Administration,2024-11-09,81,True,True,False,https://www.blountstown-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.122902,-81.129569
43,Clarksville Court,4351 Park Avenue,Clarksville,Calhoun,FL,33234,(954) 488-9545,Respite Care Center,"Skilled Nursing, Respite Care, Independent Living",26,FL-ALF-88518,Florida Agency for Health Care Administration,2024-11-01,76,False,True,True,https://www.clarksville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.616499,-81.434416
44,Altha Plaza,4756 Lincoln Road,Altha,Calhoun,FL,33807,(689) 600-6357,Assisted Living Facility,"Memory Care, Assisted Living",61,FL-ALF-11949,Florida Agency for Health Care Administration,2024-08-26,91,False,False,False,https://www.altha-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.044817,-80.017173
45,Everglades Care Center,6889 Flagler Street,Altha,Calhoun,FL,33294,(904) 542-6705,Respite Care Center,"Memory Care, Continuing Care",75,FL-ALF-58766,Florida Agency for Health Care Administration,2024-09-28,78,False,False,False,https://www.altha-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.668321,-82.69962
46,Port St. Joe Center,2149 Federal Highway,Port St. Joe,Gulf,FL,34335,(321) 817-4316,Independent Living Community,"Adult Day Care, Assisted Living, Respite Care",88,FL-ALF-73473,Florida Agency for Health Care Administration,2024-03-22,88,False,False,False,https://www.portst.joe-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.015696,-85.33138
47,Springs Gardens,5601 Miracle Mile,Port St. Joe,Gulf,FL,32525,(386) 298-5339,Adult Day Care Center,"Respite Care, Memory Care",46,FL-ALF-17372,Florida Agency for Health Care Administration,2024-04-06,91,False,False,True,https://www.portst.joe-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.366717,-81.457236
48,Magnolia Center,5873 Washington Avenue,Port St. Joe,Gulf,FL,33911,(754) 978-4111,Assisted Living Facility,"Assisted Living, Adult Day Care, Independent Living, Respite Care",66,FL-ALF-93136,Florida Agency for Health Care Administration,2024-09-11,91,False,False,False,https://www.portst.joe-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.892776,-84.388055
49,Crest House,5037 Flagler Street,Mexico Beach,Gulf,FL,34574,(941) 756-1492,Skilled Nursing Facility,"Independent Living, Assisted Living",84,FL-ALF-74375,Florida Agency for Health Care Administration,2024-06-01,90,True,False,True,https://www.mexicobeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.575555,-84.057578
50,Coastal Care Center,2946 Bayshore Drive,Mexico Beach,Gulf,FL,34121,(727) 839-8580,Adult Day Care Center,"Assisted Living, Skilled Nursing",129,FL-ALF-56381,Florida Agency for Health Care Administration,2024-01-14,85,False,True,True,https://www.mexicobeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.316877,-84.521413
51,Mexico Beach Court,8527 Collins Avenue,Mexico Beach,Gulf,FL,32570,(813) 247-4020,Adult Family Care Home,"Memory Care, Assisted Living, Adult Day Care",92,FL-ALF-40411,Florida Agency for Health Care Administration,2024-11-18,80,True,False,False,https://www.mexicobeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.934728,-84.557859
52,Springs Retirement Community,1179 Washington Avenue,Apalachicola,Franklin,FL,32102,(904) 614-5312,Respite Care Center,"Independent Living, Skilled Nursing",64,FL-ALF-19189,Florida Agency for Health Care Administration,2024-02-08,81,False,False,False,https://www.apalachicola-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.412114,-80.966968
53,Franklin Care Center,4371 Collins Avenue,Eastpoint,Franklin,FL,33372,(407) 284-2155,Assisted Living Facility,"Continuing Care, Assisted Living, Respite Care",25,FL-ALF-30191,Florida Agency for Health Care Administration,2024-06-24,90,False,True,False,https://www.eastpoint-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.791185,-83.495764
54,Apalachicola Residence,7200 Federal Highway,Apalachicola,Franklin,FL,32513,(850) 864-7921,Adult Day Care Center,"Continuing Care, Adult Day Care",126,FL-ALF-84057,Florida Agency for Health Care Administration,2024-03-05,87,False,False,True,https://www.apalachicola-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.849745,-81.186222
55,Eastpoint Center,4559 Lincoln Road,Eastpoint,Franklin,FL,33381,(386) 658-8979,Skilled Nursing Facility,"Assisted Living, Continuing Care, Memory Care",143,FL-ALF-33575,Florida Agency for Health Care Administration,2024-06-10,92,True,False,False,https://www.eastpoint-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.718226,-87.438985
56,Magnolia Estates,3623 Park Avenue,Telogia,Liberty,FL,34885,(813) 214-6913,Continuing Care Retirement Community,"Independent Living, Adult Day Care, Respite Care, Continuing Care",92,FL-ALF-14789,Florida Agency for Health Care Administration,2024-04-07,78,True,False,False,https://www.telogia-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.171659,-80.036015
57,Hibiscus Center,8115 Gulf Drive,Hosford,Liberty,FL,34687,(321) 446-5081,Independent Living Community,"Skilled Nursing, Assisted Living, Independent Living",35,FL-ALF-31878,Florida Agency for Health Care Administration,2024-01-27,85,True,False,False,https://www.hosford-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.533599,-84.274731
58,Cypress Memory Care,279 Flagler Street,Bristol,Liberty,FL,34396,(352) 200-3775,Adult Family Care Home,"Continuing Care, Independent Living, Memory Care",83,FL-ALF-64486,Florida Agency for Health Care Administration,2024-12-20,77,False,True,False,https://www.bristol-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.293243,-82.92387
59,Havana Commons,473 Coral Way,Havana,Gadsden,FL,33125,(813) 705-7835,Skilled Nursing Facility,"Skilled Nursing, Continuing Care, Respite Care",38,FL-ALF-65083,Florida Agency for Health Care Administration,2024-08-20,91,True,False,True,https://www.havana-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.936959,-81.585856
60,Gadsden Gardens,9024 Collins Avenue,Havana,Gadsden,FL,32533,(786) 696-4362,Memory Care Community,"Independent Living, Memory Care",33,FL-ALF-18989,Florida Agency for Health Care Administration,2024-06-18,100,True,False,False,https://www.havana-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.053936,-82.561025
61,Gadsden Center,5600 Lincoln Road,Chattahoochee,Gadsden,FL,32533,(407) 321-4908,Skilled Nursing Facility,"Continuing Care, Skilled Nursing, Adult Day Care",58,FL-ALF-52544,Florida Agency for Health Care Administration,2024-05-13,78,True,True,False,https://www.chattahoochee-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.227237,-85.2402
62,Crest Village,5716 Flagler Street,Quincy,Gadsden,FL,33935,(386) 963-8287,Adult Day Care Center,"Continuing Care, Skilled Nursing",31,FL-ALF-76772,Florida Agency for Health Care Administration,2024-03-22,95,True,False,False,https://www.quincy-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.497776,-81.075977
63,Palms Memory Care,7584 Bayshore Drive,Quincy,Gadsden,FL,34306,(321) 960-9185,Assisted Living Facility,"Independent Living, Continuing Care, Adult Day Care, Assisted Living",55,FL-ALF-89177,Florida Agency for Health Care Administration,2024-10-10,93,False,False,True,https://www.quincy-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.037434,-87.205805
64,Sunshine Senior Living,4443 Tamiami Trail,Woodville,Leon,FL,33354,(754) 974-1545,Adult Family Care Home,"Independent Living, Adult Day Care",40,FL-ALF-65918,Florida Agency for Health Care Administration,2024-01-03,81,True,True,False,https://www.woodville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.066919,-87.520998
65,Harbor Retirement Community,2253 Ocean Drive,Woodville,Leon,FL,34424,(772) 640-7651,Memory Care Community,"Skilled Nursing, Memory Care",120,FL-ALF-51357,Florida Agency for Health Care Administration,2024-04-10,76,True,False,False,https://www.woodville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.467525,-80.192789
66,Bradfordville Assisted Living,3939 Tamiami Trail,Bradfordville,Leon,FL,33739,(352) 772-7319,Assisted Living Facility,"Memory Care, Respite Care",52,FL-ALF-14498,Florida Agency for Health Care Administration,2024-01-04,75,False,True,True,https://www.bradfordville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.62081,-86.644985
67,Hibiscus Manor,9784 Federal Highway,Sopchoppy,Wakulla,FL,32230,(863) 455-6490,Adult Family Care Home,"Adult Day Care, Independent Living",123,FL-ALF-91158,Florida Agency for Health Care Administration,2024-08-12,94,False,False,False,https://www.sopchoppy-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.281789,-85.26323
68,Bay Gardens,2497 Lincoln Road,Crawfordville,Wakulla,FL,33425,(850) 742-8496,Skilled Nursing Facility,"Independent Living, Continuing Care",85,FL-ALF-60366,Florida Agency for Health Care Administration,2024-03-24,79,False,True,False,https://www.crawfordville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.604292,-80.999636
69,Harbor Assisted Living,6373 Lincoln Road,Crawfordville,Wakulla,FL,33361,(352) 846-2796,Skilled Nursing Facility,"Adult Day Care, Assisted Living, Respite Care",44,FL-ALF-88779,Florida Agency for Health Care Administration,2024-07-12,82,True,True,True,https://www.crawfordville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.042437,-83.938692
70,Crawfordville Center,2215 Ocean Drive,Crawfordville,Wakulla,FL,34365,(904) 993-5385,Respite Care Center,"Adult Day Care, Respite Care, Independent Living",55,FL-ALF-31189,Florida Agency for Health Care Administration,2024-06-28,76,True,True,True,https://www.crawfordville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.898126,-80.44434
71,Grove Manor,5395 Gulf Drive,Sopchoppy,Wakulla,FL,32901,(561) 240-4604,Assisted Living Facility,"Independent Living, Continuing Care, Adult Day Care, Respite Care",101,FL-ALF-53760,Florida Agency for Health Care Administration,2024-08-21,93,True,False,False,https://www.sopchoppy-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.779449,-82.621661
72,Golden Assisted Living,2939 Washington Avenue,Crawfordville,Wakulla,FL,33946,(407) 688-5783,Continuing Care Retirement Community,"Adult Day Care, Respite Care, Independent Living, Memory Care",121,FL-ALF-20264,Florida Agency for Health Care Administration,2024-06-04,81,True,False,True,https://www.crawfordville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.468745,-81.671
73,Bay Assisted Living,8437 Atlantic Avenue,Monticello,Jefferson,FL,32369,(352) 571-9806,Adult Family Care Home,"Continuing Care, Independent Living, Respite Care",127,FL-ALF-28519,Florida Agency for Health Care Administration,2024-03-24,80,False,True,False,https://www.monticello-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.241457,-80.782559
74,Monticello Court,3185 Tamiami Trail,Monticello,Jefferson,FL,33796,(954) 725-6858,Assisted Living Facility,"Continuing Care, Memory Care, Assisted Living, Independent Living",144,FL-ALF-59386,Florida Agency for Health Care Administration,2024-08-22,81,False,False,True,https://www.monticello-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.781713,-85.402086
75,Wacissa Gardens,4309 Ocean Drive,Wacissa,Jefferson,FL,33257,(904) 966-8184,Independent Living Community,"Memory Care, Respite Care, Independent Living, Continuing Care",112,FL-ALF-70742,Florida Agency for Health Care Administration,2024-05-06,98,False,True,False,https://www.wacissa-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.874644,-84.443029
76,Cypress Manor,1128 Federal Highway,Wacissa,Jefferson,FL,32225,(850) 743-6127,Adult Family Care Home,"Independent Living, Adult Day Care, Respite Care, Assisted Living",61,FL-ALF-70556,Florida Agency for Health Care Administration,2024-05-03,98,True,True,False,https://www.wacissa-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.99955,-82.769049
77,Taylor House,235 Ocean Drive,Keaton Beach,Taylor,FL,34232,(352) 565-8638,Memory Care Community,"Continuing Care, Respite Care, Memory Care",90,FL-ALF-52189,Florida Agency for Health Care Administration,2024-02-04,99,False,True,True,https://www.keatonbeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.65496,-84.476502
78,Taylor Memory Care,4076 Collins Avenue,Keaton Beach,Taylor,FL,33586,(689) 273-7868,Assisted Living Facility,"Independent Living, Adult Day Care, Assisted Living, Memory Care",38,FL-ALF-25761,Florida Agency for Health Care Administration,2024-05-25,94,True,False,True,https://www.keatonbeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.212834,-83.055264
79,Steinhatchee Home,6700 Las Olas Boulevard,Steinhatchee,Taylor,FL,32544,(954) 442-6932,Skilled Nursing Facility,"Independent Living, Skilled Nursing, Memory Care, Continuing Care",48,FL-ALF-78064,Florida Agency for Health Care Administration,2024-09-09,96,False,True,True,https://www.steinhatchee-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.293138,-84.121904
