id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Razorback Manor,1000 Main Street,DeWitt,Arkansas,AR,71001,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80001,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.arkansas-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.1764,-91.37540000000001
19,Fort Smith Village,1600 Fayetteville Boulevard,Bentonville,Benton,AR,71019,(507) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,AR-ALF-80019,Arkansas Department of Health,2024-09-07,81,True,True,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3797,-94.1888
20,Jonesboro Commons,1700 Fort Smith Drive,Bentonville,Benton,AR,71020,(508) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,AR-ALF-80020,Arkansas Department of Health,2024-10-08,82,False,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.389700000000005,-94.1788
21,Springdale Manor,1800 Jonesboro Street,Bentonville,Benton,AR,71021,(509) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,AR-ALF-80021,Arkansas Department of Health,2024-11-09,83,False,True,True,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3997,-94.2488
22,Rogers Village,1900 Springdale Avenue,Bentonville,Benton,AR,71022,(510) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,AR-ALF-80022,Arkansas Department of Health,2024-03-10,84,True,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.4097,-94.2388
23,Conway Commons,2000 Rogers Boulevard,Bentonville,Benton,AR,71023,(511) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,AR-ALF-80023,Arkansas Department of Health,2024-04-11,85,False,True,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.319700000000005,-94.22879999999999
24,Bentonville Manor,2100 Conway Drive,Bentonville,Benton,AR,71024,(512) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,AR-ALF-80024,Arkansas Department of Health,2024-05-12,86,False,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3297,-94.2188
25,Hot Springs Village,2200 Bentonville Street,Bentonville,Benton,AR,71025,(513) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,AR-ALF-80025,Arkansas Department of Health,2024-06-13,87,True,True,True,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3397,-94.2088
26,Pine Bluff Commons,2300 Hot Springs Avenue,Bentonville,Benton,AR,71026,(514) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,AR-ALF-80026,Arkansas Department of Health,2024-07-14,88,False,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3497,-94.19879999999999
27,Texarkana Manor,2400 Pine Bluff Boulevard,Bentonville,Benton,AR,71027,(515) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,AR-ALF-80027,Arkansas Department of Health,2024-08-15,89,False,True,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.359700000000004,-94.1888
28,Razorback Manor,1000 Main Street,Harrison,Boone,AR,71028,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80028,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.boone-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.1764,-93.17540000000001
29,Natural State Village,1100 Arkansas Avenue,Harrison,Boone,AR,71029,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80029,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.boone-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.1864,-93.1654
30,Ozark Mountain Commons,1200 Razorback Boulevard,Harrison,Boone,AR,71030,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80030,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.boone-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.1964,-93.1554
31,Arkansas River Village,1300 Natural State Drive,Harrison,Boone,AR,71031,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80031,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.boone-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.206399999999995,-93.14540000000001
32,Razorback Manor,1000 Main Street,Warren,Bradley,AR,71032,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80032,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.bradley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.3264,-92.0754
33,Natural State Village,1100 Arkansas Avenue,Warren,Bradley,AR,71033,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80033,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.bradley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.3364,-92.0654
34,Ozark Mountain Commons,1200 Razorback Boulevard,Warren,Bradley,AR,71034,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80034,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.bradley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.346399999999996,-92.05539999999999
35,Arkansas River Village,1300 Natural State Drive,Warren,Bradley,AR,71035,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80035,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.bradley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.356399999999994,-92.0454
36,Razorback Manor,1000 Main Street,Hampton,Calhoun,AR,71036,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80036,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.calhoun-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.5764,-92.67540000000001
37,Natural State Village,1100 Arkansas Avenue,Hampton,Calhoun,AR,71037,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80037,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.calhoun-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.5864,-92.6654
38,Ozark Mountain Commons,1200 Razorback Boulevard,Hampton,Calhoun,AR,71038,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80038,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.calhoun-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.596399999999996,-92.6554
39,Arkansas River Village,1300 Natural State Drive,Hampton,Calhoun,AR,71039,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80039,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.calhoun-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.606399999999994,-92.64540000000001
40,Razorback Manor,1000 Main Street,Berryville,Carroll,AR,71040,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80040,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.carroll-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.376400000000004,-93.5754
41,Natural State Village,1100 Arkansas Avenue,Berryville,Carroll,AR,71041,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80041,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.carroll-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3864,-93.5654
42,Ozark Mountain Commons,1200 Razorback Boulevard,Berryville,Carroll,AR,71042,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80042,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.carroll-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3964,-93.55539999999999
43,Arkansas River Village,1300 Natural State Drive,Berryville,Carroll,AR,71043,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80043,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.carroll-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.4064,-93.5454
44,Razorback Manor,1000 Main Street,Lake Village,Chicot,AR,71044,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80044,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.chicot-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.2764,-91.2754
45,Natural State Village,1100 Arkansas Avenue,Lake Village,Chicot,AR,71045,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80045,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.chicot-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.2864,-91.2654
46,Ozark Mountain Commons,1200 Razorback Boulevard,Lake Village,Chicot,AR,71046,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80046,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.chicot-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.2964,-91.2554
47,Arkansas River Village,1300 Natural State Drive,Lake Village,Chicot,AR,71047,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80047,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.chicot-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.3064,-91.2454
48,Razorback Manor,1000 Main Street,Arkadelphia,Clark,AR,71048,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80048,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.clark-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.0764,-93.0754
49,Natural State Village,1100 Arkansas Avenue,Arkadelphia,Clark,AR,71049,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80049,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.clark-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.0864,-93.0654
50,Ozark Mountain Commons,1200 Razorback Boulevard,Arkadelphia,Clark,AR,71050,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80050,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.clark-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.096399999999996,-93.05539999999999
51,Arkansas River Village,1300 Natural State Drive,Arkadelphia,Clark,AR,71051,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80051,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.clark-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.106399999999994,-93.0454
52,Razorback Manor,1000 Main Street,Corning,Clay,AR,71052,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80052,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.clay-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3264,-90.5754
53,Natural State Village,1100 Arkansas Avenue,Corning,Clay,AR,71053,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80053,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.clay-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3364,-90.5654
54,Ozark Mountain Commons,1200 Razorback Boulevard,Corning,Clay,AR,71054,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80054,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.clay-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.346399999999996,-90.55539999999999
55,Arkansas River Village,1300 Natural State Drive,Corning,Clay,AR,71055,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80055,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.clay-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.356399999999994,-90.5454
56,Razorback Manor,1000 Main Street,Heber Springs,Cleburne,AR,71056,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80056,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.cleburne-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.4264,-92.0754
57,Natural State Village,1100 Arkansas Avenue,Heber Springs,Cleburne,AR,71057,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80057,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.cleburne-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.4364,-92.0654
58,Ozark Mountain Commons,1200 Razorback Boulevard,Heber Springs,Cleburne,AR,71058,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80058,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.cleburne-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.4464,-92.05539999999999
59,Arkansas River Village,1300 Natural State Drive,Heber Springs,Cleburne,AR,71059,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80059,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.cleburne-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.456399999999995,-92.0454
60,Razorback Manor,1000 Main Street,Rison,Cleveland,AR,71060,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80060,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.cleveland-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.876400000000004,-92.17540000000001
61,Natural State Village,1100 Arkansas Avenue,Rison,Cleveland,AR,71061,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80061,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.cleveland-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.8864,-92.1654
62,Ozark Mountain Commons,1200 Razorback Boulevard,Rison,Cleveland,AR,71062,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80062,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.cleveland-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.8964,-92.1554
63,Arkansas River Village,1300 Natural State Drive,Rison,Cleveland,AR,71063,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80063,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.cleveland-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.9064,-92.14540000000001
64,Razorback Manor,1000 Main Street,Magnolia,Columbia,AR,71064,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80064,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.columbia-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.1764,-93.2754
65,Natural State Village,1100 Arkansas Avenue,Magnolia,Columbia,AR,71065,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80065,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.columbia-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.1864,-93.2654
66,Ozark Mountain Commons,1200 Razorback Boulevard,Magnolia,Columbia,AR,71066,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80066,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.columbia-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.1964,-93.2554
67,Arkansas River Village,1300 Natural State Drive,Magnolia,Columbia,AR,71067,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80067,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.columbia-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.206399999999995,-93.2454
68,Razorback Manor,1000 Main Street,Morrilton,Conway,AR,71068,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80068,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.conway-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.0264,-92.47540000000001
69,Natural State Village,1100 Arkansas Avenue,Morrilton,Conway,AR,71069,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80069,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.conway-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.0364,-92.4654
70,Ozark Mountain Commons,1200 Razorback Boulevard,Morrilton,Conway,AR,71070,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80070,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.conway-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.0464,-92.4554
71,Arkansas River Village,1300 Natural State Drive,Morrilton,Conway,AR,71071,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80071,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.conway-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.0564,-92.4454
72,Razorback Manor,1000 Main Street,Jonesboro,Craighead,AR,71072,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80072,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.784400000000005,-90.74430000000001
73,Natural State Village,1100 Arkansas Avenue,Jonesboro,Craighead,AR,71073,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80073,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.7944,-90.7343
74,Ozark Mountain Commons,1200 Razorback Boulevard,Jonesboro,Craighead,AR,71074,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80074,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.8044,-90.7243
75,Arkansas River Village,1300 Natural State Drive,Jonesboro,Craighead,AR,71075,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80075,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.8144,-90.71430000000001
76,Little Rock Commons,1400 Ozark Street,Jonesboro,Craighead,AR,71076,(505) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,AR-ALF-80076,Arkansas Department of Health,2024-07-05,79,False,True,True,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.824400000000004,-90.7043
77,Fayetteville Manor,1500 Little Rock Avenue,Jonesboro,Craighead,AR,71077,(506) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,AR-ALF-80077,Arkansas Department of Health,2024-08-06,80,False,False,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.8344,-90.6943
78,Fort Smith Village,1600 Fayetteville Boulevard,Jonesboro,Craighead,AR,71078,(507) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,AR-ALF-80078,Arkansas Department of Health,2024-09-07,81,True,True,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.8444,-90.68430000000001
79,Jonesboro Commons,1700 Fort Smith Drive,Jonesboro,Craighead,AR,71079,(508) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,AR-ALF-80079,Arkansas Department of Health,2024-10-08,82,False,False,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.854400000000005,-90.6743
80,Springdale Manor,1800 Jonesboro Street,Jonesboro,Craighead,AR,71080,(509) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,AR-ALF-80080,Arkansas Department of Health,2024-11-09,83,False,True,True,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.8644,-90.74430000000001
81,Rogers Village,1900 Springdale Avenue,Jonesboro,Craighead,AR,71081,(510) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,AR-ALF-80081,Arkansas Department of Health,2024-03-10,84,True,False,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.8744,-90.7343
82,Conway Commons,2000 Rogers Boulevard,Jonesboro,Craighead,AR,71082,(511) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,AR-ALF-80082,Arkansas Department of Health,2024-04-11,85,False,True,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.784400000000005,-90.7243
83,Bentonville Manor,2100 Conway Drive,Jonesboro,Craighead,AR,71083,(512) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,AR-ALF-80083,Arkansas Department of Health,2024-05-12,86,False,False,False,https://www.craighead-senior-living.com,Active,Arkansas Department of Health,2025-07-17,35.7944,-90.71430000000001
