provider_name,facility_type,address,city,state,phone,license_number,license_status,ownership_type,services,care_category,county,source_url,scraped_date
Burke Homestead Senior Care,Senior Care Home,596 Highway,Burke,TX,(346) 680-1168,ALF88392,Active - Good Standing,Non-Profit,"Residential Care, Companionship",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280739
Angelina County Senior Living,Senior Care Home,228 Main Street,Huntington,TX,(325) 644-2248,PCH17109,Active,Non-Profit,"Residential Care, Companionship",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280747
Angelina County Care Home,Senior Care Home,307 Old Town Road,Huntington,TX,(214) 917-6345,CCH45923,Active,Community-Owned,"Senior Care, Meal Services",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280755
Hudson Care Home,Community Care Center,334 Mill Street,Hudson,TX,(903) 713-4415,RC52266,Licensed,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280763
Hudson Quiet Senior Care,Personal Care Home,105 County Road,Hudson,TX,(430) 989-5634,ALF45116,Licensed,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280771
Fulton Senior Living,Community Care Center,110 Farm Road,Fulton,TX,(346) 561-1021,ALF31695,Active - Good Standing,Private,"Personal Care, Transportation",Assisted Living,Aransas,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280781
Historic Aransas Senior Living,Residential Care Facility,849 Creek Road,Fulton,TX,(979) 678-2194,RC93773,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Aransas,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280789
Fulton Care Home,Senior Care Home,465 Highway,Fulton,TX,(361) 512-1703,PCH68921,Active - Good Standing,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Aransas,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280798
Aransas Pass Senior Living,Community Care Center,967 Second Street,Aransas Pass,TX,(281) 591-5419,RC14945,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Aransas,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280806
Hometown Family Care,Assisted Living Facility,740 Farm Road,Copano Village,TX,(903) 902-2131,ALF44651,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Aransas,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280813
Windthorst Heritage Family Care,Family Care Home,297 Hill Road,Windthorst,TX,(945) 848-5275,ASL77725,Active - Good Standing,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Archer,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280822
Local Archer Care Center,Residential Care Facility,311 Ranch Road,Holliday,TX,(254) 489-8003,ALF79481,Licensed,Community-Owned,"Personal Care, Transportation",Assisted Living,Archer,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280831
Megargel Care Facility,Family Care Home,800 Elm Street,Megargel,TX,(430) 366-5244,RC81153,Licensed,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Archer,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280843
Village Archer Assisted Care,Community Care Center,615 Old Town Road,Megargel,TX,(254) 693-3493,RC29848,Active - Good Standing,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Archer,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280851
Wayside Care Home,Senior Care Home,779 Old Town Road,Wayside,TX,(409) 375-2596,PCH57836,Active,Non-Profit,"Residential Care, Companionship",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280861
Heritage Senior Services,Senior Care Home,664 State Highway,Wayside,TX,(469) 641-2055,ASL44709,Licensed,Family-Owned,"Senior Care, Meal Services",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280869
Claude Assisted Care,Personal Care Home,195 Elm Street,Claude,TX,(979) 601-1183,CCH72581,Licensed,Community-Owned,"Residential Care, Companionship",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280878
Wayside Local Senior Living,Residential Care Facility,228 State Highway,Wayside,TX,(806) 759-8582,CCH30517,Active - Good Standing,Community-Owned,"Personal Care, Transportation",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280886
Wayside Pioneer Senior Care,Family Care Home,754 Ranch Road,Wayside,TX,(915) 255-7001,LTC15025,Active - Good Standing,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280895
Claude Care Services,Family Care Home,467 Market Street,Claude,TX,(806) 479-9180,LTC40795,Active - Good Standing,Private,"Personal Care, Transportation",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280903
Armstrong County Senior Services,Personal Care Home,806 Farm Road,Goodnight,TX,(945) 235-3748,RC48635,Active - Good Standing,Family-Owned,"Residential Care, Companionship",Assisted Living,Armstrong,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280911
Atascosa County Home Care,Personal Care Home,773 Market Street,Lytle,TX,(903) 582-8477,RC66319,Active - Good Standing,Community-Owned,"Senior Care, Meal Services",Assisted Living,Atascosa,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280920
Small Town Living Center,Senior Care Home,910 Second Street,Pleasanton,TX,(979) 669-1767,ASL91198,Licensed,Private,"Assisted Living, Medication Management",Assisted Living,Atascosa,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280928
Lytle Senior Services,Senior Care Home,137 Creek Road,Lytle,TX,(254) 245-9436,CCH19964,Active - Good Standing,Family-Owned,"Residential Care, Companionship",Assisted Living,Atascosa,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280949
Ridge Senior Care,Assisted Living Facility,877 Ranch Road,Poteet,TX,(346) 244-4717,CCH70494,Active - Good Standing,Private,"Assisted Living, Personal Care",Assisted Living,Atascosa,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280958
Lytle Residential Care,Family Care Home,627 Old Town Road,Lytle,TX,(832) 468-4273,ASL36200,Licensed,Family-Owned,"Residential Care, Companionship",Assisted Living,Atascosa,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280965
Lytle Residential Care,Senior Care Home,688 Main Street,Lytle,TX,(214) 612-6838,RC84858,Licensed,Non-Profit,"Personal Care, Transportation",Assisted Living,Atascosa,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280973
Industry Senior Home,Residential Care Facility,127 Church Street,Industry,TX,(469) 280-5655,RC31520,Active,Non-Profit,"Personal Care, Transportation",Assisted Living,Austin,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280994
Austin County Residential Care,Senior Care Home,344 Oak Street,Cat Spring,TX,(713) 344-8722,CCH62399,Active,Community-Owned,"Senior Care, Meal Services",Assisted Living,Austin,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281003
Lake Austin Assisted Care,Community Care Center,341 Creek Road,Industry,TX,(806) 205-8745,RC77997,Active,Private,"Residential Care, Companionship",Assisted Living,Austin,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281012
Local Bailey Personal Care,Assisted Living Facility,365 Oak Street,Enochs,TX,(806) 851-7535,PCH80484,Licensed,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Bailey,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281022
Bailey County Community Care,Senior Care Home,400 Highway,Needmore,TX,(409) 286-9845,LTC18976,Licensed,Non-Profit,"Personal Care, Transportation",Assisted Living,Bailey,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281030
Bailey County Senior Living,Personal Care Home,110 Hill Road,Muleshoe,TX,(832) 555-2315,PCH12068,Licensed,Community-Owned,"Personal Care, Transportation",Assisted Living,Bailey,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281038
Quiet Living Center,Residential Care Facility,565 Ranch Road,Bandera,TX,(361) 797-4598,ASL81587,Active - Good Standing,Private,"Personal Care, Transportation",Assisted Living,Bandera,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281046
Pioneer Bandera Senior Home,Assisted Living Facility,244 Main Street,Tarpley,TX,(979) 701-8391,PCH72732,Licensed,Private,"Personal Care, Transportation",Assisted Living,Bandera,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281057
Homestead Bandera Care Center,Community Care Center,571 State Highway,Bandera,TX,(830) 924-1297,CCH10464,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Bandera,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281065
Frontier Home Care,Community Care Center,892 Elm Street,Pipe Creek,TX,(512) 848-5238,RC31733,Active - Good Standing,Family-Owned,"Residential Care, Companionship",Assisted Living,Bandera,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281073
Tarpley Tranquil Family Care,Community Care Center,322 Pine Street,Tarpley,TX,(254) 500-2869,PCH65981,Active,Community-Owned,"Residential Care, Companionship",Assisted Living,Bandera,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281082
Lake Care Home,Community Care Center,300 Ranch Road,Pipe Creek,TX,(281) 638-3540,LTC11180,Active,Private,"Assisted Living, Personal Care",Assisted Living,Bandera,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281090
Bastrop County Family Care,Residential Care Facility,152 Elm Street,Elgin,TX,(945) 235-8386,ALF72556,Licensed,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Bastrop,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281099
Smithville Settlement Senior Home,Senior Care Home,827 Farm Road,Smithville,TX,(361) 983-6021,LTC99213,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Bastrop,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281107
Family Bastrop Care Center,Senior Care Home,325 Market Street,Smithville,TX,(956) 329-1578,PCH38623,Active,Private,"Residential Care, Companionship",Assisted Living,Bastrop,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281115
Smithville Home Care,Personal Care Home,591 Third Street,Smithville,TX,(409) 776-8137,CCH54593,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Bastrop,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281123
Ridge Baylor Living Center,Assisted Living Facility,205 Market Street,Bomarton,TX,(903) 682-5111,ASL59287,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281132
Frontier Baylor Personal Care,Residential Care Facility,506 Ranch Road,Goree,TX,(281) 236-1464,RC94389,Active - Good Standing,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281278
Knox City Ridge Care Facility,Residential Care Facility,561 Elm Street,Knox City,TX,(361) 405-2219,ALF49130,Active,Non-Profit,"Personal Care, Transportation",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281287
Meadow Baylor Senior Home,Residential Care Facility,689 Ranch Road,Knox City,TX,(512) 550-4493,ASL75746,Active,Community-Owned,"Senior Care, Meal Services",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281298
Baylor County Care Center,Residential Care Facility,637 Highway,Knox City,TX,(915) 526-8749,PCH46138,Licensed,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281329
Knox City Creek Living Center,Assisted Living Facility,508 County Road,Knox City,TX,(214) 317-4277,PCH56656,Active - Good Standing,Non-Profit,"Residential Care, Companionship",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281338
Bomarton Care Services,Senior Care Home,544 Old Town Road,Bomarton,TX,(915) 501-4078,CCH71968,Licensed,Private,"Senior Care, Meal Services",Assisted Living,Baylor,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281345
Pettus Hill Care Facility,Senior Care Home,927 Mill Street,Pettus,TX,(979) 825-7436,LTC53911,Active,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Bee,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281355
Pioneer Bee Care Facility,Family Care Home,847 Market Street,Pettus,TX,(346) 776-3950,LTC87236,Licensed,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Bee,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281363
Pettus Living Center,Family Care Home,300 Mill Street,Pettus,TX,(430) 629-5138,ASL16265,Licensed,Family-Owned,"Residential Care, Companionship",Assisted Living,Bee,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281371
Mineral Senior Home,Family Care Home,798 Main Street,Mineral,TX,(432) 357-3244,LTC34841,Active - Good Standing,Community-Owned,"Residential Care, Companionship",Assisted Living,Bee,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281379
Heritage Family Care,Senior Care Home,157 Second Street,Killeen,TX,(430) 954-4948,PCH17474,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281388
Bell County Home Care,Community Care Center,946 Third Street,Copperas Cove,TX,(430) 748-4155,LTC54464,Active,Private,"Assisted Living, Medication Management",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281396
Bell County Home Care,Residential Care Facility,120 Pine Street,Temple,TX,(832) 612-8823,LTC27883,Licensed,Private,"Residential Care, Companionship",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281406
Hometown Senior Care,Personal Care Home,594 First Street,Harker Heights,TX,(806) 405-3916,LTC62446,Licensed,Private,"Residential Care, Companionship",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281415
Bell County Assisted Care,Personal Care Home,729 Old Town Road,Belton,TX,(806) 642-6061,CCH85569,Active,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281423
Quiet Bell Family Care,Personal Care Home,609 County Road,Belton,TX,(832) 498-6374,RC98462,Active,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281431
Temple Care Facility,Senior Care Home,306 First Street,Temple,TX,(713) 276-8616,ASL60470,Active - Good Standing,Private,"Personal Care, Transportation",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281439
Killeen Neighborhood Senior Living,Family Care Home,627 Creek Road,Killeen,TX,(361) 501-7098,CCH97752,Active,Family-Owned,"Personal Care, Transportation",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281446
Creek Family Care,Residential Care Facility,854 County Road,Killeen,TX,(469) 597-6967,LTC26478,Active,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281453
Belton Homestead Personal Care,Community Care Center,319 Pine Street,Belton,TX,(254) 825-3713,ASL68621,Active - Good Standing,Non-Profit,"Personal Care, Transportation",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281489
Small Town Bell Community Care,Community Care Center,233 County Road,Copperas Cove,TX,(956) 602-3688,RC48148,Active,Private,"Personal Care, Transportation",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281567
Small Town Bell Personal Care,Community Care Center,467 Farm Road,Killeen,TX,(512) 464-9393,ASL63048,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Bell,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281582
Hye Family Care Services,Residential Care Facility,168 Creek Road,Hye,TX,(972) 583-2468,ALF81099,Active,Private,"Assisted Living, Personal Care",Assisted Living,Blanco,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281598
Blanco County Senior Home,Personal Care Home,632 Church Street,Blanco,TX,(832) 406-7915,LTC28538,Active - Good Standing,Community-Owned,"Residential Care, Companionship",Assisted Living,Blanco,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281617
Meadow Residential Care,Community Care Center,605 Oak Street,Johnson City,TX,(512) 890-1994,LTC17213,Active,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Blanco,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281630
River Care Facility,Personal Care Home,760 Second Street,Johnson City,TX,(832) 433-1748,RC69973,Licensed,Family-Owned,"Senior Care, Meal Services",Assisted Living,Blanco,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281638
Blanco Living Center,Personal Care Home,882 Country Lane,Blanco,TX,(915) 829-4721,ASL92727,Licensed,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Blanco,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281646
Heritage Community Care,Residential Care Facility,132 County Road,Gail,TX,(409) 334-6062,PCH14191,Active - Good Standing,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Borden,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281654
Hill Borden Care Home,Assisted Living Facility,221 Farm Road,Fluvanna,TX,(409) 863-6591,CCH47669,Licensed,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Borden,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281662
Vealmoor Assisted Care,Assisted Living Facility,576 First Street,Vealmoor,TX,(713) 535-2530,LTC41096,Active,Family-Owned,"Senior Care, Meal Services",Assisted Living,Borden,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281670
Family Bosque Care Services,Assisted Living Facility,726 Church Street,Meridian,TX,(940) 524-6775,PCH47644,Active,Non-Profit,"Senior Care, Meal Services",Assisted Living,Bosque,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281678
Family Family Care,Community Care Center,214 Ranch Road,Laguna Park,TX,(979) 906-5879,PCH28723,Active - Good Standing,Family-Owned,"Residential Care, Companionship",Assisted Living,Bosque,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281686
Bosque County Living Center,Residential Care Facility,703 Oak Street,Valley Mills,TX,(956) 666-6378,LTC92991,Active,Community-Owned,"Assisted Living, Medication Management",Assisted Living,Bosque,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281694
Lake Assisted Living,Residential Care Facility,231 Second Street,Marshall,TX,(512) 582-3864,ASL56447,Licensed,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Bowie,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281704
De Kalb Ridge Senior Living,Family Care Home,231 Hill Road,De Kalb,TX,(409) 669-9220,RC37039,Active,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Bowie,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281714
Hooks Senior Home,Assisted Living Facility,595 Church Street,Hooks,TX,(512) 412-2989,PCH76750,Licensed,Community-Owned,"Senior Care, Meal Services",Assisted Living,Bowie,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281722
Ridge Bowie Care Center,Community Care Center,110 Ranch Road,De Kalb,TX,(430) 652-1113,RC81353,Active - Good Standing,Community-Owned,"Residential Care, Companionship",Assisted Living,Bowie,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281734
Ridge Bowie Care Services,Family Care Home,287 Pine Street,Marshall,TX,(214) 516-6858,LTC71491,Licensed,Private,"Assisted Living, Medication Management",Assisted Living,Bowie,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281743
De Kalb Assisted Care,Assisted Living Facility,918 Market Street,De Kalb,TX,(903) 286-1098,ASL65203,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Bowie,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281751
Clute Heritage Assisted Care,Community Care Center,775 Main Street,Clute,TX,(325) 527-7301,ALF24170,Active,Non-Profit,"Senior Care, Meal Services",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281759
Pioneer Home Care,Assisted Living Facility,127 Mill Street,Alvin,TX,(915) 822-7523,PCH54768,Active,Private,"Senior Care, Meal Services",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281767
Ridge Brazoria Living Center,Personal Care Home,270 State Highway,Clute,TX,(737) 807-2910,PCH51662,Active - Good Standing,Private,"Assisted Living, Personal Care",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281775
Brazoria County Senior Services,Residential Care Facility,708 First Street,Clute,TX,(945) 827-9650,PCH30721,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281784
Brazoria County Senior Services,Personal Care Home,167 Farm Road,Freeport,TX,(972) 357-8394,LTC68182,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281799
Pioneer Brazoria Living Center,Personal Care Home,584 County Road,Alvin,TX,(945) 732-8500,ASL85967,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281813
Frontier Brazoria Care Services,Personal Care Home,926 Old Town Road,Pearland,TX,(469) 475-8647,LTC42166,Active,Family-Owned,"Personal Care, Transportation",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281823
Brazoria County Family Care,Community Care Center,639 Oak Street,Clute,TX,(281) 615-6560,LTC51534,Licensed,Family-Owned,"Residential Care, Companionship",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281831
Freeport Senior Living,Assisted Living Facility,674 First Street,Freeport,TX,(979) 682-1179,ALF83420,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281838
Pearland Homestead Senior Services,Family Care Home,348 First Street,Pearland,TX,(832) 360-2081,PCH50073,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281846
Brazoria County Living Center,Community Care Center,702 Oak Street,Angleton,TX,(325) 744-2979,LTC52291,Active,Private,"Residential Care, Companionship",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281854
Brazoria County Senior Care,Personal Care Home,164 State Highway,Alvin,TX,(945) 685-1567,ALF91114,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281861
Clute Assisted Living,Assisted Living Facility,496 Ranch Road,Clute,TX,(979) 832-8694,LTC34434,Active,Private,"Senior Care, Meal Services",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281869
Clute Small Town Care Home,Community Care Center,556 Ranch Road,Clute,TX,(361) 564-7770,ALF36078,Active,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281877
Brazoria County Assisted Care,Personal Care Home,826 Creek Road,Alvin,TX,(915) 755-9186,CCH85734,Active - Good Standing,Private,"Assisted Living, Personal Care",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281887
Community Brazoria Care Home,Personal Care Home,767 State Highway,Angleton,TX,(254) 644-1505,PCH83591,Active - Good Standing,Non-Profit,"Assisted Living, Medication Management",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281895
Pioneer Brazoria Living Center,Family Care Home,251 State Highway,Pearland,TX,(713) 235-1273,PCH38306,Licensed,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Brazoria,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.281905
