id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Garden State Manor,1000 Main Street,Atlantic City,Atlantic,NJ,07002,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90001,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3143,-74.4629
12,Camden Commons,2100 Morris Avenue,Atlantic City,Atlantic,NJ,07013,(212) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,56,NJ-ALF-90012,New Jersey Department of Health,2024-05-12,86,False,False,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3243,-74.4329
13,Garden State Manor,1000 Main Street,Hackensack,Bergen,NJ,07014,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90013,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.876400000000004,-74.0831
14,Liberty Village,1100 Park Avenue,Hackensack,Bergen,NJ,07015,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90014,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.8864,-74.0731
15,Jersey Shore Commons,1200 Garden State Parkway,Hackensack,Bergen,NJ,07016,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90015,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.8964,-74.06309999999999
16,Pine Barrens Manor,1300 Route 1,Hackensack,Bergen,NJ,07017,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90016,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9064,-74.0531
17,Atlantic View Village,1400 Washington Street,Hackensack,Bergen,NJ,07018,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90017,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9164,-74.0431
18,Delaware Bay Commons,1500 Lincoln Avenue,Hackensack,Bergen,NJ,07019,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90018,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9264,-74.03309999999999
19,Palisades Manor,1600 Kennedy Boulevard,Hackensack,Bergen,NJ,07020,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,51,NJ-ALF-90019,New Jersey Department of Health,2024-09-07,81,True,True,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9364,-74.0231
20,Meadowlands Village,1700 MLK Jr. Drive,Hackensack,Bergen,NJ,07021,(208) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,52,NJ-ALF-90020,New Jersey Department of Health,2024-10-08,82,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.946400000000004,-74.0131
21,Princeton Commons,1800 Broad Street,Hackensack,Bergen,NJ,07022,(209) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,53,NJ-ALF-90021,New Jersey Department of Health,2024-11-09,83,False,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9564,-74.0831
22,Trenton Manor,1900 State Street,Hackensack,Bergen,NJ,07023,(210) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,54,NJ-ALF-90022,New Jersey Department of Health,2024-03-10,84,True,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9664,-74.0731
23,Newark Village,2000 Essex Street,Hackensack,Bergen,NJ,07024,(211) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,55,NJ-ALF-90023,New Jersey Department of Health,2024-04-11,85,False,True,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.876400000000004,-74.06309999999999
24,Camden Commons,2100 Morris Avenue,Hackensack,Bergen,NJ,07025,(212) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,56,NJ-ALF-90024,New Jersey Department of Health,2024-05-12,86,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.8864,-74.0531
25,Hoboken Manor,2200 Ocean Avenue,Hackensack,Bergen,NJ,07026,(213) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,57,NJ-ALF-90025,New Jersey Department of Health,2024-06-13,87,True,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.8964,-74.0431
26,Jersey City Village,2300 Shore Drive,Hackensack,Bergen,NJ,07027,(214) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,58,NJ-ALF-90026,New Jersey Department of Health,2024-07-14,88,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9064,-74.03309999999999
27,Morristown Commons,2400 Liberty Street,Hackensack,Bergen,NJ,07028,(215) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,59,NJ-ALF-90027,New Jersey Department of Health,2024-08-15,89,False,True,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9164,-74.0231
28,Princeton Junction Manor,2500 Independence Avenue,Hackensack,Bergen,NJ,07029,(216) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,60,NJ-ALF-90028,New Jersey Department of Health,2024-09-16,90,True,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9264,-74.0131
29,Rutgers Village,2600 Princeton Road,Hackensack,Bergen,NJ,07030,(217) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,61,NJ-ALF-90029,New Jersey Department of Health,2024-10-17,91,False,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9364,-74.0831
30,Edison Commons,2700 Trenton Avenue,Hackensack,Bergen,NJ,07031,(218) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,62,NJ-ALF-90030,New Jersey Department of Health,2024-11-18,92,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.946400000000004,-74.0731
31,Paterson Manor,2800 Newark Street,Hackensack,Bergen,NJ,07032,(219) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,63,NJ-ALF-90031,New Jersey Department of Health,2024-03-19,93,True,True,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9564,-74.06309999999999
32,Elizabeth Village,2900 Jersey Street,Hackensack,Bergen,NJ,07033,(220) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,64,NJ-ALF-90032,New Jersey Department of Health,2024-04-20,94,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9664,-74.0531
33,Toms River Commons,3000 Atlantic Avenue,Hackensack,Bergen,NJ,07034,(221) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,65,NJ-ALF-90033,New Jersey Department of Health,2024-05-21,95,False,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.876400000000004,-74.0431
34,Woodbridge Manor,3100 Bergen Street,Hackensack,Bergen,NJ,07035,(222) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,66,NJ-ALF-90034,New Jersey Department of Health,2024-06-22,96,True,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.8864,-74.03309999999999
35,Hamilton Village,3200 Hudson Boulevard,Hackensack,Bergen,NJ,07036,(223) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,67,NJ-ALF-90035,New Jersey Department of Health,2024-07-23,97,False,True,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.8964,-74.0231
36,Cherry Hill Commons,3300 Passaic Street,Hackensack,Bergen,NJ,07037,(224) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,68,NJ-ALF-90036,New Jersey Department of Health,2024-08-24,98,False,False,False,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9064,-74.0131
37,Hackensack Manor,3400 Main Street,Hackensack,Bergen,NJ,07038,(225) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,69,NJ-ALF-90037,New Jersey Department of Health,2024-09-25,99,True,True,True,https://www.bergen-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.9164,-74.0831
38,Garden State Manor,1000 Main Street,Mount Holly,Burlington,NJ,07039,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90038,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.838800000000006,-74.71690000000001
39,Liberty Village,1100 Park Avenue,Mount Holly,Burlington,NJ,07040,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90039,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.848800000000004,-74.7069
40,Jersey Shore Commons,1200 Garden State Parkway,Mount Holly,Burlington,NJ,07041,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90040,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.8588,-74.6969
41,Pine Barrens Manor,1300 Route 1,Mount Holly,Burlington,NJ,07042,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90041,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.8688,-74.68690000000001
42,Atlantic View Village,1400 Washington Street,Mount Holly,Burlington,NJ,07043,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90042,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.878800000000005,-74.6769
43,Delaware Bay Commons,1500 Lincoln Avenue,Mount Holly,Burlington,NJ,07044,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90043,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.8888,-74.6669
44,Palisades Manor,1600 Kennedy Boulevard,Mount Holly,Burlington,NJ,07045,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,51,NJ-ALF-90044,New Jersey Department of Health,2024-09-07,81,True,True,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.8988,-74.65690000000001
45,Meadowlands Village,1700 MLK Jr. Drive,Mount Holly,Burlington,NJ,07046,(208) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,52,NJ-ALF-90045,New Jersey Department of Health,2024-10-08,82,False,False,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.90880000000001,-74.6469
46,Princeton Commons,1800 Broad Street,Mount Holly,Burlington,NJ,07047,(209) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,53,NJ-ALF-90046,New Jersey Department of Health,2024-11-09,83,False,True,True,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.918800000000005,-74.71690000000001
47,Trenton Manor,1900 State Street,Mount Holly,Burlington,NJ,07048,(210) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,54,NJ-ALF-90047,New Jersey Department of Health,2024-03-10,84,True,False,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.9288,-74.7069
48,Newark Village,2000 Essex Street,Mount Holly,Burlington,NJ,07049,(211) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,55,NJ-ALF-90048,New Jersey Department of Health,2024-04-11,85,False,True,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.838800000000006,-74.6969
49,Camden Commons,2100 Morris Avenue,Mount Holly,Burlington,NJ,07050,(212) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,56,NJ-ALF-90049,New Jersey Department of Health,2024-05-12,86,False,False,False,https://www.burlington-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.848800000000004,-74.68690000000001
50,Garden State Manor,1000 Main Street,Camden,Camden,NJ,07051,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90050,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.851200000000006,-74.9881
51,Liberty Village,1100 Park Avenue,Camden,Camden,NJ,07052,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90051,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.861200000000004,-74.9781
52,Jersey Shore Commons,1200 Garden State Parkway,Camden,Camden,NJ,07053,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90052,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.8712,-74.96809999999999
53,Pine Barrens Manor,1300 Route 1,Camden,Camden,NJ,07054,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90053,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.8812,-74.9581
54,Atlantic View Village,1400 Washington Street,Camden,Camden,NJ,07055,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90054,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.891200000000005,-74.9481
55,Delaware Bay Commons,1500 Lincoln Avenue,Camden,Camden,NJ,07056,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90055,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.9012,-74.93809999999999
56,Palisades Manor,1600 Kennedy Boulevard,Camden,Camden,NJ,07057,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,51,NJ-ALF-90056,New Jersey Department of Health,2024-09-07,81,True,True,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.9112,-74.9281
57,Meadowlands Village,1700 MLK Jr. Drive,Camden,Camden,NJ,07058,(208) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,52,NJ-ALF-90057,New Jersey Department of Health,2024-10-08,82,False,False,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.921200000000006,-74.9181
58,Princeton Commons,1800 Broad Street,Camden,Camden,NJ,07059,(209) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,53,NJ-ALF-90058,New Jersey Department of Health,2024-11-09,83,False,True,True,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.931200000000004,-74.9881
59,Trenton Manor,1900 State Street,Camden,Camden,NJ,07060,(210) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,54,NJ-ALF-90059,New Jersey Department of Health,2024-03-10,84,True,False,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.9412,-74.9781
60,Newark Village,2000 Essex Street,Camden,Camden,NJ,07061,(211) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,55,NJ-ALF-90060,New Jersey Department of Health,2024-04-11,85,False,True,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.851200000000006,-74.96809999999999
61,Camden Commons,2100 Morris Avenue,Camden,Camden,NJ,07062,(212) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,56,NJ-ALF-90061,New Jersey Department of Health,2024-05-12,86,False,False,False,https://www.camden-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.861200000000004,-74.9581
62,Garden State Manor,1000 Main Street,Cape May Court House,Cape May,NJ,07063,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90062,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,38.9958,-74.8448
63,Liberty Village,1100 Park Avenue,Cape May Court House,Cape May,NJ,07064,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90063,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0058,-74.8348
64,Jersey Shore Commons,1200 Garden State Parkway,Cape May Court House,Cape May,NJ,07065,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90064,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0158,-74.8248
65,Pine Barrens Manor,1300 Route 1,Cape May Court House,Cape May,NJ,07066,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90065,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0258,-74.8148
66,Atlantic View Village,1400 Washington Street,Cape May Court House,Cape May,NJ,07067,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90066,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0358,-74.8048
67,Delaware Bay Commons,1500 Lincoln Avenue,Cape May Court House,Cape May,NJ,07068,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90067,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0458,-74.7948
68,Palisades Manor,1600 Kennedy Boulevard,Cape May Court House,Cape May,NJ,07069,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,51,NJ-ALF-90068,New Jersey Department of Health,2024-09-07,81,True,True,False,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0558,-74.7848
69,Meadowlands Village,1700 MLK Jr. Drive,Cape May Court House,Cape May,NJ,07070,(208) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,52,NJ-ALF-90069,New Jersey Department of Health,2024-10-08,82,False,False,False,https://www.capemay-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.0658,-74.7748
70,Garden State Manor,1000 Main Street,Bridgeton,Cumberland,NJ,07071,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90070,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.387600000000006,-75.13680000000001
71,Liberty Village,1100 Park Avenue,Bridgeton,Cumberland,NJ,07072,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90071,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.397600000000004,-75.1268
72,Jersey Shore Commons,1200 Garden State Parkway,Bridgeton,Cumberland,NJ,07073,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90072,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.4076,-75.1168
73,Pine Barrens Manor,1300 Route 1,Bridgeton,Cumberland,NJ,07074,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90073,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.4176,-75.1068
74,Atlantic View Village,1400 Washington Street,Bridgeton,Cumberland,NJ,07075,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90074,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.427600000000005,-75.0968
75,Delaware Bay Commons,1500 Lincoln Avenue,Bridgeton,Cumberland,NJ,07076,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90075,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.4376,-75.0868
76,Palisades Manor,1600 Kennedy Boulevard,Bridgeton,Cumberland,NJ,07077,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,51,NJ-ALF-90076,New Jersey Department of Health,2024-09-07,81,True,True,False,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.4476,-75.0768
77,Meadowlands Village,1700 MLK Jr. Drive,Bridgeton,Cumberland,NJ,07078,(208) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,52,NJ-ALF-90077,New Jersey Department of Health,2024-10-08,82,False,False,False,https://www.cumberland-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.457600000000006,-75.0668
78,Garden State Manor,1000 Main Street,Newark,Essex,NJ,07079,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90078,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.essex-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.7331,-74.26910000000001
79,Liberty Village,1100 Park Avenue,Newark,Essex,NJ,07080,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90079,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.essex-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.7431,-74.2591
80,Jersey Shore Commons,1200 Garden State Parkway,Newark,Essex,NJ,07081,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90080,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.essex-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.753099999999996,-74.2491
81,Pine Barrens Manor,1300 Route 1,Newark,Essex,NJ,07082,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90081,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.essex-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.763099999999994,-74.23910000000001
82,Atlantic View Village,1400 Washington Street,Newark,Essex,NJ,07083,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90082,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.essex-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.7731,-74.2291
83,Delaware Bay Commons,1500 Lincoln Avenue,Newark,Essex,NJ,07084,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90083,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.essex-senior-living.com,Active,New Jersey Department of Health,2025-07-17,40.7831,-74.2191
