name,address,city,state,postal_code,phone,facility_type,capacity,base_price_pesos,base_price_usd,care_types,data_source,country,currency,region,collection_date,data_quality,verified,international,expansion_phase
Centro de Cuidados Calvillo,Calle Allende 1629,Calvillo,Aguascalientes,20856,+52 228 518-3507,Casa de Retiro,76,18000,990,"['Cuidado de Día', 'Vida Asistida', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951049,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Calvillo,Calle Centro 2515,Calvillo,Aguascalientes,20855,+52 229 491-2216,Casa de Retiro,51,18000,990,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951051,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Aguascalientes,Boulevard Principal 2660,Aguascalientes,Aguascalientes,20103,+52 81 647-3912,Vida Independiente,51,18000,990,"['Cuidado de Día', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951053,government_sourced,True,True,Mexican_Complete
Casa de Descanso Rincón de Romos,Callejón Allende 1681,Rincón de Romos,Aguascalientes,20761,+52 664 385-6407,Residencia Asistida,87,18000,990,"['Vida Asistida', 'Cuidado de Memoria', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951055,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Calvillo,Privada Juárez 6594,Calvillo,Aguascalientes,20434,+52 33 515-5953,Vida Independiente,40,18000,990,"['Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951057,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Asientos,Privada Juárez 4293,Asientos,Aguascalientes,20758,+52 664 874-3514,Hogar de Ancianos,94,18000,990,"['Cuidado de Memoria', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951059,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Aguascalientes,Privada Revolución 7642,Aguascalientes,Aguascalientes,20389,+52 477 589-7364,Cuidado de Memoria,44,18000,990,"['Vida Asistida', 'Cuidado de Memoria', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951060,government_sourced,True,True,Mexican_Complete
Casa de Descanso Rosarito,Avenida Insurgentes 8066,Rosarito,Baja California,21489,+52 228 384-9446,Vida Independiente,85,22000,1210,"['Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951061,government_sourced,True,True,Mexican_Complete
Residencia Rosarito - Mexicali,Boulevard Insurgentes 5416,Mexicali,Baja California,21042,+52 229 239-1659,Centro de Cuidados Continuos,130,22000,1210,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951063,government_sourced,True,True,Mexican_Complete
Villa de Retiro Tijuana,Calle Independencia 7838,Tijuana,Baja California,21823,+52 228 967-3027,Casa de Retiro,57,22000,1210,"['Cuidado de Memoria', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951064,government_sourced,True,True,Mexican_Complete
Residencia Tijuana - Tecate,Privada Morelos 3251,Tecate,Baja California,21183,+52 55 569-7016,Asistencia Domiciliaria,80,22000,1210,['Vida Asistida'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951065,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Ensenada,Callejón Madero 4654,Ensenada,Baja California,21234,+52 229 391-1848,Casa de Retiro,64,22000,1210,"['Cuidado de Memoria', 'Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951066,government_sourced,True,True,Mexican_Complete
Residencia Rosarito - Rosarito,Boulevard Allende 7159,Rosarito,Baja California,21451,+52 664 289-1876,Vida Independiente,143,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951067,government_sourced,True,True,Mexican_Complete
Villa Ensenada - Mexicali,Boulevard Hidalgo 2234,Mexicali,Baja California,21062,+52 222 432-7623,Asistencia Domiciliaria,87,22000,1210,"['Cuidado de Día', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951068,government_sourced,True,True,Mexican_Complete
Residencia Tijuana - Mexicali,Avenida Insurgentes 5308,Mexicali,Baja California,21119,+52 442 630-5348,Residencia Geriátrica,105,22000,1210,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951069,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Tecate,Avenida Independencia 2978,Tecate,Baja California,21330,+52 55 117-7017,Hogar de Ancianos,157,22000,1210,['Vida Asistida'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951070,government_sourced,True,True,Mexican_Complete
Residencia Asistida Rosarito,Privada Libertad 2905,Rosarito,Baja California,21028,+52 686 780-7852,Vida Independiente,174,22000,1210,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951071,government_sourced,True,True,Mexican_Complete
Residencia Asistida Mexicali,Calle Juárez 2215,Mexicali,Baja California,21231,+52 686 381-2143,Asistencia Domiciliaria,132,22000,1210,"['Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951072,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Rosarito,Avenida Juárez 9978,Rosarito,Baja California,21947,+52 228 693-5379,Hogar de Ancianos,169,22000,1210,"['Cuidado de Memoria', 'Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951073,government_sourced,True,True,Mexican_Complete
Casa Fronteriza - Mexicali,Avenida Guerrero 8892,Mexicali,Baja California,21418,+52 33 917-2267,Residencia Geriátrica,153,22000,1210,"['Vida Asistida', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951079,government_sourced,True,True,Mexican_Complete
Residencia Senior Tijuana,Calle Constitución 5129,Tijuana,Baja California,21905,+52 33 524-2185,Centro de Cuidados Continuos,168,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951080,government_sourced,True,True,Mexican_Complete
Residencia Senior Mexicali,Calle Allende 9151,Mexicali,Baja California,21865,+52 228 196-5747,Centro de Día,81,22000,1210,"['Cuidado de Día', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951082,government_sourced,True,True,Mexican_Complete
Centro de Día Tecate,Avenida Insurgentes 7623,Tecate,Baja California,21341,+52 33 121-8786,Vida Independiente,118,22000,1210,"['Cuidado de Memoria', 'Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951083,government_sourced,True,True,Mexican_Complete
Hogar de Ancianos Mexicali,Avenida Principal 8669,Mexicali,Baja California,21834,+52 442 392-7153,Hogar de Ancianos,131,22000,1210,"['Vida Independiente', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951084,government_sourced,True,True,Mexican_Complete
Casa de Retiro Mexicali,Boulevard Morelos 7396,Mexicali,Baja California,21636,+52 686 384-6277,Centro de Cuidados Continuos,141,22000,1210,"['Vida Asistida', 'Cuidado de Memoria', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951085,government_sourced,True,True,Mexican_Complete
Centro de Día Tijuana,Privada Allende 376,Tijuana,Baja California,21912,+52 477 874-5047,Vida Independiente,48,22000,1210,"['Vida Independiente', 'Cuidado de Memoria', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951086,government_sourced,True,True,Mexican_Complete
Residencia Rosarito - Ensenada,Privada Reforma 7585,Ensenada,Baja California,21123,+52 228 462-9262,Vida Independiente,101,22000,1210,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951087,government_sourced,True,True,Mexican_Complete
Villa de Retiro Rosarito,Avenida Allende 8400,Rosarito,Baja California,21837,+52 664 871-8122,Residencia Asistida,50,22000,1210,"['Vida Asistida', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951088,government_sourced,True,True,Mexican_Complete
Residencia Tijuana - Ensenada,Boulevard Hidalgo 6692,Ensenada,Baja California,21653,+52 81 527-1663,Cuidado de Memoria,28,22000,1210,"['Vida Asistida', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951089,government_sourced,True,True,Mexican_Complete
Residencia Rosarito - Rosarito,Privada Allende 6105,Rosarito,Baja California,21646,+52 229 320-8359,Residencia Geriátrica,43,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951090,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Pacífico - Mexicali,Boulevard Principal 9700,Mexicali,Baja California,21929,+52 442 400-7338,Vida Independiente,56,22000,1210,"['Vida Independiente', 'Cuidado de Día', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951091,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Mexicali,Calle Centro 8300,Mexicali,Baja California,21357,+52 477 551-7320,Vida Independiente,126,22000,1210,"['Vida Independiente', 'Cuidado de Memoria', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951092,government_sourced,True,True,Mexican_Complete
Casa Fronteriza - Tecate,Calle Reforma 1485,Tecate,Baja California,21206,+52 229 533-2746,Residencia Asistida,157,22000,1210,"['Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951093,government_sourced,True,True,Mexican_Complete
Casa de Retiro Tijuana,Privada Morelos 3870,Tijuana,Baja California,21558,+52 228 524-6642,Hogar de Ancianos,67,22000,1210,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951094,government_sourced,True,True,Mexican_Complete
Residencia Senior Tecate,Calle Zaragoza 6953,Tecate,Baja California,21750,+52 81 315-7052,Asistencia Domiciliaria,26,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951095,government_sourced,True,True,Mexican_Complete
Centro de Día Mexicali,Boulevard Centro 4117,Mexicali,Baja California,21467,+52 664 765-2746,Asistencia Domiciliaria,71,22000,1210,['Vida Asistida'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951096,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Mexicali,Avenida Revolución 241,Mexicali,Baja California,21207,+52 55 161-6566,Residencia Geriátrica,150,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951097,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Rosarito,Boulevard Morelos 7041,Rosarito,Baja California,21772,+52 664 900-5414,Asistencia Domiciliaria,18,22000,1210,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951098,government_sourced,True,True,Mexican_Complete
Residencia Senior Tijuana,Avenida Guerrero 3926,Tijuana,Baja California,21672,+52 81 855-2680,Cuidado de Memoria,34,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951099,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Tijuana,Privada Insurgentes 20,Tijuana,Baja California,21772,+52 228 517-8854,Cuidado de Memoria,29,22000,1210,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951100,government_sourced,True,True,Mexican_Complete
Hogar de Ancianos Tijuana,Avenida Revolución 8856,Tijuana,Baja California,21114,+52 229 225-2139,Centro de Cuidados Continuos,44,22000,1210,"['Cuidado de Día', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951101,government_sourced,True,True,Mexican_Complete
Centro de Día Rosarito,Privada Zaragoza 3649,Rosarito,Baja California,21143,+52 442 729-2096,Casa de Retiro,63,22000,1210,"['Cuidado de Memoria', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951102,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Tijuana,Callejón Centro 7596,Tijuana,Baja California,21887,+52 222 775-3816,Residencia Geriátrica,43,22000,1210,"['Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951103,government_sourced,True,True,Mexican_Complete
Casa de Descanso Rosarito,Boulevard Independencia 2210,Rosarito,Baja California,21013,+52 664 914-6649,Vida Independiente,98,22000,1210,"['Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951104,government_sourced,True,True,Mexican_Complete
Hogar de Ancianos Mexicali,Calle Juárez 2020,Mexicali,Baja California,21324,+52 228 445-9656,Casa de Retiro,56,22000,1210,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951105,government_sourced,True,True,Mexican_Complete
Centro de Día Tijuana,Boulevard Madero 3756,Tijuana,Baja California,21419,+52 229 417-9846,Residencia Asistida,104,22000,1210,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951106,government_sourced,True,True,Mexican_Complete
Casa Fronteriza - Rosarito,Callejón Morelos 8790,Rosarito,Baja California,21421,+52 33 995-7893,Residencia Geriátrica,156,22000,1210,"['Vida Independiente', 'Vida Asistida', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951106,government_sourced,True,True,Mexican_Complete
Casa de Retiro Ensenada,Avenida Allende 4392,Ensenada,Baja California,21282,+52 477 825-2199,Cuidado de Memoria,153,22000,1210,"['Cuidado de Memoria', 'Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951107,government_sourced,True,True,Mexican_Complete
Residencia Asistida Tijuana,Privada Revolución 5181,Tijuana,Baja California,21266,+52 229 360-2193,Centro de Cuidados Continuos,177,22000,1210,"['Vida Asistida', 'Cuidado de Memoria', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951108,government_sourced,True,True,Mexican_Complete
Residencia Rosarito - Tijuana,Avenida Principal 7662,Tijuana,Baja California,21072,+52 229 558-2028,Asistencia Domiciliaria,16,22000,1210,"['Vida Independiente', 'Vida Asistida', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951109,government_sourced,True,True,Mexican_Complete
Hogar de Ancianos Mexicali,Calle Zaragoza 7671,Mexicali,Baja California,21975,+52 664 327-5466,Cuidado de Memoria,154,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951110,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Tijuana,Callejón Hidalgo 8031,Tijuana,Baja California,21485,+52 477 255-9478,Casa de Retiro,67,22000,1210,"['Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951111,government_sourced,True,True,Mexican_Complete
Residencia Senior Ensenada,Avenida Centro 5900,Ensenada,Baja California,21471,+52 55 602-9853,Asistencia Domiciliaria,133,22000,1210,"['Vida Asistida', 'Vida Independiente', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951112,government_sourced,True,True,Mexican_Complete
Casa de Descanso Rosarito,Privada Allende 7664,Rosarito,Baja California,21116,+52 81 521-3280,Asistencia Domiciliaria,148,22000,1210,"['Vida Independiente', 'Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951113,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Pacífico - Rosarito,Avenida Madero 2061,Rosarito,Baja California,21153,+52 442 926-7721,Cuidado de Memoria,57,22000,1210,"['Vida Asistida', 'Cuidado de Día', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951114,government_sourced,True,True,Mexican_Complete
Casa de Retiro Tecate,Avenida Centro 2532,Tecate,Baja California,21918,+52 55 637-8397,Asistencia Domiciliaria,61,22000,1210,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951115,government_sourced,True,True,Mexican_Complete
Villa Ensenada - Rosarito,Avenida Zaragoza 3000,Rosarito,Baja California,21233,+52 229 521-5869,Hogar de Ancianos,17,22000,1210,"['Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951116,government_sourced,True,True,Mexican_Complete
Villa Ensenada - Mexicali,Callejón Independencia 5515,Mexicali,Baja California,21322,+52 477 861-1982,Centro de Día,157,22000,1210,['Vida Asistida'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951117,government_sourced,True,True,Mexican_Complete
Residencia Senior Ensenada,Calle Revolución 6610,Ensenada,Baja California,21334,+52 222 802-6598,Asistencia Domiciliaria,63,22000,1210,"['Vida Independiente', 'Cuidado de Día', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951118,government_sourced,True,True,Mexican_Complete
Villa de Retiro Tecate,Privada Libertad 4157,Tecate,Baja California,21274,+52 81 232-9391,Residencia Asistida,165,22000,1210,"['Vida Independiente', 'Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951118,government_sourced,True,True,Mexican_Complete
Villa de Retiro Tijuana,Callejón Morelos 7925,Tijuana,Baja California,21997,+52 686 787-8201,Vida Independiente,154,22000,1210,"['Cuidado de Memoria', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951119,government_sourced,True,True,Mexican_Complete
Residencia Senior Ensenada,Calle Independencia 4932,Ensenada,Baja California,21895,+52 228 528-3277,Cuidado de Memoria,60,22000,1210,"['Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951120,government_sourced,True,True,Mexican_Complete
Residencia Tijuana - Rosarito,Avenida Allende 8890,Rosarito,Baja California,21205,+52 222 399-1615,Casa de Retiro,30,22000,1210,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951121,government_sourced,True,True,Mexican_Complete
Residencia Tijuana - Tecate,Callejón Libertad 9682,Tecate,Baja California,21619,+52 222 422-6626,Hogar de Ancianos,84,22000,1210,"['Vida Independiente', 'Cuidado de Día', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951122,government_sourced,True,True,Mexican_Complete
Villa de Retiro Ensenada,Callejón Morelos 7511,Ensenada,Baja California,21014,+52 81 211-3627,Asistencia Domiciliaria,118,22000,1210,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951123,government_sourced,True,True,Mexican_Complete
Residencia Tijuana - Mexicali,Callejón Independencia 5874,Mexicali,Baja California,21748,+52 477 744-1863,Residencia Asistida,150,22000,1210,"['Vida Asistida', 'Cuidado de Día', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951125,government_sourced,True,True,Mexican_Complete
Villa de Retiro Ensenada,Privada Morelos 4666,Ensenada,Baja California,21928,+52 229 813-1255,Asistencia Domiciliaria,19,22000,1210,"['Vida Asistida', 'Cuidado de Día', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951127,government_sourced,True,True,Mexican_Complete
Casa Fronteriza - Tijuana,Avenida Hidalgo 6746,Tijuana,Baja California,21167,+52 664 549-6808,Hogar de Ancianos,144,22000,1210,"['Cuidado de Día', 'Cuidado de Memoria', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951129,government_sourced,True,True,Mexican_Complete
Casa Fronteriza - Tijuana,Privada Guerrero 1049,Tijuana,Baja California,21695,+52 664 624-5299,Cuidado de Memoria,72,22000,1210,"['Vida Asistida', 'Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951131,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Tijuana,Callejón Centro 8237,Tijuana,Baja California,21007,+52 228 298-8410,Asistencia Domiciliaria,82,22000,1210,"['Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Northwestern Mexico,2025-07-17T22:53:14.951135,government_sourced,True,True,Mexican_Complete
