id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Badger State Manor,1000 Main Street,Friendship,Adams,WI,53001,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40001,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
12,Great Lakes Commons,1500 Pine Street,Ashland,Ashland,WI,53012,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40012,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.ashland-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
13,Badger State Manor,1000 Main Street,Barron,Barron,WI,53013,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40013,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.barron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
14,Cheese Country Commons,1100 Wisconsin Avenue,Barron,Barron,WI,53014,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40014,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.barron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
15,Northwoods Care,1200 State Street,Barron,Barron,WI,53015,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40015,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.barron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
16,Dairyland Village,1300 Oak Street,Barron,Barron,WI,53016,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40016,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.barron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
17,Wisconsin Rapids Manor,1400 Maple Avenue,Barron,Barron,WI,53017,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40017,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.barron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
18,Great Lakes Commons,1500 Pine Street,Barron,Barron,WI,53018,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40018,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.barron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
19,Badger State Manor,1000 Main Street,Washburn,Bayfield,WI,53019,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40019,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.bayfield-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
20,Cheese Country Commons,1100 Wisconsin Avenue,Washburn,Bayfield,WI,53020,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40020,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.bayfield-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
21,Northwoods Care,1200 State Street,Washburn,Bayfield,WI,53021,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40021,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.bayfield-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
22,Dairyland Village,1300 Oak Street,Washburn,Bayfield,WI,53022,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40022,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.bayfield-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
23,Wisconsin Rapids Manor,1400 Maple Avenue,Washburn,Bayfield,WI,53023,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40023,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.bayfield-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
24,Great Lakes Commons,1500 Pine Street,Washburn,Bayfield,WI,53024,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40024,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.bayfield-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
25,Badger State Manor,1000 Main Street,Green Bay,Brown,WI,53025,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40025,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.463300000000004,-87.94730000000001
26,Cheese Country Commons,1100 Wisconsin Avenue,Green Bay,Brown,WI,53026,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40026,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.4733,-87.93730000000001
27,Northwoods Care,1200 State Street,Green Bay,Brown,WI,53027,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40027,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.4833,-87.9273
28,Dairyland Village,1300 Oak Street,Green Bay,Brown,WI,53028,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40028,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.4933,-87.91730000000001
29,Wisconsin Rapids Manor,1400 Maple Avenue,Green Bay,Brown,WI,53029,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40029,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.5033,-87.9073
30,Great Lakes Commons,1500 Pine Street,Green Bay,Brown,WI,53030,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40030,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.5133,-87.8973
31,Timber Ridge Care,1600 Cedar Avenue,Green Bay,Brown,WI,53031,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40031,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.5233,-87.88730000000001
32,Prairie Creek Manor,1700 First Street,Green Bay,Brown,WI,53032,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40032,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.533300000000004,-87.8773
33,Lakeside Village,1800 Second Street,Green Bay,Brown,WI,53033,(422) 508-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,WI-ALF-40033,Wisconsin Department of Health Services,2024-11-09,83,False,True,True,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.5433,-87.94730000000001
34,Brewers Ridge,1900 Third Street,Green Bay,Brown,WI,53034,(423) 509-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,WI-ALF-40034,Wisconsin Department of Health Services,2024-03-10,84,True,False,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.5533,-87.93730000000001
35,Packers Commons,2000 Fourth Street,Green Bay,Brown,WI,53035,(424) 510-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,WI-ALF-40035,Wisconsin Department of Health Services,2024-04-11,85,False,True,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.463300000000004,-87.9273
36,Maple Ridge Manor,2100 Fifth Street,Green Bay,Brown,WI,53036,(425) 511-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,WI-ALF-40036,Wisconsin Department of Health Services,2024-05-12,86,False,False,False,https://www.brown-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.4733,-87.91730000000001
37,Badger State Manor,1000 Main Street,Alma,Buffalo,WI,53037,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40037,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.buffalo-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
38,Cheese Country Commons,1100 Wisconsin Avenue,Alma,Buffalo,WI,53038,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40038,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.buffalo-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
39,Northwoods Care,1200 State Street,Alma,Buffalo,WI,53039,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40039,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.buffalo-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
40,Dairyland Village,1300 Oak Street,Alma,Buffalo,WI,53040,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40040,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.buffalo-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
41,Wisconsin Rapids Manor,1400 Maple Avenue,Alma,Buffalo,WI,53041,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40041,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.buffalo-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
42,Great Lakes Commons,1500 Pine Street,Alma,Buffalo,WI,53042,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40042,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.buffalo-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
43,Badger State Manor,1000 Main Street,Siren,Burnett,WI,53043,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40043,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.burnett-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
44,Cheese Country Commons,1100 Wisconsin Avenue,Siren,Burnett,WI,53044,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40044,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.burnett-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
45,Northwoods Care,1200 State Street,Siren,Burnett,WI,53045,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40045,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.burnett-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
46,Dairyland Village,1300 Oak Street,Siren,Burnett,WI,53046,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40046,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.burnett-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
47,Wisconsin Rapids Manor,1400 Maple Avenue,Siren,Burnett,WI,53047,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40047,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.burnett-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
48,Great Lakes Commons,1500 Pine Street,Siren,Burnett,WI,53048,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40048,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.burnett-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
49,Badger State Manor,1000 Main Street,Chilton,Calumet,WI,53049,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40049,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.calumet-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
50,Cheese Country Commons,1100 Wisconsin Avenue,Chilton,Calumet,WI,53050,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40050,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.calumet-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
51,Northwoods Care,1200 State Street,Chilton,Calumet,WI,53051,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40051,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.calumet-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
52,Dairyland Village,1300 Oak Street,Chilton,Calumet,WI,53052,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40052,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.calumet-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
53,Wisconsin Rapids Manor,1400 Maple Avenue,Chilton,Calumet,WI,53053,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40053,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.calumet-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
54,Great Lakes Commons,1500 Pine Street,Chilton,Calumet,WI,53054,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40054,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.calumet-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
55,Badger State Manor,1000 Main Street,Chippewa Falls,Chippewa,WI,53055,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40055,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.chippewa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
56,Cheese Country Commons,1100 Wisconsin Avenue,Chippewa Falls,Chippewa,WI,53056,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40056,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.chippewa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
57,Northwoods Care,1200 State Street,Chippewa Falls,Chippewa,WI,53057,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40057,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.chippewa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
58,Dairyland Village,1300 Oak Street,Chippewa Falls,Chippewa,WI,53058,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40058,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.chippewa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
59,Wisconsin Rapids Manor,1400 Maple Avenue,Chippewa Falls,Chippewa,WI,53059,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40059,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.chippewa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
60,Great Lakes Commons,1500 Pine Street,Chippewa Falls,Chippewa,WI,53060,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40060,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.chippewa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
61,Badger State Manor,1000 Main Street,Neillsville,Clark,WI,53061,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40061,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.clark-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
62,Cheese Country Commons,1100 Wisconsin Avenue,Neillsville,Clark,WI,53062,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40062,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.clark-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
63,Northwoods Care,1200 State Street,Neillsville,Clark,WI,53063,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40063,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.clark-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
64,Dairyland Village,1300 Oak Street,Neillsville,Clark,WI,53064,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40064,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.clark-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
65,Wisconsin Rapids Manor,1400 Maple Avenue,Neillsville,Clark,WI,53065,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40065,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.clark-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
66,Great Lakes Commons,1500 Pine Street,Neillsville,Clark,WI,53066,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40066,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.clark-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
67,Badger State Manor,1000 Main Street,Portage,Columbia,WI,53067,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40067,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.columbia-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.405800000000006,-89.38260000000001
68,Cheese Country Commons,1100 Wisconsin Avenue,Portage,Columbia,WI,53068,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40068,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.columbia-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.415800000000004,-89.3726
69,Northwoods Care,1200 State Street,Portage,Columbia,WI,53069,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40069,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.columbia-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.4258,-89.3626
70,Dairyland Village,1300 Oak Street,Portage,Columbia,WI,53070,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40070,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.columbia-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.4358,-89.35260000000001
71,Wisconsin Rapids Manor,1400 Maple Avenue,Portage,Columbia,WI,53071,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40071,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.columbia-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.445800000000006,-89.3426
72,Great Lakes Commons,1500 Pine Street,Portage,Columbia,WI,53072,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40072,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.columbia-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.4558,-89.3326
73,Badger State Manor,1000 Main Street,Prairie du Chien,Crawford,WI,53073,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40073,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.crawford-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
74,Cheese Country Commons,1100 Wisconsin Avenue,Prairie du Chien,Crawford,WI,53074,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40074,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.crawford-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
75,Northwoods Care,1200 State Street,Prairie du Chien,Crawford,WI,53075,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40075,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.crawford-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
76,Dairyland Village,1300 Oak Street,Prairie du Chien,Crawford,WI,53076,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40076,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.crawford-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
77,Wisconsin Rapids Manor,1400 Maple Avenue,Prairie du Chien,Crawford,WI,53077,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40077,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.crawford-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
78,Great Lakes Commons,1500 Pine Street,Prairie du Chien,Crawford,WI,53078,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40078,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.crawford-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
79,Badger State Manor,1000 Main Street,Madison,Dane,WI,53079,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40079,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
80,Cheese Country Commons,1100 Wisconsin Avenue,Madison,Dane,WI,53080,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40080,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
81,Northwoods Care,1200 State Street,Madison,Dane,WI,53081,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40081,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
