id,name,address,city,parish,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
20,Creole Manor,2367 Harrison Avenue,Ruston,Lincoln,LA,70545,(337) 760-9290,Adult Residential Care,"Intermediate Care, Continuing Care",34,LA-ALF-38014,Louisiana Department of Health,2024-10-09,75,False,False,False,https://www.ruston-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.365075,-92.031107
21,Delta Memory Care,3439 Jefferson Highway,Ruston,Lincoln,LA,71207,(225) 941-4811,Memory Care Community,"Assisted Living, Independent Living, Respite Care",97,LA-ALF-64696,Louisiana Department of Health,2024-02-03,84,False,False,True,https://www.ruston-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.009021,-90.222831
22,Garden Village,6922 River Road,Farmerville,Union,LA,71708,(985) 908-7954,Continuing Care Retirement Community,"Assisted Living, Adult Residential Care, Memory Care",90,LA-ALF-23554,Louisiana Department of Health,2024-06-09,81,True,False,False,https://www.farmerville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.757678,-93.087475
23,Lillie Plaza,3342 Airline Highway,Lillie,Union,LA,71544,(318) 832-7173,Adult Day Health Care,"Respite Care, Skilled Nursing, Memory Care, Assisted Living",136,LA-ALF-15083,Louisiana Department of Health,2024-01-05,75,True,True,True,https://www.lillie-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.135684,-93.384401
24,Morehouse Village,5072 Harrison Avenue,Bonita,Morehouse,LA,71957,(318) 738-9128,Intermediate Care Facility,"Assisted Living, Adult Residential Care, Skilled Nursing, Respite Care",133,LA-ALF-35630,Louisiana Department of Health,2024-12-21,80,True,False,False,https://www.bonita-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.267047,-91.031684
25,Delta Care Center,6704 Veterans Boulevard,Bastrop,Morehouse,LA,71605,(225) 547-2990,Assisted Living Facility,"Independent Living, Adult Residential Care, Skilled Nursing",70,LA-ALF-81810,Louisiana Department of Health,2024-10-18,75,True,True,True,https://www.bastrop-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.47399,-93.048504
26,Epps Assisted Living,1298 Elysian Fields,Epps,West Carroll,LA,71336,(985) 717-3240,Continuing Care Retirement Community,"Memory Care, Skilled Nursing, Adult Day Care",87,LA-ALF-28166,Louisiana Department of Health,2024-05-28,88,False,False,True,https://www.epps-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.95201,-93.686462
27,Garden Court,3743 Veterans Boulevard,Epps,West Carroll,LA,70857,(318) 981-9948,Continuing Care Retirement Community,"Continuing Care, Adult Residential Care",79,LA-ALF-24253,Louisiana Department of Health,2024-04-20,77,False,False,False,https://www.epps-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.9282,-93.033143
28,Delta Village,6984 Elysian Fields,Kilbourne,West Carroll,LA,71470,(225) 871-8836,Assisted Living Facility,"Assisted Living, Continuing Care",89,LA-ALF-56505,Louisiana Department of Health,2024-08-06,78,True,False,True,https://www.kilbourne-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.29013,-92.224227
29,Spanish Moss Assisted Living,5283 Canal Street,Epps,West Carroll,LA,70775,(985) 522-4432,Continuing Care Retirement Community,"Continuing Care, Adult Residential Care, Adult Day Care",61,LA-ALF-91372,Louisiana Department of Health,2024-03-03,80,False,False,False,https://www.epps-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.780682,-92.863567
30,Transylvania Care Center,8619 Elysian Fields,Transylvania,East Carroll,LA,71513,(504) 286-9835,Intermediate Care Facility,"Assisted Living, Intermediate Care, Skilled Nursing, Continuing Care",25,LA-ALF-96866,Louisiana Department of Health,2024-11-23,76,False,True,True,https://www.transylvania-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.676619,-91.408839
31,East Carroll Residence,5357 Bourbon Street,Milliken,East Carroll,LA,71307,(318) 285-6774,Memory Care Community,"Independent Living, Memory Care",149,LA-ALF-85839,Louisiana Department of Health,2024-12-05,80,False,False,True,https://www.milliken-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.179845,-91.879793
32,East Carroll Senior Living,7653 Causeway Boulevard,Transylvania,East Carroll,LA,71719,(318) 860-6173,Intermediate Care Facility,"Respite Care, Continuing Care, Independent Living, Assisted Living",52,LA-ALF-46655,Louisiana Department of Health,2024-01-24,94,False,True,False,https://www.transylvania-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.765994,-93.277653
33,Spanish Moss Gardens,6484 Esplanade Avenue,Mound,Madison,LA,70218,(225) 934-8934,Adult Day Health Care,"Adult Residential Care, Continuing Care, Independent Living, Intermediate Care",109,LA-ALF-87248,Louisiana Department of Health,2024-08-10,81,True,True,True,https://www.mound-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.621879,-90.062453
34,Madison Residence,372 Jefferson Highway,Richmond,Madison,LA,71325,(225) 451-7069,Skilled Nursing Facility,"Assisted Living, Respite Care, Adult Residential Care",92,LA-ALF-67639,Louisiana Department of Health,2024-09-09,88,False,True,True,https://www.richmond-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.348048,-90.1522
35,Madison Village,5202 Harrison Avenue,Mound,Madison,LA,71791,(225) 586-3368,Adult Day Health Care,"Adult Residential Care, Adult Day Care, Skilled Nursing, Continuing Care",45,LA-ALF-32612,Louisiana Department of Health,2024-10-07,76,True,True,True,https://www.mound-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.065678,-91.558816
36,Willow Retirement Community,973 Royal Street,St. Joseph,Tensas,LA,70792,(225) 724-8120,Adult Residential Care,"Memory Care, Adult Day Care, Assisted Living",114,LA-ALF-82143,Louisiana Department of Health,2024-01-17,96,False,False,True,https://www.stjoseph-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.760691,-89.657296
37,Tensas House,766 West Bank Expressway,St. Joseph,Tensas,LA,71437,(225) 905-3053,Intermediate Care Facility,"Skilled Nursing, Intermediate Care",138,LA-ALF-87003,Louisiana Department of Health,2024-01-08,90,True,True,False,https://www.stjoseph-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.181006,-92.839839
38,Magnolia Place,3613 West Bank Expressway,Winnsboro,Franklin,LA,70117,(985) 471-6049,Memory Care Community,"Respite Care, Adult Day Care, Intermediate Care, Skilled Nursing",93,LA-ALF-83431,Louisiana Department of Health,2024-12-03,84,True,True,False,https://www.winnsboro-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.914724,-91.342972
39,Wisner Estates,6844 Causeway Boulevard,Wisner,Franklin,LA,70705,(225) 467-9025,Residential Care Home,"Skilled Nursing, Memory Care, Respite Care",27,LA-ALF-53021,Louisiana Department of Health,2024-03-06,83,False,True,False,https://www.wisner-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.757268,-90.170416
40,Garden Assisted Living,447 Veterans Boulevard,Winnsboro,Franklin,LA,70666,(985) 261-1438,Continuing Care Retirement Community,"Continuing Care, Assisted Living, Adult Day Care, Intermediate Care",58,LA-ALF-72654,Louisiana Department of Health,2024-10-14,88,False,True,False,https://www.winnsboro-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.172217,-91.201352
41,Louisiana Estates,1534 St. Charles Avenue,Wisner,Franklin,LA,71788,(318) 289-4126,Continuing Care Retirement Community,"Respite Care, Assisted Living, Memory Care",60,LA-ALF-76138,Louisiana Department of Health,2024-02-08,87,True,True,True,https://www.wisner-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.361483,-92.268154
42,Richland Commons,5191 Airline Highway,Rayville,Richland,LA,70148,(985) 270-1435,Adult Residential Care,"Respite Care, Memory Care, Adult Day Care, Assisted Living",150,LA-ALF-89308,Louisiana Department of Health,2024-04-17,93,False,True,True,https://www.rayville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.403056,-90.728297
43,Louisiana Residence,2521 River Road,Mangham,Richland,LA,70962,(318) 245-5315,Residential Care Home,"Adult Day Care, Respite Care",128,LA-ALF-90382,Louisiana Department of Health,2024-10-22,91,True,False,True,https://www.mangham-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.248134,-90.809331
44,Heritage Assisted Living,8350 Harrison Avenue,Rayville,Richland,LA,70884,(985) 341-5723,Assisted Living Facility,"Adult Day Care, Adult Residential Care",127,LA-ALF-78787,Louisiana Department of Health,2024-12-27,98,True,False,False,https://www.rayville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.175063,-90.349329
45,Creole Assisted Living,512 Veterans Boulevard,Sterlington,Ouachita,LA,70747,(985) 214-4415,Adult Day Health Care,"Memory Care, Adult Day Care, Assisted Living, Skilled Nursing",64,LA-ALF-92115,Louisiana Department of Health,2024-06-09,76,True,False,False,https://www.sterlington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.842332,-93.970052
46,Plantation Retirement Community,3065 Royal Street,Monroe,Ouachita,LA,71202,(337) 873-9225,Residential Care Home,"Intermediate Care, Assisted Living, Memory Care",42,LA-ALF-72128,Louisiana Department of Health,2024-12-25,91,True,False,True,https://www.monroe-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.535297,-92.089717
47,Creole Plaza,249 Veterans Boulevard,Monroe,Ouachita,LA,71203,(318) 848-8674,Skilled Nursing Facility,"Intermediate Care, Continuing Care",68,LA-ALF-36521,Louisiana Department of Health,2024-07-24,87,False,True,False,https://www.monroe-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.512281,-92.117142
48,Heritage Court,3657 Causeway Boulevard,West Monroe,Ouachita,LA,71760,(337) 559-6756,Intermediate Care Facility,"Skilled Nursing, Intermediate Care, Respite Care, Continuing Care",99,LA-ALF-62021,Louisiana Department of Health,2024-02-12,74,True,False,False,https://www.westmonroe-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.928341,-93.854463
49,Monroe Manor,9288 West Bank Expressway,Monroe,Ouachita,LA,71201,(985) 706-2424,Assisted Living Facility,"Memory Care, Adult Day Care, Adult Residential Care, Independent Living",70,LA-ALF-26582,Louisiana Department of Health,2024-08-17,86,True,True,False,https://www.monroe-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.510591,-92.110439
50,Plantation Manor,9811 St. Charles Avenue,Sterlington,Ouachita,LA,70144,(504) 989-6553,Adult Residential Care,"Assisted Living, Continuing Care",60,LA-ALF-99400,Louisiana Department of Health,2024-12-24,80,False,False,False,https://www.sterlington-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.211721,-90.78906
51,Columbia Village,1735 Elysian Fields,Columbia,Caldwell,LA,71524,(985) 627-6106,Adult Day Health Care,"Skilled Nursing, Continuing Care",121,LA-ALF-64252,Louisiana Department of Health,2024-01-28,95,False,True,True,https://www.columbia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.000278,-91.812023
52,Heritage Retirement Community,568 River Road,Columbia,Caldwell,LA,71215,(504) 937-3617,Skilled Nursing Facility,"Intermediate Care, Adult Day Care, Adult Residential Care, Respite Care",143,LA-ALF-97808,Louisiana Department of Health,2024-02-27,95,True,False,False,https://www.columbia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.9743,-89.067135
53,River Gardens,9415 Royal Street,Columbia,Caldwell,LA,70722,(318) 313-3534,Intermediate Care Facility,"Adult Residential Care, Continuing Care, Adult Day Care",63,LA-ALF-99402,Louisiana Department of Health,2024-07-24,93,False,True,True,https://www.columbia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.531499,-91.496505
54,River Plaza,6682 Canal Street,Grayson,Caldwell,LA,71430,(337) 326-6002,Memory Care Community,"Assisted Living, Memory Care, Adult Day Care",47,LA-ALF-53259,Louisiana Department of Health,2024-07-24,76,False,False,False,https://www.grayson-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.963712,-89.338691
55,Delta Memory Care,8792 Canal Street,Atlanta,Winn,LA,71762,(985) 784-3174,Adult Residential Care,"Memory Care, Adult Residential Care, Assisted Living, Adult Day Care",93,LA-ALF-90808,Louisiana Department of Health,2024-01-13,91,True,True,False,https://www.atlanta-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.831206,-90.505666
56,Oak Assisted Living,7655 Royal Street,Winnfield,Winn,LA,70177,(504) 203-9273,Assisted Living Facility,"Independent Living, Continuing Care",143,LA-ALF-28794,Louisiana Department of Health,2024-10-24,78,True,False,False,https://www.winnfield-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.596669,-93.953397
57,Garden Plaza,8271 Royal Street,Atlanta,Winn,LA,71486,(337) 310-7912,Residential Care Home,"Intermediate Care, Skilled Nursing, Memory Care",80,LA-ALF-69488,Louisiana Department of Health,2024-08-09,73,False,False,True,https://www.atlanta-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.03315,-90.763392
58,Eros Home,1249 Bourbon Street,Eros,Jackson,LA,71411,(225) 401-8648,Memory Care Community,"Continuing Care, Adult Day Care",64,LA-ALF-26930,Louisiana Department of Health,2024-02-12,74,True,True,True,https://www.eros-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.439437,-89.355581
59,Delta Senior Living,5937 River Road,Eros,Jackson,LA,71393,(337) 937-4096,Adult Residential Care,"Memory Care, Intermediate Care, Continuing Care",76,LA-ALF-50739,Louisiana Department of Health,2024-12-11,95,True,False,False,https://www.eros-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.99615,-92.998707
60,Louisiana Memory Care,1171 Carrollton Avenue,Jonesboro,Jackson,LA,71654,(318) 212-3895,Residential Care Home,"Memory Care, Assisted Living",95,LA-ALF-22758,Louisiana Department of Health,2024-03-08,90,False,True,True,https://www.jonesboro-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.995952,-92.141757
61,Jackson Center,5827 Harrison Avenue,Jonesboro,Jackson,LA,70763,(225) 239-8266,Assisted Living Facility,"Adult Residential Care, Adult Day Care, Intermediate Care",109,LA-ALF-47003,Louisiana Department of Health,2024-03-24,96,True,False,False,https://www.jonesboro-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.511867,-93.243388
62,Bienville Gardens,7660 Broad Street,Arcadia,Bienville,LA,70739,(225) 624-4377,Continuing Care Retirement Community,"Memory Care, Intermediate Care, Independent Living, Adult Residential Care",136,LA-ALF-10507,Louisiana Department of Health,2024-12-25,94,True,False,False,https://www.arcadia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.999189,-89.207883
63,Gibsland Senior Living,9161 Broad Street,Gibsland,Bienville,LA,70897,(504) 509-9270,Intermediate Care Facility,"Intermediate Care, Adult Day Care, Adult Residential Care",105,LA-ALF-38517,Louisiana Department of Health,2024-09-10,96,False,False,False,https://www.gibsland-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.189557,-90.316636
64,Garden Center,2227 Jefferson Highway,Gibsland,Bienville,LA,71474,(337) 419-5142,Skilled Nursing Facility,"Adult Day Care, Respite Care, Independent Living, Skilled Nursing",118,LA-ALF-39285,Louisiana Department of Health,2024-07-07,94,False,True,False,https://www.gibsland-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.266291,-92.472949
65,Plantation Retirement Community,1750 Broad Street,Arcadia,Bienville,LA,71255,(225) 419-4430,Memory Care Community,"Adult Residential Care, Memory Care",111,LA-ALF-80592,Louisiana Department of Health,2024-02-22,83,True,False,False,https://www.arcadia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.723829,-89.164895
66,Hall Summit Assisted Living,2482 St. Charles Avenue,Hall Summit,Red River,LA,71485,(504) 587-1668,Continuing Care Retirement Community,"Assisted Living, Respite Care, Skilled Nursing",93,LA-ALF-40537,Louisiana Department of Health,2024-01-10,75,True,False,False,https://www.hallsummit-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.937697,-89.595798
67,River Center,7541 River Road,Coushatta,Red River,LA,70525,(985) 811-2166,Memory Care Community,"Adult Day Care, Memory Care, Skilled Nursing",134,LA-ALF-89604,Louisiana Department of Health,2024-05-03,99,False,False,True,https://www.coushatta-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.532255,-92.524454
68,Bienville Estates,2144 Harrison Avenue,Robeline,Natchitoches,LA,71227,(985) 884-1609,Adult Residential Care,"Adult Day Care, Respite Care, Continuing Care, Adult Residential Care",69,LA-ALF-65038,Louisiana Department of Health,2024-02-08,82,False,False,True,https://www.robeline-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.053236,-93.03619
69,Plantation Memory Care,8683 Harrison Avenue,Robeline,Natchitoches,LA,70493,(225) 419-1562,Assisted Living Facility,"Adult Day Care, Respite Care",25,LA-ALF-81248,Louisiana Department of Health,2024-04-10,79,False,False,True,https://www.robeline-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.647152,-93.576141
70,Colonial Place,1402 Causeway Boulevard,Zwolle,Sabine,LA,70936,(337) 779-9909,Memory Care Community,"Continuing Care, Independent Living, Assisted Living",29,LA-ALF-33042,Louisiana Department of Health,2024-08-10,83,True,True,True,https://www.zwolle-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.296174,-89.191323
71,Colonial Senior Living,2876 Jefferson Highway,Florien,Sabine,LA,71674,(225) 265-5453,Continuing Care Retirement Community,"Intermediate Care, Adult Residential Care, Continuing Care",97,LA-ALF-60031,Louisiana Department of Health,2024-05-03,83,True,False,False,https://www.florien-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.155915,-92.030268
72,Sabine Retirement Community,6269 Elysian Fields,Zwolle,Sabine,LA,70193,(337) 769-1749,Memory Care Community,"Adult Residential Care, Intermediate Care, Independent Living",39,LA-ALF-89618,Louisiana Department of Health,2024-12-26,78,False,False,False,https://www.zwolle-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.168185,-92.385118
73,Bienville Village,7583 Carrollton Avenue,Florien,Sabine,LA,71249,(985) 767-9576,Assisted Living Facility,"Memory Care, Continuing Care, Independent Living",116,LA-ALF-61007,Louisiana Department of Health,2024-12-20,96,False,True,True,https://www.florien-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.919852,-91.628416
74,Magnolia Senior Living,6001 Veterans Boulevard,Mansfield,DeSoto,LA,71354,(985) 871-5093,Skilled Nursing Facility,"Skilled Nursing, Assisted Living",48,LA-ALF-50880,Louisiana Department of Health,2024-01-18,73,False,True,True,https://www.mansfield-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.551175,-92.365523
75,Willow Estates,4988 St. Charles Avenue,Logansport,DeSoto,LA,70390,(318) 399-4442,Adult Day Health Care,"Continuing Care, Independent Living",31,LA-ALF-55281,Louisiana Department of Health,2024-05-26,89,True,True,True,https://www.logansport-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.86959,-92.327688
76,Bayou Commons,1174 West Bank Expressway,Mansfield,DeSoto,LA,70713,(985) 813-2572,Adult Residential Care,"Memory Care, Intermediate Care",98,LA-ALF-39146,Louisiana Department of Health,2024-12-04,80,True,True,True,https://www.mansfield-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.224986,-91.531365
77,Spanish Moss Village,9484 West Bank Expressway,Gary,Panola,LA,71103,(318) 339-4193,Residential Care Home,"Skilled Nursing, Respite Care, Intermediate Care, Assisted Living",61,LA-ALF-40078,Louisiana Department of Health,2024-08-12,77,False,True,False,https://www.gary-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.789173,-90.152921
78,Southern Assisted Living,9323 Magazine Street,Carthage,Panola,LA,71962,(985) 436-5743,Adult Residential Care,"Intermediate Care, Assisted Living",31,LA-ALF-93655,Louisiana Department of Health,2024-03-20,99,False,True,False,https://www.carthage-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.355281,-89.626563
79,River Plaza,2889 St. Charles Avenue,Beckville,Panola,LA,70443,(225) 270-3796,Adult Residential Care,"Intermediate Care, Skilled Nursing, Adult Residential Care",128,LA-ALF-71676,Louisiana Department of Health,2024-02-15,85,False,False,False,https://www.beckville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.202787,-90.967586
80,Spanish Moss Retirement Community,4136 Canal Street,Pineville,Rapides,LA,70829,(225) 311-2126,Memory Care Community,"Memory Care, Adult Day Care",48,LA-ALF-15869,Louisiana Department of Health,2024-11-20,96,True,False,True,https://www.pineville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.945104,-90.286934
81,Rapides Gardens,7013 River Road,Pineville,Rapides,LA,70552,(337) 793-3592,Adult Day Health Care,"Memory Care, Adult Day Care, Independent Living",143,LA-ALF-97305,Louisiana Department of Health,2024-06-17,99,True,False,True,https://www.pineville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.534999,-90.720078
82,Bayou Residence,404 Carrollton Avenue,Alexandria,Rapides,LA,71302,(504) 365-8707,Continuing Care Retirement Community,"Respite Care, Adult Day Care, Memory Care",116,LA-ALF-45972,Louisiana Department of Health,2024-02-08,95,False,True,True,https://www.alexandria-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.329246,-92.415032
83,Plantation Memory Care,4955 River Road,Ball,Rapides,LA,70418,(225) 820-7279,Adult Residential Care,"Adult Residential Care, Continuing Care, Independent Living",54,LA-ALF-59459,Louisiana Department of Health,2024-05-01,87,True,True,True,https://www.ball-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.503063,-90.152261
