name,address,city,state,zipCode,county,phone,email,website,description,careTypes,amenities,services,latitude,longitude,licenseNumber,facilityType,discoverySource,discoveryDate,isVerified,subscriptionTier,billingStatus,monthlyRate,hasWaitlist,acceptsMedicaid,lastUpdated
Grove of Miami,300 Pine St,Miami,FL,33010,Miami-Dade,(305) 610-1370,info@groveofmiamifl.com,www.groveofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.1,-80.1,FL-MIA-1011,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272733,False,Basic,active,"$6,300/month",True,False,2025-07-22T08:57:20.272748
Manor Care Center,500 Oak Dr,Miami,FL,33011,Miami-Dade,(305) 621-1407,info@manorcarecenterfl.com,www.manorcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.11,-80.11,FL-MIA-1012,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272756,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272759
Miami Point Senior Village,750 Sunset Blvd,Miami,FL,33012,Miami-Dade,(305) 632-1444,info@miamipointseniorvillagefl.com,www.miamipointseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.12,-80.12,FL-MIA-1013,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272770,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.272772
Harbor of Miami,1000 Palm Way,Miami,FL,33013,Miami-Dade,(305) 643-1481,info@harborofmiamifl.com,www.harborofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.13,-80.13,FL-MIA-1014,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272779,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.272781
Place Senior Living,1250 Beach Rd,Miami,FL,33014,Miami-Dade,(305) 654-1518,info@placeseniorlivingfl.com,www.placeseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.14,-80.14,FL-MIA-1015,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272787,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272790
Miami Grove Adult Living,1500 Park Ave,Miami,FL,33015,Miami-Dade,(305) 665-1555,info@miamigroveadultlivingfl.com,www.miamigroveadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.15,-80.15,FL-MIA-1016,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272795,False,Basic,active,"$6,300/month",True,True,2025-07-22T08:57:20.272798
Manor of Miami,100 Main St,Miami,FL,33016,Miami-Dade,(305) 676-1592,info@manorofmiamifl.com,www.manorofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.16,-80.16,FL-MIA-1017,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272804,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.272806
Oaks Retirement Community,200 Ocean Ave,Miami,FL,33017,Miami-Dade,(305) 687-1629,info@oaksretirementcommunityfl.com,www.oaksretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.17,-80.17,FL-MIA-1018,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272813,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.272815
Miami Harbor Memory Care,300 Pine St,Miami,FL,33018,Miami-Dade,(305) 698-1666,info@miamiharbormemorycarefl.com,www.miamiharbormemorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.18,-80.18,FL-MIA-1019,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272833,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.272836
Place of Miami,500 Oak Dr,Miami,FL,33019,Miami-Dade,(305) 709-1703,info@placeofmiamifl.com,www.placeofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.19,-80.19,FL-MIA-1020,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272843,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272845
Shores Residential Care,750 Sunset Blvd,Miami,FL,33020,Miami-Dade,(305) 720-1740,info@shoresresidentialcarefl.com,www.shoresresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.2,-80.2,FL-MIA-1021,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272853,False,Basic,active,"$4,900/month",True,False,2025-07-22T08:57:20.272858
Miami Manor Care Center,1000 Palm Way,Miami,FL,33021,Miami-Dade,(305) 731-1777,info@miamimanorcarecenterfl.com,www.miamimanorcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.21,-80.21,FL-MIA-1022,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272869,False,Basic,active,"$7,699/month",False,True,2025-07-22T08:57:20.272873
Oaks of Miami,1250 Beach Rd,Miami,FL,33022,Miami-Dade,(305) 742-1814,info@oaksofmiamifl.com,www.oaksofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.22,-80.22,FL-MIA-1023,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272883,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272887
Ridge Assisted Living,1500 Park Ave,Miami,FL,33023,Miami-Dade,(305) 753-1851,info@ridgeassistedlivingfl.com,www.ridgeassistedlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.23,-80.23,FL-MIA-1024,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272895,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272898
Miami Place Senior Living,100 Main St,Miami,FL,33024,Miami-Dade,(305) 764-1888,info@miamiplaceseniorlivingfl.com,www.miamiplaceseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.24,-80.24,FL-MIA-1025,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272907,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.272909
Shores of Miami,200 Ocean Ave,Miami,FL,33025,Miami-Dade,(305) 775-1925,info@shoresofmiamifl.com,www.shoresofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.25,-80.25,FL-MIA-1026,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272915,False,Basic,active,"$7,699/month",True,False,2025-07-22T08:57:20.272917
Glen Senior Village,300 Pine St,Miami,FL,33026,Miami-Dade,(305) 786-1962,info@glenseniorvillagefl.com,www.glenseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.26,-80.26,FL-MIA-1027,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272923,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272925
Miami Oaks Retirement Community,500 Oak Dr,Miami,FL,33027,Miami-Dade,(305) 797-1999,info@miamioaksretirementcommunityfl.com,www.miamioaksretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.27,-80.27,FL-MIA-1028,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272931,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.272933
Ridge of Miami,750 Sunset Blvd,Miami,FL,33028,Miami-Dade,(305) 808-2036,info@ridgeofmiamifl.com,www.ridgeofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.28,-80.28,FL-MIA-1029,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272939,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.272941
Vista Adult Living,1000 Palm Way,Miami,FL,33029,Miami-Dade,(305) 819-2073,info@vistaadultlivingfl.com,www.vistaadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.29,-80.29,FL-MIA-1030,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272947,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.272949
Miami Shores Residential Care,1250 Beach Rd,Miami,FL,33030,Miami-Dade,(305) 830-2110,info@miamishoresresidentialcarefl.com,www.miamishoresresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.3,-80.3,FL-MIA-1031,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272954,False,Basic,active,"$6,300/month",True,True,2025-07-22T08:57:20.272956
Glen of Miami,1500 Park Ave,Miami,FL,33031,Miami-Dade,(305) 841-2147,info@glenofmiamifl.com,www.glenofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.31,-80.31,FL-MIA-1032,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272964,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272968
Village Memory Care,100 Main St,Miami,FL,33032,Miami-Dade,(305) 852-2184,info@villagememorycarefl.com,www.villagememorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.32,-80.32,FL-MIA-1033,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272989,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.272994
Miami Ridge Assisted Living,200 Ocean Ave,Miami,FL,33033,Miami-Dade,(305) 863-2221,info@miamiridgeassistedlivingfl.com,www.miamiridgeassistedlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.33,-80.33,FL-MIA-1034,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273011,False,Basic,active,"$7,699/month",False,True,2025-07-22T08:57:20.273014
Vista of Miami,300 Pine St,Miami,FL,33034,Miami-Dade,(305) 874-2258,info@vistaofmiamifl.com,www.vistaofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.34,-80.34,FL-MIA-1035,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273020,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.273022
Park Care Center,500 Oak Dr,Miami,FL,33035,Miami-Dade,(305) 885-2295,info@parkcarecenterfl.com,www.parkcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.35,-80.35,FL-MIA-1036,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273028,False,Basic,active,"$6,300/month",True,False,2025-07-22T08:57:20.273030
Miami Glen Senior Village,750 Sunset Blvd,Miami,FL,33036,Miami-Dade,(305) 896-2332,info@miamiglenseniorvillagefl.com,www.miamiglenseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.36,-80.36,FL-MIA-1037,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273035,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.273038
Village of Miami,1000 Palm Way,Miami,FL,33037,Miami-Dade,(305) 907-2369,info@villageofmiamifl.com,www.villageofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.37,-80.37,FL-MIA-1038,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273043,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.273047
Palms Senior Living,1250 Beach Rd,Miami,FL,33038,Miami-Dade,(305) 918-2406,info@palmsseniorlivingfl.com,www.palmsseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.38,-80.38,FL-MIA-1039,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273052,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.273054
Miami Vista Adult Living,1500 Park Ave,Miami,FL,33039,Miami-Dade,(305) 929-2443,info@miamivistaadultlivingfl.com,www.miamivistaadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.39,-80.39,FL-MIA-1040,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273062,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.273064
Park of Miami,100 Main St,Miami,FL,33040,Miami-Dade,(305) 940-2480,info@parkofmiamifl.com,www.parkofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.4,-80.4,FL-MIA-1041,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273069,False,Basic,active,"$4,900/month",True,False,2025-07-22T08:57:20.273071
Bay Retirement Community,200 Ocean Ave,Miami,FL,33041,Miami-Dade,(305) 951-2517,info@bayretirementcommunityfl.com,www.bayretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.41,-80.41,FL-MIA-1042,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273077,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.273079
Miami Village Memory Care,300 Pine St,Miami,FL,33042,Miami-Dade,(305) 962-2554,info@miamivillagememorycarefl.com,www.miamivillagememorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.42,-80.42,FL-MIA-1043,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273084,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.273086
Palms of Miami,500 Oak Dr,Miami,FL,33043,Miami-Dade,(305) 973-2591,info@palmsofmiamifl.com,www.palmsofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.43,-80.43,FL-MIA-1044,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273091,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.273093
Creek Residential Care,750 Sunset Blvd,Miami,FL,33044,Miami-Dade,(305) 984-2628,info@creekresidentialcarefl.com,www.creekresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.44,-80.44,FL-MIA-1045,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.273100,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.273102
