id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Ocean State Manor,1000 Main Street,Bristol,Bristol,RI,02801,(401) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,RI-ACF-28001,Rhode Island Department of Health,2024-03-01,80,True,True,True,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.626400000000004,-71.3254
24,Ocean State Manor,1000 Main Street,Newport,Newport,RI,02824,(401) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,RI-ACF-28024,Rhode Island Department of Health,2024-03-01,80,True,True,True,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.376400000000004,-71.3554
25,Narragansett Bay Village,1100 Ocean Avenue,Middletown,Newport,RI,02825,(401) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,RI-ACF-28025,Rhode Island Department of Health,2024-04-02,81,False,False,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.3864,-71.3454
26,Newport Mansion Commons,1200 Narragansett Boulevard,Portsmouth,Newport,RI,02826,(401) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,RI-ACF-28026,Rhode Island Department of Health,2024-05-03,82,False,True,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.3964,-71.33539999999999
27,Providence Village,1300 Newport Drive,Jamestown,Newport,RI,02827,(401) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,RI-ACF-28027,Rhode Island Department of Health,2024-06-04,83,True,False,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4064,-71.3254
28,Block Island Manor,1400 Providence Street,Tiverton,Newport,RI,02828,(401) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,RI-ACF-28028,Rhode Island Department of Health,2024-07-05,84,False,True,True,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4164,-71.3154
29,Aquidneck Commons,1500 Block Island Avenue,Little Compton,Newport,RI,02829,(401) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,RI-ACF-28029,Rhode Island Department of Health,2024-08-06,85,False,False,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4264,-71.30539999999999
30,Warwick Village,1600 Aquidneck Boulevard,Newport,Newport,RI,02830,(401) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,RI-ACF-28030,Rhode Island Department of Health,2024-09-07,86,True,True,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4364,-71.2954
31,Cranston Manor,1700 Warwick Drive,Middletown,Newport,RI,02831,(401) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,RI-ACF-28031,Rhode Island Department of Health,2024-10-08,87,False,False,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.446400000000004,-71.2854
32,Pawtucket Commons,1800 Cranston Street,Portsmouth,Newport,RI,02832,(401) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,RI-ACF-28032,Rhode Island Department of Health,2024-11-09,88,False,True,True,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4564,-71.3554
33,Woonsocket Village,1900 Pawtucket Avenue,Jamestown,Newport,RI,02833,(401) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,RI-ACF-28033,Rhode Island Department of Health,2024-03-10,89,True,False,False,https://www.newport-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4664,-71.3454
34,Ocean State Manor,1000 Main Street,Providence,Providence,RI,02834,(401) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,RI-ACF-28034,Rhode Island Department of Health,2024-03-01,80,True,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.774,-71.45280000000001
35,Narragansett Bay Village,1100 Ocean Avenue,Cranston,Providence,RI,02835,(401) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,RI-ACF-28035,Rhode Island Department of Health,2024-04-02,81,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.784,-71.4428
36,Newport Mansion Commons,1200 Narragansett Boulevard,Pawtucket,Providence,RI,02836,(401) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,RI-ACF-28036,Rhode Island Department of Health,2024-05-03,82,False,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.794,-71.4328
37,Providence Village,1300 Newport Drive,Woonsocket,Providence,RI,02837,(401) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,RI-ACF-28037,Rhode Island Department of Health,2024-06-04,83,True,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.803999999999995,-71.42280000000001
38,Block Island Manor,1400 Providence Street,North Providence,Providence,RI,02838,(401) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,RI-ACF-28038,Rhode Island Department of Health,2024-07-05,84,False,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.814,-71.4128
39,Aquidneck Commons,1500 Block Island Avenue,Johnston,Providence,RI,02839,(401) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,RI-ACF-28039,Rhode Island Department of Health,2024-08-06,85,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.824,-71.4028
40,Warwick Village,1600 Aquidneck Boulevard,Smithfield,Providence,RI,02840,(401) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,RI-ACF-28040,Rhode Island Department of Health,2024-09-07,86,True,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.833999999999996,-71.39280000000001
41,Cranston Manor,1700 Warwick Drive,Cumberland,Providence,RI,02841,(401) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,RI-ACF-28041,Rhode Island Department of Health,2024-10-08,87,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.844,-71.3828
42,Pawtucket Commons,1800 Cranston Street,Providence,Providence,RI,02842,(401) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,RI-ACF-28042,Rhode Island Department of Health,2024-11-09,88,False,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.854,-71.45280000000001
43,Woonsocket Village,1900 Pawtucket Avenue,Cranston,Providence,RI,02843,(401) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,RI-ACF-28043,Rhode Island Department of Health,2024-03-10,89,True,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.864,-71.4428
44,Westerly Manor,2000 Woonsocket Boulevard,Pawtucket,Providence,RI,02844,(401) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,RI-ACF-28044,Rhode Island Department of Health,2024-04-11,90,False,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.774,-71.4328
45,East Greenwich Commons,2100 Westerly Drive,Woonsocket,Providence,RI,02845,(401) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,RI-ACF-28045,Rhode Island Department of Health,2024-05-12,91,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.784,-71.42280000000001
46,Middletown Village,2200 East Greenwich Street,North Providence,Providence,RI,02846,(401) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,RI-ACF-28046,Rhode Island Department of Health,2024-06-13,92,True,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.794,-71.4128
47,Portsmouth Manor,2300 Middletown Avenue,Johnston,Providence,RI,02847,(401) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,RI-ACF-28047,Rhode Island Department of Health,2024-07-14,93,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.803999999999995,-71.4028
48,Jamestown Commons,2400 Portsmouth Boulevard,Smithfield,Providence,RI,02848,(401) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,RI-ACF-28048,Rhode Island Department of Health,2024-08-15,94,False,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.814,-71.39280000000001
49,Tiverton Village,2500 Jamestown Drive,Cumberland,Providence,RI,02849,(401) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,40,RI-ACF-28049,Rhode Island Department of Health,2024-09-16,95,True,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.824,-71.3828
50,Little Compton Manor,2600 Tiverton Street,Providence,Providence,RI,02850,(401) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,41,RI-ACF-28050,Rhode Island Department of Health,2024-10-17,96,False,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.833999999999996,-71.45280000000001
51,Barrington Commons,2700 Little Compton Avenue,Cranston,Providence,RI,02851,(401) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,42,RI-ACF-28051,Rhode Island Department of Health,2024-11-18,97,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.844,-71.4428
52,Bristol Village,2800 Barrington Boulevard,Pawtucket,Providence,RI,02852,(401) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,43,RI-ACF-28052,Rhode Island Department of Health,2024-03-19,98,True,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.854,-71.4328
53,Warren Manor,2900 Bristol Drive,Woonsocket,Providence,RI,02853,(401) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,44,RI-ACF-28053,Rhode Island Department of Health,2024-04-20,99,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.864,-71.42280000000001
54,Coastal Village,3000 Warren Street,North Providence,Providence,RI,02854,(401) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,45,RI-ACF-28054,Rhode Island Department of Health,2024-05-21,80,False,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.774,-71.4128
55,Lighthouse Commons,3100 Coastal Avenue,Johnston,Providence,RI,02855,(401) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,46,RI-ACF-28055,Rhode Island Department of Health,2024-06-22,81,True,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.784,-71.4028
56,Sailing Manor,3200 Lighthouse Boulevard,Smithfield,Providence,RI,02856,(401) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,47,RI-ACF-28056,Rhode Island Department of Health,2024-07-23,82,False,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.794,-71.39280000000001
57,Yacht Club Village,3300 Sailing Drive,Cumberland,Providence,RI,02857,(401) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,48,RI-ACF-28057,Rhode Island Department of Health,2024-08-24,83,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.803999999999995,-71.3828
58,Clam Shack Commons,3400 Yacht Club Street,Providence,Providence,RI,02858,(401) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,49,RI-ACF-28058,Rhode Island Department of Health,2024-09-25,84,True,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.814,-71.45280000000001
59,Lighthouse Point Manor,3500 Clam Shack Avenue,Cranston,Providence,RI,02859,(401) 225-1025,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,50,RI-ACF-28059,Rhode Island Department of Health,2024-10-26,85,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.824,-71.4428
60,Seaside Village,3600 Lighthouse Point Drive,Pawtucket,Providence,RI,02860,(401) 226-1026,Senior Living,Assisted Living; Personal Care; Hospice Care,51,RI-ACF-28060,Rhode Island Department of Health,2024-11-27,86,False,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.833999999999996,-71.4328
61,Harbor Commons,3700 Seaside Street,Woonsocket,Providence,RI,02861,(401) 227-1027,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,52,RI-ACF-28061,Rhode Island Department of Health,2024-03-28,87,True,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.844,-71.42280000000001
62,Ocean State Manor,3800 Main Street,North Providence,Providence,RI,02862,(401) 228-1028,Senior Living,Assisted Living; Memory Care; Independent Living,53,RI-ACF-28062,Rhode Island Department of Health,2024-04-01,88,False,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.854,-71.4128
63,Narragansett Bay Village,3900 Ocean Avenue,Johnston,Providence,RI,02863,(401) 229-1029,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,54,RI-ACF-28063,Rhode Island Department of Health,2024-05-02,89,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.864,-71.4028
64,Newport Mansion Commons,4000 Narragansett Boulevard,Smithfield,Providence,RI,02864,(401) 230-1030,Senior Living,Continuing Care; Adult Day Services; Personal Care,55,RI-ACF-28064,Rhode Island Department of Health,2024-06-03,90,True,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.774,-71.39280000000001
65,Providence Village,4100 Newport Drive,Cumberland,Providence,RI,02865,(401) 231-1031,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,56,RI-ACF-28065,Rhode Island Department of Health,2024-07-04,91,False,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.784,-71.3828
66,Block Island Manor,4200 Providence Street,Providence,Providence,RI,02866,(401) 232-1032,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,57,RI-ACF-28066,Rhode Island Department of Health,2024-08-05,92,False,True,True,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.794,-71.45280000000001
67,Aquidneck Commons,4300 Block Island Avenue,Cranston,Providence,RI,02867,(401) 233-1033,Senior Living,Assisted Living; Personal Care; Hospice Care,58,RI-ACF-28067,Rhode Island Department of Health,2024-09-06,93,True,False,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.803999999999995,-71.4428
68,Warwick Village,4400 Aquidneck Boulevard,Pawtucket,Providence,RI,02868,(401) 234-1034,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,59,RI-ACF-28068,Rhode Island Department of Health,2024-10-07,94,False,True,False,https://www.providence-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.814,-71.4328
69,Ocean State Manor,1000 Main Street,Westerly,Washington,RI,02869,(401) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,RI-ACF-28069,Rhode Island Department of Health,2024-03-01,80,True,True,True,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.376400000000004,-71.72540000000001
70,Narragansett Bay Village,1100 Ocean Avenue,South Kingstown,Washington,RI,02870,(401) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,RI-ACF-28070,Rhode Island Department of Health,2024-04-02,81,False,False,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.3864,-71.7154
71,Newport Mansion Commons,1200 Narragansett Boulevard,North Kingstown,Washington,RI,02871,(401) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,RI-ACF-28071,Rhode Island Department of Health,2024-05-03,82,False,True,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.3964,-71.7054
72,Providence Village,1300 Newport Drive,Narragansett,Washington,RI,02872,(401) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,RI-ACF-28072,Rhode Island Department of Health,2024-06-04,83,True,False,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4064,-71.6954
73,Block Island Manor,1400 Providence Street,Charlestown,Washington,RI,02873,(401) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,RI-ACF-28073,Rhode Island Department of Health,2024-07-05,84,False,True,True,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4164,-71.6854
74,Aquidneck Commons,1500 Block Island Avenue,Richmond,Washington,RI,02874,(401) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,RI-ACF-28074,Rhode Island Department of Health,2024-08-06,85,False,False,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4264,-71.6754
75,Warwick Village,1600 Aquidneck Boulevard,Hopkinton,Washington,RI,02875,(401) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,RI-ACF-28075,Rhode Island Department of Health,2024-09-07,86,True,True,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4364,-71.6654
76,Cranston Manor,1700 Warwick Drive,Exeter,Washington,RI,02876,(401) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,RI-ACF-28076,Rhode Island Department of Health,2024-10-08,87,False,False,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.446400000000004,-71.6554
77,Pawtucket Commons,1800 Cranston Street,Westerly,Washington,RI,02877,(401) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,RI-ACF-28077,Rhode Island Department of Health,2024-11-09,88,False,True,True,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4564,-71.72540000000001
78,Woonsocket Village,1900 Pawtucket Avenue,South Kingstown,Washington,RI,02878,(401) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,RI-ACF-28078,Rhode Island Department of Health,2024-03-10,89,True,False,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.4664,-71.7154
79,Westerly Manor,2000 Woonsocket Boulevard,North Kingstown,Washington,RI,02879,(401) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,RI-ACF-28079,Rhode Island Department of Health,2024-04-11,90,False,True,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.376400000000004,-71.7054
80,East Greenwich Commons,2100 Westerly Drive,Narragansett,Washington,RI,02880,(401) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,RI-ACF-28080,Rhode Island Department of Health,2024-05-12,91,False,False,False,https://www.washington-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.3864,-71.6954
