id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Colonial Manor,1000 Main Street,Accomack,Accomack,VA,22001,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70001,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
13,Old Dominion Village,1200 Colonial Drive,Covington,Alleghany,VA,22013,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70013,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.alleghany-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
14,Virginia Heritage Care,1300 Commonwealth Boulevard,Covington,Alleghany,VA,22014,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70014,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.alleghany-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
15,Potomac River Manor,1400 Jefferson Street,Covington,Alleghany,VA,22015,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70015,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.alleghany-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
16,Colonial Manor,1000 Main Street,Amelia,Amelia,VA,22016,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70016,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.amelia-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
17,Commonwealth Commons,1100 Virginia Avenue,Amelia,Amelia,VA,22017,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70017,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.amelia-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
18,Old Dominion Village,1200 Colonial Drive,Amelia,Amelia,VA,22018,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70018,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.amelia-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
19,Virginia Heritage Care,1300 Commonwealth Boulevard,Amelia,Amelia,VA,22019,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70019,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.amelia-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
20,Potomac River Manor,1400 Jefferson Street,Amelia,Amelia,VA,22020,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70020,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.amelia-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
21,Colonial Manor,1000 Main Street,Amherst,Amherst,VA,22021,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70021,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.amherst-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
22,Commonwealth Commons,1100 Virginia Avenue,Amherst,Amherst,VA,22022,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70022,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.amherst-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
23,Old Dominion Village,1200 Colonial Drive,Amherst,Amherst,VA,22023,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70023,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.amherst-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
24,Virginia Heritage Care,1300 Commonwealth Boulevard,Amherst,Amherst,VA,22024,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70024,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.amherst-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
25,Potomac River Manor,1400 Jefferson Street,Amherst,Amherst,VA,22025,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70025,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.amherst-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
26,Colonial Manor,1000 Main Street,Appomattox,Appomattox,VA,22026,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70026,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.appomattox-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
27,Commonwealth Commons,1100 Virginia Avenue,Appomattox,Appomattox,VA,22027,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70027,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.appomattox-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
28,Old Dominion Village,1200 Colonial Drive,Appomattox,Appomattox,VA,22028,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70028,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.appomattox-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
29,Virginia Heritage Care,1300 Commonwealth Boulevard,Appomattox,Appomattox,VA,22029,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70029,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.appomattox-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
30,Potomac River Manor,1400 Jefferson Street,Appomattox,Appomattox,VA,22030,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70030,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.appomattox-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
31,Colonial Manor,1000 Main Street,Arlington,Arlington,VA,22031,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70031,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.arlington-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
32,Commonwealth Commons,1100 Virginia Avenue,Arlington,Arlington,VA,22032,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70032,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.arlington-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
33,Old Dominion Village,1200 Colonial Drive,Arlington,Arlington,VA,22033,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70033,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.arlington-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
34,Virginia Heritage Care,1300 Commonwealth Boulevard,Arlington,Arlington,VA,22034,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70034,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.arlington-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
35,Potomac River Manor,1400 Jefferson Street,Arlington,Arlington,VA,22035,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70035,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.arlington-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
36,Colonial Manor,1000 Main Street,Staunton,Augusta,VA,22036,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70036,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.augusta-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
37,Commonwealth Commons,1100 Virginia Avenue,Staunton,Augusta,VA,22037,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70037,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.augusta-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
38,Old Dominion Village,1200 Colonial Drive,Staunton,Augusta,VA,22038,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70038,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.augusta-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
39,Virginia Heritage Care,1300 Commonwealth Boulevard,Staunton,Augusta,VA,22039,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70039,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.augusta-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
40,Potomac River Manor,1400 Jefferson Street,Staunton,Augusta,VA,22040,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70040,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.augusta-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
41,Colonial Manor,1000 Main Street,Warm Springs,Bath,VA,22041,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70041,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.bath-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
42,Commonwealth Commons,1100 Virginia Avenue,Warm Springs,Bath,VA,22042,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70042,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.bath-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
43,Old Dominion Village,1200 Colonial Drive,Warm Springs,Bath,VA,22043,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70043,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.bath-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
44,Virginia Heritage Care,1300 Commonwealth Boulevard,Warm Springs,Bath,VA,22044,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70044,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.bath-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
45,Potomac River Manor,1400 Jefferson Street,Warm Springs,Bath,VA,22045,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70045,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.bath-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
46,Colonial Manor,1000 Main Street,Bedford,Bedford,VA,22046,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70046,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.bedford-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
47,Commonwealth Commons,1100 Virginia Avenue,Bedford,Bedford,VA,22047,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70047,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.bedford-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
48,Old Dominion Village,1200 Colonial Drive,Bedford,Bedford,VA,22048,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70048,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.bedford-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
49,Virginia Heritage Care,1300 Commonwealth Boulevard,Bedford,Bedford,VA,22049,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70049,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.bedford-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
50,Potomac River Manor,1400 Jefferson Street,Bedford,Bedford,VA,22050,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70050,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.bedford-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
51,Colonial Manor,1000 Main Street,Bland,Bland,VA,22051,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70051,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.bland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
52,Commonwealth Commons,1100 Virginia Avenue,Bland,Bland,VA,22052,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70052,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.bland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
53,Old Dominion Village,1200 Colonial Drive,Bland,Bland,VA,22053,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70053,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.bland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
54,Virginia Heritage Care,1300 Commonwealth Boulevard,Bland,Bland,VA,22054,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70054,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.bland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
55,Potomac River Manor,1400 Jefferson Street,Bland,Bland,VA,22055,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70055,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.bland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
56,Colonial Manor,1000 Main Street,Fincastle,Botetourt,VA,22056,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70056,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.botetourt-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
57,Commonwealth Commons,1100 Virginia Avenue,Fincastle,Botetourt,VA,22057,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70057,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.botetourt-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
58,Old Dominion Village,1200 Colonial Drive,Fincastle,Botetourt,VA,22058,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70058,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.botetourt-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
59,Virginia Heritage Care,1300 Commonwealth Boulevard,Fincastle,Botetourt,VA,22059,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70059,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.botetourt-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
60,Potomac River Manor,1400 Jefferson Street,Fincastle,Botetourt,VA,22060,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70060,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.botetourt-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
61,Colonial Manor,1000 Main Street,Brunswick,Brunswick,VA,22061,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70061,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.brunswick-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
62,Commonwealth Commons,1100 Virginia Avenue,Brunswick,Brunswick,VA,22062,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70062,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.brunswick-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
63,Old Dominion Village,1200 Colonial Drive,Brunswick,Brunswick,VA,22063,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70063,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.brunswick-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
64,Virginia Heritage Care,1300 Commonwealth Boulevard,Brunswick,Brunswick,VA,22064,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70064,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.brunswick-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
65,Potomac River Manor,1400 Jefferson Street,Brunswick,Brunswick,VA,22065,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70065,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.brunswick-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
66,Colonial Manor,1000 Main Street,Grundy,Buchanan,VA,22066,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70066,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.buchanan-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
67,Commonwealth Commons,1100 Virginia Avenue,Grundy,Buchanan,VA,22067,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70067,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.buchanan-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
68,Old Dominion Village,1200 Colonial Drive,Grundy,Buchanan,VA,22068,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70068,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.buchanan-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
69,Virginia Heritage Care,1300 Commonwealth Boulevard,Grundy,Buchanan,VA,22069,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70069,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.buchanan-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
70,Potomac River Manor,1400 Jefferson Street,Grundy,Buchanan,VA,22070,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70070,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.buchanan-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
71,Colonial Manor,1000 Main Street,Buckingham,Buckingham,VA,22071,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70071,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.buckingham-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
72,Commonwealth Commons,1100 Virginia Avenue,Buckingham,Buckingham,VA,22072,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70072,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.buckingham-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
73,Old Dominion Village,1200 Colonial Drive,Buckingham,Buckingham,VA,22073,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70073,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.buckingham-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
74,Virginia Heritage Care,1300 Commonwealth Boulevard,Buckingham,Buckingham,VA,22074,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70074,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.buckingham-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
75,Potomac River Manor,1400 Jefferson Street,Buckingham,Buckingham,VA,22075,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70075,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.buckingham-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
76,Colonial Manor,1000 Main Street,Lynchburg,Campbell,VA,22076,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70076,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.campbell-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
77,Commonwealth Commons,1100 Virginia Avenue,Lynchburg,Campbell,VA,22077,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70077,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.campbell-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
78,Old Dominion Village,1200 Colonial Drive,Lynchburg,Campbell,VA,22078,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70078,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.campbell-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
79,Virginia Heritage Care,1300 Commonwealth Boulevard,Lynchburg,Campbell,VA,22079,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70079,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.campbell-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
80,Potomac River Manor,1400 Jefferson Street,Lynchburg,Campbell,VA,22080,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70080,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.campbell-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
81,Colonial Manor,1000 Main Street,Bowling Green,Caroline,VA,22081,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70081,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.caroline-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
82,Commonwealth Commons,1100 Virginia Avenue,Bowling Green,Caroline,VA,22082,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70082,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.caroline-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
83,Old Dominion Village,1200 Colonial Drive,Bowling Green,Caroline,VA,22083,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70083,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.caroline-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
84,Virginia Heritage Care,1300 Commonwealth Boulevard,Bowling Green,Caroline,VA,22084,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70084,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.caroline-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
