provider_name,facility_type,address,city,state,phone,license_number,license_status,ownership_type,services,care_category,county,source_url,scraped_date
Oak Brazoria Residential Care,Assisted Living and Memory Care,7022 Montrose Avenue,Pearland,TX,(972) 387-6948,ASL92540,Active,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986073
Premier Fort Bend Senior Village,Assisted Living Center,4925 San Antonio Lane,Humble,TX,(817) 577-2635,RC82051,Licensed,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986089
West Texas Senior Residence,Assisted Living and Memory Care,2551 Westheimer Place,West University Place,TX,(325) 844-5665,LTC75173,Licensed,Corporate,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986102
Baylor Dallas Senior Care Center,Assisted Living Center,7201 Skillman Street,Houston,TX,(214) 785-1223,ALF69231,Active,Non-Profit,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986116
Bluebonnet Living Center,Residential Care Facility,8717 Skillman Court,Houston,TX,(512) 545-7464,ALF71718,Active - Good Standing,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986129
Estate Dallas Care Center,Senior Living Community,5661 Austin Lane,Tomball,TX,(210) 637-7454,ALF40654,Active - Good Standing,Non-Profit,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986143
Community Senior Village,Residential Care Facility,8471 Lincoln Court,Bellaire,TX,(830) 511-4371,ALF23824,Licensed,Private,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986161
Christus Independent Living,Assisted Living Center,7723 Gulf Freeway Drive,Tomball,TX,(281) 991-8168,LTC35479,Licensed,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986176
Gardens Care Center,Senior Living Community,6149 Bellaire Boulevard,Pasadena,TX,(430) 838-7324,ALF26436,Active - Good Standing,Non-Profit,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986189
Silver Senior Village,Residential Care Facility,8498 Jefferson Street,Houston,TX,(737) 374-9148,RC48340,Active - Good Standing,Non-Profit,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986203
Sunrise Assisted Living,Residential Care Facility,2341 Jefferson Road,West University Place,TX,(682) 561-2587,ALF42944,Licensed,Private,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986216
UT Health Assisted Living Facility,Assisted Living Center,2071 Westheimer Lane,Tomball,TX,(469) 276-1020,ASL87759,Active - Good Standing,Private,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986230
Lone Star Fort Bend Senior Campus,Senior Living Community,3033 Lovers Street,Cypress,TX,(915) 679-7392,RC37021,Licensed,Non-Profit,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986245
Elm Nueces Care Center,Assisted Living and Memory Care,2329 Cedar Boulevard,Pasadena,TX,(979) 473-8253,LTC84535,Active - Good Standing,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986259
Legacy Guadalupe Community Living,Senior Living Community,1221 Austin Street,Houston,TX,(737) 713-6929,ALF24137,Licensed,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986290
East Texas Care Community,Assisted Living and Memory Care,8065 Dallas Lane,Bellaire,TX,(830) 891-3751,ASL66457,Active - Good Standing,Private,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986304
The Arbors Brazoria Senior Residence,Senior Living Community,2989 Gulf Freeway Way,Humble,TX,(940) 325-3478,ALF98552,Active - Good Standing,Family-Owned,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986319
Villa Guadalupe Care Services,Residential Care Facility,1393 Memorial Lane,Katy,TX,(409) 335-2315,ALF53897,Licensed,Family-Owned,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986334
Commons Guadalupe Assisted Living Facility,Assisted Living Center,8944 University Way,West University Place,TX,(346) 712-7496,LTC36081,Active - Good Standing,Private,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986349
Community Care Services,Assisted Living Facility,4878 Eastex Freeway Avenue,Houston,TX,(726) 711-3935,LTC72421,Licensed,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986362
Lone Star Bexar Community Living,Assisted Living and Memory Care,9771 Jefferson Drive,Humble,TX,(817) 561-8955,ALF49907,Active,Private,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986376
Gulf Coast Health Services,Assisted Living Center,8229 Skillman Way,Humble,TX,(214) 558-4461,LTC74107,Licensed,Private,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986390
Hill Country Collin Care Community,Assisted Living and Memory Care,2782 Austin Road,West University Place,TX,(210) 849-4983,ASL60849,Active,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986404
Premier Assisted Living Facility,Assisted Living Center,2354 Washington Boulevard,Cypress,TX,(832) 994-2615,RC53029,Licensed,Private,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986417
East Texas Assisted Living Facility,Senior Living Community,599 Skillman Court,Bellaire,TX,(726) 327-9270,RC96290,Active - Good Standing,Family-Owned,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986430
HCA Senior Living,Residential Care Facility,6383 Bellaire Way,Humble,TX,(409) 208-6599,ALF76791,Licensed,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986443
West Texas Residential Care,Residential Care Facility,5178 Houston Court,Bellaire,TX,(254) 545-7610,ALF73288,Active,Family-Owned,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986462
East Texas Independent Living,Assisted Living Center,766 Highland Way,West University Place,TX,(726) 612-9823,LTC81745,Active - Good Standing,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986475
Villa Dallas Senior Living,Senior Living Community,3166 Main Way,Humble,TX,(254) 822-3872,ALF30648,Licensed,Family-Owned,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986490
Maple Montgomery Senior Services,Assisted Living Center,4185 Eastex Freeway Street,West University Place,TX,(214) 252-3088,ALF87771,Licensed,Non-Profit,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986524
Texas Health Senior Care,Senior Living Community,2161 Kirby Avenue,Pearland,TX,(956) 426-3994,LTC19098,Active,Private,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986538
East Texas Senior Care Center,Assisted Living and Memory Care,1025 Main Boulevard,West University Place,TX,(979) 899-4438,LTC74997,Licensed,Corporate,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986552
UT Health Community Living,Assisted Living and Memory Care,2419 Elm Way,Tomball,TX,(737) 955-1841,RC77277,Active,Corporate,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986566
West Texas Residential Care,Assisted Living Facility,3347 Cedar Boulevard,Houston,TX,(409) 492-7833,ASL18967,Active - Good Standing,Non-Profit,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986580
Christus Senior Services,Assisted Living Center,9416 Montrose Place,West University Place,TX,(361) 955-8393,RC25982,Active - Good Standing,Non-Profit,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986593
Sunset Bell Community Living,Assisted Living Center,9294 River Oaks Way,West University Place,TX,(979) 701-7587,ALF76942,Active - Good Standing,Private,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986607
Cedar Jefferson Assisted Living,Assisted Living and Memory Care,4085 Medical Center Boulevard,Houston,TX,(832) 203-7435,ASL25608,Active - Good Standing,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986625
Cypress Collin Senior Community,Residential Care Facility,3566 Memorial Road,Humble,TX,(682) 703-1344,ALF73750,Active - Good Standing,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986639
Community Assisted Living Center,Assisted Living Center,6985 Lincoln Drive,Pasadena,TX,(281) 926-8767,LTC58135,Active,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986652
Ridge Assisted Care,Senior Living Community,6917 Gulf Freeway Road,Pasadena,TX,(737) 899-5630,RC62868,Active,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986665
Garden Care Community,Residential Care Facility,4558 Forest Street,Pasadena,TX,(430) 600-8661,ALF62110,Active - Good Standing,Non-Profit,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986678
Legacy Care Services,Senior Living Community,6086 Pine Drive,Spring,TX,(903) 352-8036,RC67730,Active,Corporate,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986692
Memorial Assisted Living,Residential Care Facility,1347 Fannin Lane,Spring,TX,(940) 486-3009,LTC88563,Active - Good Standing,Corporate,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986718
Golden Assisted Care,Assisted Living and Memory Care,3734 Cedar Road,Cypress,TX,(972) 236-6795,RC72641,Active - Good Standing,Private,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986733
Community Community Living,Assisted Living Center,2519 Kirby Road,Pearland,TX,(281) 374-6382,ASL44779,Licensed,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986746
Atria Brazoria Assisted Care,Residential Care Facility,2506 Medical Center Boulevard,Pearland,TX,(903) 573-8366,ALF61498,Active - Good Standing,Family-Owned,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986761
Maple Residential Care,Assisted Living Center,2786 Maple Court,Humble,TX,(903) 577-6348,ASL43195,Licensed,Corporate,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986778
Magnolia Senior Care,Assisted Living and Memory Care,5994 Cedar Court,Humble,TX,(512) 507-7900,LTC69438,Active,Corporate,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986794
Elm Care Center,Senior Living Community,5456 Montrose Way,Spring,TX,(682) 947-2386,LTC66670,Active - Good Standing,Corporate,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986807
Manor Retirement Community,Assisted Living Facility,8961 University Boulevard,Katy,TX,(979) 377-3872,ALF79684,Licensed,Private,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986821
Estate Bexar Senior Care Center,Assisted Living and Memory Care,9214 Beltway Avenue,Pasadena,TX,(254) 757-4268,LTC61627,Active,Private,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986834
Court Bexar Care Center,Assisted Living Center,996 University Avenue,West University Place,TX,(979) 843-4983,ALF35531,Licensed,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986849
Heritage Denton Assisted Living Center,Assisted Living and Memory Care,5728 Skillman Place,Bellaire,TX,(254) 777-4278,ASL56205,Active - Good Standing,Non-Profit,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986862
Lone Star Living Center,Assisted Living Center,9170 Oak Drive,Bellaire,TX,(210) 659-6057,ASL44501,Licensed,Corporate,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986876
Mesquite Montgomery Senior Residence,Assisted Living and Memory Care,2396 Loop Lane,Pasadena,TX,(214) 663-6594,ALF27017,Active - Good Standing,Non-Profit,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986890
Belmont Village Dallas Assisted Living Center,Assisted Living Center,2024 Houston Boulevard,Katy,TX,(210) 219-1652,ALF97223,Licensed,Private,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986905
Baylor Care Services,Assisted Living and Memory Care,4491 River Oaks Way,Bellaire,TX,(832) 341-7205,ASL71624,Licensed,Private,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986923
Sunrise Senior Residence,Assisted Living Facility,4899 Mockingbird Way,Humble,TX,(915) 730-9053,LTC28847,Active - Good Standing,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986937
Lone Star Senior Care,Assisted Living Facility,4817 Highland Place,Humble,TX,(682) 576-9352,ASL45389,Active,Family-Owned,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986950
Atria Denton Senior Care,Assisted Living Facility,3523 San Antonio Road,Pearland,TX,(737) 936-8208,ALF91370,Active - Good Standing,Corporate,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986965
Memorial Community Living,Assisted Living Facility,5455 Mockingbird Street,Houston,TX,(832) 744-7917,RC23640,Licensed,Family-Owned,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986979
Manor Senior Community,Residential Care Facility,8735 Kirby Street,Bellaire,TX,(430) 594-1517,ASL42979,Licensed,Non-Profit,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986992
Terrace Senior Housing,Assisted Living Facility,8456 Forest Avenue,Pasadena,TX,(956) 669-8117,RC34757,Active,Corporate,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987009
Silver Assisted Living Center,Assisted Living Center,7734 Beltway Place,University Park,TX,(832) 500-2793,ASL91744,Active - Good Standing,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987027
Medical Center Senior Living,Residential Care Facility,3565 Park Lane,Grand Prairie,TX,(903) 652-1797,LTC45127,Licensed,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987043
East Texas Residential Care,Assisted Living and Memory Care,4270 Montrose Place,Richardson,TX,(940) 561-5071,RC45710,Active,Corporate,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987057
Ridge Senior Community,Senior Living Community,1361 Medical Center Drive,Farmers Branch,TX,(972) 460-2586,RC29112,Active - Good Standing,Non-Profit,"Memory Care, Skilled Nursing",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987073
Elm Senior Care Center,Assisted Living Center,3276 Highland Street,Highland Park,TX,(214) 700-4580,LTC61178,Active - Good Standing,Private,"Assisted Living, Rehabilitation Services",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987087
Methodist Travis Assisted Living Center,Residential Care Facility,7595 Cedar Drive,Irving,TX,(214) 362-8022,RC16701,Active,Corporate,"Memory Care, Skilled Nursing",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987102
Regional Harris Assisted Living Center,Residential Care Facility,7614 Cedar Court,University Park,TX,(903) 951-4328,ASL97128,Active - Good Standing,Private,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987133
Premier Senior Residence,Residential Care Facility,4220 Bellaire Court,University Park,TX,(972) 258-5199,ASL56289,Active,Family-Owned,"Memory Care, Skilled Nursing",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987146
Methodist Brazoria Senior Residence,Senior Living Community,6300 Medical Center Drive,Irving,TX,(830) 297-6589,LTC41799,Licensed,Family-Owned,"Assisted Living, Rehabilitation Services",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987161
North Texas Senior Services,Assisted Living Center,9392 University Court,Irving,TX,(254) 421-2280,LTC29565,Active,Family-Owned,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987174
Ridge Senior Care Center,Senior Living Community,8723 Kirby Avenue,Highland Park,TX,(737) 245-4235,ASL32481,Licensed,Private,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987188
Magnolia Assisted Living,Assisted Living Facility,5498 Skillman Drive,Richardson,TX,(713) 803-1698,ALF16288,Active - Good Standing,Corporate,"Assisted Living, Respite Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987201
Sunrise Senior Care,Assisted Living Facility,1154 Westheimer Drive,Garland,TX,(281) 487-9359,ASL25217,Active - Good Standing,Corporate,"Memory Care, Skilled Nursing",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987213
Emeritus Living Center,Assisted Living Facility,5183 Maple Way,Irving,TX,(979) 916-6220,RC46783,Active,Family-Owned,"Assisted Living, Respite Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987233
Oak Nueces Senior Living,Assisted Living Center,7549 Kirby Place,Richardson,TX,(903) 857-8761,ALF34282,Licensed,Family-Owned,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987248
Belmont Village Senior Community,Assisted Living Facility,6828 Mockingbird Way,Irving,TX,(737) 226-5577,LTC54335,Licensed,Non-Profit,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987262
Atria Senior Living,Assisted Living and Memory Care,3591 Dallas Lane,Richardson,TX,(469) 230-6412,ALF44813,Active,Corporate,"Assisted Living, Memory Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987275
Premier Assisted Living Facility,Assisted Living and Memory Care,973 Oak Drive,Richardson,TX,(945) 254-3515,ASL27779,Licensed,Private,"Assisted Living, Independent Living",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987289
Houston Methodist Living Center,Assisted Living Center,4098 Austin Boulevard,Highland Park,TX,(972) 222-3678,ASL84247,Active,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987305
North Texas Galveston Senior Residence,Assisted Living Facility,1025 Lovers Avenue,Grand Prairie,TX,(737) 675-1143,ASL76048,Licensed,Family-Owned,"Assisted Living, Rehabilitation Services",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987321
Baptist Assisted Living Facility,Residential Care Facility,5678 Oak Court,Mesquite,TX,(979) 926-9022,RC90969,Active - Good Standing,Non-Profit,"Assisted Living, Respite Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987337
Estate Community Living,Assisted Living Center,7601 Maple Way,Irving,TX,(903) 400-6614,ALF41878,Active - Good Standing,Corporate,"Memory Care, Skilled Nursing",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987350
Community Webb Independent Living,Residential Care Facility,5326 Richmond Place,Dallas,TX,(361) 273-5972,ALF19702,Licensed,Private,"Assisted Living, Rehabilitation Services",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987365
Manor Senior Living,Senior Living Community,9352 University Road,Garland,TX,(915) 588-3138,ALF79031,Licensed,Private,"Assisted Living, Respite Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987380
Maple Senior Services,Assisted Living Facility,9865 Lincoln Drive,Garland,TX,(940) 277-8377,RC55984,Licensed,Corporate,"Assisted Living, Respite Care",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987393
Lone Star Living Center,Assisted Living and Memory Care,3736 Lovers Avenue,Richardson,TX,(469) 968-6245,RC97982,Licensed,Non-Profit,"Assisted Living, Rehabilitation Services",Assisted Living,Dallas,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.987406
