id,name,address,city,state,zipCode,phone,facilityType,licenseNumber,careTypes,county,isCountySeat,source,dataSource,lastUpdate
33,Tonopah Towers Memory Care,5000 Tropicana Ave Way,North Las Vegas,NV,89030,(775) 535-5930,Senior Living,NV36288,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695415
34,Virginia City Senior Care,5000 Tropicana Ave Way,North Las Vegas,NV,89030,(775) 673-8254,Senior Living,NV89624,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695434
35,Battle Mountain Senior Living,7700 Desert Inn Rd Blvd,Boulder City,NV,89005,(725) 790-1273,Senior Living,NV79957,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695453
36,Goldfield Gardens Assisted Living,7700 Desert Inn Rd Blvd,Boulder City,NV,89005,(775) 547-2924,Senior Living,NV58628,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695481
37,Lovelock Lodge Memory Care,7700 Desert Inn Rd Blvd,Boulder City,NV,89005,(702) 855-1498,Senior Living,NV59880,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695500
38,Hawthorne Heights Senior Care,7700 Desert Inn Rd Blvd,Boulder City,NV,89005,(725) 493-7295,Senior Living,NV72122,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695518
39,Pioche Place Senior Living,2300 Las Vegas Blvd Ln,Mesquite,NV,89027,(702) 394-3047,Senior Living,NV95289,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695536
40,Silver State Assisted Living,2300 Las Vegas Blvd Ln,Mesquite,NV,89027,(775) 735-2144,Senior Living,NV18741,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695559
41,Desert Oasis Memory Care,2300 Las Vegas Blvd Ln,Mesquite,NV,89027,(725) 208-5182,Senior Living,NV94075,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695578
42,Sagebrush Gardens Senior Care,2300 Las Vegas Blvd Ln,Mesquite,NV,89027,(775) 308-2541,Senior Living,NV93901,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695596
43,Sierra Vista Senior Living,3400 Gilman Ave Pkwy,Minden,NV,89423,(775) 685-8995,Senior Living,NV14828,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695695
44,Tahoe Pines Assisted Living,3400 Gilman Ave Pkwy,Minden,NV,89423,(775) 428-5395,Senior Living,NV47291,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695717
45,Comstock Manor Memory Care,3400 Gilman Ave Pkwy,Minden,NV,89423,(702) 862-6155,Senior Living,NV33745,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695759
46,Ruby Mountain Senior Care,3400 Gilman Ave Pkwy,Minden,NV,89423,(775) 351-7079,Senior Living,NV47612,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695799
47,Charleston Peak Retirement Community,3400 Gilman Ave Pkwy,Minden,NV,89423,(702) 352-9878,Senior Living,NV10548,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695819
48,Lake Tahoe Senior Village,3400 Gilman Ave Pkwy,Minden,NV,89423,(775) 796-4842,Senior Living,NV65173,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695837
49,Red Rock Care Center,3400 Gilman Ave Pkwy,Minden,NV,89423,(725) 369-8917,Senior Living,NV18464,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695857
50,Valley of Fire Manor,3400 Gilman Ave Pkwy,Minden,NV,89423,(702) 787-2267,Senior Living,NV44961,"['Assisted Living', 'Memory Care']",Douglas,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695876
51,Hoover Dam Senior Living,2300 Main St Ave,Gardnerville,NV,89410,(725) 735-7498,Senior Living,NV97245,"['Assisted Living', 'Memory Care']",Douglas,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695896
52,Pyramid Lake Assisted Living,2300 Main St Ave,Gardnerville,NV,89410,(775) 878-7808,Senior Living,NV51107,"['Assisted Living', 'Memory Care']",Douglas,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695916
53,Walker Lake Memory Care,2300 Main St Ave,Gardnerville,NV,89410,(702) 729-1466,Senior Living,NV15059,"['Assisted Living', 'Memory Care']",Douglas,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695944
54,Mount Wheeler Senior Living,6800 Nevada St Way,Stateline,NV,89449,(775) 367-9238,Senior Living,NV22968,"['Assisted Living', 'Memory Care']",Douglas,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695963
55,Great Basin Assisted Living,6800 Nevada St Way,Stateline,NV,89449,(725) 760-4471,Senior Living,NV75518,"['Assisted Living', 'Memory Care']",Douglas,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695986
56,Black Rock Memory Care,6800 Nevada St Way,Stateline,NV,89449,(775) 853-4206,Senior Living,NV46143,"['Assisted Living', 'Memory Care']",Douglas,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696011
57,Spring Mountains Senior Living,8600 Nevada Avenue Dr,Elko,NV,89801,(725) 740-6475,Senior Living,NV32004,"['Assisted Living', 'Memory Care']",Elko,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696119
58,Mojave Desert Assisted Living,8600 Nevada Avenue Dr,Elko,NV,89801,(775) 870-9950,Senior Living,NV18316,"['Assisted Living', 'Memory Care']",Elko,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696153
59,Nevada Sky Memory Care,8600 Nevada Avenue Dr,Elko,NV,89801,(702) 639-3978,Senior Living,NV67281,"['Assisted Living', 'Memory Care']",Elko,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696185
60,Carson Valley Senior Care,8600 Nevada Avenue Dr,Elko,NV,89801,(775) 831-4628,Senior Living,NV62219,"['Assisted Living', 'Memory Care']",Elko,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696214
61,Truckee Meadows Retirement Community,8600 Nevada Avenue Dr,Elko,NV,89801,(775) 705-1376,Senior Living,NV58087,"['Assisted Living', 'Memory Care']",Elko,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696244
62,Las Vegas Valley Senior Village,8600 Nevada Avenue Dr,Elko,NV,89801,(725) 200-5178,Senior Living,NV64210,"['Assisted Living', 'Memory Care']",Elko,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696265
63,Reno Heights Senior Living,3700 Mountain View Ln,Wells,NV,89835,(775) 446-9181,Senior Living,NV68353,"['Assisted Living', 'Memory Care']",Elko,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696294
64,Sparks Ridge Assisted Living,3700 Mountain View Ln,Wells,NV,89835,(702) 341-8428,Senior Living,NV95666,"['Assisted Living', 'Memory Care']",Elko,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696320
65,Henderson Hills Memory Care,3700 Mountain View Ln,Wells,NV,89835,(725) 228-8774,Senior Living,NV47857,"['Assisted Living', 'Memory Care']",Elko,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696369
66,Boulder Creek Senior Living,7500 Nevada Avenue Way,West Wendover,NV,89883,(775) 742-3541,Senior Living,NV84795,"['Assisted Living', 'Memory Care']",Elko,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696390
67,Mesquite Springs Assisted Living,7500 Nevada Avenue Way,West Wendover,NV,89883,(702) 543-3357,Senior Living,NV69721,"['Assisted Living', 'Memory Care']",Elko,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696408
68,Pahrump Valley Memory Care,7500 Nevada Avenue Way,West Wendover,NV,89883,(775) 629-1235,Senior Living,NV44440,"['Assisted Living', 'Memory Care']",Elko,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696428
69,Elko Canyon Senior Living,1400 Main Street St,Goldfield,NV,89013,(775) 638-5846,Senior Living,NV94778,"['Assisted Living', 'Memory Care']",Esmeralda,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696559
70,Winnemucca Winds Assisted Living,1400 Main Street St,Goldfield,NV,89013,(702) 474-9174,Senior Living,NV28490,"['Assisted Living', 'Memory Care']",Esmeralda,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696579
71,Fallon Fields Memory Care,1400 Main Street St,Goldfield,NV,89013,(702) 644-2861,Senior Living,NV54852,"['Assisted Living', 'Memory Care']",Esmeralda,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696601
72,Ely Estates Senior Care,1400 Main Street St,Goldfield,NV,89013,(775) 432-5875,Senior Living,NV30428,"['Assisted Living', 'Memory Care']",Esmeralda,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696626
73,Tonopah Towers Retirement Community,1400 Main Street St,Goldfield,NV,89013,(775) 893-6681,Senior Living,NV71075,"['Assisted Living', 'Memory Care']",Esmeralda,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696644
74,Virginia City Senior Village,1400 Main Street St,Goldfield,NV,89013,(725) 683-6263,Senior Living,NV96253,"['Assisted Living', 'Memory Care']",Esmeralda,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696728
75,Battle Mountain Senior Living,9000 Desert Road Rd,Eureka,NV,89316,(775) 646-9962,Senior Living,NV83050,"['Assisted Living', 'Memory Care']",Eureka,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696921
76,Goldfield Gardens Assisted Living,9000 Desert Road Rd,Eureka,NV,89316,(725) 439-8791,Senior Living,NV90948,"['Assisted Living', 'Memory Care']",Eureka,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696943
77,Lovelock Lodge Memory Care,9000 Desert Road Rd,Eureka,NV,89316,(775) 268-5270,Senior Living,NV21794,"['Assisted Living', 'Memory Care']",Eureka,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696962
78,Hawthorne Heights Senior Care,9000 Desert Road Rd,Eureka,NV,89316,(725) 476-6092,Senior Living,NV90368,"['Assisted Living', 'Memory Care']",Eureka,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696980
79,Pioche Place Retirement Community,9000 Desert Road Rd,Eureka,NV,89316,(702) 549-2475,Senior Living,NV57921,"['Assisted Living', 'Memory Care']",Eureka,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.696998
80,Silver State Senior Village,9000 Desert Road Rd,Eureka,NV,89316,(702) 693-5188,Senior Living,NV57800,"['Assisted Living', 'Memory Care']",Eureka,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697015
81,Desert Oasis Senior Living,3800 Nevada Avenue Way,Winnemucca,NV,89445,(702) 658-9116,Senior Living,NV88356,"['Assisted Living', 'Memory Care']",Humboldt,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697114
82,Sagebrush Gardens Assisted Living,3800 Nevada Avenue Way,Winnemucca,NV,89445,(775) 838-4113,Senior Living,NV30940,"['Assisted Living', 'Memory Care']",Humboldt,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697134
83,Sierra Vista Memory Care,3800 Nevada Avenue Way,Winnemucca,NV,89445,(702) 556-1318,Senior Living,NV56204,"['Assisted Living', 'Memory Care']",Humboldt,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697168
84,Tahoe Pines Senior Care,3800 Nevada Avenue Way,Winnemucca,NV,89445,(702) 651-6647,Senior Living,NV38306,"['Assisted Living', 'Memory Care']",Humboldt,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697186
85,Comstock Manor Retirement Community,3800 Nevada Avenue Way,Winnemucca,NV,89445,(725) 563-8194,Senior Living,NV33416,"['Assisted Living', 'Memory Care']",Humboldt,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697212
86,Ruby Mountain Senior Village,3800 Nevada Avenue Way,Winnemucca,NV,89445,(725) 795-1390,Senior Living,NV79819,"['Assisted Living', 'Memory Care']",Humboldt,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697230
87,Charleston Peak Senior Living,4700 Main Street Ave,Battle Mountain,NV,89820,(702) 484-2608,Senior Living,NV13785,"['Assisted Living', 'Memory Care']",Lander,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697326
88,Lake Tahoe Assisted Living,4700 Main Street Ave,Battle Mountain,NV,89820,(775) 381-2289,Senior Living,NV79785,"['Assisted Living', 'Memory Care']",Lander,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697346
89,Red Rock Memory Care,4700 Main Street Ave,Battle Mountain,NV,89820,(725) 407-5164,Senior Living,NV22391,"['Assisted Living', 'Memory Care']",Lander,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697364
90,Valley of Fire Senior Care,4700 Main Street Ave,Battle Mountain,NV,89820,(702) 658-9661,Senior Living,NV23002,"['Assisted Living', 'Memory Care']",Lander,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697382
91,Hoover Dam Retirement Community,4700 Main Street Ave,Battle Mountain,NV,89820,(725) 362-9594,Senior Living,NV47894,"['Assisted Living', 'Memory Care']",Lander,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697409
92,Pyramid Lake Senior Village,4700 Main Street Ave,Battle Mountain,NV,89820,(702) 829-3628,Senior Living,NV78529,"['Assisted Living', 'Memory Care']",Lander,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697443
93,Walker Lake Senior Living,5400 Mountain View Blvd,Pioche,NV,89043,(725) 586-2014,Senior Living,NV13669,"['Assisted Living', 'Memory Care']",Lincoln,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697699
94,Mount Wheeler Assisted Living,5400 Mountain View Blvd,Pioche,NV,89043,(725) 755-9180,Senior Living,NV85875,"['Assisted Living', 'Memory Care']",Lincoln,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697749
95,Great Basin Memory Care,5400 Mountain View Blvd,Pioche,NV,89043,(725) 657-7886,Senior Living,NV89601,"['Assisted Living', 'Memory Care']",Lincoln,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697787
96,Black Rock Senior Care,5400 Mountain View Blvd,Pioche,NV,89043,(775) 878-1185,Senior Living,NV35684,"['Assisted Living', 'Memory Care']",Lincoln,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697825
97,Spring Mountains Retirement Community,5400 Mountain View Blvd,Pioche,NV,89043,(775) 640-6442,Senior Living,NV68390,"['Assisted Living', 'Memory Care']",Lincoln,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697859
98,Mojave Desert Senior Village,5400 Mountain View Blvd,Pioche,NV,89043,(775) 855-2152,Senior Living,NV48467,"['Assisted Living', 'Memory Care']",Lincoln,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697891
99,Nevada Sky Senior Living,9000 Mountain View Blvd,Caliente,NV,89008,(725) 714-8628,Senior Living,NV78735,"['Assisted Living', 'Memory Care']",Lincoln,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697925
100,Carson Valley Assisted Living,9000 Mountain View Blvd,Caliente,NV,89008,(702) 236-5837,Senior Living,NV99757,"['Assisted Living', 'Memory Care']",Lincoln,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697957
101,Truckee Meadows Memory Care,9000 Mountain View Blvd,Caliente,NV,89008,(702) 884-9734,Senior Living,NV58093,"['Assisted Living', 'Memory Care']",Lincoln,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.697990
102,Las Vegas Valley Senior Living,7200 Silver St Pkwy,Yerington,NV,89447,(775) 386-7320,Senior Living,NV49615,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698231
103,Reno Heights Assisted Living,7200 Silver St Pkwy,Yerington,NV,89447,(725) 303-7791,Senior Living,NV17027,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698263
104,Sparks Ridge Memory Care,7200 Silver St Pkwy,Yerington,NV,89447,(725) 337-3381,Senior Living,NV25840,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698307
105,Henderson Hills Senior Care,7200 Silver St Pkwy,Yerington,NV,89447,(775) 397-3721,Senior Living,NV68595,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698330
106,Boulder Creek Retirement Community,7200 Silver St Pkwy,Yerington,NV,89447,(725) 267-8704,Senior Living,NV39650,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698349
107,Mesquite Springs Senior Village,7200 Silver St Pkwy,Yerington,NV,89447,(775) 374-3652,Senior Living,NV77781,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698400
108,Pahrump Valley Care Center,7200 Silver St Pkwy,Yerington,NV,89447,(725) 411-3757,Senior Living,NV40506,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698421
109,Elko Canyon Manor,7200 Silver St Pkwy,Yerington,NV,89447,(702) 630-4882,Senior Living,NV16837,"['Assisted Living', 'Memory Care']",Lyon,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698438
110,Winnemucca Winds Senior Living,7500 Silver St Blvd,Fernley,NV,89408,(725) 635-7932,Senior Living,NV25254,"['Assisted Living', 'Memory Care']",Lyon,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698497
111,Fallon Fields Assisted Living,7500 Silver St Blvd,Fernley,NV,89408,(775) 303-9733,Senior Living,NV11126,"['Assisted Living', 'Memory Care']",Lyon,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698517
112,Ely Estates Memory Care,7500 Silver St Blvd,Fernley,NV,89408,(702) 303-4719,Senior Living,NV92848,"['Assisted Living', 'Memory Care']",Lyon,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.698543
