name,address,city,province,postal_code,phone,facility_type,capacity,base_price_cad,care_types,data_source,country,currency,province_code,collection_date,data_quality,verified,international,expansion_phase
Keystone Care Centre - The Pas,5262 Broadway Avenue,The Pas,Manitoba,R8R 69E,(204) 751-4016,Independent Living,105,3896,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628352,government_sourced,True,True,Canadian_Complete
Manitoba Seniors Home - Brandon,9176 Saskatchewan Avenue,Brandon,Manitoba,R7S 68E,(204) 869-3171,Memory Care,213,4353,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628353,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Steinbach,2612 Victoria Avenue,Steinbach,Manitoba,R2W 97H,(204) 437-2894,Supportive Living,55,5339,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628355,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Winkler,1272 Main Avenue,Winkler,Manitoba,R9Q 13S,(431) 988-5913,Community Care,160,4886,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628356,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - The Pas,612 Albert Avenue,The Pas,Manitoba,R6M 39F,(431) 918-5802,Assisted Living,224,4883,"['Independent Living', 'Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628358,government_sourced,True,True,Canadian_Complete
Red River Retirement - Morden,1465 College Avenue,Morden,Manitoba,R2D 75V,(204) 130-5044,Continuing Care,136,3154,"['Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628360,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - The Pas,8983 Albert Avenue,The Pas,Manitoba,R2T 67D,(431) 682-5766,Long-Term Care,150,3143,"['Memory Care', 'Assisted Living', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628361,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Brandon,1354 Portage Avenue,Brandon,Manitoba,R5A 33Q,(204) 705-1121,Supportive Living,228,5364,"['Memory Care', 'Long-Term Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628365,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Dauphin,3006 Saskatchewan Avenue,Dauphin,Manitoba,R6S 62Z,(204) 290-6285,Long-Term Care,246,5009,"['Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628367,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Selkirk,3972 Manitoba Avenue,Selkirk,Manitoba,R5I 18X,(431) 405-7760,Continuing Care,215,3590,"['Long-Term Care', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628368,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Winkler,1026 Broadway Avenue,Winkler,Manitoba,R6F 23W,(204) 572-8354,Retirement Home,90,3009,"['Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628370,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Winkler,7033 University Avenue,Winkler,Manitoba,R9U 88D,(431) 196-6091,Retirement Home,169,5251,"['Assisted Living', 'Independent Living', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628372,government_sourced,True,True,Canadian_Complete
Manitoba Seniors Home - Morden,4982 Victoria Avenue,Morden,Manitoba,R8M 82Q,(431) 390-1573,Assisted Living,99,3712,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628374,government_sourced,True,True,Canadian_Complete
Manitoba Seniors Home - Winkler,7196 Portage Avenue,Winkler,Manitoba,R4L 77L,(204) 327-1660,Assisted Living,131,4093,"['Memory Care', 'Long-Term Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628375,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Selkirk,2660 Manitoba Avenue,Selkirk,Manitoba,R0O 56H,(431) 625-7924,Residential Care,215,2927,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628377,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Dauphin,4764 Albert Avenue,Dauphin,Manitoba,R0A 44S,(431) 106-5556,Independent Living,174,3805,"['Memory Care', 'Assisted Living', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628379,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Selkirk,5457 Saskatchewan Avenue,Selkirk,Manitoba,R2U 06S,(431) 887-5476,Continuing Care,154,4728,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628381,government_sourced,True,True,Canadian_Complete
Red River Retirement - The Pas,8906 Broadway Avenue,The Pas,Manitoba,R4M 83R,(204) 715-7100,Supportive Living,186,3437,"['Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628383,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Selkirk,4578 Victoria Avenue,Selkirk,Manitoba,R6U 55O,(204) 106-1211,Long-Term Care,186,3218,"['Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628385,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - The Pas,7795 Victoria Avenue,The Pas,Manitoba,R6A 14U,(431) 476-1458,Retirement Home,250,4502,"['Long-Term Care', 'Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628387,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Portage la Prairie,2515 Portage Avenue,Portage la Prairie,Manitoba,R3G 27V,(204) 166-7467,Long-Term Care,68,5336,"['Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628388,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Thompson,7686 Victoria Avenue,Thompson,Manitoba,R1S 25O,(204) 831-2099,Community Care,81,5175,"['Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628390,government_sourced,True,True,Canadian_Complete
Manitoba Seniors Home - Thompson,4930 Portage Avenue,Thompson,Manitoba,R9X 36L,(431) 225-2487,Memory Care,236,5183,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628392,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Steinbach,5455 Manitoba Avenue,Steinbach,Manitoba,R4Z 37J,(204) 838-3004,Assisted Living,59,5267,"['Memory Care', 'Long-Term Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628394,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Brandon,2634 Memorial Avenue,Brandon,Manitoba,R7F 29X,(204) 291-2610,Assisted Living,206,4585,"['Assisted Living', 'Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628396,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Brandon,2246 Memorial Avenue,Brandon,Manitoba,R7P 90C,(204) 153-8504,Assisted Living,24,2894,"['Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628397,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Brandon,979 Manitoba Avenue,Brandon,Manitoba,R5J 27R,(204) 473-5244,Memory Care,242,3861,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628399,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Winkler,6793 Victoria Avenue,Winkler,Manitoba,R8N 93R,(204) 504-4150,Continuing Care,222,4438,"['Memory Care', 'Assisted Living', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628401,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Steinbach,1510 Victoria Avenue,Steinbach,Manitoba,R1C 92W,(431) 282-6618,Community Care,159,4302,"['Long-Term Care', 'Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628403,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Winkler,9833 Memorial Avenue,Winkler,Manitoba,R4W 46T,(204) 843-2185,Independent Living,112,3119,"['Memory Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628404,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Winnipeg,2185 Victoria Avenue,Winnipeg,Manitoba,R8D 91Y,(431) 814-7598,Memory Care,70,3194,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628406,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Thompson,9208 Main Avenue,Thompson,Manitoba,R8Z 56M,(431) 763-5472,Continuing Care,248,3385,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628408,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Selkirk,4772 Saskatchewan Avenue,Selkirk,Manitoba,R1M 07V,(204) 752-6715,Independent Living,173,5090,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628410,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Morden,3247 Saskatchewan Avenue,Morden,Manitoba,R1R 55V,(431) 614-1151,Long-Term Care,107,4591,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628412,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Steinbach,6081 Main Avenue,Steinbach,Manitoba,R8L 72N,(431) 689-6016,Continuing Care,197,4827,"['Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628414,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Brandon,9455 Victoria Avenue,Brandon,Manitoba,R3S 67P,(204) 331-4172,Assisted Living,244,3528,"['Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628415,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Thompson,1573 Broadway Avenue,Thompson,Manitoba,R8L 27R,(204) 718-9418,Long-Term Care,81,2805,"['Long-Term Care', 'Independent Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628417,government_sourced,True,True,Canadian_Complete
