id,name,address,city,state,zipCode,county,phone,email,website,description,careTypes,amenities,services,careServices,medicalRestrictions,photos,photoAttributions,virtualTourUrl,spaServices,healthcareServices,fitnessServices,diningServices,transportationServices,socialServices,yelpReviews,careComReviews,seniorAdvisorReviews,aplaceformomReviews,priceRange,pricingDetails,isClaimed,livePricing,pricingType,availabilityStatus,availableUnits,totalUnits,unitTypes,rating,reviewCount,googleRating,googleReviewCount,googleReviewSnippets,trustedReviews,imageUrl,imageGallery,latitude,longitude,licenseNumber,licenseStatus,lastInspection,violations,isVerified,lastPriceUpdate,lastAvailabilityUpdate,yelpId,yelpRating,yelpReviewCount,yelpPhotos,yelpUrl,yelpCategories,region,discoverySource,discoveryDate,lastEnrichmentDate,enrichmentCompleted,facilityType,veteranPrograms,eligibilityRequirements,hudProperties,acceptsHudVouchers,isVeteranFriendly,transparencyBadges,transparencyScore,data_source
14,Rathdrum Assisted Living,8633 Main St,Rathdrum,ID,83633,Kootenai,(208) 287-8370,,,,['Independent Living'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1063,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044678,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
15,Kootenai Senior Living,1715 Forest Ave,Rathdrum,ID,83339,Kootenai,(208) 691-2925,,,,"['Assisted Living', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7668,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044710,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
16,Kootenai Memory Care,6611 Hill St,Coeur d'Alene,ID,83815,Kootenai,(208) 402-7845,,,,"['Assisted Living', 'Independent Living', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2933,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044731,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
17,Shoshone Manor,7768 Oak Dr,Mullan,ID,83520,Shoshone,(208) 960-6792,,,,"['Memory Care', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-6268,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044825,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
18,Wallace Assisted Living,1626 River Rd,Wallace,ID,83634,Shoshone,(208) 865-8487,,,,['Memory Care'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8149,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044851,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
19,Wallace Heights,1576 Garden Dr,Wallace,ID,83726,Shoshone,(208) 324-9824,,,,"['Independent Living', 'Skilled Nursing', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7518,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044885,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
20,Shoshone Memory Care,5724 State St,Osburn,ID,83380,Shoshone,(208) 743-7505,,,,['Memory Care'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8095,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044908,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
21,Plummer Pines Retirement Community,7404 Cedar Ave,Plummer,ID,83632,Benewah,(208) 351-2589,,,,"['Assisted Living', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1078,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.045004,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
22,Benewah Springs,2482 Oak Dr,St. Maries,ID,83875,Benewah,(208) 418-3470,,,,['Independent Living'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2020,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.045141,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
23,Benewah Springs,4860 Forest Ave,Plummer,ID,83311,Benewah,(208) 367-1688,,,,['Skilled Nursing'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-4233,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.045169,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
24,St. Maries Ridge Senior Care,1295 Park Ave,St. Maries,ID,83295,Benewah,(208) 309-1481,,,,"['Memory Care', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1609,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.045215,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
25,Benewah Memory Care,1475 Main St,Tensed,ID,83208,Benewah,(208) 398-7865,,,,['Skilled Nursing'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8693,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.045240,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
26,Plummer Ridge Senior Care,3721 Cedar Ave,Plummer,ID,83233,Benewah,(208) 850-5651,,,,"['Skilled Nursing', 'Independent Living', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-9041,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.045269,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
27,Potlatch Gardens,4717 Maple St,Potlatch,ID,83632,Latah,(208) 959-7848,,,,"['Memory Care', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2399,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045545,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
28,Troy Gardens,8204 Maple St,Troy,ID,83361,Latah,(208) 657-6541,,,,"['Skilled Nursing', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1914,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045616,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
29,Latah Springs,2522 Forest Ave,Potlatch,ID,83789,Latah,(208) 904-6375,,,,['Memory Care'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-9517,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045644,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
30,Genesee Heights,2976 Pine St,Genesee,ID,83808,Latah,(208) 968-9316,,,,['Memory Care'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-9074,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045676,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
31,Troy Assisted Living,5661 Oak Dr,Troy,ID,83654,Latah,(208) 279-7965,,,,"['Independent Living', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2867,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045706,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
32,Clearwater Manor,3650 Valley Rd,Orofino,ID,83212,Clearwater,(208) 848-2128,,,,"['Memory Care', 'Skilled Nursing', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-9786,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045945,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
33,Pierce Assisted Living,5213 Maple St,Pierce,ID,83499,Clearwater,(208) 756-3049,,,,"['Independent Living', 'Skilled Nursing', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8367,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.045994,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
34,Orofino Heights,7350 State St,Orofino,ID,83851,Clearwater,(208) 536-4026,,,,"['Memory Care', 'Independent Living', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8331,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046086,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
35,Clearwater Valley Residence,885 Mountain View Dr,Weippe,ID,83852,Clearwater,(208) 222-4218,,,,"['Assisted Living', 'Independent Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7005,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046148,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
36,Pierce Heights,3602 Park Ave,Pierce,ID,83266,Clearwater,(208) 333-9350,,,,"['Independent Living', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7134,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046197,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
37,Pierce Assisted Living,8616 Garden Dr,Pierce,ID,83635,Clearwater,(208) 501-4720,,,,"['Skilled Nursing', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-4372,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046234,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
38,Nez Perce Springs,2698 River Rd,Lapwai,ID,83518,Nez Perce,(208) 864-8238,,,,"['Skilled Nursing', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7803,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046568,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
39,Lewiston Assisted Living,9601 Oak Dr,Lewiston,ID,83501,Nez Perce,(208) 955-7203,,,,"['Assisted Living', 'Independent Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2964,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046598,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
40,Culdesac Gardens,4591 Park Ave,Culdesac,ID,83365,Nez Perce,(208) 828-2315,,,,"['Assisted Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5082,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046622,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
41,Nez Perce Memory Care,7387 Oak Dr,Lapwai,ID,83382,Nez Perce,(208) 957-1568,,,,['Skilled Nursing'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7195,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046644,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
42,Lewis Manor,8878 Mountain View Dr,Kamiah,ID,83652,Lewis,(208) 282-4359,,,,"['Memory Care', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-9558,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046762,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
43,Lewis Springs,6591 Garden Dr,Kamiah,ID,83458,Lewis,(208) 368-1255,,,,"['Independent Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5907,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046807,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
44,Lewis Memory Care,5025 Hill St,Nezperce,ID,83318,Lewis,(208) 622-6108,,,,"['Independent Living', 'Assisted Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2049,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046848,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
45,Nezperce Gardens,4902 Sunset Blvd,Nezperce,ID,83590,Lewis,(208) 211-5444,,,,['Skilled Nursing'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-3934,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046883,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
46,Idaho Senior Living,2206 Maple St,Ferdinand,ID,83555,Idaho,(208) 462-9926,,,,['Assisted Living'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1193,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.046994,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
47,Idaho Senior Living,3443 Hill St,Ferdinand,ID,83429,Idaho,(208) 611-2838,,,,"['Assisted Living', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-3341,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.047173,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
48,Grangeville Ridge Senior Care,4162 Forest Ave,Grangeville,ID,83640,Idaho,(208) 350-7997,,,,"['Assisted Living', 'Independent Living', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-9848,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.047216,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
49,Idaho Manor,8228 Hill St,Grangeville,ID,83466,Idaho,(208) 517-4143,,,,"['Assisted Living', 'Skilled Nursing', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1656,Active,,0,False,,,,,,[],,[],North Central Idaho,idaho_government_records,2025-07-10T16:22:44.047255,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
50,Adams Memory Care,8825 Main St,New Meadows,ID,83423,Adams,(208) 552-7467,,,,"['Memory Care', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8826,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047388,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
51,McCall Pines Retirement Community,3587 Main St,McCall,ID,83257,Adams,(208) 586-8226,,,,"['Assisted Living', 'Skilled Nursing', 'Memory Care']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5367,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047437,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
52,Adams Manor,5918 Hill St,McCall,ID,83618,Adams,(208) 429-6760,,,,"['Skilled Nursing', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-4230,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047482,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
53,Adams Valley Residence,5003 Broadway,New Meadows,ID,83425,Adams,(208) 878-8160,,,,"['Independent Living', 'Assisted Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5365,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047531,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
54,Donnelly Heights,1744 Cedar Ave,Donnelly,ID,83347,Valley,(208) 640-8924,,,,"['Skilled Nursing', 'Memory Care', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5809,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047727,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
55,Donnelly Assisted Living,4601 Hill St,Donnelly,ID,83874,Valley,(208) 986-4502,,,,"['Memory Care', 'Skilled Nursing', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-3906,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047773,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
56,Cascade Assisted Living,2723 Maple St,Cascade,ID,83589,Valley,(208) 651-1945,,,,"['Memory Care', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5193,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047796,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
57,Valley Manor,6495 Cedar Ave,Cascade,ID,83780,Valley,(208) 677-1058,,,,"['Assisted Living', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-3883,Active,,0,False,,,,,,[],,[],Southwest Idaho,idaho_government_records,2025-07-10T16:22:44.047835,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
