id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,First State Manor,1000 Main Street,Wilmington,New Castle,DE,19701,(302) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,DE-ALF-19001,Delaware Department of Health and Social Services,2024-03-01,85,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.67540000000001
12,Georgetown Village,2100 Milford Drive,Newark,New Castle,DE,19712,(302) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,DE-ALF-19012,Delaware Department of Health and Social Services,2024-05-12,96,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5864,-75.64540000000001
13,Rehoboth Commons,2200 Seaford Street,Middletown,New Castle,DE,19713,(302) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,DE-ALF-19013,Delaware Department of Health and Social Services,2024-06-13,97,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.596399999999996,-75.6354
14,Lewes Manor,2300 Georgetown Avenue,New Castle,New Castle,DE,19714,(302) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,DE-ALF-19014,Delaware Department of Health and Social Services,2024-07-14,98,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.606399999999994,-75.6254
15,Bethany Village,2400 Rehoboth Boulevard,Claymont,New Castle,DE,19715,(302) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,DE-ALF-19015,Delaware Department of Health and Social Services,2024-08-15,99,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6164,-75.61540000000001
16,Fenwick Commons,2500 Lewes Drive,Elsmere,New Castle,DE,19716,(302) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,DE-ALF-19016,Delaware Department of Health and Social Services,2024-09-16,85,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6264,-75.6054
17,Delaware Bay Manor,2600 Bethany Street,Newport,New Castle,DE,19717,(302) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,DE-ALF-19017,Delaware Department of Health and Social Services,2024-10-17,86,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.636399999999995,-75.67540000000001
18,Chesapeake Village,2700 Fenwick Avenue,Bear,New Castle,DE,19718,(302) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,DE-ALF-19018,Delaware Department of Health and Social Services,2024-11-18,87,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6464,-75.6654
19,Atlantic Commons,2800 Delaware Bay Boulevard,Pike Creek,New Castle,DE,19719,(302) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,48,DE-ALF-19019,Delaware Department of Health and Social Services,2024-03-19,88,True,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6564,-75.6554
20,Coastal Manor,2900 Chesapeake Drive,Hockessin,New Castle,DE,19720,(302) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,49,DE-ALF-19020,Delaware Department of Health and Social Services,2024-04-20,89,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.666399999999996,-75.64540000000001
21,DuPont Village,3000 Atlantic Street,Wilmington,New Castle,DE,19721,(302) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,50,DE-ALF-19021,Delaware Department of Health and Social Services,2024-05-21,90,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.6354
22,Constitution Commons,3100 Coastal Avenue,Newark,New Castle,DE,19722,(302) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,51,DE-ALF-19022,Delaware Department of Health and Social Services,2024-06-22,91,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5864,-75.6254
23,Liberty Manor,3200 DuPont Boulevard,Middletown,New Castle,DE,19723,(302) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,52,DE-ALF-19023,Delaware Department of Health and Social Services,2024-07-23,92,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.596399999999996,-75.61540000000001
24,Independence Village,3300 Constitution Drive,New Castle,New Castle,DE,19724,(302) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,53,DE-ALF-19024,Delaware Department of Health and Social Services,2024-08-24,93,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.606399999999994,-75.6054
25,Colonial Commons,3400 Liberty Street,Claymont,New Castle,DE,19725,(302) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,54,DE-ALF-19025,Delaware Department of Health and Social Services,2024-09-25,94,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6164,-75.67540000000001
26,Revolutionary Manor,3500 Independence Avenue,Elsmere,New Castle,DE,19726,(302) 225-1025,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,55,DE-ALF-19026,Delaware Department of Health and Social Services,2024-10-26,95,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6264,-75.6654
27,Freedom Village,3600 Colonial Boulevard,Newport,New Castle,DE,19727,(302) 226-1026,Senior Living,Assisted Living; Personal Care; Hospice Care,56,DE-ALF-19027,Delaware Department of Health and Social Services,2024-11-27,96,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.636399999999995,-75.6554
28,Heritage Commons,3700 Revolutionary Drive,Bear,New Castle,DE,19728,(302) 227-1027,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,57,DE-ALF-19028,Delaware Department of Health and Social Services,2024-03-28,97,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6464,-75.64540000000001
29,First State Manor,3800 Main Street,Pike Creek,New Castle,DE,19729,(302) 228-1028,Senior Living,Assisted Living; Memory Care; Independent Living,58,DE-ALF-19029,Delaware Department of Health and Social Services,2024-04-01,98,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6564,-75.6354
30,Diamond State Village,3900 Delaware Avenue,Hockessin,New Castle,DE,19730,(302) 229-1029,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,59,DE-ALF-19030,Delaware Department of Health and Social Services,2024-05-02,99,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.666399999999996,-75.6254
31,Blue Hen Commons,4000 First State Boulevard,Wilmington,New Castle,DE,19731,(302) 230-1030,Senior Living,Continuing Care; Adult Day Services; Personal Care,60,DE-ALF-19031,Delaware Department of Health and Social Services,2024-06-03,85,True,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.61540000000001
32,Brandywine Village,4100 Diamond State Drive,Newark,New Castle,DE,19732,(302) 231-1031,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,61,DE-ALF-19032,Delaware Department of Health and Social Services,2024-07-04,86,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5864,-75.6054
33,Wilmington Manor,4200 Blue Hen Street,Middletown,New Castle,DE,19733,(302) 232-1032,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,62,DE-ALF-19033,Delaware Department of Health and Social Services,2024-08-05,87,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.596399999999996,-75.67540000000001
34,Dover Commons,4300 Brandywine Avenue,New Castle,New Castle,DE,19734,(302) 233-1033,Senior Living,Assisted Living; Personal Care; Hospice Care,63,DE-ALF-19034,Delaware Department of Health and Social Services,2024-09-06,88,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.606399999999994,-75.6654
35,Newark Village,4400 Wilmington Boulevard,Claymont,New Castle,DE,19735,(302) 234-1034,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,64,DE-ALF-19035,Delaware Department of Health and Social Services,2024-10-07,89,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6164,-75.6554
36,Middletown Manor,4500 Dover Drive,Elsmere,New Castle,DE,19736,(302) 235-1035,Senior Living,Assisted Living; Memory Care; Independent Living,65,DE-ALF-19036,Delaware Department of Health and Social Services,2024-11-08,90,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6264,-75.64540000000001
37,Smyrna Village,4600 Newark Street,Newport,New Castle,DE,19737,(302) 236-1036,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,66,DE-ALF-19037,Delaware Department of Health and Social Services,2024-03-09,91,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.636399999999995,-75.6354
38,Milford Commons,4700 Middletown Avenue,Bear,New Castle,DE,19738,(302) 237-1037,Senior Living,Continuing Care; Adult Day Services; Personal Care,67,DE-ALF-19038,Delaware Department of Health and Social Services,2024-04-10,92,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6464,-75.6254
39,Seaford Manor,4800 Smyrna Boulevard,Pike Creek,New Castle,DE,19739,(302) 238-1038,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,68,DE-ALF-19039,Delaware Department of Health and Social Services,2024-05-11,93,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6564,-75.61540000000001
40,Georgetown Village,4900 Milford Drive,Hockessin,New Castle,DE,19740,(302) 239-1039,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,69,DE-ALF-19040,Delaware Department of Health and Social Services,2024-06-12,94,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.666399999999996,-75.6054
41,Rehoboth Commons,5000 Seaford Street,Wilmington,New Castle,DE,19741,(302) 240-1040,Senior Living,Assisted Living; Personal Care; Hospice Care,70,DE-ALF-19041,Delaware Department of Health and Social Services,2024-07-13,95,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.67540000000001
42,Lewes Manor,5100 Georgetown Avenue,Newark,New Castle,DE,19742,(302) 241-1041,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,71,DE-ALF-19042,Delaware Department of Health and Social Services,2024-08-14,96,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5864,-75.6654
43,Bethany Village,5200 Rehoboth Boulevard,Middletown,New Castle,DE,19743,(302) 242-1042,Senior Living,Assisted Living; Memory Care; Independent Living,72,DE-ALF-19043,Delaware Department of Health and Social Services,2024-09-15,97,True,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.596399999999996,-75.6554
44,Fenwick Commons,5300 Lewes Drive,New Castle,New Castle,DE,19744,(302) 243-1043,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,73,DE-ALF-19044,Delaware Department of Health and Social Services,2024-10-16,98,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.606399999999994,-75.64540000000001
45,Delaware Bay Manor,5400 Bethany Street,Claymont,New Castle,DE,19745,(302) 244-1044,Senior Living,Continuing Care; Adult Day Services; Personal Care,74,DE-ALF-19045,Delaware Department of Health and Social Services,2024-11-17,99,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6164,-75.6354
46,Chesapeake Village,5500 Fenwick Avenue,Elsmere,New Castle,DE,19746,(302) 245-1045,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,75,DE-ALF-19046,Delaware Department of Health and Social Services,2024-03-18,85,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6264,-75.6254
47,Atlantic Commons,5600 Delaware Bay Boulevard,Newport,New Castle,DE,19747,(302) 246-1046,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,76,DE-ALF-19047,Delaware Department of Health and Social Services,2024-04-19,86,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.636399999999995,-75.61540000000001
48,Coastal Manor,5700 Chesapeake Drive,Bear,New Castle,DE,19748,(302) 247-1047,Senior Living,Assisted Living; Personal Care; Hospice Care,77,DE-ALF-19048,Delaware Department of Health and Social Services,2024-05-20,87,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6464,-75.6054
49,DuPont Village,5800 Atlantic Street,Pike Creek,New Castle,DE,19749,(302) 248-1048,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,78,DE-ALF-19049,Delaware Department of Health and Social Services,2024-06-21,88,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6564,-75.67540000000001
50,Constitution Commons,5900 Coastal Avenue,Hockessin,New Castle,DE,19750,(302) 249-1049,Senior Living,Assisted Living; Memory Care; Independent Living,79,DE-ALF-19050,Delaware Department of Health and Social Services,2024-07-22,89,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.666399999999996,-75.6654
51,First State Manor,1000 Main Street,Dover,Kent,DE,19751,(302) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,DE-ALF-19051,Delaware Department of Health and Social Services,2024-03-01,85,True,True,True,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.0764,-75.5754
52,Diamond State Village,1100 Delaware Avenue,Smyrna,Kent,DE,19752,(302) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,DE-ALF-19052,Delaware Department of Health and Social Services,2024-04-02,86,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.0864,-75.5654
53,Blue Hen Commons,1200 First State Boulevard,Milford,Kent,DE,19753,(302) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,DE-ALF-19053,Delaware Department of Health and Social Services,2024-05-03,87,False,True,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.096399999999996,-75.55539999999999
54,Brandywine Village,1300 Diamond State Drive,Camden,Kent,DE,19754,(302) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,DE-ALF-19054,Delaware Department of Health and Social Services,2024-06-04,88,True,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.106399999999994,-75.5454
55,Wilmington Manor,1400 Blue Hen Street,Wyoming,Kent,DE,19755,(302) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,DE-ALF-19055,Delaware Department of Health and Social Services,2024-07-05,89,False,True,True,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1164,-75.5354
56,Dover Commons,1500 Brandywine Avenue,Harrington,Kent,DE,19756,(302) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,DE-ALF-19056,Delaware Department of Health and Social Services,2024-08-06,90,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1264,-75.52539999999999
57,Newark Village,1600 Wilmington Boulevard,Magnolia,Kent,DE,19757,(302) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,DE-ALF-19057,Delaware Department of Health and Social Services,2024-09-07,91,True,True,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.136399999999995,-75.5154
58,Middletown Manor,1700 Dover Drive,Felton,Kent,DE,19758,(302) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,DE-ALF-19058,Delaware Department of Health and Social Services,2024-10-08,92,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1464,-75.5054
59,Smyrna Village,1800 Newark Street,Frederica,Kent,DE,19759,(302) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,DE-ALF-19059,Delaware Department of Health and Social Services,2024-11-09,93,False,True,True,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1564,-75.5754
60,Milford Commons,1900 Middletown Avenue,Cheswold,Kent,DE,19760,(302) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,DE-ALF-19060,Delaware Department of Health and Social Services,2024-03-10,94,True,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.166399999999996,-75.5654
61,Seaford Manor,2000 Smyrna Boulevard,Dover,Kent,DE,19761,(302) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,DE-ALF-19061,Delaware Department of Health and Social Services,2024-04-11,95,False,True,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.0764,-75.55539999999999
62,Georgetown Village,2100 Milford Drive,Smyrna,Kent,DE,19762,(302) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,DE-ALF-19062,Delaware Department of Health and Social Services,2024-05-12,96,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.0864,-75.5454
63,Rehoboth Commons,2200 Seaford Street,Milford,Kent,DE,19763,(302) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,DE-ALF-19063,Delaware Department of Health and Social Services,2024-06-13,97,True,True,True,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.096399999999996,-75.5354
64,Lewes Manor,2300 Georgetown Avenue,Camden,Kent,DE,19764,(302) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,DE-ALF-19064,Delaware Department of Health and Social Services,2024-07-14,98,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.106399999999994,-75.52539999999999
65,Bethany Village,2400 Rehoboth Boulevard,Wyoming,Kent,DE,19765,(302) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,DE-ALF-19065,Delaware Department of Health and Social Services,2024-08-15,99,False,True,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1164,-75.5154
66,Fenwick Commons,2500 Lewes Drive,Harrington,Kent,DE,19766,(302) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,DE-ALF-19066,Delaware Department of Health and Social Services,2024-09-16,85,True,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1264,-75.5054
67,Delaware Bay Manor,2600 Bethany Street,Magnolia,Kent,DE,19767,(302) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,DE-ALF-19067,Delaware Department of Health and Social Services,2024-10-17,86,False,True,True,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.136399999999995,-75.5754
68,Chesapeake Village,2700 Fenwick Avenue,Felton,Kent,DE,19768,(302) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,DE-ALF-19068,Delaware Department of Health and Social Services,2024-11-18,87,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1464,-75.5654
69,Atlantic Commons,2800 Delaware Bay Boulevard,Frederica,Kent,DE,19769,(302) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,48,DE-ALF-19069,Delaware Department of Health and Social Services,2024-03-19,88,True,True,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.1564,-75.55539999999999
70,Coastal Manor,2900 Chesapeake Drive,Cheswold,Kent,DE,19770,(302) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,49,DE-ALF-19070,Delaware Department of Health and Social Services,2024-04-20,89,False,False,False,https://www.kent-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.166399999999996,-75.5454
71,First State Manor,1000 Main Street,Seaford,Sussex,DE,19771,(302) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,DE-ALF-19071,Delaware Department of Health and Social Services,2024-03-01,85,True,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.5764,-75.2754
72,Diamond State Village,1100 Delaware Avenue,Georgetown,Sussex,DE,19772,(302) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,DE-ALF-19072,Delaware Department of Health and Social Services,2024-04-02,86,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.5864,-75.2654
73,Blue Hen Commons,1200 First State Boulevard,Rehoboth Beach,Sussex,DE,19773,(302) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,DE-ALF-19073,Delaware Department of Health and Social Services,2024-05-03,87,False,True,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.596399999999996,-75.2554
74,Brandywine Village,1300 Diamond State Drive,Lewes,Sussex,DE,19774,(302) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,DE-ALF-19074,Delaware Department of Health and Social Services,2024-06-04,88,True,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.606399999999994,-75.2454
75,Wilmington Manor,1400 Blue Hen Street,Bethany Beach,Sussex,DE,19775,(302) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,DE-ALF-19075,Delaware Department of Health and Social Services,2024-07-05,89,False,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6164,-75.2354
76,Dover Commons,1500 Brandywine Avenue,Fenwick Island,Sussex,DE,19776,(302) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,DE-ALF-19076,Delaware Department of Health and Social Services,2024-08-06,90,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6264,-75.2254
77,Newark Village,1600 Wilmington Boulevard,Delmar,Sussex,DE,19777,(302) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,DE-ALF-19077,Delaware Department of Health and Social Services,2024-09-07,91,True,True,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.636399999999995,-75.2154
78,Middletown Manor,1700 Dover Drive,Laurel,Sussex,DE,19778,(302) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,DE-ALF-19078,Delaware Department of Health and Social Services,2024-10-08,92,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6464,-75.2054
79,Smyrna Village,1800 Newark Street,Bridgeville,Sussex,DE,19779,(302) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,DE-ALF-19079,Delaware Department of Health and Social Services,2024-11-09,93,False,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6564,-75.2754
