Property_ID,Property_Name,Address,City,State,Zip_Code,County,Latitude,Longitude,Total_Units,Assisted_Units,Phone,Client_Group,Client_Type,Program_Type,Source
800001506,Fernwood Apartments,45151 FERN AVE,Lancaster,,,Los Angeles,,,76,75,,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800002425,SHERMAN PARK APTS,17964 SHERMAN WAY,,,,Los Angeles,,,135,134,818-324-2184,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002050,Newark Gardens II,35322 CEDAR BLVD,Newark,,,Alameda,,,50,50,(510) 791-8058,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001600,Greenfair Towers II,701 FAIRGROUNDS DR,,,,Sacramento,,,194,194,(916) 456-6427,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001775,LA MIRADA SR HSG,14129 ADOREE ST,La Mirada,,,Los Angeles,,,75,74,562-404-9975,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002072,NOTRE DAME APARTMENTS,1590 Broadway,,,,San Francisco,,,203,191,(415) 673-2011,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002424,SHERMAN ARMS APARTMENTS,17760-6 SHERMAN WAY,,,,Los Angeles,,,74,74,818 342-0052,Elderly,Elderly,Elderly Housing,HUD
800002123,"Palm Springs Senior Housing, Inc.",1201 E VISTA CHINO,Palm Springs,,,Riverside,,,60,59,760-321-9370,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001551,Fuller Lodge,2141 Bancroft AVE,San Leandro,,,Alameda,,,26,25,510-351-2650,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002071,NORWALK CHRISTIAN TOWERS,14141 CLARKDALE AVE,Norwalk,,,Los Angeles,,,185,144,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002075,Oak Center Towers,1515 MARKET ST,Oakland,,,Alameda,,,196,195,510-465-1166,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800256403,Pacific Avenue Senior Homes,3701 Pacific Avenue,Livermore,,,Alameda,,,0,0,,,,Section 202 - Elderly Housing,HUD
800001550,FULLER AVENUE SR HOUSING,1627-37 FULLER AVE,Los Angeles,,,Los Angeles,,,89,88,323 387-9634,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002106,Otterbein Manor,5375 MANILA AVE,Oakland,,,Alameda,,,39,39,(510) 653-0256,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002108,OXFORD PARK,1920 S OXFORD ST,Los Angeles,,,Los Angeles,,,109,108,323-731-7661,Wholly elderly congregate,Elderly,Elderly Housing,HUD
800002119,Padre Apts,241 JONES ST,,,,San Francisco,,,41,41,415-474-8415,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002141,PARADISE GARDENS III,1040 BUSCHMANN RD,Paradise,,,Butte,,,48,48,(530)877-7230,Elderly,Elderly,Elderly Housing,HUD
800001604,GUADALUPE PLAZA,4142 42ND ST,San Diego,,,San Diego,,,126,124,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001831,LAWNDALE SENIOR HOUSING,4716 W 153rd Pl,LAWNDALE,,,Los Angeles,,,56,55,(310)644-1102,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002377,San Lorenzo Ruiz Center,50 RIZAL ST,,,,San Francisco,,,147,145,415-495-5007,Wholly elderly congregate,Elderly,Section 202 - Elderly Housing,HUD
800001997,Monsignor Lyne Community,118 DIAMOND ST,San Francisco,,,San Francisco,,,20,19,(415) 255-8004,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002007,MORENO VALLEY HOUSING,24545 BAY AVE,Moreno Valley,,,Riverside,,,24,23,951-247-0230,Wholly physically disabled,Disabled,Section 202 - Elderly Housing,HUD
800001839,Leland Apartments,980 HOWARD ST,,,,San Francisco,,,24,24,(415) 777-4849,Wholly physically disabled,Disabled,Section 202 - Elderly Housing,HUD
800002340,Royal Adah Arms,1240 FILLMORE ST,,,,San Francisco,,,142,142,(415) 567-3840,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001780,LA PRO XXXII APTS,1348 W INGRAHAM ST,,,,Los Angeles,,,113,113,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001559,Gardena Sr Hsg,17150 S PARK LN,Gardena,,,Los Angeles,,,74,73,(310)532-8310,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002350,Russell Manor,8200 BRUCEVILLE RD,,,,Sacramento,,,66,65,(916) 681-3715,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001992,MIYAKO GARDEN APTS,223 S CENTRAL AVE,,,,Los Angeles,,,100,100,213-617-8614,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800002042,NEW OPPORTUNITIES FOR LIVING,16102 Acre St,Los Angeles,,,Los Angeles,,,14,12,(818)708-1740,Chronically Mentally Ill,Disabled,Section 202 - Elderly Housing,HUD
800001881,"Lucian Manor Affordable Housing, Inc.",120 PARMAC RD,Chico,,,Butte,,,38,38,(530) 895-3120,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001837,LEFFINGWELL MANOR,11410 SANTA GERTRUDE AVE,East La Mirada,,,Los Angeles,,,89,89,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001846,Liberty Village,22439 MARLIN PLACE,Los Angeles,,,Los Angeles,,,12,12,818-587-9450,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002097,One Venice,ONE N VENICE BLVD,Los Angeles,,,Los Angeles,,,50,50,310 821-9332,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002403,SEASIDE VILLA,319 N BROADWAY,,,,Los Angeles,,,47,40,310 376-9363,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002140,PANORAMA VIEW APTS,9222 VAN NUYS BLVD.,Los Angeles,,,Los Angeles,,,89,87,(818) 892-8397,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002345,ROYAL VISTA TERRACE,1310 ROYAL OAKS DR,Duarte,,,Los Angeles,,,75,74,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002427,SHERMAN WAY SENIOR HSG,15864 SHERMAN WAY,Los Angeles,,,Los Angeles,,,74,73,(818) 785-9765,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002049,Newark Gardens I,35300 CEDAR BLVD,Newark,,,Alameda,,,150,150,(510) 791-8058,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001777,LA POSADA,151 N SUNOL DR,East Los Angeles,,,Los Angeles,,,75,74,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002389,SANTA MONICA CHRISTIAN TOWERS,1233 6TH ST,Santa Monica,,,Los Angeles,,,163,10,,Wholly elderly - hskpg & congregat,Elderly,Section 202 - Elderly Housing,HUD
800001205,CASA LA MERCED,140 N MONTEBELLO BLVD,Montebello,,,Los Angeles,,,130,129,(323) 721-9668,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002144,Park Pacific Tower,714 Pacific Avenue,Long Beach,,,Los Angeles,,,183,157,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002094,Olive Tree Plaza,671 WEST A ST,,,,Alameda,,,26,26,(510) 784-0866,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800002378,EMERYVILLA APARTMENTS,4320 SAN PABLO AVE,Emeryville,,,Alameda,,,50,49,(510) 601-8235,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001832,LAWRENCE F MOORE MANOR,1909 CEDAR ST,Berkeley,,,Alameda,,,46,46,(510) 647-0700,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001776,LA PINTORESCA,1275 LA PINTORESCA DR,Pasadena,,,Los Angeles,,,64,64,626 797-1704,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001545,Friends Retirement Center,2691 North Lincoln Ave,Altadena,,,Los Angeles,,,25,5,(626)798-5916,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002039,NEW HORIZONS I,15756 Parthenia ST,Los Angeles,,,Los Angeles,,,8,6,,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800001533,Francis of Assisi,145 GUERRERO ST,,,,San Francisco,,,110,110,(415) 621-4092,Wholly elderly congregate,Elderly,Section 202 - Elderly Housing,HUD
800002056,SUNSET-NORMANDIE TOWERS,1428 N NORMANDIE AVE,,,,Los Angeles,,,148,147,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001825,Lassen Apartments,441 ELLIS ST,San Francisco,,,San Francisco,,,81,81,(415) 885-0407,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002054,NIKKEI VILLAGE,9551 LAUREL CANYON BLVD,Los Angeles,,,Los Angeles,,,100,99,818 896-9675,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002399,SCHERER PARK APTS,4676 LONG BEACH BLVD.,,,,Los Angeles,,,58,57,562 422-1798,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800001564,Geneva Plaza,1441 21st St,Santa Monica,,,Los Angeles,,,100,100,310-829-9833,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001596,GREAT EXPECTATIONS,17026 Rinaldi Street,Los Angeles,,,Los Angeles,,,8,6,818-708-1740,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002393,LINCOLN COURT APARTMENTS,2851 LINCOLN BOULEVARD,SANTA MONICA,,,Los Angeles,,,40,39,(310) 314-8269,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001744,Kernwood Terrace Apartments,337 N MEDNICK AVE,,,,Los Angeles,,,51,51,(323) 263-9707,Elderly,Elderly,Elderly Housing,HUD
800001577,GOLDEN WEST TOWER,3510 W MARICOPA ST,,,,Los Angeles,,,180,178,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002114,Pacific Grove,41247 ROBERTS AVE,Fremont,,,Alameda,,,20,19,(510)668-1159,Chronically Mentally Ill,Disabled,Section 202 - Elderly Housing,HUD
800001824,LAS TORRES,944 S GRATTAN ST,Los Angeles,,,Los Angeles,,,105,104,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001808,LARC HOMES,24624 APPLE ST,Santa Clarita,,,Los Angeles,,,6,6,,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002130,PALMDALE GARDENS APTS,38601 10th St E,Palmdale,,,Los Angeles,,,76,76,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001843,Stovall Terrace Apartments,4075 S FIGUEROA ST,Los Angeles,,,Los Angeles,,,97,95,(323)235-6250,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002446,SILVERCREST- SANTA FE SPRINGS,12015 LAKELAND RD,,,,Los Angeles,,,22,21,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002333,ROSE OF SHARON,1600 Lakeshore AVE,Oakland,,,Alameda,,,143,88,(510) 832-6090,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001860,LIONS MANOR,215 N Chandler Ave,Monterey Park,,,Los Angeles,,,125,125,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002036,SILVER LAKE NEW HOPE COURTYARD APARTMENTS,2301 Brier Ave,Los Angeles,,,Los Angeles,,,15,14,310-395-1026,Wholly physically disabled,Disabled,Section 202 - Elderly Housing,HUD
800002301,RESEDA EAST,18450 INGOMAR ST,Los Angeles,,,Los Angeles,,,70,70,818-342-7176,Elderly,Elderly,Elderly Housing,HUD
800001979,MILWOOD APTS,6922 MILWOOD AVE,Los Angeles,,,Los Angeles,,,8,8,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002322,Cambridge Gardens,3533 Harrison St,Riverside,,,Riverside,,,75,74,951-352-7701,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001804,LANCASTER HOMES APTS,711 W JACKMAN ST,Lancaster,,,Los Angeles,,,120,120,,Elderly,Elderly,Elderly Housing,HUD
800002145,PARK PASEO,123 S ISABEL ST,Glendale,,,Los Angeles,,,98,96,818-502-1771,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001869,SEA MIST TOWER,1451 ATLANTIC BLVD,Long Beach,,,Los Angeles,,,75,74,(562) 218-0580,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001748,Griffith Kilgore Gardens,2411 S CENTRAL AVE,Los Angeles,,,Los Angeles,,,90,90,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001822,LAS PALMAS,1778 N LAS PALMAS,Los Angeles,,,Los Angeles,,,74,74,213-485-7535,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800001823,LAS PALOMAS APTS,3025 GLEASON AVE,Los Angeles,,,Los Angeles,,,48,47,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002354,SILVERCREST-RIVERSIDE,3003 ORANGE ST,,,,Riverside,,,75,74,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001582,Good Shepherd Residence,1335 MOWRY AVE,Fremont,,,Alameda,,,32,32,(510) 505-1246,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800001580,GOOD SHEPHERD HOMES,510 CENTINELA AVE,Inglewood,,,Los Angeles,,,70,39,310 412-0412,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800001868,LOMITA KIWANIS GARDEN,25109 EBONY LN,Lomita,,,Los Angeles,,,67,67,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002363,SILVERCREST-PASADENA,975 E UNION ST,Pasadena,,,Los Angeles,,,75,74,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001597,GREEN HOTEL,50 E GREEN ST,Pasadena,,,Los Angeles,,,139,138,626 793-7070,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001451,Casa Paredes,501 N SOTO ST,,,,Los Angeles,,,10,10,,Chronically Mentally Ill,Disabled,Section 202 - Elderly Housing,HUD
800002445,Silvercrest Residence- San Francisco,133 SHIPLEY ST,San Francisco,,,San Francisco,,,257,103,(415) 543-5381,Wholly elderly - hskpg & congregat,Elderly,Elderly Housing,HUD
800002026,NAOMI GARDENS,655 W NAOMI AVE,,,,Los Angeles,,,101,100,626 445 8474,Partially elderly handicapped,Elderly,Section 202 - Elderly Housing,HUD
800002055,Noble Tower,1515 LAKESIDE DR,,,,Alameda,,,195,195,(510) 444-5228,Elderly,Elderly,Elderly Housing,HUD
800001581,GOOD SHEPHERD MANOR,4411 11th Ave,Los Angeles,,,Los Angeles,,,143,143,(323) 299-5735,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001523,Foothill Gardens,7687 Foothill Blvd,Los Angeles,,,Los Angeles,,,54,53,818 352-1307,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001528,Forrest Palms Seniors Center,1825 EL MONTE AVE,,,,Sacramento,,,40,39,(916)925-5673,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002266,RAINBOW HOMES,15917 Chase St,Los Angeles,,,Los Angeles,,,14,12,,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002096,On Lok House,1441 Powell Street,,,,San Francisco,,,54,54,(415) 292-8667,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001573,GOLDEN AGE VILLAGE,234 N Rural Drive,Monterey Park,,,Los Angeles,,,120,120,(626) 571-7977,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001838,Leisure Manor,2901 EL CAMINO AVE,Arden-Arcade,,,Sacramento,,,101,100,(916) 481-5151,Wholly elderly congregate,Elderly,Elderly Housing,HUD
800002436,Sierra Sunrise Senior Apartments,4525 MANZANITA AVE,,,,Sacramento,,,119,114,(916) 481-9494,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002065,NORTHGATE TERRACE,550 24th ST,Oakland,,,Alameda,,,201,155,(510) 465-9346,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002256,PROJECT HOMELIFE,10223 Parise Dr,,,,Los Angeles,,,3,3,562-946-0467 ext 13,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800001983,Leaster Apartments,1422 W MIRAMAR ST,Los Angeles,,,Los Angeles,,,84,83,,Indv. families - not eld/ handicap,Family,Section 202 - Elderly Housing,HUD
800001176,Carson Gardens Apartments,21811 SO.  MAIN ST,Carson,,,Los Angeles,,,101,100,310-518-2790,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001985,MIRAMAR TOWERS,2000 MIRAMAR ST,Los Angeles,,,Los Angeles,,,156,156,,Elderly,Elderly,Elderly Housing,HUD
800002023,MURRAY PLACE,4324 FLORENCE AVE,Bell,,,Los Angeles,,,72,71,954-835-9200,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001728,Jones Memorial Homes I,1640 STEINER ST,San Francisco,,,San Francisco,,,32,32,(415) 922-4770,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002024,Namiki Apts,1776 SUTTER ST,,,,San Francisco,,,34,33,(415) 922-1788,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001923,MARTEL PARK,907 N MARTEL AVE,Los Angeles,,,Los Angeles,,,72,72,(323) 874-7999,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002299,REGENCY TOWERS,151 N LOCUST ST,Inglewood,,,Los Angeles,,,104,103,,Elderly,Elderly,Elderly Housing,HUD
800002255,Progressive Home Elderly,7010 S DENVER AVE,,,,Los Angeles,,,141,111,714-899-3305,Wholly elderly - hskpg & congregat,Elderly,Section 202 - Elderly Housing,HUD
800001732,JOSEPHINE LUM LODGE,2747 OLIVER DR,Hayward,,,Alameda,,,150,106,(510) 782-2311,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002012,MOUNT RUBIDOUX MANOR,3993 10TH ST,,,,Riverside,,,188,170,(951) 684-3154,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001794,LAKE MERRITT APTS,1417 FIRST AVE,Oakland,,,Alameda,,,55,54,(510) 763-1417,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002238,Pres John Adams Mnr III,8005 ALTA VISTA LN,Citrus Heights,,,Sacramento,,,28,27,(916) 548-0405,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800001181,CASA CORAZON,408 ELM AVE,Long Beach,,,Los Angeles,,,24,24,(562) 436-3001,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800001182,Casa De Angelo,3151 NORTE DAME DR,Rosemont,,,Sacramento,,,100,100,(916) 381-1962,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002289,RAYEN PARK APARTMENTS,15233 RAYEN ST,Los Angeles,,,Los Angeles,,,84,84,818-892-4747,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001751,Kings Road Apartments,800 KINGS RD,Los Angeles,,,Los Angeles,,,106,106,(323) 653-3090,Elderly,Elderly,Elderly Housing,HUD
800001443,Eden Lodge,400 SPRINGLAKE DR,San Leandro,,,Alameda,,,143,143,(510)352-7008,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002013,MOUNT ZION TOWERS,4827 S CENTRAL AVE,Los Angeles,,,Los Angeles,,,118,117,323-231-9361,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002247,Eskaton Jefferson Manor,5959 66TH AVE,Florin,,,Sacramento,,,104,104,(916)421-9422,Wholly elderly congregate,Elderly,Section 202 - Elderly Housing,HUD
800001892,MAC ARTHUR PARK TOWERS,450 GRAND VIEW ST,Los Angeles,,,Los Angeles,,,183,182,213-382-8395,Wholly elderly - hskpg & congregat,Elderly,Elderly Housing,HUD
800002248,Presidio Gate,2770 Lombard St,,,,San Francisco,,,55,54,(415) 567-1050,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002068,NORTHRIDGE PARK,9628 RESEDA BLVD,,,,Los Angeles,,,68,68,818-993-9236,Elderly,Elderly,Elderly Housing,HUD
800002297,Redwood Lodge,40767 FREMONT BLVD,Fremont,,,Alameda,,,24,24,(510) 657-6231,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800002305,"Redding / RHF Housing, Inc.",2142 BUTTE ST,Redding,,,Shasta,,,12,12,(530) 244-2320,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002222,Kottinger Gardens Phase 2,251 KOTTINGER DR,Pleasanton,,,Alameda,,,40,31,(510) 846-3050,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002224,PLEDGERVILLE SENIOR CITIZENS VILLA,11060 NORRIS AVE,,,,Los Angeles,,,94,93,(818) 897-7784,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001896,MADISON SENIOR HOUSING,1151 N Madison Ave,Los Angeles,,,Los Angeles,,,70,69,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001445,EL BETHEL TERRACE,1099 FILLMORE ST,,,,San Francisco,,,101,100,(415) 931-4496,Wholly elderly congregate,Elderly,Section 202 - Elderly Housing,HUD
800002021,MOUNT MORIAH SENIOR VILLA,476 W 43rd St,Los Angeles,,,Los Angeles,,,41,40,,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001562,Garrison House,779 FORD STREET,,,,Riverside,,,7,6,,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800002547,Progress Apartments,1272 S Van Ness Ave,San Francisco,,,San Francisco,,,12,11,(415) 861-0828,Chronically Mentally Ill,Disabled,Section 202 - Elderly Housing,HUD
800002117,PACIFIC RIM APTS,230 S GREVILLEA AVE,Inglewood,,,Los Angeles,,,40,39,,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800001487,Fairfax Towers,1200 N Fairfax Ave,West Hollywood,,,Los Angeles,,,151,150,1-323-650-1271,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001857,Linda Glen,32 LINDA AVE,Oakland,,,Alameda,,,42,40,(510) 654-1882,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002044,Ravitz House,7927 Lindley Ave,Los Angeles,,,Los Angeles,,,14,12,818-708-1740,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800002409,Sequoia Manor,40789 FREMONT BLVD,Fremont,,,Alameda,,,81,80,(510) 770-1378,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001499,FAME ARMS,2420 S WESTERN AVE,Los Angeles,,,Los Angeles,,,40,39,323-402-1190,Wholly physically handicapped,Disabled,Section 202 - Elderly Housing,HUD
800001541,FREEMAN VILLA,1229 S WEST MORELAND AVE,Los Angeles,,,Los Angeles,,,41,41,(213) 383-7945,Elderly,Elderly,Elderly Housing,HUD
800002061,NORTH HOLLYWOOD SR. CITIZENS,11035 MAGNOLIA BLVD,,,,Los Angeles,,,200,200,(818)509-5705,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
