id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Granite State Manor,1000 Main Street,Laconia,Belknap,NH,03001,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30001,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.476400000000005,-71.50540000000001
19,Granite State Manor,1000 Main Street,Keene,Cheshire,NH,03019,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30019,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.876400000000004,-72.3254
20,White Mountain Village,1100 New Hampshire Avenue,Jaffrey,Cheshire,NH,03020,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30020,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8864,-72.3154
21,Seacoast Commons,1200 Granite State Boulevard,Walpole,Cheshire,NH,03021,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30021,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8964,-72.30539999999999
22,Monadnock Village,1300 White Mountain Drive,Hinsdale,Cheshire,NH,03022,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30022,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9064,-72.2954
23,Manchester Manor,1400 Seacoast Street,Winchester,Cheshire,NH,03023,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30023,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9164,-72.2854
24,Nashua Commons,1500 Monadnock Avenue,Swanzey,Cheshire,NH,03024,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30024,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9264,-72.27539999999999
25,Concord Village,1600 Manchester Boulevard,Troy,Cheshire,NH,03025,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30025,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9364,-72.2654
26,Keene Manor,1700 Nashua Drive,Marlborough,Cheshire,NH,03026,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30026,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.946400000000004,-72.2554
27,Portsmouth Commons,1800 Concord Street,Keene,Cheshire,NH,03027,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30027,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9564,-72.3254
28,Derry Village,1900 Keene Avenue,Jaffrey,Cheshire,NH,03028,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30028,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.cheshire-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9664,-72.3154
29,Granite State Manor,1000 Main Street,Berlin,Coos,NH,03029,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30029,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.4264,-71.2754
30,White Mountain Village,1100 New Hampshire Avenue,Gorham,Coos,NH,03030,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30030,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.4364,-71.2654
31,Seacoast Commons,1200 Granite State Boulevard,Lancaster,Coos,NH,03031,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30031,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.4464,-71.2554
32,Monadnock Village,1300 White Mountain Drive,Littleton,Coos,NH,03032,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30032,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.456399999999995,-71.2454
33,Manchester Manor,1400 Seacoast Street,Whitefield,Coos,NH,03033,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30033,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.4664,-71.2354
34,Nashua Commons,1500 Monadnock Avenue,Colebrook,Coos,NH,03034,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30034,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.4764,-71.2254
35,Concord Village,1600 Manchester Boulevard,Northumberland,Coos,NH,03035,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30035,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.486399999999996,-71.2154
36,Keene Manor,1700 Nashua Drive,Pittsburg,Coos,NH,03036,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30036,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.coos-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,44.4964,-71.2054
37,Granite State Manor,1000 Main Street,Lebanon,Grafton,NH,03037,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30037,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.876400000000004,-71.97540000000001
38,White Mountain Village,1100 New Hampshire Avenue,Hanover,Grafton,NH,03038,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30038,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8864,-71.9654
39,Seacoast Commons,1200 Granite State Boulevard,Littleton,Grafton,NH,03039,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30039,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8964,-71.9554
40,Monadnock Village,1300 White Mountain Drive,Plymouth,Grafton,NH,03040,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30040,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.9064,-71.9454
41,Manchester Manor,1400 Seacoast Street,Woodstock,Grafton,NH,03041,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30041,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.9164,-71.9354
42,Nashua Commons,1500 Monadnock Avenue,Lincoln,Grafton,NH,03042,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30042,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.9264,-71.9254
43,Concord Village,1600 Manchester Boulevard,Haverhill,Grafton,NH,03043,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30043,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.9364,-71.9154
44,Keene Manor,1700 Nashua Drive,Canaan,Grafton,NH,03044,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30044,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.946400000000004,-71.9054
45,Portsmouth Commons,1800 Concord Street,Lebanon,Grafton,NH,03045,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30045,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.9564,-71.97540000000001
46,Derry Village,1900 Keene Avenue,Hanover,Grafton,NH,03046,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30046,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.grafton-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.9664,-71.9654
47,Granite State Manor,1000 Main Street,Manchester,Hillsborough,NH,03047,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30047,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.876400000000004,-71.7754
48,White Mountain Village,1100 New Hampshire Avenue,Nashua,Hillsborough,NH,03048,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30048,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8864,-71.7654
49,Seacoast Commons,1200 Granite State Boulevard,Derry,Hillsborough,NH,03049,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30049,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8964,-71.7554
50,Monadnock Village,1300 White Mountain Drive,Merrimack,Hillsborough,NH,03050,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30050,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9064,-71.7454
51,Manchester Manor,1400 Seacoast Street,Bedford,Hillsborough,NH,03051,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30051,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9164,-71.7354
52,Nashua Commons,1500 Monadnock Avenue,Goffstown,Hillsborough,NH,03052,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30052,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9264,-71.7254
53,Concord Village,1600 Manchester Boulevard,Londonderry,Hillsborough,NH,03053,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30053,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9364,-71.7154
54,Keene Manor,1700 Nashua Drive,Hudson,Hillsborough,NH,03054,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30054,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.946400000000004,-71.7054
55,Portsmouth Commons,1800 Concord Street,Manchester,Hillsborough,NH,03055,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30055,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9564,-71.7754
56,Derry Village,1900 Keene Avenue,Nashua,Hillsborough,NH,03056,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30056,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9664,-71.7654
57,Rochester Manor,2000 Portsmouth Boulevard,Derry,Hillsborough,NH,03057,(603) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,NH-RCF-30057,New Hampshire Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.876400000000004,-71.7554
58,Salem Commons,2100 Derry Drive,Merrimack,Hillsborough,NH,03058,(603) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,NH-RCF-30058,New Hampshire Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8864,-71.7454
59,Merrimack Village,2200 Rochester Street,Bedford,Hillsborough,NH,03059,(603) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,NH-RCF-30059,New Hampshire Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8964,-71.7354
60,Bedford Manor,2300 Salem Avenue,Goffstown,Hillsborough,NH,03060,(603) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,NH-RCF-30060,New Hampshire Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9064,-71.7254
61,Goffstown Commons,2400 Merrimack Boulevard,Londonderry,Hillsborough,NH,03061,(603) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,NH-RCF-30061,New Hampshire Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9164,-71.7154
62,Londonderry Village,2500 Bedford Drive,Hudson,Hillsborough,NH,03062,(603) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,35,NH-RCF-30062,New Hampshire Department of Health and Human Services,2024-09-16,95,True,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9264,-71.7054
63,Hudson Manor,2600 Goffstown Street,Manchester,Hillsborough,NH,03063,(603) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,36,NH-RCF-30063,New Hampshire Department of Health and Human Services,2024-10-17,96,False,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9364,-71.7754
64,Windham Commons,2700 Londonderry Avenue,Nashua,Hillsborough,NH,03064,(603) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,37,NH-RCF-30064,New Hampshire Department of Health and Human Services,2024-11-18,97,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.946400000000004,-71.7654
65,Hampton Village,2800 Hudson Boulevard,Derry,Hillsborough,NH,03065,(603) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,38,NH-RCF-30065,New Hampshire Department of Health and Human Services,2024-03-19,98,True,True,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9564,-71.7554
66,Exeter Manor,2900 Windham Drive,Merrimack,Hillsborough,NH,03066,(603) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,39,NH-RCF-30066,New Hampshire Department of Health and Human Services,2024-04-20,99,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9664,-71.7454
67,Live Free Village,3000 Hampton Street,Bedford,Hillsborough,NH,03067,(603) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,40,NH-RCF-30067,New Hampshire Department of Health and Human Services,2024-05-21,80,False,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.876400000000004,-71.7354
68,Old Man Mountain Commons,3100 Exeter Avenue,Goffstown,Hillsborough,NH,03068,(603) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,41,NH-RCF-30068,New Hampshire Department of Health and Human Services,2024-06-22,81,True,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8864,-71.7254
69,Maple Syrup Manor,3200 Live Free Boulevard,Londonderry,Hillsborough,NH,03069,(603) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,42,NH-RCF-30069,New Hampshire Department of Health and Human Services,2024-07-23,82,False,True,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.8964,-71.7154
70,Fall Foliage Village,3300 Old Man Mountain Drive,Hudson,Hillsborough,NH,03070,(603) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,43,NH-RCF-30070,New Hampshire Department of Health and Human Services,2024-08-24,83,False,False,False,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9064,-71.7054
71,Ski Country Commons,3400 Maple Syrup Street,Manchester,Hillsborough,NH,03071,(603) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,44,NH-RCF-30071,New Hampshire Department of Health and Human Services,2024-09-25,84,True,True,True,https://www.hillsborough-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9164,-71.7754
72,Granite State Manor,1000 Main Street,Concord,Merrimack,NH,03072,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30072,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.226400000000005,-71.5754
73,White Mountain Village,1100 New Hampshire Avenue,Franklin,Merrimack,NH,03073,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30073,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2364,-71.5654
74,Seacoast Commons,1200 Granite State Boulevard,Hooksett,Merrimack,NH,03074,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30074,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2464,-71.55539999999999
75,Monadnock Village,1300 White Mountain Drive,Bow,Merrimack,NH,03075,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30075,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2564,-71.5454
76,Manchester Manor,1400 Seacoast Street,Hopkinton,Merrimack,NH,03076,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30076,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.266400000000004,-71.5354
77,Nashua Commons,1500 Monadnock Avenue,Pembroke,Merrimack,NH,03077,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30077,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2764,-71.52539999999999
