id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Prairie Point,1000 Main Street,Adams,Adams,IL,60001,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20001,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.adams-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
13,Prairie Point,1000 Main Street,Boone,Boone,IL,60013,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20013,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.boone-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
14,Lincoln Manor,1100 State Street,Boone,Boone,IL,60014,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20014,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.boone-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
15,Heritage Care,1200 Lincoln Avenue,Boone,Boone,IL,60015,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20015,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.boone-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
16,Riverside Living,1300 Oak Street,Boone,Boone,IL,60016,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20016,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.boone-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
17,Prairie Point,1000 Main Street,Brown,Brown,IL,60017,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20017,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.brown-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
18,Lincoln Manor,1100 State Street,Brown,Brown,IL,60018,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20018,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.brown-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
19,Heritage Care,1200 Lincoln Avenue,Brown,Brown,IL,60019,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20019,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.brown-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
20,Riverside Living,1300 Oak Street,Brown,Brown,IL,60020,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20020,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.brown-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
21,Prairie Point,1000 Main Street,Bureau,Bureau,IL,60021,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20021,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.bureau-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
22,Lincoln Manor,1100 State Street,Bureau,Bureau,IL,60022,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20022,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.bureau-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
23,Heritage Care,1200 Lincoln Avenue,Bureau,Bureau,IL,60023,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20023,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.bureau-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
24,Riverside Living,1300 Oak Street,Bureau,Bureau,IL,60024,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20024,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.bureau-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
25,Prairie Point,1000 Main Street,Calhoun,Calhoun,IL,60025,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20025,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.calhoun-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
26,Lincoln Manor,1100 State Street,Calhoun,Calhoun,IL,60026,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20026,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.calhoun-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
27,Heritage Care,1200 Lincoln Avenue,Calhoun,Calhoun,IL,60027,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20027,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.calhoun-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
28,Riverside Living,1300 Oak Street,Calhoun,Calhoun,IL,60028,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20028,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.calhoun-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
29,Prairie Point,1000 Main Street,Carroll,Carroll,IL,60029,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20029,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.carroll-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
30,Lincoln Manor,1100 State Street,Carroll,Carroll,IL,60030,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20030,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.carroll-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
31,Heritage Care,1200 Lincoln Avenue,Carroll,Carroll,IL,60031,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20031,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.carroll-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
32,Riverside Living,1300 Oak Street,Carroll,Carroll,IL,60032,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20032,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.carroll-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
33,Prairie Point,1000 Main Street,Cass,Cass,IL,60033,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20033,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.cass-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
34,Lincoln Manor,1100 State Street,Cass,Cass,IL,60034,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20034,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.cass-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
35,Heritage Care,1200 Lincoln Avenue,Cass,Cass,IL,60035,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20035,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.cass-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
36,Riverside Living,1300 Oak Street,Cass,Cass,IL,60036,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20036,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.cass-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
37,Prairie Point,1000 Main Street,Champaign,Champaign,IL,60037,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20037,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.champaign-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,40.0664,-88.2834
38,Lincoln Manor,1100 State Street,Champaign,Champaign,IL,60038,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20038,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.champaign-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,40.0764,-88.2734
39,Heritage Care,1200 Lincoln Avenue,Champaign,Champaign,IL,60039,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20039,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.champaign-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,40.0864,-88.26339999999999
40,Riverside Living,1300 Oak Street,Champaign,Champaign,IL,60040,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20040,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.champaign-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,40.096399999999996,-88.2534
41,Oak Grove,1400 Maple Avenue,Champaign,Champaign,IL,60041,(316) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IL-ALF-20041,Illinois Department of Public Health,2024-07-05,74,False,True,True,https://www.champaign-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,40.1064,-88.2434
42,Meadowbrook,1500 Park Avenue,Champaign,Champaign,IL,60042,(317) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IL-ALF-20042,Illinois Department of Public Health,2024-08-06,75,False,False,False,https://www.champaign-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,40.1164,-88.23339999999999
43,Prairie Point,1000 Main Street,Christian,Christian,IL,60043,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20043,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.christian-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
44,Lincoln Manor,1100 State Street,Christian,Christian,IL,60044,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20044,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.christian-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
45,Heritage Care,1200 Lincoln Avenue,Christian,Christian,IL,60045,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20045,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.christian-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
46,Riverside Living,1300 Oak Street,Christian,Christian,IL,60046,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20046,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.christian-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
47,Prairie Point,1000 Main Street,Clark,Clark,IL,60047,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20047,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.clark-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
48,Lincoln Manor,1100 State Street,Clark,Clark,IL,60048,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20048,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.clark-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
49,Heritage Care,1200 Lincoln Avenue,Clark,Clark,IL,60049,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20049,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.clark-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
50,Riverside Living,1300 Oak Street,Clark,Clark,IL,60050,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20050,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.clark-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
51,Prairie Point,1000 Main Street,Clay,Clay,IL,60051,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20051,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.clay-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
52,Lincoln Manor,1100 State Street,Clay,Clay,IL,60052,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20052,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.clay-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
53,Heritage Care,1200 Lincoln Avenue,Clay,Clay,IL,60053,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20053,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.clay-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
54,Riverside Living,1300 Oak Street,Clay,Clay,IL,60054,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20054,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.clay-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
55,Prairie Point,1000 Main Street,Clinton,Clinton,IL,60055,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20055,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.clinton-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
56,Lincoln Manor,1100 State Street,Clinton,Clinton,IL,60056,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20056,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.clinton-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
57,Heritage Care,1200 Lincoln Avenue,Clinton,Clinton,IL,60057,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20057,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.clinton-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
58,Riverside Living,1300 Oak Street,Clinton,Clinton,IL,60058,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20058,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.clinton-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
59,Prairie Point,1000 Main Street,Coles,Coles,IL,60059,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20059,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.coles-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
60,Lincoln Manor,1100 State Street,Coles,Coles,IL,60060,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20060,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.coles-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
61,Heritage Care,1200 Lincoln Avenue,Coles,Coles,IL,60061,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20061,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.coles-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
62,Riverside Living,1300 Oak Street,Coles,Coles,IL,60062,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20062,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.coles-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
63,Prairie Point,1000 Main Street,Chicago,Cook,IL,60063,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20063,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.828100000000006,-87.66980000000001
64,Lincoln Manor,1100 State Street,Chicago,Cook,IL,60064,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20064,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.838100000000004,-87.6598
65,Heritage Care,1200 Lincoln Avenue,Chicago,Cook,IL,60065,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20065,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.8481,-87.6498
66,Riverside Living,1300 Oak Street,Chicago,Cook,IL,60066,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20066,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.8581,-87.63980000000001
67,Oak Grove,1400 Maple Avenue,Chicago,Cook,IL,60067,(316) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IL-ALF-20067,Illinois Department of Public Health,2024-07-05,74,False,True,True,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.868100000000005,-87.6298
68,Meadowbrook,1500 Park Avenue,Chicago,Cook,IL,60068,(317) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IL-ALF-20068,Illinois Department of Public Health,2024-08-06,75,False,False,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.8781,-87.6198
69,Sunset Manor,1600 Church Street,Chicago,Cook,IL,60069,(318) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IL-ALF-20069,Illinois Department of Public Health,2024-09-07,76,True,True,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.8881,-87.6098
70,Garden View,1700 First Street,Chicago,Cook,IL,60070,(319) 407-1007,Senior Living,Assisted Living; Independent Living; Memory Care,32,IL-ALF-20070,Illinois Department of Public Health,2024-10-08,77,False,False,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.89810000000001,-87.5998
71,Lakeside Residence,1800 Second Street,Chicago,Cook,IL,60071,(320) 408-1008,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,33,IL-ALF-20071,Illinois Department of Public Health,2024-11-09,78,False,True,True,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.908100000000005,-87.66980000000001
72,Countryside Manor,1900 Third Street,Chicago,Cook,IL,60072,(321) 409-1009,Senior Living,Continuing Care; Adult Day Services; Respite Care,34,IL-ALF-20072,Illinois Department of Public Health,2024-03-10,79,True,False,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.9181,-87.6598
73,Whispering Pines,2000 Fourth Street,Chicago,Cook,IL,60073,(322) 410-1010,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,35,IL-ALF-20073,Illinois Department of Public Health,2024-04-11,80,False,True,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.828100000000006,-87.6498
74,Golden Years,2100 Fifth Street,Chicago,Cook,IL,60074,(323) 411-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,IL-ALF-20074,Illinois Department of Public Health,2024-05-12,81,False,False,False,https://www.cook-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.838100000000004,-87.63980000000001
75,Prairie Point,1000 Main Street,Crawford,Crawford,IL,60075,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20075,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.crawford-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
76,Lincoln Manor,1100 State Street,Crawford,Crawford,IL,60076,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20076,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.crawford-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
77,Heritage Care,1200 Lincoln Avenue,Crawford,Crawford,IL,60077,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20077,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.crawford-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
78,Riverside Living,1300 Oak Street,Crawford,Crawford,IL,60078,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20078,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.crawford-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
79,Prairie Point,1000 Main Street,Cumberland,Cumberland,IL,60079,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20079,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.cumberland-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
80,Lincoln Manor,1100 State Street,Cumberland,Cumberland,IL,60080,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20080,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.cumberland-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
81,Heritage Care,1200 Lincoln Avenue,Cumberland,Cumberland,IL,60081,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20081,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.cumberland-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
82,Riverside Living,1300 Oak Street,Cumberland,Cumberland,IL,60082,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20082,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.cumberland-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
83,Prairie Point,1000 Main Street,DeKalb,DeKalb,IL,60083,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20083,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.dekalb-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.8806,-88.79400000000001
84,Lincoln Manor,1100 State Street,DeKalb,DeKalb,IL,60084,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20084,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.dekalb-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.8906,-88.784
85,Heritage Care,1200 Lincoln Avenue,DeKalb,DeKalb,IL,60085,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20085,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.dekalb-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,41.9006,-88.774
