id,name,address,city,state,zip_code,county,phone,facility_type,licensed_beds,license_number,administrator,coordinates,data_source
95,Kentucky Assisted Living,7283 First St,Hopkinsville,Kentucky,42240,Christian,(270) 258-1956,Memory Care,84,KY98061,Helen Robinson,"[36.87384603356348, -87.47947702456283]",Kentucky Cabinet for Health and Family Services
96,Sunset Senior Living,7863 Jefferson Dr,Hopkinsville,Kentucky,42241,Christian,(859) 563-7707,Continuing Care Retirement Community,151,KY79725,Mary Robinson,"[36.85874710028184, -87.49035829452532]",Kentucky Cabinet for Health and Family Services
97,Valley Gardens,3498 Cedar Ln,Hopkinsville,Kentucky,42241,Christian,(502) 761-8940,Skilled Nursing Facility,164,KY24782,Charles Davis,"[36.8695726143828, -87.47266298913715]",Kentucky Cabinet for Health and Family Services
98,Thoroughbred Assisted Living,8212 Cedar Ln,Hopkinsville,Kentucky,42240,Christian,(859) 873-4596,Memory Care,77,KY16935,Thomas Thompson,"[36.88293526405568, -87.49031211991655]",Kentucky Cabinet for Health and Family Services
99,Sunset Place,3911 Jefferson Dr,Hopkinsville,Kentucky,42240,Christian,(859) 943-2198,Memory Care,171,KY71847,Barbara Brown,"[36.86098216479763, -87.47014850623978]",Kentucky Cabinet for Health and Family Services
100,Hopkinsville Assisted Living,631 Second St,Hopkinsville,Kentucky,42241,Christian,(606) 492-1787,Personal Care Home,144,KY95852,Jennifer Hernandez,"[36.86531462602097, -87.4910105954458]",Kentucky Cabinet for Health and Family Services
101,Magnolia Villa,7781 Church St,Hopkinsville,Kentucky,42241,Christian,(502) 583-3744,Independent Living,97,KY19733,Betty Williams,"[36.87917886491887, -87.5053284237817]",Kentucky Cabinet for Health and Family Services
102,Sunset Manor,9519 Park Ave,Hopkinsville,Kentucky,42240,Christian,(364) 553-9136,Assisted Living,152,KY28918,Barbara Wilson,"[36.86819755907398, -87.47859954611786]",Kentucky Cabinet for Health and Family Services
103,Meadow Center,5694 Mill St,Hopkinsville,Kentucky,42240,Christian,(859) 520-7881,Continuing Care Retirement Community,139,KY84781,Christopher Martin,"[36.88439062830585, -87.47696587603059]",Kentucky Cabinet for Health and Family Services
104,Bourbon Center,8197 Jefferson Dr,Hopkinsville,Kentucky,42240,Christian,(270) 971-1785,Adult Day Care,154,KY25023,Sandra Jones,"[36.84997470468207, -87.48324321923548]",Kentucky Cabinet for Health and Family Services
105,Heritage Gardens,107 Madison Rd,Richmond,Kentucky,40476,Madison,(364) 546-5629,Personal Care Home,69,KY10768,Charles Brown,"[37.72850835066973, -84.31115996831214]",Kentucky Cabinet for Health and Family Services
106,Meadow Skilled Nursing,1649 Cedar Ln,Richmond,Kentucky,40476,Madison,(364) 946-8766,Continuing Care Retirement Community,152,KY99659,Daniel Johnson,"[37.76007617645212, -84.30473042736033]",Kentucky Cabinet for Health and Family Services
107,Richmond Center,3277 Church St,Richmond,Kentucky,40475,Madison,(502) 545-7914,Adult Day Care,90,KY88102,Charles Lopez,"[37.7614906025242, -84.2984307210293]",Kentucky Cabinet for Health and Family Services
108,Court Health Care,7860 Oak Ave,Richmond,Kentucky,40475,Madison,(606) 588-5881,Independent Living,48,KY69780,Charles Martin,"[37.74064008254626, -84.29198800792916]",Kentucky Cabinet for Health and Family Services
109,Richmond Center,2088 Church St,Richmond,Kentucky,40475,Madison,(502) 260-5327,Memory Care,89,KY32230,Jessica White,"[37.75821892089587, -84.3042871702118]",Kentucky Cabinet for Health and Family Services
110,Derby Center,3277 Oak Ave,Richmond,Kentucky,40475,Madison,(606) 618-9237,Independent Living,53,KY79725,Thomas Martinez,"[37.749666513983364, -84.2838883357275]",Kentucky Cabinet for Health and Family Services
111,Place Senior Living,1666 Bluegrass Blvd,Richmond,Kentucky,40475,Madison,(364) 420-8180,Continuing Care Retirement Community,63,KY15264,Sandra Taylor,"[37.73454029374808, -84.29737109244965]",Kentucky Cabinet for Health and Family Services
112,Richmond Retirement Community,1529 Maple Dr,Richmond,Kentucky,40475,Madison,(270) 578-3949,Skilled Nursing Facility,89,KY93074,Richard Walker,"[37.73667957193199, -84.28671199286525]",Kentucky Cabinet for Health and Family Services
113,Bluegrass Assisted Living,7615 Mill St,Richmond,Kentucky,40475,Madison,(859) 475-3836,Personal Care Home,112,KY20082,Daniel Robinson,"[37.731095574772716, -84.27803046978478]",Kentucky Cabinet for Health and Family Services
114,Bourbon Court,6352 Horse Park Rd,Richmond,Kentucky,40476,Madison,(606) 845-2889,Assisted Living,114,KY48933,Barbara Gonzalez,"[37.75486431343919, -84.275435288341]",Kentucky Cabinet for Health and Family Services
115,Richmond Villa,3570 First St,Richmond,Kentucky,40476,Madison,(364) 785-3866,Skilled Nursing Facility,43,KY86129,Helen Rodriguez,"[37.73715954891711, -84.29188109661162]",Kentucky Cabinet for Health and Family Services
116,Meadow Court,2528 Bluegrass Blvd,Richmond,Kentucky,40476,Madison,(270) 994-8572,Memory Care,58,KY75279,Elizabeth Johnson,"[37.759507836844904, -84.29071525835656]",Kentucky Cabinet for Health and Family Services
117,Oak Villa,4747 Second St,Richmond,Kentucky,40475,Madison,(364) 793-6573,Assisted Living,176,KY21859,Betty Harris,"[37.74336467749693, -84.3030939694292]",Kentucky Cabinet for Health and Family Services
118,Richmond Nursing Home,7062 Park Ave,Richmond,Kentucky,40476,Madison,(364) 783-2250,Memory Care,120,KY30805,Nancy Anderson,"[37.752174699036395, -84.28945128655495]",Kentucky Cabinet for Health and Family Services
119,Bluegrass Health Care,2170 Elm St,Richmond,Kentucky,40476,Madison,(502) 429-5634,Continuing Care Retirement Community,122,KY87225,Jennifer White,"[37.73239140228698, -84.28023834079434]",Kentucky Cabinet for Health and Family Services
120,Richmond Senior Living,9072 Monroe St,Richmond,Kentucky,40475,Madison,(364) 697-1883,Skilled Nursing Facility,161,KY82574,Patricia Harris,"[37.73800297991252, -84.29805664697324]",Kentucky Cabinet for Health and Family Services
121,Richmond Place,6805 Jefferson Dr,Richmond,Kentucky,40475,Madison,(606) 550-9605,Memory Care,130,KY57927,Robert Taylor,"[37.73318431475029, -84.313957862922]",Kentucky Cabinet for Health and Family Services
122,Pine Court,7783 Lincoln Ave,Richmond,Kentucky,40476,Madison,(859) 945-4789,Memory Care,67,KY60935,Donna Taylor,"[37.74799324252984, -84.29540071858946]",Kentucky Cabinet for Health and Family Services
123,Riverside Assisted Living,2557 Pine Rd,Richmond,Kentucky,40475,Madison,(270) 696-8777,Assisted Living,116,KY74466,Barbara Thomas,"[37.76113597284476, -84.31231574453447]",Kentucky Cabinet for Health and Family Services
124,Sunset Gardens,7933 Oak Ave,Richmond,Kentucky,40475,Madison,(502) 791-1215,Skilled Nursing Facility,71,KY92157,Karen Wilson,"[37.76130773596059, -84.30197881717974]",Kentucky Cabinet for Health and Family Services
