id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Gateway Manor,1000 Main Street,Kirksville,Adair,MO,63001,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60001,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.139700000000005,-92.62960000000001
32,Show-Me Village,1100 Missouri Avenue,Lamar,Barton,MO,63032,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60032,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.barton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4864,-94.3749
33,Ozark Commons,1200 Gateway Boulevard,Lamar,Barton,MO,63033,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60033,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.barton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4964,-94.36489999999999
34,Missouri River Village,1300 Show-Me Drive,Lamar,Barton,MO,63034,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60034,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.barton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5064,-94.3549
35,Kansas City Commons,1400 Ozark Street,Lamar,Barton,MO,63035,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60035,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.barton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.516400000000004,-94.3449
36,St. Louis Manor,1500 Kansas City Avenue,Lamar,Barton,MO,63036,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60036,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.barton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5264,-94.33489999999999
37,Gateway Manor,1000 Main Street,Butler,Bates,MO,63037,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60037,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.bates-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.2719,-94.3735
38,Show-Me Village,1100 Missouri Avenue,Butler,Bates,MO,63038,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60038,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.bates-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.2819,-94.3635
39,Ozark Commons,1200 Gateway Boulevard,Butler,Bates,MO,63039,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60039,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.bates-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.2919,-94.3535
40,Missouri River Village,1300 Show-Me Drive,Butler,Bates,MO,63040,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60040,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.bates-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.301899999999996,-94.3435
41,Kansas City Commons,1400 Ozark Street,Butler,Bates,MO,63041,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60041,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.bates-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.3119,-94.3335
42,St. Louis Manor,1500 Kansas City Avenue,Butler,Bates,MO,63042,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60042,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.bates-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.3219,-94.3235
43,Gateway Manor,1000 Main Street,Warsaw,Benton,MO,63043,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60043,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.benton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.388600000000004,-93.46990000000001
44,Show-Me Village,1100 Missouri Avenue,Warsaw,Benton,MO,63044,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60044,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.benton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.3986,-93.4599
45,Ozark Commons,1200 Gateway Boulevard,Warsaw,Benton,MO,63045,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60045,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.benton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4086,-93.4499
46,Missouri River Village,1300 Show-Me Drive,Warsaw,Benton,MO,63046,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60046,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.benton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4186,-93.43990000000001
47,Kansas City Commons,1400 Ozark Street,Warsaw,Benton,MO,63047,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60047,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.benton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4286,-93.4299
48,St. Louis Manor,1500 Kansas City Avenue,Warsaw,Benton,MO,63048,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60048,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.benton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4386,-93.4199
49,Gateway Manor,1000 Main Street,Marble Hill,Bollinger,MO,63049,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60049,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.bollinger-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.1053,-89.87540000000001
50,Show-Me Village,1100 Missouri Avenue,Marble Hill,Bollinger,MO,63050,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60050,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.bollinger-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.1153,-89.86540000000001
51,Ozark Commons,1200 Gateway Boulevard,Marble Hill,Bollinger,MO,63051,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60051,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.bollinger-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.125299999999996,-89.8554
52,Missouri River Village,1300 Show-Me Drive,Marble Hill,Bollinger,MO,63052,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60052,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.bollinger-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.135299999999994,-89.84540000000001
53,Kansas City Commons,1400 Ozark Street,Marble Hill,Bollinger,MO,63053,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60053,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.bollinger-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.1453,-89.8354
54,St. Louis Manor,1500 Kansas City Avenue,Marble Hill,Bollinger,MO,63054,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60054,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.bollinger-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.1553,-89.8254
55,Gateway Manor,1000 Main Street,Columbia,Boone,MO,63055,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60055,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.901700000000005,-92.37410000000001
56,Show-Me Village,1100 Missouri Avenue,Columbia,Boone,MO,63056,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60056,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9117,-92.36410000000001
57,Ozark Commons,1200 Gateway Boulevard,Columbia,Boone,MO,63057,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60057,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9217,-92.3541
58,Missouri River Village,1300 Show-Me Drive,Columbia,Boone,MO,63058,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60058,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9317,-92.34410000000001
59,Kansas City Commons,1400 Ozark Street,Columbia,Boone,MO,63059,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60059,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.941700000000004,-92.3341
60,St. Louis Manor,1500 Kansas City Avenue,Columbia,Boone,MO,63060,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60060,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9517,-92.3241
61,Springfield Village,1600 St. Louis Boulevard,Columbia,Boone,MO,63061,(320) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MO-ALF-60061,Missouri Department of Health and Senior Services,2024-09-07,81,True,True,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9617,-92.31410000000001
62,Columbia Commons,1700 Springfield Drive,Columbia,Boone,MO,63062,(321) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MO-ALF-60062,Missouri Department of Health and Senior Services,2024-10-08,82,False,False,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.971700000000006,-92.3041
63,Independence Manor,1800 Independence Street,Columbia,Boone,MO,63063,(322) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MO-ALF-60063,Missouri Department of Health and Senior Services,2024-11-09,83,False,True,True,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.981700000000004,-92.37410000000001
64,Lee's Summit Village,1900 Liberty Avenue,Columbia,Boone,MO,63064,(323) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MO-ALF-60064,Missouri Department of Health and Senior Services,2024-03-10,84,True,False,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9917,-92.36410000000001
65,Blue Springs Commons,2000 Branson Boulevard,Columbia,Boone,MO,63065,(324) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,MO-ALF-60065,Missouri Department of Health and Senior Services,2024-04-11,85,False,True,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.901700000000005,-92.3541
66,Liberty Manor,2100 Mississippi Drive,Columbia,Boone,MO,63066,(325) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,MO-ALF-60066,Missouri Department of Health and Senior Services,2024-05-12,86,False,False,False,https://www.boone-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9117,-92.34410000000001
67,Gateway Manor,1000 Main Street,St. Joseph,Buchanan,MO,63067,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60067,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4161,-94.8422
68,Show-Me Village,1100 Missouri Avenue,St. Joseph,Buchanan,MO,63068,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60068,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4261,-94.8322
69,Ozark Commons,1200 Gateway Boulevard,St. Joseph,Buchanan,MO,63069,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60069,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.436099999999996,-94.8222
70,Missouri River Village,1300 Show-Me Drive,St. Joseph,Buchanan,MO,63070,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60070,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.446099999999994,-94.8122
71,Kansas City Commons,1400 Ozark Street,St. Joseph,Buchanan,MO,63071,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60071,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4561,-94.8022
72,St. Louis Manor,1500 Kansas City Avenue,St. Joseph,Buchanan,MO,63072,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60072,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4661,-94.7922
73,Springfield Village,1600 St. Louis Boulevard,St. Joseph,Buchanan,MO,63073,(320) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MO-ALF-60073,Missouri Department of Health and Senior Services,2024-09-07,81,True,True,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.476099999999995,-94.7822
74,Columbia Commons,1700 Springfield Drive,St. Joseph,Buchanan,MO,63074,(321) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MO-ALF-60074,Missouri Department of Health and Senior Services,2024-10-08,82,False,False,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4861,-94.7722
75,Independence Manor,1800 Independence Street,St. Joseph,Buchanan,MO,63075,(322) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MO-ALF-60075,Missouri Department of Health and Senior Services,2024-11-09,83,False,True,True,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4961,-94.8422
76,Lee's Summit Village,1900 Liberty Avenue,St. Joseph,Buchanan,MO,63076,(323) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MO-ALF-60076,Missouri Department of Health and Senior Services,2024-03-10,84,True,False,False,https://www.buchanan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.506099999999996,-94.8322
77,Gateway Manor,1000 Main Street,Poplar Bluff,Butler,MO,63077,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60077,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.butler-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.7597,-90.43570000000001
78,Show-Me Village,1100 Missouri Avenue,Poplar Bluff,Butler,MO,63078,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60078,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.butler-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.7697,-90.4257
79,Ozark Commons,1200 Gateway Boulevard,Poplar Bluff,Butler,MO,63079,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60079,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.butler-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.7797,-90.4157
