id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Great Lakes Manor,1000 Main Street,Harrisville,Alcona,MI,48001,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30001,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
12,Autumn Ridge,1500 Maple Avenue,Munising,Alger,MI,48012,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30012,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.alger-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
13,Great Lakes Manor,1000 Main Street,Allegan,Allegan,MI,48013,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30013,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.allegan-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.4251,-85.86810000000001
14,Lakeside Living,1100 State Street,Allegan,Allegan,MI,48014,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30014,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.allegan-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.4351,-85.85810000000001
15,Pine Ridge,1200 Michigan Avenue,Allegan,Allegan,MI,48015,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30015,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.allegan-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.4451,-85.8481
16,Maple Gardens,1300 Lake Street,Allegan,Allegan,MI,48016,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30016,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.allegan-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.455099999999995,-85.83810000000001
17,Heartland Manor,1400 Oak Street,Allegan,Allegan,MI,48017,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30017,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.allegan-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.4651,-85.8281
18,Autumn Ridge,1500 Maple Avenue,Allegan,Allegan,MI,48018,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30018,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.allegan-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.4751,-85.8181
19,Great Lakes Manor,1000 Main Street,Alpena,Alpena,MI,48019,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30019,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.alpena-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
20,Lakeside Living,1100 State Street,Alpena,Alpena,MI,48020,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30020,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.alpena-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
21,Pine Ridge,1200 Michigan Avenue,Alpena,Alpena,MI,48021,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30021,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.alpena-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
22,Maple Gardens,1300 Lake Street,Alpena,Alpena,MI,48022,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30022,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.alpena-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
23,Heartland Manor,1400 Oak Street,Alpena,Alpena,MI,48023,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30023,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.alpena-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
24,Autumn Ridge,1500 Maple Avenue,Alpena,Alpena,MI,48024,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30024,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.alpena-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
25,Great Lakes Manor,1000 Main Street,Bellaire,Antrim,MI,48025,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30025,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.antrim-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
26,Lakeside Living,1100 State Street,Bellaire,Antrim,MI,48026,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30026,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.antrim-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
27,Pine Ridge,1200 Michigan Avenue,Bellaire,Antrim,MI,48027,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30027,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.antrim-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
28,Maple Gardens,1300 Lake Street,Bellaire,Antrim,MI,48028,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30028,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.antrim-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
29,Heartland Manor,1400 Oak Street,Bellaire,Antrim,MI,48029,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30029,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.antrim-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
30,Autumn Ridge,1500 Maple Avenue,Bellaire,Antrim,MI,48030,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30030,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.antrim-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
31,Great Lakes Manor,1000 Main Street,Standish,Arenac,MI,48031,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30031,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.arenac-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
32,Lakeside Living,1100 State Street,Standish,Arenac,MI,48032,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30032,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.arenac-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
33,Pine Ridge,1200 Michigan Avenue,Standish,Arenac,MI,48033,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30033,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.arenac-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
34,Maple Gardens,1300 Lake Street,Standish,Arenac,MI,48034,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30034,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.arenac-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
35,Heartland Manor,1400 Oak Street,Standish,Arenac,MI,48035,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30035,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.arenac-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
36,Autumn Ridge,1500 Maple Avenue,Standish,Arenac,MI,48036,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30036,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.arenac-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
37,Great Lakes Manor,1000 Main Street,L'Anse,Baraga,MI,48037,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30037,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.baraga-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
38,Lakeside Living,1100 State Street,L'Anse,Baraga,MI,48038,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30038,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.baraga-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
39,Pine Ridge,1200 Michigan Avenue,L'Anse,Baraga,MI,48039,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30039,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.baraga-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
40,Maple Gardens,1300 Lake Street,L'Anse,Baraga,MI,48040,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30040,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.baraga-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
41,Heartland Manor,1400 Oak Street,L'Anse,Baraga,MI,48041,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30041,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.baraga-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
42,Autumn Ridge,1500 Maple Avenue,L'Anse,Baraga,MI,48042,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30042,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.baraga-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
43,Great Lakes Manor,1000 Main Street,Hastings,Barry,MI,48043,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30043,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.barry-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
44,Lakeside Living,1100 State Street,Hastings,Barry,MI,48044,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30044,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.barry-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
45,Pine Ridge,1200 Michigan Avenue,Hastings,Barry,MI,48045,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30045,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.barry-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
46,Maple Gardens,1300 Lake Street,Hastings,Barry,MI,48046,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30046,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.barry-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
47,Heartland Manor,1400 Oak Street,Hastings,Barry,MI,48047,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30047,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.barry-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
48,Autumn Ridge,1500 Maple Avenue,Hastings,Barry,MI,48048,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30048,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.barry-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
49,Great Lakes Manor,1000 Main Street,Bay City,Bay,MI,48049,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30049,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.5445,-84.07220000000001
50,Lakeside Living,1100 State Street,Bay City,Bay,MI,48050,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30050,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.5545,-84.0622
51,Pine Ridge,1200 Michigan Avenue,Bay City,Bay,MI,48051,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30051,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.564499999999995,-84.0522
52,Maple Gardens,1300 Lake Street,Bay City,Bay,MI,48052,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30052,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.57449999999999,-84.04220000000001
53,Heartland Manor,1400 Oak Street,Bay City,Bay,MI,48053,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30053,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.5845,-84.0322
54,Autumn Ridge,1500 Maple Avenue,Bay City,Bay,MI,48054,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30054,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.5945,-84.0222
55,Sunrise Manor,1600 Pine Street,Bay City,Bay,MI,48055,(319) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,MI-ALF-30055,Michigan Department of Health and Human Services,2024-09-07,76,True,True,False,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.604499999999994,-84.0122
56,Riverside Commons,1700 Cedar Avenue,Bay City,Bay,MI,48056,(320) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,MI-ALF-30056,Michigan Department of Health and Human Services,2024-10-08,77,False,False,False,https://www.bay-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,43.6145,-84.0022
57,Great Lakes Manor,1000 Main Street,Beulah,Benzie,MI,48057,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30057,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.benzie-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
58,Lakeside Living,1100 State Street,Beulah,Benzie,MI,48058,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30058,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.benzie-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
59,Pine Ridge,1200 Michigan Avenue,Beulah,Benzie,MI,48059,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30059,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.benzie-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
60,Maple Gardens,1300 Lake Street,Beulah,Benzie,MI,48060,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30060,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.benzie-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
61,Heartland Manor,1400 Oak Street,Beulah,Benzie,MI,48061,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30061,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.benzie-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
62,Autumn Ridge,1500 Maple Avenue,Beulah,Benzie,MI,48062,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30062,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.benzie-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
63,Great Lakes Manor,1000 Main Street,St. Joseph,Berrien,MI,48063,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30063,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.850300000000004,-86.49260000000001
64,Lakeside Living,1100 State Street,St. Joseph,Berrien,MI,48064,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30064,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.8603,-86.4826
65,Pine Ridge,1200 Michigan Avenue,St. Joseph,Berrien,MI,48065,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30065,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.8703,-86.4726
66,Maple Gardens,1300 Lake Street,St. Joseph,Berrien,MI,48066,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30066,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.8803,-86.46260000000001
67,Heartland Manor,1400 Oak Street,St. Joseph,Berrien,MI,48067,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30067,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.8903,-86.4526
68,Autumn Ridge,1500 Maple Avenue,St. Joseph,Berrien,MI,48068,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30068,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.9003,-86.4426
69,Sunrise Manor,1600 Pine Street,St. Joseph,Berrien,MI,48069,(319) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,MI-ALF-30069,Michigan Department of Health and Human Services,2024-09-07,76,True,True,False,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.9103,-86.43260000000001
70,Riverside Commons,1700 Cedar Avenue,St. Joseph,Berrien,MI,48070,(320) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,MI-ALF-30070,Michigan Department of Health and Human Services,2024-10-08,77,False,False,False,https://www.berrien-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,41.920300000000005,-86.4226
71,Great Lakes Manor,1000 Main Street,Coldwater,Branch,MI,48071,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30071,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.branch-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
72,Lakeside Living,1100 State Street,Coldwater,Branch,MI,48072,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30072,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.branch-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
73,Pine Ridge,1200 Michigan Avenue,Coldwater,Branch,MI,48073,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30073,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.branch-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
74,Maple Gardens,1300 Lake Street,Coldwater,Branch,MI,48074,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30074,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.branch-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
75,Heartland Manor,1400 Oak Street,Coldwater,Branch,MI,48075,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30075,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.branch-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
76,Autumn Ridge,1500 Maple Avenue,Coldwater,Branch,MI,48076,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30076,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.branch-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
77,Great Lakes Manor,1000 Main Street,Battle Creek,Calhoun,MI,48077,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30077,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.calhoun-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.222300000000004,-85.2189
78,Lakeside Living,1100 State Street,Battle Creek,Calhoun,MI,48078,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30078,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.calhoun-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.2323,-85.2089
79,Pine Ridge,1200 Michigan Avenue,Battle Creek,Calhoun,MI,48079,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30079,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.calhoun-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.2423,-85.1989
80,Maple Gardens,1300 Lake Street,Battle Creek,Calhoun,MI,48080,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30080,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.calhoun-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.2523,-85.1889
81,Heartland Manor,1400 Oak Street,Battle Creek,Calhoun,MI,48081,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30081,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.calhoun-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.2623,-85.1789
