id,name,address,city,state,zip_code,county,phone,facility_type,licensed_beds,license_number,administrator,coordinates,data_source
26,Bowling Green Court,897 Madison Rd,Bowling Green,Kentucky,42104,Warren,(270) 309-3369,Assisted Living,37,KY75650,Elizabeth Johnson,"[36.97351477129884, -86.49277383103635]",Kentucky Cabinet for Health and Family Services
27,Riverside Gardens,7504 Bluegrass Blvd,Bowling Green,Kentucky,42103,Warren,(270) 241-6673,Skilled Nursing Facility,43,KY25047,John Clark,"[36.98649536437898, -86.48412425089847]",Kentucky Cabinet for Health and Family Services
28,Derby Court,6394 Third St,Bowling Green,Kentucky,42101,Warren,(270) 632-5030,Independent Living,34,KY53939,Robert Jackson,"[36.952615742871586, -86.47468160373839]",Kentucky Cabinet for Health and Family Services
29,Valley Commons,7081 Madison Rd,Bowling Green,Kentucky,42101,Warren,(606) 512-8583,Personal Care Home,101,KY83867,John Lee,"[36.976963649491296, -86.49034992225998]",Kentucky Cabinet for Health and Family Services
30,Place Health Care,8779 Derby Dr,Bowling Green,Kentucky,42101,Warren,(270) 961-6021,Personal Care Home,143,KY28801,Elizabeth Lopez,"[36.965896914267525, -86.4891058699784]",Kentucky Cabinet for Health and Family Services
31,Heritage Place,9159 Maple Dr,Bowling Green,Kentucky,42103,Warren,(364) 976-3961,Assisted Living,81,KY54225,William Sanchez,"[36.95114638320547, -86.47425913791925]",Kentucky Cabinet for Health and Family Services
32,Sunset Center,3343 Maple Dr,Bowling Green,Kentucky,42101,Warren,(270) 876-4520,Continuing Care Retirement Community,140,KY74099,Daniel Miller,"[36.984317563729306, -86.47067900563846]",Kentucky Cabinet for Health and Family Services
33,Bowling Green Health Care,8025 Bluegrass Blvd,Bowling Green,Kentucky,42104,Warren,(502) 632-7674,Skilled Nursing Facility,61,KY86365,Betty Brown,"[36.97121979891776, -86.49770268691911]",Kentucky Cabinet for Health and Family Services
34,Bowling Green Gardens,4531 First St,Bowling Green,Kentucky,42101,Warren,(502) 360-1217,Skilled Nursing Facility,55,KY25812,Barbara Lopez,"[36.97580968325757, -86.49731704299133]",Kentucky Cabinet for Health and Family Services
35,Garden Manor,5139 Park Ave,Bowling Green,Kentucky,42103,Warren,(270) 539-6527,Personal Care Home,49,KY99946,Nancy Gonzalez,"[36.973918127287355, -86.46568045633784]",Kentucky Cabinet for Health and Family Services
36,Manor Senior Living,5708 Maple Dr,Bowling Green,Kentucky,42101,Warren,(502) 422-6192,Personal Care Home,72,KY12001,James Harris,"[36.96341906017877, -86.46887888910125]",Kentucky Cabinet for Health and Family Services
37,Hillside Assisted Living,299 Jefferson Dr,Bowling Green,Kentucky,42103,Warren,(859) 759-7901,Independent Living,140,KY25057,Sandra White,"[36.954681097401725, -86.4780311388135]",Kentucky Cabinet for Health and Family Services
38,Bowling Green Villa,8285 Monroe St,Bowling Green,Kentucky,42104,Warren,(270) 268-9102,Continuing Care Retirement Community,41,KY55421,Joseph Wilson,"[36.96433706131972, -86.49133213279822]",Kentucky Cabinet for Health and Family Services
39,Bowling Green Assisted Living,3581 Bourbon St,Bowling Green,Kentucky,42101,Warren,(859) 289-6496,Adult Day Care,160,KY46239,Donald Thomas,"[36.96941611124468, -86.46738799572663]",Kentucky Cabinet for Health and Family Services
40,Bowling Green Senior Living,5766 Kentucky Ave,Bowling Green,Kentucky,42101,Warren,(502) 546-1939,Assisted Living,29,KY33910,Lisa Walker,"[36.96738837806359, -86.48800631308303]",Kentucky Cabinet for Health and Family Services
41,Garden Villa,7854 Third St,Owensboro,Kentucky,42301,Daviess,(270) 408-1773,Skilled Nursing Facility,135,KY44763,Sarah Hernandez,"[37.76063134996475, -87.12915028878481]",Kentucky Cabinet for Health and Family Services
42,Owensboro Retirement Community,6245 Washington St,Owensboro,Kentucky,42303,Daviess,(270) 414-1852,Personal Care Home,79,KY50992,Jennifer Gonzalez,"[37.788156948355805, -87.10217380421453]",Kentucky Cabinet for Health and Family Services
43,Golden Skilled Nursing,4190 Park Ave,Owensboro,Kentucky,42304,Daviess,(606) 805-9837,Independent Living,46,KY92491,Michael Martin,"[37.757288582592665, -87.09974395628464]",Kentucky Cabinet for Health and Family Services
44,Court Senior Living,7047 Lincoln Ave,Owensboro,Kentucky,42304,Daviess,(859) 666-7336,Continuing Care Retirement Community,113,KY81558,William Davis,"[37.783040807567495, -87.09809083464151]",Kentucky Cabinet for Health and Family Services
45,Heritage Retirement Community,9787 First St,Owensboro,Kentucky,42301,Daviess,(502) 775-3845,Assisted Living,36,KY19113,Daniel Lee,"[37.76413505949482, -87.11807888596513]",Kentucky Cabinet for Health and Family Services
46,Owensboro Court,9639 Derby Dr,Owensboro,Kentucky,42304,Daviess,(364) 771-5272,Memory Care,123,KY14024,Jennifer Davis,"[37.75435455284592, -87.1234975974083]",Kentucky Cabinet for Health and Family Services
47,Owensboro Assisted Living,9820 Lincoln Ave,Owensboro,Kentucky,42303,Daviess,(364) 628-3678,Independent Living,93,KY10269,Donald White,"[37.76985403857508, -87.0940550859911]",Kentucky Cabinet for Health and Family Services
48,Bourbon Retirement Community,2079 Church St,Owensboro,Kentucky,42303,Daviess,(270) 287-8584,Assisted Living,79,KY75244,Susan Walker,"[37.78908304481253, -87.09728285516458]",Kentucky Cabinet for Health and Family Services
49,Owensboro Memory Care,2541 Elm St,Owensboro,Kentucky,42304,Daviess,(859) 745-4111,Assisted Living,175,KY41863,Patricia Ramirez,"[37.79033520083793, -87.10041019197071]",Kentucky Cabinet for Health and Family Services
50,Place Skilled Nursing,2796 Washington St,Owensboro,Kentucky,42304,Daviess,(502) 661-1854,Adult Day Care,42,KY81937,William White,"[37.78487768637004, -87.1276635233571]",Kentucky Cabinet for Health and Family Services
51,Covington Place,1920 Pine Rd,Covington,Kentucky,41017,Kenton,(859) 349-5981,Personal Care Home,95,KY18089,Mary Miller,"[39.07188916048291, -84.50407616664322]",Kentucky Cabinet for Health and Family Services
52,Covington Memory Care,3914 Church St,Covington,Kentucky,41016,Kenton,(859) 421-8337,Memory Care,127,KY62720,Karen Brown,"[39.096669503664465, -84.504967673885]",Kentucky Cabinet for Health and Family Services
53,Covington Skilled Nursing,8687 Horse Park Rd,Covington,Kentucky,41016,Kenton,(364) 794-8830,Memory Care,76,KY72814,Thomas Williams,"[39.10072727609121, -84.5234605598771]",Kentucky Cabinet for Health and Family Services
54,Magnolia Villa,669 Second St,Covington,Kentucky,41011,Kenton,(364) 278-3550,Adult Day Care,121,KY55974,Sarah Perez,"[39.065730407677826, -84.52770503241224]",Kentucky Cabinet for Health and Family Services
55,Covington Memory Care,6020 Derby Dr,Covington,Kentucky,41012,Kenton,(364) 919-2943,Independent Living,121,KY58259,Robert Lopez,"[39.07985899437575, -84.5156293341743]",Kentucky Cabinet for Health and Family Services
56,Golden Manor,3960 Lincoln Ave,Covington,Kentucky,41018,Kenton,(364) 593-6000,Personal Care Home,82,KY25873,Joseph Rodriguez,"[39.09498992829793, -84.49868416612038]",Kentucky Cabinet for Health and Family Services
57,Place Skilled Nursing,6943 Church St,Covington,Kentucky,41017,Kenton,(859) 725-1552,Continuing Care Retirement Community,137,KY94679,Lisa Williams,"[39.09805922686153, -84.49186313386363]",Kentucky Cabinet for Health and Family Services
58,Oak Manor,4740 Bluegrass Blvd,Covington,Kentucky,41015,Kenton,(270) 594-5003,Memory Care,97,KY26965,David Smith,"[39.078473832383885, -84.51538989435637]",Kentucky Cabinet for Health and Family Services
59,Covington Retirement Community,4091 Lincoln Ave,Covington,Kentucky,41015,Kenton,(270) 468-9005,Independent Living,59,KY19827,Mary Jones,"[39.09795770463454, -84.50674791828531]",Kentucky Cabinet for Health and Family Services
60,Covington Commons,9666 Monroe St,Covington,Kentucky,41011,Kenton,(606) 563-9428,Independent Living,83,KY38121,Sandra Martinez,"[39.07156655474441, -84.51312469076895]",Kentucky Cabinet for Health and Family Services
61,Hillside Health Care,2604 Derby Dr,Covington,Kentucky,41015,Kenton,(606) 765-5265,Personal Care Home,150,KY63421,Joseph Perez,"[39.090986678997645, -84.4942985133241]",Kentucky Cabinet for Health and Family Services
62,Covington Retirement Community,7172 Third St,Covington,Kentucky,41011,Kenton,(364) 666-9747,Adult Day Care,172,KY82495,Michael Gonzalez,"[39.07706653283077, -84.50908990307724]",Kentucky Cabinet for Health and Family Services
63,Valley Place,1580 Jefferson Dr,Covington,Kentucky,41016,Kenton,(270) 777-9693,Skilled Nursing Facility,98,KY56112,Donna Rodriguez,"[39.08532541400497, -84.52566039333065]",Kentucky Cabinet for Health and Family Services
64,Bourbon Nursing Home,8450 Derby Dr,Covington,Kentucky,41012,Kenton,(606) 701-2239,Continuing Care Retirement Community,62,KY85376,William White,"[39.09471808410839, -84.52267438315826]",Kentucky Cabinet for Health and Family Services
65,Covington Center,2074 Kentucky Ave,Covington,Kentucky,41016,Kenton,(364) 940-4424,Skilled Nursing Facility,161,KY42750,Donald Johnson,"[39.093667001411546, -84.52281924526946]",Kentucky Cabinet for Health and Family Services
66,Covington Memory Care,4213 Bluegrass Blvd,Covington,Kentucky,41011,Kenton,(859) 648-7390,Skilled Nursing Facility,70,KY82858,Patricia Sanchez,"[39.07708310196702, -84.49933833505415]",Kentucky Cabinet for Health and Family Services
67,Covington Villa,4810 Kentucky Ave,Covington,Kentucky,41016,Kenton,(502) 619-8834,Assisted Living,70,KY26260,Mary Johnson,"[39.06897348195054, -84.49672544660943]",Kentucky Cabinet for Health and Family Services
68,Magnolia Retirement Community,5690 First St,Covington,Kentucky,41012,Kenton,(270) 554-3119,Skilled Nursing Facility,164,KY14106,Sarah Brown,"[39.1010573291326, -84.49333262585873]",Kentucky Cabinet for Health and Family Services
69,Garden Assisted Living,9606 Horse Park Rd,Covington,Kentucky,41012,Kenton,(606) 500-2919,Memory Care,71,KY92540,Linda Jones,"[39.076879526209034, -84.51309881388086]",Kentucky Cabinet for Health and Family Services
70,Covington Senior Living,4415 Jefferson Dr,Covington,Kentucky,41015,Kenton,(606) 481-7800,Skilled Nursing Facility,65,KY71888,Joseph Lewis,"[39.088592378159895, -84.49243403232192]",Kentucky Cabinet for Health and Family Services
71,Bourbon Place,2623 Second St,Covington,Kentucky,41014,Kenton,(859) 344-2069,Independent Living,169,KY48839,Matthew Taylor,"[39.081717634316426, -84.52033897182261]",Kentucky Cabinet for Health and Family Services
72,Heritage Nursing Home,6704 Park Ave,Covington,Kentucky,41017,Kenton,(859) 348-3341,Adult Day Care,133,KY93998,James Smith,"[39.085807825440575, -84.51820127530077]",Kentucky Cabinet for Health and Family Services
73,Magnolia Memory Care,7914 Elm St,Covington,Kentucky,41012,Kenton,(270) 565-8095,Continuing Care Retirement Community,49,KY44004,Daniel Robinson,"[39.06847947622361, -84.50162802914888]",Kentucky Cabinet for Health and Family Services
74,Hopkinsville Place,225 Jefferson Dr,Hopkinsville,Kentucky,42240,Christian,(606) 954-7245,Memory Care,95,KY22784,Jennifer Lewis,"[36.87443022187606, -87.48091774266531]",Kentucky Cabinet for Health and Family Services
75,Riverside Retirement Community,2290 Derby Dr,Hopkinsville,Kentucky,42241,Christian,(859) 511-6398,Continuing Care Retirement Community,29,KY73093,Betty Davis,"[36.87304887616936, -87.50378118301742]",Kentucky Cabinet for Health and Family Services
76,Oak Health Care,5017 Maple Dr,Hopkinsville,Kentucky,42240,Christian,(606) 827-4289,Memory Care,174,KY82268,Helen Harris,"[36.85153369156211, -87.50690687578019]",Kentucky Cabinet for Health and Family Services
77,Hopkinsville Court,685 Mill St,Hopkinsville,Kentucky,42241,Christian,(502) 511-8611,Assisted Living,141,KY72609,James Jones,"[36.853561294067234, -87.471446068327]",Kentucky Cabinet for Health and Family Services
78,Meadow Villa,5442 Maple Dr,Hopkinsville,Kentucky,42241,Christian,(364) 427-2920,Adult Day Care,50,KY32537,William Brown,"[36.878502275964586, -87.46934796530964]",Kentucky Cabinet for Health and Family Services
79,Pine Health Care,8191 Third St,Hopkinsville,Kentucky,42241,Christian,(502) 651-4834,Memory Care,108,KY47315,Jennifer Thomas,"[36.87227157293379, -87.49527294911165]",Kentucky Cabinet for Health and Family Services
80,Hopkinsville Gardens,3991 Jefferson Dr,Hopkinsville,Kentucky,42240,Christian,(364) 340-4298,Assisted Living,121,KY72878,Donald Walker,"[36.87888354875057, -87.50111061656914]",Kentucky Cabinet for Health and Family Services
81,Riverside Center,1262 Lincoln Ave,Hopkinsville,Kentucky,42240,Christian,(606) 994-7818,Skilled Nursing Facility,68,KY50167,Linda Rodriguez,"[36.849357684219186, -87.50788510800857]",Kentucky Cabinet for Health and Family Services
82,Meadow Memory Care,6428 Jefferson Dr,Hopkinsville,Kentucky,42240,Christian,(606) 230-9043,Personal Care Home,74,KY76343,Joseph White,"[36.847061400676495, -87.49320092038523]",Kentucky Cabinet for Health and Family Services
83,Manor Place,1799 Park Ave,Hopkinsville,Kentucky,42240,Christian,(859) 727-1872,Assisted Living,156,KY41563,William Davis,"[36.85566556748304, -87.49713656109174]",Kentucky Cabinet for Health and Family Services
84,Sunset Senior Living,707 Mill St,Hopkinsville,Kentucky,42241,Christian,(502) 870-7235,Assisted Living,75,KY25749,David Brown,"[36.85235036082345, -87.5076740569153]",Kentucky Cabinet for Health and Family Services
85,Hillside Senior Living,1616 Third St,Hopkinsville,Kentucky,42240,Christian,(502) 843-3064,Assisted Living,108,KY22868,Mary Williams,"[36.86171490539524, -87.49648424861934]",Kentucky Cabinet for Health and Family Services
86,Magnolia Retirement Community,3505 Second St,Hopkinsville,Kentucky,42241,Christian,(364) 855-8078,Assisted Living,48,KY14292,Richard Thompson,"[36.88212445617414, -87.49401011610645]",Kentucky Cabinet for Health and Family Services
87,Manor Manor,7370 Third St,Hopkinsville,Kentucky,42241,Christian,(606) 403-7961,Adult Day Care,114,KY39222,Mary Thompson,"[36.85230630687752, -87.47099141733347]",Kentucky Cabinet for Health and Family Services
88,Hopkinsville Assisted Living,2295 Madison Rd,Hopkinsville,Kentucky,42241,Christian,(364) 787-2976,Skilled Nursing Facility,73,KY40624,Sandra Sanchez,"[36.86942087087513, -87.50376488122548]",Kentucky Cabinet for Health and Family Services
89,Magnolia Assisted Living,4336 Lincoln Ave,Richmond,Kentucky,40475,Madison,(859) 981-8499,Skilled Nursing Facility,173,KY90522,Sarah Sanchez,"[37.730431084004806, -84.31414111974111]",Kentucky Cabinet for Health and Family Services
90,Derby Nursing Home,4063 Bluegrass Blvd,Richmond,Kentucky,40476,Madison,(606) 489-6976,Personal Care Home,141,KY87813,Donald Miller,"[37.74109891215134, -84.30321396308051]",Kentucky Cabinet for Health and Family Services
91,Richmond Commons,4980 Horse Park Rd,Richmond,Kentucky,40475,Madison,(270) 524-3167,Memory Care,138,KY18957,Robert Johnson,"[37.765063486833284, -84.27728415755169]",Kentucky Cabinet for Health and Family Services
92,Derby Skilled Nursing,6362 Second St,Richmond,Kentucky,40475,Madison,(502) 937-2000,Personal Care Home,87,KY78127,Michael Moore,"[37.73324605531796, -84.27613198945694]",Kentucky Cabinet for Health and Family Services
93,Bourbon Skilled Nursing,3953 Lincoln Ave,Richmond,Kentucky,40476,Madison,(859) 365-4175,Adult Day Care,114,KY33936,Karen Miller,"[37.733952831335756, -84.30415143192565]",Kentucky Cabinet for Health and Family Services
94,Oak Commons,6142 Washington St,Richmond,Kentucky,40475,Madison,(502) 825-1812,Independent Living,162,KY14761,Jennifer Clark,"[37.729373170275295, -84.29338276509583]",Kentucky Cabinet for Health and Family Services
95,Magnolia Retirement Community,9221 Church St,Richmond,Kentucky,40475,Madison,(364) 456-1057,Skilled Nursing Facility,37,KY44179,Karen Lewis,"[37.7323731000632, -84.28727335919051]",Kentucky Cabinet for Health and Family Services
96,Derby Court,139 Mill St,Richmond,Kentucky,40476,Madison,(502) 837-7989,Memory Care,81,KY15467,Joseph Taylor,"[37.73437043293604, -84.31377665913408]",Kentucky Cabinet for Health and Family Services
97,Oak Nursing Home,2679 Bluegrass Blvd,Richmond,Kentucky,40476,Madison,(859) 292-9912,Independent Living,130,KY46812,Barbara Garcia,"[37.73129980708932, -84.28317773048596]",Kentucky Cabinet for Health and Family Services
98,Maple Court,4345 Bourbon St,Richmond,Kentucky,40475,Madison,(859) 963-3975,Continuing Care Retirement Community,176,KY92063,Richard Moore,"[37.756798160869614, -84.31144287181915]",Kentucky Cabinet for Health and Family Services
99,Heritage Gardens,500 Lincoln Ave,Richmond,Kentucky,40475,Madison,(502) 607-5958,Continuing Care Retirement Community,96,KY65226,Mark Anderson,"[37.76496479112591, -84.31043524694046]",Kentucky Cabinet for Health and Family Services
100,Court Commons,3532 Kentucky Ave,Richmond,Kentucky,40476,Madison,(859) 958-8308,Independent Living,104,KY74491,Donna Martinez,"[37.75988090487017, -84.31266975070372]",Kentucky Cabinet for Health and Family Services
101,Hillside Senior Living,8259 Cedar Ln,Richmond,Kentucky,40475,Madison,(859) 777-6676,Memory Care,48,KY30254,Barbara White,"[37.73955816498649, -84.27656119758848]",Kentucky Cabinet for Health and Family Services
102,Oak Assisted Living,4565 Washington St,Richmond,Kentucky,40475,Madison,(364) 324-2257,Adult Day Care,146,KY35481,Jennifer Harris,"[37.76486303539819, -84.28386128548001]",Kentucky Cabinet for Health and Family Services
103,Magnolia Skilled Nursing,271 Oak Ave,Richmond,Kentucky,40475,Madison,(502) 689-2880,Independent Living,80,KY96165,Thomas Brown,"[37.75066714351252, -84.29201309166059]",Kentucky Cabinet for Health and Family Services
104,Golden Assisted Living,378 Elm St,Florence,Kentucky,41022,Boone,(364) 627-5509,Adult Day Care,146,KY33026,Christopher Perez,"[38.996272150096026, -84.63948081362163]",Kentucky Cabinet for Health and Family Services
105,Court Commons,5680 Bluegrass Blvd,Florence,Kentucky,41022,Boone,(270) 892-8696,Independent Living,26,KY99975,Betty Martin,"[38.98334402764543, -84.62798038472567]",Kentucky Cabinet for Health and Family Services
106,Kentucky Assisted Living,7833 Elm St,Florence,Kentucky,41022,Boone,(859) 669-8958,Memory Care,59,KY14121,Christopher Ramirez,"[38.99838344690111, -84.63268541561868]",Kentucky Cabinet for Health and Family Services
107,Maple Memory Care,7601 Park Ave,Florence,Kentucky,41022,Boone,(364) 347-1663,Continuing Care Retirement Community,48,KY81279,Robert Taylor,"[39.01590544940782, -84.62122199479728]",Kentucky Cabinet for Health and Family Services
108,Kentucky Gardens,5458 First St,Florence,Kentucky,41042,Boone,(859) 797-1409,Memory Care,28,KY69443,Lisa Harris,"[39.00460828249399, -84.63645314375832]",Kentucky Cabinet for Health and Family Services
109,Bluegrass Memory Care,3167 Monroe St,Florence,Kentucky,41022,Boone,(364) 358-3556,Personal Care Home,50,KY65151,Sarah Williams,"[39.00652648210616, -84.62053992193289]",Kentucky Cabinet for Health and Family Services
110,Manor Manor,8444 Jefferson Dr,Florence,Kentucky,41042,Boone,(502) 602-3656,Continuing Care Retirement Community,69,KY41088,Betty Jackson,"[38.9849175238338, -84.62135218285309]",Kentucky Cabinet for Health and Family Services
111,Florence Retirement Community,4421 Monroe St,Florence,Kentucky,41042,Boone,(859) 369-5571,Continuing Care Retirement Community,48,KY94567,William Taylor,"[38.981544718500466, -84.63775069503947]",Kentucky Cabinet for Health and Family Services
112,Kentucky Commons,6525 Lincoln Ave,Florence,Kentucky,41042,Boone,(502) 257-9987,Skilled Nursing Facility,80,KY32805,Christopher Lopez,"[38.99689336863264, -84.61271539251099]",Kentucky Cabinet for Health and Family Services
113,Court Gardens,3578 Madison Rd,Florence,Kentucky,41042,Boone,(270) 713-8891,Continuing Care Retirement Community,27,KY16051,Elizabeth Thomas,"[39.01876093343188, -84.6111195720711]",Kentucky Cabinet for Health and Family Services
114,Pine Skilled Nursing,5673 Third St,Florence,Kentucky,41042,Boone,(364) 654-6381,Assisted Living,152,KY52460,Donald Wilson,"[39.011501648326096, -84.62214020750905]",Kentucky Cabinet for Health and Family Services
115,Garden Villa,8112 Bluegrass Blvd,Georgetown,Kentucky,40324,Scott,(270) 702-2934,Independent Living,127,KY47190,Donna Perez,"[38.22102707671968, -84.55318691785197]",Kentucky Cabinet for Health and Family Services
116,Place Skilled Nursing,8492 Madison Rd,Georgetown,Kentucky,40324,Scott,(364) 217-6731,Memory Care,123,KY19694,Mark Sanchez,"[38.21600041150304, -84.54105771778762]",Kentucky Cabinet for Health and Family Services
117,Heritage Court,5307 Second St,Georgetown,Kentucky,40324,Scott,(364) 347-9086,Assisted Living,100,KY84068,Anthony Lewis,"[38.20519385033662, -84.5434901763436]",Kentucky Cabinet for Health and Family Services
118,Magnolia Skilled Nursing,6499 Madison Rd,Georgetown,Kentucky,40324,Scott,(270) 327-5897,Adult Day Care,57,KY51502,Richard Miller,"[38.228365677329194, -84.54913556836544]",Kentucky Cabinet for Health and Family Services
119,Georgetown Manor,8720 Park Ave,Georgetown,Kentucky,40324,Scott,(859) 956-8068,Adult Day Care,162,KY62964,Betty Jackson,"[38.21347487040999, -84.56991454601736]",Kentucky Cabinet for Health and Family Services
120,Garden Health Care,832 Lincoln Ave,Georgetown,Kentucky,40324,Scott,(364) 726-2200,Memory Care,178,KY77056,Mary Martinez,"[38.19115224803112, -84.54834197251223]",Kentucky Cabinet for Health and Family Services
121,Bourbon Commons,8820 Cedar Ln,Georgetown,Kentucky,40324,Scott,(364) 271-4717,Independent Living,48,KY56632,James Garcia,"[38.2170346248172, -84.55953271833768]",Kentucky Cabinet for Health and Family Services
122,Georgetown Assisted Living,6387 Maple Dr,Georgetown,Kentucky,40324,Scott,(859) 740-8993,Continuing Care Retirement Community,51,KY76654,Lisa Rodriguez,"[38.21669547298596, -84.55756398605139]",Kentucky Cabinet for Health and Family Services
123,Manor Retirement Community,2144 Horse Park Rd,Georgetown,Kentucky,40324,Scott,(606) 282-4813,Continuing Care Retirement Community,179,KY98148,Sarah Martinez,"[38.20076421377789, -84.56334368696288]",Kentucky Cabinet for Health and Family Services
124,Court Skilled Nursing,5535 First St,Georgetown,Kentucky,40324,Scott,(859) 806-8607,Assisted Living,172,KY25579,Barbara Martin,"[38.19660013930763, -84.5602319589687]",Kentucky Cabinet for Health and Family Services
