id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Blue Ridge Manor,1000 Main Street,Burlington,Alamance,NC,27001,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60001,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.9932,-79.45280000000001
17,Blue Ridge Manor,1000 Main Street,Sparta,Alleghany,NC,27017,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60017,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.alleghany-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
18,Tar Heel Commons,1100 North Carolina Avenue,Sparta,Alleghany,NC,27018,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60018,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.alleghany-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
19,Piedmont Village,1200 State Street,Sparta,Alleghany,NC,27019,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60019,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.alleghany-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
20,Coastal Plains Care,1300 Church Street,Sparta,Alleghany,NC,27020,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60020,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.alleghany-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
21,Carolina Pines Manor,1400 Oak Street,Sparta,Alleghany,NC,27021,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60021,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.alleghany-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
22,Smoky Mountain Village,1500 Maple Avenue,Sparta,Alleghany,NC,27022,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60022,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.alleghany-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
23,Blue Ridge Manor,1000 Main Street,Wadesboro,Anson,NC,27023,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60023,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.anson-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
24,Tar Heel Commons,1100 North Carolina Avenue,Wadesboro,Anson,NC,27024,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60024,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.anson-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
25,Piedmont Village,1200 State Street,Wadesboro,Anson,NC,27025,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60025,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.anson-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
26,Coastal Plains Care,1300 Church Street,Wadesboro,Anson,NC,27026,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60026,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.anson-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
27,Carolina Pines Manor,1400 Oak Street,Wadesboro,Anson,NC,27027,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60027,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.anson-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
28,Smoky Mountain Village,1500 Maple Avenue,Wadesboro,Anson,NC,27028,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60028,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.anson-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
29,Blue Ridge Manor,1000 Main Street,Jefferson,Ashe,NC,27029,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60029,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.ashe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
30,Tar Heel Commons,1100 North Carolina Avenue,Jefferson,Ashe,NC,27030,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60030,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.ashe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
31,Piedmont Village,1200 State Street,Jefferson,Ashe,NC,27031,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60031,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.ashe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
32,Coastal Plains Care,1300 Church Street,Jefferson,Ashe,NC,27032,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60032,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.ashe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
33,Carolina Pines Manor,1400 Oak Street,Jefferson,Ashe,NC,27033,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60033,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.ashe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
34,Smoky Mountain Village,1500 Maple Avenue,Jefferson,Ashe,NC,27034,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60034,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.ashe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
35,Blue Ridge Manor,1000 Main Street,Newland,Avery,NC,27035,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60035,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.avery-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
36,Tar Heel Commons,1100 North Carolina Avenue,Newland,Avery,NC,27036,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60036,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.avery-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
37,Piedmont Village,1200 State Street,Newland,Avery,NC,27037,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60037,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.avery-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
38,Coastal Plains Care,1300 Church Street,Newland,Avery,NC,27038,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60038,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.avery-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
39,Carolina Pines Manor,1400 Oak Street,Newland,Avery,NC,27039,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60039,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.avery-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
40,Smoky Mountain Village,1500 Maple Avenue,Newland,Avery,NC,27040,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60040,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.avery-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
41,Blue Ridge Manor,1000 Main Street,Washington,Beaufort,NC,27041,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60041,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.beaufort-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
42,Tar Heel Commons,1100 North Carolina Avenue,Washington,Beaufort,NC,27042,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60042,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.beaufort-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
43,Piedmont Village,1200 State Street,Washington,Beaufort,NC,27043,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60043,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.beaufort-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
44,Coastal Plains Care,1300 Church Street,Washington,Beaufort,NC,27044,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60044,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.beaufort-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
45,Carolina Pines Manor,1400 Oak Street,Washington,Beaufort,NC,27045,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60045,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.beaufort-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
46,Smoky Mountain Village,1500 Maple Avenue,Washington,Beaufort,NC,27046,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60046,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.beaufort-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
47,Blue Ridge Manor,1000 Main Street,Windsor,Bertie,NC,27047,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60047,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.bertie-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
48,Tar Heel Commons,1100 North Carolina Avenue,Windsor,Bertie,NC,27048,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60048,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.bertie-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
49,Piedmont Village,1200 State Street,Windsor,Bertie,NC,27049,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60049,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.bertie-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
50,Coastal Plains Care,1300 Church Street,Windsor,Bertie,NC,27050,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60050,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.bertie-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
51,Carolina Pines Manor,1400 Oak Street,Windsor,Bertie,NC,27051,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60051,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.bertie-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
52,Smoky Mountain Village,1500 Maple Avenue,Windsor,Bertie,NC,27052,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60052,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.bertie-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
53,Blue Ridge Manor,1000 Main Street,Elizabethtown,Bladen,NC,27053,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60053,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.bladen-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
54,Tar Heel Commons,1100 North Carolina Avenue,Elizabethtown,Bladen,NC,27054,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60054,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.bladen-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
55,Piedmont Village,1200 State Street,Elizabethtown,Bladen,NC,27055,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60055,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.bladen-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
56,Coastal Plains Care,1300 Church Street,Elizabethtown,Bladen,NC,27056,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60056,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.bladen-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
57,Carolina Pines Manor,1400 Oak Street,Elizabethtown,Bladen,NC,27057,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60057,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.bladen-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
58,Smoky Mountain Village,1500 Maple Avenue,Elizabethtown,Bladen,NC,27058,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60058,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.bladen-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
59,Blue Ridge Manor,1000 Main Street,Bolivia,Brunswick,NC,27059,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60059,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.brunswick-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
60,Tar Heel Commons,1100 North Carolina Avenue,Bolivia,Brunswick,NC,27060,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60060,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.brunswick-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
61,Piedmont Village,1200 State Street,Bolivia,Brunswick,NC,27061,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60061,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.brunswick-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
62,Coastal Plains Care,1300 Church Street,Bolivia,Brunswick,NC,27062,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60062,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.brunswick-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
63,Carolina Pines Manor,1400 Oak Street,Bolivia,Brunswick,NC,27063,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60063,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.brunswick-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
64,Smoky Mountain Village,1500 Maple Avenue,Bolivia,Brunswick,NC,27064,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60064,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.brunswick-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
65,Blue Ridge Manor,1000 Main Street,Asheville,Buncombe,NC,27065,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60065,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.545100000000005,-82.59150000000001
66,Tar Heel Commons,1100 North Carolina Avenue,Asheville,Buncombe,NC,27066,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60066,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5551,-82.5815
67,Piedmont Village,1200 State Street,Asheville,Buncombe,NC,27067,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60067,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5651,-82.5715
68,Coastal Plains Care,1300 Church Street,Asheville,Buncombe,NC,27068,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60068,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5751,-82.56150000000001
69,Carolina Pines Manor,1400 Oak Street,Asheville,Buncombe,NC,27069,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60069,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.585100000000004,-82.5515
70,Smoky Mountain Village,1500 Maple Avenue,Asheville,Buncombe,NC,27070,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60070,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5951,-82.5415
71,Research Triangle Commons,1600 Pine Street,Asheville,Buncombe,NC,27071,(710) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,NC-ALF-60071,North Carolina Department of Health and Human Services,2024-09-07,81,True,True,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.6051,-82.53150000000001
72,Queen City Manor,1700 Cedar Avenue,Asheville,Buncombe,NC,27072,(711) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,NC-ALF-60072,North Carolina Department of Health and Human Services,2024-10-08,82,False,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.615100000000005,-82.5215
73,Outer Banks Village,1800 First Street,Asheville,Buncombe,NC,27073,(712) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,NC-ALF-60073,North Carolina Department of Health and Human Services,2024-11-09,83,False,True,True,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.6251,-82.59150000000001
74,Appalachian Commons,1900 Second Street,Asheville,Buncombe,NC,27074,(713) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,NC-ALF-60074,North Carolina Department of Health and Human Services,2024-03-10,84,True,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.6351,-82.5815
75,Cape Fear Manor,2000 Third Street,Asheville,Buncombe,NC,27075,(714) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,NC-ALF-60075,North Carolina Department of Health and Human Services,2024-04-11,85,False,True,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.545100000000005,-82.5715
76,Sandhills Village,2100 Fourth Street,Asheville,Buncombe,NC,27076,(715) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,NC-ALF-60076,North Carolina Department of Health and Human Services,2024-05-12,86,False,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5551,-82.56150000000001
77,Triad Commons,2200 Franklin Street,Asheville,Buncombe,NC,27077,(716) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,52,NC-ALF-60077,North Carolina Department of Health and Human Services,2024-06-13,87,True,True,True,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5651,-82.5515
78,Triangle Manor,2300 Market Street,Asheville,Buncombe,NC,27078,(717) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,53,NC-ALF-60078,North Carolina Department of Health and Human Services,2024-07-14,88,False,False,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.5751,-82.5415
79,Carolinas Village,2400 Trade Street,Asheville,Buncombe,NC,27079,(718) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,54,NC-ALF-60079,North Carolina Department of Health and Human Services,2024-08-15,89,False,True,False,https://www.buncombe-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.585100000000004,-82.53150000000001
