id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hoosier Heritage Manor,1000 Main Street,Decatur,Adams,IN,46001,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30001,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
12,Indiana Crossroads,1500 Maple Avenue,Fort Wayne,Allen,IN,46012,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30012,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.0793,-85.12939999999999
13,Limestone Ridge,1600 Pine Street,Fort Wayne,Allen,IN,46013,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30013,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.0893,-85.1194
14,Prairie Creek Manor,1700 Cedar Avenue,Fort Wayne,Allen,IN,46014,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30014,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.09930000000001,-85.1094
15,Heartland Village,1800 First Street,Fort Wayne,Allen,IN,46015,(325) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,IN-ALF-30015,Indiana State Department of Health,2024-11-09,83,False,True,True,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.109300000000005,-85.1794
16,Maple Grove Manor,1900 Second Street,Fort Wayne,Allen,IN,46016,(326) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,IN-ALF-30016,Indiana State Department of Health,2024-03-10,84,True,False,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.1193,-85.1694
17,Hoosier Heritage Manor,1000 Main Street,Columbus,Bartholomew,IN,46017,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30017,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.bartholomew-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1514,-85.96130000000001
18,Crossroads Commons,1100 State Street,Columbus,Bartholomew,IN,46018,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30018,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.bartholomew-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1614,-85.9513
19,Wabash Valley Care,1200 Washington Street,Columbus,Bartholomew,IN,46019,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30019,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.bartholomew-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1714,-85.9413
20,Circle City Manor,1300 Lincoln Avenue,Columbus,Bartholomew,IN,46020,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30020,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.bartholomew-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1814,-85.93130000000001
21,Corn Belt Commons,1400 Oak Street,Columbus,Bartholomew,IN,46021,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30021,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.bartholomew-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1914,-85.9213
22,Indiana Crossroads,1500 Maple Avenue,Columbus,Bartholomew,IN,46022,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30022,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.bartholomew-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.2014,-85.9113
23,Hoosier Heritage Manor,1000 Main Street,Fowler,Benton,IN,46023,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30023,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.benton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
24,Crossroads Commons,1100 State Street,Fowler,Benton,IN,46024,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30024,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.benton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
25,Wabash Valley Care,1200 Washington Street,Fowler,Benton,IN,46025,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30025,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.benton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
26,Circle City Manor,1300 Lincoln Avenue,Fowler,Benton,IN,46026,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30026,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.benton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
27,Corn Belt Commons,1400 Oak Street,Fowler,Benton,IN,46027,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30027,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.benton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
28,Indiana Crossroads,1500 Maple Avenue,Fowler,Benton,IN,46028,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30028,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.benton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
29,Hoosier Heritage Manor,1000 Main Street,Hartford City,Blackford,IN,46029,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30029,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.blackford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
30,Crossroads Commons,1100 State Street,Hartford City,Blackford,IN,46030,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30030,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.blackford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
31,Wabash Valley Care,1200 Washington Street,Hartford City,Blackford,IN,46031,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30031,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.blackford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
32,Circle City Manor,1300 Lincoln Avenue,Hartford City,Blackford,IN,46032,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30032,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.blackford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
33,Corn Belt Commons,1400 Oak Street,Hartford City,Blackford,IN,46033,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30033,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.blackford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
34,Indiana Crossroads,1500 Maple Avenue,Hartford City,Blackford,IN,46034,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30034,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.blackford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
35,Hoosier Heritage Manor,1000 Main Street,Lebanon,Boone,IN,46035,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30035,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.boone-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
36,Crossroads Commons,1100 State Street,Lebanon,Boone,IN,46036,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30036,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.boone-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
37,Wabash Valley Care,1200 Washington Street,Lebanon,Boone,IN,46037,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30037,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.boone-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
38,Circle City Manor,1300 Lincoln Avenue,Lebanon,Boone,IN,46038,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30038,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.boone-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
39,Corn Belt Commons,1400 Oak Street,Lebanon,Boone,IN,46039,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30039,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.boone-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
40,Indiana Crossroads,1500 Maple Avenue,Lebanon,Boone,IN,46040,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30040,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.boone-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
41,Hoosier Heritage Manor,1000 Main Street,Nashville,Brown,IN,46041,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30041,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.brown-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
42,Crossroads Commons,1100 State Street,Nashville,Brown,IN,46042,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30042,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.brown-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
43,Wabash Valley Care,1200 Washington Street,Nashville,Brown,IN,46043,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30043,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.brown-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
44,Circle City Manor,1300 Lincoln Avenue,Nashville,Brown,IN,46044,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30044,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.brown-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
45,Corn Belt Commons,1400 Oak Street,Nashville,Brown,IN,46045,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30045,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.brown-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
46,Indiana Crossroads,1500 Maple Avenue,Nashville,Brown,IN,46046,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30046,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.brown-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
47,Hoosier Heritage Manor,1000 Main Street,Delphi,Carroll,IN,46047,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30047,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.carroll-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
48,Crossroads Commons,1100 State Street,Delphi,Carroll,IN,46048,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30048,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.carroll-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
49,Wabash Valley Care,1200 Washington Street,Delphi,Carroll,IN,46049,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30049,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.carroll-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
50,Circle City Manor,1300 Lincoln Avenue,Delphi,Carroll,IN,46050,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30050,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.carroll-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
51,Corn Belt Commons,1400 Oak Street,Delphi,Carroll,IN,46051,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30051,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.carroll-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
52,Indiana Crossroads,1500 Maple Avenue,Delphi,Carroll,IN,46052,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30052,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.carroll-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
53,Hoosier Heritage Manor,1000 Main Street,Logansport,Cass,IN,46053,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30053,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.cass-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
54,Crossroads Commons,1100 State Street,Logansport,Cass,IN,46054,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30054,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.cass-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
55,Wabash Valley Care,1200 Washington Street,Logansport,Cass,IN,46055,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30055,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.cass-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
56,Circle City Manor,1300 Lincoln Avenue,Logansport,Cass,IN,46056,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30056,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.cass-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
57,Corn Belt Commons,1400 Oak Street,Logansport,Cass,IN,46057,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30057,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.cass-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
58,Indiana Crossroads,1500 Maple Avenue,Logansport,Cass,IN,46058,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30058,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.cass-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
59,Hoosier Heritage Manor,1000 Main Street,Jeffersonville,Clark,IN,46059,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30059,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.clark-senior-living.com,Active,Indiana State Department of Health,2025-07-17,38.228100000000005,-85.7703
60,Crossroads Commons,1100 State Street,Jeffersonville,Clark,IN,46060,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30060,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.clark-senior-living.com,Active,Indiana State Department of Health,2025-07-17,38.2381,-85.7603
61,Wabash Valley Care,1200 Washington Street,Jeffersonville,Clark,IN,46061,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30061,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.clark-senior-living.com,Active,Indiana State Department of Health,2025-07-17,38.2481,-85.7503
62,Circle City Manor,1300 Lincoln Avenue,Jeffersonville,Clark,IN,46062,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30062,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.clark-senior-living.com,Active,Indiana State Department of Health,2025-07-17,38.2581,-85.7403
63,Corn Belt Commons,1400 Oak Street,Jeffersonville,Clark,IN,46063,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30063,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.clark-senior-living.com,Active,Indiana State Department of Health,2025-07-17,38.268100000000004,-85.7303
64,Indiana Crossroads,1500 Maple Avenue,Jeffersonville,Clark,IN,46064,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30064,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.clark-senior-living.com,Active,Indiana State Department of Health,2025-07-17,38.2781,-85.7203
65,Hoosier Heritage Manor,1000 Main Street,Brazil,Clay,IN,46065,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30065,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.clay-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
66,Crossroads Commons,1100 State Street,Brazil,Clay,IN,46066,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30066,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.clay-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
67,Wabash Valley Care,1200 Washington Street,Brazil,Clay,IN,46067,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30067,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.clay-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
68,Circle City Manor,1300 Lincoln Avenue,Brazil,Clay,IN,46068,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30068,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.clay-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
69,Corn Belt Commons,1400 Oak Street,Brazil,Clay,IN,46069,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30069,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.clay-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
70,Indiana Crossroads,1500 Maple Avenue,Brazil,Clay,IN,46070,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30070,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.clay-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
71,Hoosier Heritage Manor,1000 Main Street,Frankfort,Clinton,IN,46071,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30071,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.clinton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
72,Crossroads Commons,1100 State Street,Frankfort,Clinton,IN,46072,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30072,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.clinton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
73,Wabash Valley Care,1200 Washington Street,Frankfort,Clinton,IN,46073,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30073,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.clinton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
74,Circle City Manor,1300 Lincoln Avenue,Frankfort,Clinton,IN,46074,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30074,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.clinton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
75,Corn Belt Commons,1400 Oak Street,Frankfort,Clinton,IN,46075,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30075,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.clinton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
76,Indiana Crossroads,1500 Maple Avenue,Frankfort,Clinton,IN,46076,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30076,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.clinton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
77,Hoosier Heritage Manor,1000 Main Street,English,Crawford,IN,46077,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30077,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.crawford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
78,Crossroads Commons,1100 State Street,English,Crawford,IN,46078,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30078,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.crawford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
79,Wabash Valley Care,1200 Washington Street,English,Crawford,IN,46079,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30079,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.crawford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
80,Circle City Manor,1300 Lincoln Avenue,English,Crawford,IN,46080,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30080,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.crawford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
81,Corn Belt Commons,1400 Oak Street,English,Crawford,IN,46081,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30081,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.crawford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
82,Indiana Crossroads,1500 Maple Avenue,English,Crawford,IN,46082,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30082,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.crawford-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
83,Hoosier Heritage Manor,1000 Main Street,Washington,Daviess,IN,46083,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30083,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.daviess-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
84,Crossroads Commons,1100 State Street,Washington,Daviess,IN,46084,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30084,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.daviess-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
85,Wabash Valley Care,1200 Washington Street,Washington,Daviess,IN,46085,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30085,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.daviess-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
