id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hawkeye Manor,1000 Main Street,Greenfield,Adair,IA,50001,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70001,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.280800000000006,-94.5005
22,Cornfield Commons,1100 Iowa Avenue,Audubon,Audubon,IA,50022,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70022,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.audubon-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.6364,-94.9654
23,Prairie Village,1200 Hawkeye Boulevard,Audubon,Audubon,IA,50023,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70023,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.audubon-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.6464,-94.9554
24,Iowa River Village,1300 Cornfield Drive,Audubon,Audubon,IA,50024,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70024,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.audubon-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.6564,-94.9454
25,Cedar Rapids Commons,1400 Prairie Street,Audubon,Audubon,IA,50025,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70025,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.audubon-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.6664,-94.9354
26,Hawkeye Manor,1000 Main Street,Vinton,Benton,IA,50026,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70026,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.benton-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0264,-92.0754
27,Cornfield Commons,1100 Iowa Avenue,Vinton,Benton,IA,50027,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70027,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.benton-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0364,-92.0654
28,Prairie Village,1200 Hawkeye Boulevard,Vinton,Benton,IA,50028,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70028,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.benton-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0464,-92.05539999999999
29,Iowa River Village,1300 Cornfield Drive,Vinton,Benton,IA,50029,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70029,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.benton-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0564,-92.0454
30,Cedar Rapids Commons,1400 Prairie Street,Vinton,Benton,IA,50030,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70030,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.benton-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0664,-92.0354
31,Hawkeye Manor,1000 Main Street,Waterloo,Black Hawk,IA,50031,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70031,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.419700000000006,-92.38260000000001
32,Cornfield Commons,1100 Iowa Avenue,Waterloo,Black Hawk,IA,50032,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70032,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.429700000000004,-92.3726
33,Prairie Village,1200 Hawkeye Boulevard,Waterloo,Black Hawk,IA,50033,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70033,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4397,-92.3626
34,Iowa River Village,1300 Cornfield Drive,Waterloo,Black Hawk,IA,50034,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70034,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4497,-92.35260000000001
35,Cedar Rapids Commons,1400 Prairie Street,Waterloo,Black Hawk,IA,50035,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70035,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.459700000000005,-92.3426
36,Des Moines Manor,1500 Cedar Avenue,Waterloo,Black Hawk,IA,50036,(520) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,IA-ALF-70036,Iowa Department of Human Services,2024-08-06,80,False,False,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4697,-92.3326
37,Dubuque Village,1600 Des Moines Boulevard,Waterloo,Black Hawk,IA,50037,(521) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,IA-ALF-70037,Iowa Department of Human Services,2024-09-07,81,True,True,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4797,-92.32260000000001
38,Sioux City Commons,1700 Dubuque Drive,Waterloo,Black Hawk,IA,50038,(522) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,IA-ALF-70038,Iowa Department of Human Services,2024-10-08,82,False,False,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.489700000000006,-92.3126
39,Waterloo Manor,1800 Sioux City Street,Waterloo,Black Hawk,IA,50039,(523) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,IA-ALF-70039,Iowa Department of Human Services,2024-11-09,83,False,True,True,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.499700000000004,-92.38260000000001
40,Davenport Village,1900 Waterloo Avenue,Waterloo,Black Hawk,IA,50040,(524) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,IA-ALF-70040,Iowa Department of Human Services,2024-03-10,84,True,False,False,https://www.blackhawk-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.5097,-92.3726
41,Hawkeye Manor,1000 Main Street,Boone,Boone,IA,50041,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70041,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.boone-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0097,-93.92030000000001
42,Cornfield Commons,1100 Iowa Avenue,Boone,Boone,IA,50042,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70042,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.boone-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0197,-93.9103
43,Prairie Village,1200 Hawkeye Boulevard,Boone,Boone,IA,50043,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70043,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.boone-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0297,-93.9003
44,Iowa River Village,1300 Cornfield Drive,Boone,Boone,IA,50044,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70044,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.boone-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.039699999999996,-93.89030000000001
45,Cedar Rapids Commons,1400 Prairie Street,Boone,Boone,IA,50045,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70045,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.boone-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0497,-93.8803
46,Hawkeye Manor,1000 Main Street,Waverly,Bremer,IA,50046,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70046,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.bremer-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6764,-92.5254
47,Cornfield Commons,1100 Iowa Avenue,Waverly,Bremer,IA,50047,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70047,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.bremer-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6864,-92.5154
48,Prairie Village,1200 Hawkeye Boulevard,Waverly,Bremer,IA,50048,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70048,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.bremer-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6964,-92.5054
49,Iowa River Village,1300 Cornfield Drive,Waverly,Bremer,IA,50049,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70049,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.bremer-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.706399999999995,-92.4954
50,Cedar Rapids Commons,1400 Prairie Street,Waverly,Bremer,IA,50050,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70050,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.bremer-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.7164,-92.4854
51,Hawkeye Manor,1000 Main Street,Independence,Buchanan,IA,50051,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70051,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.buchanan-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4264,-91.92540000000001
52,Cornfield Commons,1100 Iowa Avenue,Independence,Buchanan,IA,50052,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70052,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.buchanan-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4364,-91.9154
53,Prairie Village,1200 Hawkeye Boulevard,Independence,Buchanan,IA,50053,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70053,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.buchanan-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4464,-91.9054
54,Iowa River Village,1300 Cornfield Drive,Independence,Buchanan,IA,50054,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70054,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.buchanan-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.456399999999995,-91.89540000000001
55,Cedar Rapids Commons,1400 Prairie Street,Independence,Buchanan,IA,50055,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70055,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.buchanan-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.4664,-91.8854
56,Hawkeye Manor,1000 Main Street,Storm Lake,Buena Vista,IA,50056,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70056,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.buenavista-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.626400000000004,-95.2754
57,Cornfield Commons,1100 Iowa Avenue,Storm Lake,Buena Vista,IA,50057,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70057,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.buenavista-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6364,-95.2654
58,Prairie Village,1200 Hawkeye Boulevard,Storm Lake,Buena Vista,IA,50058,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70058,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.buenavista-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6464,-95.2554
59,Iowa River Village,1300 Cornfield Drive,Storm Lake,Buena Vista,IA,50059,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70059,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.buenavista-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6564,-95.2454
60,Cedar Rapids Commons,1400 Prairie Street,Storm Lake,Buena Vista,IA,50060,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70060,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.buenavista-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.6664,-95.2354
61,Hawkeye Manor,1000 Main Street,Allison,Butler,IA,50061,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70061,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.butler-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.726400000000005,-92.92540000000001
62,Cornfield Commons,1100 Iowa Avenue,Allison,Butler,IA,50062,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70062,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.butler-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.7364,-92.9154
63,Prairie Village,1200 Hawkeye Boulevard,Allison,Butler,IA,50063,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70063,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.butler-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.7464,-92.9054
64,Iowa River Village,1300 Cornfield Drive,Allison,Butler,IA,50064,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70064,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.butler-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.7564,-92.89540000000001
65,Cedar Rapids Commons,1400 Prairie Street,Allison,Butler,IA,50065,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70065,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.butler-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.766400000000004,-92.8854
66,Hawkeye Manor,1000 Main Street,Rockwell City,Calhoun,IA,50066,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70066,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.calhoun-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.226400000000005,-94.72540000000001
67,Cornfield Commons,1100 Iowa Avenue,Rockwell City,Calhoun,IA,50067,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70067,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.calhoun-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.2364,-94.7154
68,Prairie Village,1200 Hawkeye Boulevard,Rockwell City,Calhoun,IA,50068,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70068,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.calhoun-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.2464,-94.7054
69,Iowa River Village,1300 Cornfield Drive,Rockwell City,Calhoun,IA,50069,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70069,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.calhoun-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.2564,-94.6954
70,Cedar Rapids Commons,1400 Prairie Street,Rockwell City,Calhoun,IA,50070,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70070,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.calhoun-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.266400000000004,-94.6854
71,Hawkeye Manor,1000 Main Street,Carroll,Carroll,IA,50071,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70071,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.carroll-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0264,-94.87540000000001
72,Cornfield Commons,1100 Iowa Avenue,Carroll,Carroll,IA,50072,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70072,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.carroll-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0364,-94.86540000000001
73,Prairie Village,1200 Hawkeye Boulevard,Carroll,Carroll,IA,50073,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70073,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.carroll-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0464,-94.8554
74,Iowa River Village,1300 Cornfield Drive,Carroll,Carroll,IA,50074,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70074,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.carroll-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0564,-94.84540000000001
75,Cedar Rapids Commons,1400 Prairie Street,Carroll,Carroll,IA,50075,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70075,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.carroll-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,42.0664,-94.8354
76,Hawkeye Manor,1000 Main Street,Atlantic,Cass,IA,50076,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70076,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.cass-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.376400000000004,-95.0754
77,Cornfield Commons,1100 Iowa Avenue,Atlantic,Cass,IA,50077,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70077,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.cass-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.3864,-95.0654
78,Prairie Village,1200 Hawkeye Boulevard,Atlantic,Cass,IA,50078,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70078,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.cass-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.3964,-95.05539999999999
79,Iowa River Village,1300 Cornfield Drive,Atlantic,Cass,IA,50079,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70079,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.cass-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.4064,-95.0454
80,Cedar Rapids Commons,1400 Prairie Street,Atlantic,Cass,IA,50080,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70080,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.cass-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.4164,-95.0354
81,Hawkeye Manor,1000 Main Street,Tipton,Cedar,IA,50081,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70081,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.cedar-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.5264,-91.17540000000001
82,Cornfield Commons,1100 Iowa Avenue,Tipton,Cedar,IA,50082,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70082,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.cedar-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.5364,-91.1654
