id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Mountain View Manor,1000 Main Street,Philippi,Barbour,WV,25001,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25001,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1064,-80.0854
13,Martinsburg Manor,1700 Morgantown Street,Falling Waters,Berkeley,WV,25013,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25013,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.476400000000005,-77.9354
14,Parkersburg Commons,1800 Martinsburg Drive,Inwood,Berkeley,WV,25014,(304) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,WV-ALF-25014,West Virginia Department of Health and Human Resources,2024-11-09,88,False,True,True,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4864,-78.00540000000001
15,Wheeling Village,1900 Parkersburg Avenue,Bunker Hill,Berkeley,WV,25015,(304) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,WV-ALF-25015,West Virginia Department of Health and Human Resources,2024-03-10,89,True,False,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4964,-77.9954
16,Bridgeport Manor,2000 Wheeling Boulevard,Martinsburg,Berkeley,WV,25016,(304) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,WV-ALF-25016,West Virginia Department of Health and Human Resources,2024-04-11,90,False,True,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.406400000000005,-77.9854
17,Clarksburg Commons,2100 Bridgeport Street,Hedgesville,Berkeley,WV,25017,(304) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,WV-ALF-25017,West Virginia Department of Health and Human Resources,2024-05-12,91,False,False,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4164,-77.97540000000001
18,Mountain View Manor,1000 Main Street,Madison,Boone,WV,25018,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25018,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.boone-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.976400000000005,-81.72540000000001
19,Appalachian Village,1100 Mountain Avenue,Danville,Boone,WV,25019,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25019,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.boone-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.9864,-81.7154
20,Coal Country Commons,1200 Appalachian Boulevard,Whitesville,Boone,WV,25020,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25020,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.boone-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.9964,-81.7054
21,Mountaineer Village,1300 Coal Street,Racine,Boone,WV,25021,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25021,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.boone-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.0064,-81.6954
22,Charleston Manor,1400 Mountaineer Drive,Seth,Boone,WV,25022,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25022,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.boone-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.016400000000004,-81.6854
23,Mountain View Manor,1000 Main Street,Sutton,Braxton,WV,25023,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25023,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.braxton-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.6764,-80.70540000000001
24,Appalachian Village,1100 Mountain Avenue,Gassaway,Braxton,WV,25024,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25024,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.braxton-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.6864,-80.6954
25,Coal Country Commons,1200 Appalachian Boulevard,Flatwoods,Braxton,WV,25025,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25025,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.braxton-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.6964,-80.6854
26,Mountaineer Village,1300 Coal Street,Burnsville,Braxton,WV,25026,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25026,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.braxton-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.706399999999995,-80.67540000000001
27,Charleston Manor,1400 Mountaineer Drive,Little Birch,Braxton,WV,25027,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25027,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.braxton-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.7164,-80.6654
28,Mountain View Manor,1000 Main Street,Wellsburg,Brooke,WV,25028,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25028,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.brooke-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.226400000000005,-80.6054
29,Appalachian Village,1100 Mountain Avenue,Follansbee,Brooke,WV,25029,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25029,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.brooke-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.2364,-80.5954
30,Coal Country Commons,1200 Appalachian Boulevard,Weirton,Brooke,WV,25030,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25030,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.brooke-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.2464,-80.58539999999999
31,Mountaineer Village,1300 Coal Street,Bethany,Brooke,WV,25031,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25031,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.brooke-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.2564,-80.5754
32,Charleston Manor,1400 Mountaineer Drive,Beech Bottom,Brooke,WV,25032,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25032,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.brooke-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.266400000000004,-80.5654
33,Mountain View Manor,1000 Main Street,Huntington,Cabell,WV,25033,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25033,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.376400000000004,-82.4054
34,Appalachian Village,1100 Mountain Avenue,Barboursville,Cabell,WV,25034,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25034,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3864,-82.3954
35,Coal Country Commons,1200 Appalachian Boulevard,Hurricane,Cabell,WV,25035,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25035,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3964,-82.38539999999999
36,Mountaineer Village,1300 Coal Street,Milton,Cabell,WV,25036,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25036,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4064,-82.3754
37,Charleston Manor,1400 Mountaineer Drive,Ona,Cabell,WV,25037,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25037,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4164,-82.3654
38,Huntington Commons,1500 Charleston Avenue,Huntington,Cabell,WV,25038,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25038,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4264,-82.35539999999999
39,Morgantown Village,1600 Huntington Boulevard,Barboursville,Cabell,WV,25039,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25039,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4364,-82.3454
40,Martinsburg Manor,1700 Morgantown Street,Hurricane,Cabell,WV,25040,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25040,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.446400000000004,-82.33539999999999
41,Parkersburg Commons,1800 Martinsburg Drive,Milton,Cabell,WV,25041,(304) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,WV-ALF-25041,West Virginia Department of Health and Human Resources,2024-11-09,88,False,True,True,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4564,-82.4054
42,Wheeling Village,1900 Parkersburg Avenue,Ona,Cabell,WV,25042,(304) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,WV-ALF-25042,West Virginia Department of Health and Human Resources,2024-03-10,89,True,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4664,-82.3954
43,Bridgeport Manor,2000 Wheeling Boulevard,Huntington,Cabell,WV,25043,(304) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,WV-ALF-25043,West Virginia Department of Health and Human Resources,2024-04-11,90,False,True,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.376400000000004,-82.38539999999999
44,Clarksburg Commons,2100 Bridgeport Street,Barboursville,Cabell,WV,25044,(304) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,WV-ALF-25044,West Virginia Department of Health and Human Resources,2024-05-12,91,False,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3864,-82.3754
45,Lewisburg Village,2200 Clarksburg Drive,Hurricane,Cabell,WV,25045,(304) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,WV-ALF-25045,West Virginia Department of Health and Human Resources,2024-06-13,92,True,True,True,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3964,-82.3654
46,Beckley Manor,2300 Lewisburg Avenue,Milton,Cabell,WV,25046,(304) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,WV-ALF-25046,West Virginia Department of Health and Human Resources,2024-07-14,93,False,False,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4064,-82.35539999999999
47,Fairmont Commons,2400 Beckley Boulevard,Ona,Cabell,WV,25047,(304) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,WV-ALF-25047,West Virginia Department of Health and Human Resources,2024-08-15,94,False,True,False,https://www.cabell-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4164,-82.3454
48,Mountain View Manor,1000 Main Street,Grantsville,Calhoun,WV,25048,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25048,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.calhoun-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.7764,-81.1054
49,Appalachian Village,1100 Mountain Avenue,Arnoldsburg,Calhoun,WV,25049,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25049,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.calhoun-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.7864,-81.0954
50,Coal Country Commons,1200 Appalachian Boulevard,Minnie,Calhoun,WV,25050,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25050,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.calhoun-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.7964,-81.08539999999999
51,Mountaineer Village,1300 Coal Street,Mount Zion,Calhoun,WV,25051,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25051,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.calhoun-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8064,-81.0754
52,Charleston Manor,1400 Mountaineer Drive,Millstone,Calhoun,WV,25052,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25052,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.calhoun-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8164,-81.0654
53,Mountain View Manor,1000 Main Street,Clay,Clay,WV,25053,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25053,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.clay-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4264,-81.12540000000001
54,Appalachian Village,1100 Mountain Avenue,Ivydale,Clay,WV,25054,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25054,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.clay-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4364,-81.11540000000001
55,Coal Country Commons,1200 Appalachian Boulevard,Procious,Clay,WV,25055,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25055,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.clay-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4464,-81.1054
56,Mountaineer Village,1300 Coal Street,Lizemores,Clay,WV,25056,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25056,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.clay-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.456399999999995,-81.09540000000001
57,Charleston Manor,1400 Mountaineer Drive,Maysel,Clay,WV,25057,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25057,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.clay-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4664,-81.0854
58,Mountain View Manor,1000 Main Street,West Union,Doddridge,WV,25058,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25058,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.doddridge-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1764,-80.50540000000001
59,Appalachian Village,1100 Mountain Avenue,Salem,Doddridge,WV,25059,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25059,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.doddridge-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1864,-80.4954
60,Coal Country Commons,1200 Appalachian Boulevard,Center Point,Doddridge,WV,25060,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25060,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.doddridge-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1964,-80.4854
61,Mountaineer Village,1300 Coal Street,New Milton,Doddridge,WV,25061,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25061,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.doddridge-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.206399999999995,-80.47540000000001
62,Charleston Manor,1400 Mountaineer Drive,Smithburg,Doddridge,WV,25062,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25062,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.doddridge-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2164,-80.4654
63,Mountain View Manor,1000 Main Street,Fayetteville,Fayette,WV,25063,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25063,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.0064,-81.14540000000001
64,Appalachian Village,1100 Mountain Avenue,Oak Hill,Fayette,WV,25064,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25064,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.0164,-81.1354
65,Coal Country Commons,1200 Appalachian Boulevard,Ansted,Fayette,WV,25065,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25065,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.026399999999995,-81.1254
66,Mountaineer Village,1300 Coal Street,Montgomery,Fayette,WV,25066,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25066,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.03639999999999,-81.11540000000001
67,Charleston Manor,1400 Mountaineer Drive,Gauley Bridge,Fayette,WV,25067,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25067,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.0464,-81.1054
68,Huntington Commons,1500 Charleston Avenue,Fayetteville,Fayette,WV,25068,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25068,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.0564,-81.0954
69,Morgantown Village,1600 Huntington Boulevard,Oak Hill,Fayette,WV,25069,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25069,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.066399999999994,-81.0854
70,Martinsburg Manor,1700 Morgantown Street,Ansted,Fayette,WV,25070,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25070,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.fayette-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.0764,-81.0754
71,Mountain View Manor,1000 Main Street,Glenville,Gilmer,WV,25071,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25071,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.gilmer-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.876400000000004,-80.8854
72,Appalachian Village,1100 Mountain Avenue,Cedarville,Gilmer,WV,25072,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25072,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.gilmer-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8864,-80.8754
73,Coal Country Commons,1200 Appalachian Boulevard,Normantown,Gilmer,WV,25073,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25073,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.gilmer-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8964,-80.8654
74,Mountaineer Village,1300 Coal Street,Linn,Gilmer,WV,25074,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25074,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.gilmer-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.9064,-80.8554
75,Charleston Manor,1400 Mountaineer Drive,Sand Fork,Gilmer,WV,25075,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25075,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.gilmer-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.9164,-80.8454
76,Mountain View Manor,1000 Main Street,Petersburg,Grant,WV,25076,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25076,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.grant-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.226400000000005,-79.1654
77,Appalachian Village,1100 Mountain Avenue,Maysville,Grant,WV,25077,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25077,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.grant-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2364,-79.1554
