id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sunflower Manor,1000 Main Street,Iola,Allen,KS,66001,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70001,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.876400000000004,-95.47540000000001
23,Wheat Country Commons,1200 Sunflower Boulevard,Great Bend,Barton,KS,66023,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70023,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.barton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4464,-98.8554
24,Jayhawk Village,1300 Prairie Drive,Great Bend,Barton,KS,66024,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70024,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.barton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.456399999999995,-98.84540000000001
25,Wichita Commons,1400 Wheat Street,Great Bend,Barton,KS,66025,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70025,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.barton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4664,-98.8354
26,Sunflower Manor,1000 Main Street,Fort Scott,Bourbon,KS,66026,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70026,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.bourbon-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7764,-94.87540000000001
27,Prairie Village,1100 Kansas Avenue,Fort Scott,Bourbon,KS,66027,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70027,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.bourbon-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7864,-94.86540000000001
28,Wheat Country Commons,1200 Sunflower Boulevard,Fort Scott,Bourbon,KS,66028,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70028,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.bourbon-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7964,-94.8554
29,Jayhawk Village,1300 Prairie Drive,Fort Scott,Bourbon,KS,66029,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70029,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.bourbon-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.8064,-94.84540000000001
30,Wichita Commons,1400 Wheat Street,Fort Scott,Bourbon,KS,66030,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70030,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.bourbon-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.8164,-94.8354
31,Sunflower Manor,1000 Main Street,Hiawatha,Brown,KS,66031,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70031,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.brown-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8264,-95.67540000000001
32,Prairie Village,1100 Kansas Avenue,Hiawatha,Brown,KS,66032,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70032,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.brown-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8364,-95.6654
33,Wheat Country Commons,1200 Sunflower Boulevard,Hiawatha,Brown,KS,66033,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70033,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.brown-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.846399999999996,-95.6554
34,Jayhawk Village,1300 Prairie Drive,Hiawatha,Brown,KS,66034,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70034,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.brown-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.856399999999994,-95.64540000000001
35,Wichita Commons,1400 Wheat Street,Hiawatha,Brown,KS,66035,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70035,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.brown-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8664,-95.6354
36,Sunflower Manor,1000 Main Street,El Dorado,Butler,KS,66036,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70036,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.626400000000004,-96.87540000000001
37,Prairie Village,1100 Kansas Avenue,El Dorado,Butler,KS,66037,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70037,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6364,-96.86540000000001
38,Wheat Country Commons,1200 Sunflower Boulevard,El Dorado,Butler,KS,66038,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70038,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6464,-96.8554
39,Jayhawk Village,1300 Prairie Drive,El Dorado,Butler,KS,66039,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70039,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6564,-96.84540000000001
40,Wichita Commons,1400 Wheat Street,El Dorado,Butler,KS,66040,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70040,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6664,-96.8354
41,Topeka Manor,1500 Jayhawk Avenue,El Dorado,Butler,KS,66041,(321) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,KS-ACH-70041,Kansas Department for Aging and Disability Services,2024-08-06,80,False,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6764,-96.8254
42,Overland Park Village,1600 Wichita Boulevard,El Dorado,Butler,KS,66042,(322) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,KS-ACH-70042,Kansas Department for Aging and Disability Services,2024-09-07,81,True,True,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6864,-96.81540000000001
43,Kansas City Commons,1700 Topeka Drive,El Dorado,Butler,KS,66043,(323) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,KS-ACH-70043,Kansas Department for Aging and Disability Services,2024-10-08,82,False,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.696400000000004,-96.8054
44,Lawrence Manor,1800 Overland Park Street,El Dorado,Butler,KS,66044,(324) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,KS-ACH-70044,Kansas Department for Aging and Disability Services,2024-11-09,83,False,True,True,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7064,-96.87540000000001
45,Manhattan Village,1900 Kansas City Avenue,El Dorado,Butler,KS,66045,(325) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,KS-ACH-70045,Kansas Department for Aging and Disability Services,2024-03-10,84,True,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7164,-96.86540000000001
46,Salina Commons,2000 Lawrence Boulevard,El Dorado,Butler,KS,66046,(326) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,KS-ACH-70046,Kansas Department for Aging and Disability Services,2024-04-11,85,False,True,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.626400000000004,-96.8554
47,Hutchinson Manor,2100 Manhattan Drive,El Dorado,Butler,KS,66047,(327) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,KS-ACH-70047,Kansas Department for Aging and Disability Services,2024-05-12,86,False,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6364,-96.84540000000001
48,Lenexa Village,2200 Salina Street,El Dorado,Butler,KS,66048,(328) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,KS-ACH-70048,Kansas Department for Aging and Disability Services,2024-06-13,87,True,True,True,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6464,-96.8354
49,Shawnee Commons,2300 Hutchinson Avenue,El Dorado,Butler,KS,66049,(329) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,KS-ACH-70049,Kansas Department for Aging and Disability Services,2024-07-14,88,False,False,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6564,-96.8254
50,Olathe Manor,2400 Lenexa Boulevard,El Dorado,Butler,KS,66050,(330) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,KS-ACH-70050,Kansas Department for Aging and Disability Services,2024-08-15,89,False,True,False,https://www.butler-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6664,-96.81540000000001
51,Sunflower Manor,1000 Main Street,Cottonwood Falls,Chase,KS,66051,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70051,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.chase-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3264,-96.5754
52,Prairie Village,1100 Kansas Avenue,Cottonwood Falls,Chase,KS,66052,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70052,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.chase-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3364,-96.5654
53,Wheat Country Commons,1200 Sunflower Boulevard,Cottonwood Falls,Chase,KS,66053,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70053,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.chase-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.346399999999996,-96.55539999999999
54,Jayhawk Village,1300 Prairie Drive,Cottonwood Falls,Chase,KS,66054,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70054,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.chase-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.356399999999994,-96.5454
55,Wichita Commons,1400 Wheat Street,Cottonwood Falls,Chase,KS,66055,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70055,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.chase-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3664,-96.5354
56,Sunflower Manor,1000 Main Street,Sedan,Chautauqua,KS,66056,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70056,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.chautauqua-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,36.976400000000005,-96.2754
57,Prairie Village,1100 Kansas Avenue,Sedan,Chautauqua,KS,66057,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70057,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.chautauqua-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,36.9864,-96.2654
58,Wheat Country Commons,1200 Sunflower Boulevard,Sedan,Chautauqua,KS,66058,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70058,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.chautauqua-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,36.9964,-96.2554
59,Jayhawk Village,1300 Prairie Drive,Sedan,Chautauqua,KS,66059,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70059,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.chautauqua-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.0064,-96.2454
60,Wichita Commons,1400 Wheat Street,Sedan,Chautauqua,KS,66060,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70060,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.chautauqua-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.016400000000004,-96.2354
61,Sunflower Manor,1000 Main Street,Columbus,Cherokee,KS,66061,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70061,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.cherokee-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.126400000000004,-94.87540000000001
62,Prairie Village,1100 Kansas Avenue,Columbus,Cherokee,KS,66062,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70062,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.cherokee-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1364,-94.86540000000001
63,Wheat Country Commons,1200 Sunflower Boulevard,Columbus,Cherokee,KS,66063,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70063,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.cherokee-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1464,-94.8554
64,Jayhawk Village,1300 Prairie Drive,Columbus,Cherokee,KS,66064,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70064,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.cherokee-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1564,-94.84540000000001
65,Wichita Commons,1400 Wheat Street,Columbus,Cherokee,KS,66065,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70065,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.cherokee-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1664,-94.8354
66,Sunflower Manor,1000 Main Street,St. Francis,Cheyenne,KS,66066,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70066,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.cheyenne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.726400000000005,-101.87540000000001
67,Prairie Village,1100 Kansas Avenue,St. Francis,Cheyenne,KS,66067,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70067,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.cheyenne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7364,-101.86540000000001
68,Wheat Country Commons,1200 Sunflower Boulevard,St. Francis,Cheyenne,KS,66068,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70068,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.cheyenne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7464,-101.8554
69,Jayhawk Village,1300 Prairie Drive,St. Francis,Cheyenne,KS,66069,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70069,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.cheyenne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7564,-101.84540000000001
70,Wichita Commons,1400 Wheat Street,St. Francis,Cheyenne,KS,66070,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70070,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.cheyenne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.766400000000004,-101.8354
71,Sunflower Manor,1000 Main Street,Ashland,Clark,KS,66071,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70071,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.clark-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.226400000000005,-99.87540000000001
72,Prairie Village,1100 Kansas Avenue,Ashland,Clark,KS,66072,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70072,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.clark-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2364,-99.86540000000001
73,Wheat Country Commons,1200 Sunflower Boulevard,Ashland,Clark,KS,66073,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70073,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.clark-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2464,-99.8554
74,Jayhawk Village,1300 Prairie Drive,Ashland,Clark,KS,66074,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70074,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.clark-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2564,-99.84540000000001
75,Wichita Commons,1400 Wheat Street,Ashland,Clark,KS,66075,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70075,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.clark-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.266400000000004,-99.8354
76,Sunflower Manor,1000 Main Street,Clay Center,Clay,KS,66076,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70076,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.clay-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3264,-97.17540000000001
77,Prairie Village,1100 Kansas Avenue,Clay Center,Clay,KS,66077,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70077,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.clay-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3364,-97.1654
78,Wheat Country Commons,1200 Sunflower Boulevard,Clay Center,Clay,KS,66078,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70078,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.clay-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.346399999999996,-97.1554
