id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Keystone Manor,1000 Main Street,Adams,Adams,PA,15001,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10001,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.adams-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
12,Heritage House,1700 Ridge Pike,Pittsburgh,Allegheny,PA,15012,(222) 407-1007,Intermediate Care Facility,Personal Care; Skilled Nursing; Independent Living,42,PA-CCR-10012,Pennsylvania Department of Human Services,2024-06-08,82,False,False,False,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.46060000000001,-79.9659
13,Keystone Manor,1000 Main Street,Armstrong,Armstrong,PA,15013,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10013,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.armstrong-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
14,Liberty Gardens,1100 Market Street,Armstrong,Armstrong,PA,15014,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10014,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.armstrong-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
15,Independence Place,1200 Broad Street,Armstrong,Armstrong,PA,15015,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10015,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.armstrong-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
16,Colonial Estates,1300 Pine Street,Armstrong,Armstrong,PA,15016,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10016,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.armstrong-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
17,Keystone Manor,1000 Main Street,Beaver,Beaver,PA,15017,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10017,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.beaver-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.641200000000005,-80.38730000000001
18,Liberty Gardens,1100 Market Street,Beaver,Beaver,PA,15018,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10018,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.beaver-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.6512,-80.3773
19,Independence Place,1200 Broad Street,Beaver,Beaver,PA,15019,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10019,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.beaver-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.6612,-80.3673
20,Colonial Estates,1300 Pine Street,Beaver,Beaver,PA,15020,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10020,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.beaver-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.6712,-80.35730000000001
21,Keystone Manor,1000 Main Street,Bedford,Bedford,PA,15021,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10021,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.bedford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
22,Liberty Gardens,1100 Market Street,Bedford,Bedford,PA,15022,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10022,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.bedford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
23,Independence Place,1200 Broad Street,Bedford,Bedford,PA,15023,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10023,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.bedford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
24,Colonial Estates,1300 Pine Street,Bedford,Bedford,PA,15024,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10024,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.bedford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
25,Keystone Manor,1000 Main Street,Reading,Berks,PA,15025,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10025,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.berks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.370900000000006,-75.9668
26,Liberty Gardens,1100 Market Street,Reading,Berks,PA,15026,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10026,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.berks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.380900000000004,-75.9568
27,Independence Place,1200 Broad Street,Reading,Berks,PA,15027,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10027,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.berks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.3909,-75.9468
28,Colonial Estates,1300 Pine Street,Reading,Berks,PA,15028,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10028,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.berks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.4009,-75.9368
29,Keystone Manor,1000 Main Street,Blair,Blair,PA,15029,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10029,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.blair-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
30,Liberty Gardens,1100 Market Street,Blair,Blair,PA,15030,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10030,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.blair-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
31,Independence Place,1200 Broad Street,Blair,Blair,PA,15031,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10031,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.blair-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
32,Colonial Estates,1300 Pine Street,Blair,Blair,PA,15032,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10032,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.blair-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
33,Keystone Manor,1000 Main Street,Bradford,Bradford,PA,15033,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10033,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.bradford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
34,Liberty Gardens,1100 Market Street,Bradford,Bradford,PA,15034,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10034,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.bradford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
35,Independence Place,1200 Broad Street,Bradford,Bradford,PA,15035,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10035,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.bradford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
36,Colonial Estates,1300 Pine Street,Bradford,Bradford,PA,15036,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10036,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.bradford-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
37,Keystone Manor,1000 Main Street,Doylestown,Bucks,PA,15037,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10037,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2648,-75.17120000000001
38,Liberty Gardens,1100 Market Street,Doylestown,Bucks,PA,15038,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10038,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2748,-75.16120000000001
39,Independence Place,1200 Broad Street,Doylestown,Bucks,PA,15039,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10039,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2848,-75.1512
40,Colonial Estates,1300 Pine Street,Doylestown,Bucks,PA,15040,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10040,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.294799999999995,-75.14120000000001
41,Valley View,1400 Oak Avenue,Doylestown,Bucks,PA,15041,(219) 404-1004,Memory Care Community,Memory Care; Skilled Nursing; Rehabilitation,39,PA-PCH-10041,Pennsylvania Department of Human Services,2024-10-05,79,False,True,True,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.3048,-75.1312
42,Hillcrest Manor,1500 Lancaster Avenue,Doylestown,Bucks,PA,15042,(220) 405-1005,Independent Living Community,Assisted Living; Personal Care; Adult Day Care,40,PA-ALR-10042,Pennsylvania Department of Human Services,2024-11-06,80,False,False,False,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.3148,-75.1212
43,Quaker Village,1600 Germantown Avenue,Doylestown,Bucks,PA,15043,(221) 406-1006,Adult Day Services,Skilled Nursing; Intermediate Care; Respite Care,41,PA-SNF-10043,Pennsylvania Department of Human Services,2024-12-07,81,True,True,False,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.324799999999996,-75.11120000000001
44,Heritage House,1700 Ridge Pike,Doylestown,Bucks,PA,15044,(222) 407-1007,Intermediate Care Facility,Personal Care; Skilled Nursing; Independent Living,42,PA-CCR-10044,Pennsylvania Department of Human Services,2024-06-08,82,False,False,False,https://www.bucks-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.3348,-75.1012
45,Keystone Manor,1000 Main Street,Butler,Butler,PA,15045,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10045,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.butler-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.8112,-79.9351
46,Liberty Gardens,1100 Market Street,Butler,Butler,PA,15046,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10046,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.butler-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.8212,-79.9251
47,Independence Place,1200 Broad Street,Butler,Butler,PA,15047,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10047,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.butler-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.831199999999995,-79.9151
48,Colonial Estates,1300 Pine Street,Butler,Butler,PA,15048,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10048,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.butler-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.84119999999999,-79.9051
49,Keystone Manor,1000 Main Street,Ebensburg,Cambria,PA,15049,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10049,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.cambria-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
50,Liberty Gardens,1100 Market Street,Ebensburg,Cambria,PA,15050,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10050,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.cambria-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
51,Independence Place,1200 Broad Street,Ebensburg,Cambria,PA,15051,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10051,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.cambria-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
52,Colonial Estates,1300 Pine Street,Ebensburg,Cambria,PA,15052,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10052,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.cambria-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
53,Keystone Manor,1000 Main Street,Cameron,Cameron,PA,15053,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10053,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.cameron-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
54,Liberty Gardens,1100 Market Street,Cameron,Cameron,PA,15054,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10054,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.cameron-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
55,Independence Place,1200 Broad Street,Cameron,Cameron,PA,15055,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10055,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.cameron-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
56,Colonial Estates,1300 Pine Street,Cameron,Cameron,PA,15056,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10056,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.cameron-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
57,Keystone Manor,1000 Main Street,Carbon,Carbon,PA,15057,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10057,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.carbon-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
58,Liberty Gardens,1100 Market Street,Carbon,Carbon,PA,15058,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10058,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.carbon-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
59,Independence Place,1200 Broad Street,Carbon,Carbon,PA,15059,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10059,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.carbon-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
60,Colonial Estates,1300 Pine Street,Carbon,Carbon,PA,15060,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10060,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.carbon-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
61,Keystone Manor,1000 Main Street,Centre,Centre,PA,15061,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10061,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.centre-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
62,Liberty Gardens,1100 Market Street,Centre,Centre,PA,15062,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10062,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.centre-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
63,Independence Place,1200 Broad Street,Centre,Centre,PA,15063,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10063,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.centre-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
64,Colonial Estates,1300 Pine Street,Centre,Centre,PA,15064,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10064,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.centre-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
65,Keystone Manor,1000 Main Street,West Chester,Chester,PA,15065,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10065,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.896800000000006,-75.6449
66,Liberty Gardens,1100 Market Street,West Chester,Chester,PA,15066,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10066,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.906800000000004,-75.6349
67,Independence Place,1200 Broad Street,West Chester,Chester,PA,15067,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10067,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.9168,-75.6249
68,Colonial Estates,1300 Pine Street,West Chester,Chester,PA,15068,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10068,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.9268,-75.6149
69,Valley View,1400 Oak Avenue,West Chester,Chester,PA,15069,(219) 404-1004,Memory Care Community,Memory Care; Skilled Nursing; Rehabilitation,39,PA-PCH-10069,Pennsylvania Department of Human Services,2024-10-05,79,False,True,True,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.936800000000005,-75.6049
70,Hillcrest Manor,1500 Lancaster Avenue,West Chester,Chester,PA,15070,(220) 405-1005,Independent Living Community,Assisted Living; Personal Care; Adult Day Care,40,PA-ALR-10070,Pennsylvania Department of Human Services,2024-11-06,80,False,False,False,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.9468,-75.5949
71,Quaker Village,1600 Germantown Avenue,West Chester,Chester,PA,15071,(221) 406-1006,Adult Day Services,Skilled Nursing; Intermediate Care; Respite Care,41,PA-SNF-10071,Pennsylvania Department of Human Services,2024-12-07,81,True,True,False,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.9568,-75.5849
72,Heritage House,1700 Ridge Pike,West Chester,Chester,PA,15072,(222) 407-1007,Intermediate Care Facility,Personal Care; Skilled Nursing; Independent Living,42,PA-CCR-10072,Pennsylvania Department of Human Services,2024-06-08,82,False,False,False,https://www.chester-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,39.966800000000006,-75.5749
73,Keystone Manor,1000 Main Street,Clarion,Clarion,PA,15073,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10073,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.clarion-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
74,Liberty Gardens,1100 Market Street,Clarion,Clarion,PA,15074,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10074,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.clarion-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
75,Independence Place,1200 Broad Street,Clarion,Clarion,PA,15075,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10075,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.clarion-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
76,Colonial Estates,1300 Pine Street,Clarion,Clarion,PA,15076,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10076,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.clarion-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
77,Keystone Manor,1000 Main Street,Clearfield,Clearfield,PA,15077,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10077,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.clearfield-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
78,Liberty Gardens,1100 Market Street,Clearfield,Clearfield,PA,15078,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10078,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.clearfield-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
79,Independence Place,1200 Broad Street,Clearfield,Clearfield,PA,15079,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10079,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.clearfield-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
80,Colonial Estates,1300 Pine Street,Clearfield,Clearfield,PA,15080,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10080,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.clearfield-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
