id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Green Mountain Manor,1000 Main Street,Middlebury,Addison,VT,05001,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50001,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.976400000000005,-73.2754
17,Green Mountain Manor,1000 Main Street,St. Johnsbury,Caledonia,VT,05017,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50017,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.376400000000004,-72.0754
18,Maple Valley Village,1100 Vermont Avenue,Hardwick,Caledonia,VT,05018,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50018,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.3864,-72.0654
19,Champlain Commons,1200 Green Mountain Boulevard,Danville,Caledonia,VT,05019,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50019,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.3964,-72.05539999999999
20,Stowe Village,1300 Maple Valley Drive,Lyndonville,Caledonia,VT,05020,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50020,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4064,-72.0454
21,Burlington Manor,1400 Champlain Street,Peacham,Caledonia,VT,05021,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50021,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4164,-72.0354
22,Montpelier Commons,1500 Stowe Avenue,Barnet,Caledonia,VT,05022,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50022,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4264,-72.02539999999999
23,Rutland Village,1600 Burlington Boulevard,Burke,Caledonia,VT,05023,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50023,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4364,-72.0154
24,Brattleboro Manor,1700 Montpelier Drive,Walden,Caledonia,VT,05024,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50024,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.caledonia-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.446400000000004,-72.0054
25,Green Mountain Manor,1000 Main Street,Burlington,Chittenden,VT,05025,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50025,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4138,-73.25330000000001
26,Maple Valley Village,1100 Vermont Avenue,South Burlington,Chittenden,VT,05026,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50026,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4238,-73.2433
27,Champlain Commons,1200 Green Mountain Boulevard,Colchester,Chittenden,VT,05027,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50027,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4338,-73.2333
28,Stowe Village,1300 Maple Valley Drive,Essex,Chittenden,VT,05028,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50028,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.443799999999996,-73.22330000000001
29,Burlington Manor,1400 Champlain Street,Winooski,Chittenden,VT,05029,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50029,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4538,-73.2133
30,Montpelier Commons,1500 Stowe Avenue,Shelburne,Chittenden,VT,05030,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50030,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4638,-73.2033
31,Rutland Village,1600 Burlington Boulevard,Williston,Chittenden,VT,05031,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50031,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4738,-73.19330000000001
32,Brattleboro Manor,1700 Montpelier Drive,St. George,Chittenden,VT,05032,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50032,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4838,-73.1833
33,White River Village,1800 Rutland Street,Burlington,Chittenden,VT,05033,(802) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,VT-RCF-50033,Vermont Department of Health,2024-11-09,93,False,True,True,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4938,-73.25330000000001
34,Connecticut River Commons,1900 Brattleboro Avenue,South Burlington,Chittenden,VT,05034,(802) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,VT-RCF-50034,Vermont Department of Health,2024-03-10,94,True,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5038,-73.2433
35,Lake Champlain Manor,2000 White River Boulevard,Colchester,Chittenden,VT,05035,(802) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,VT-RCF-50035,Vermont Department of Health,2024-04-11,95,False,True,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4138,-73.2333
36,Ski Country Village,2100 Connecticut River Drive,Essex,Chittenden,VT,05036,(802) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,VT-RCF-50036,Vermont Department of Health,2024-05-12,96,False,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4238,-73.22330000000001
37,Sugarbush Commons,2200 Lake Champlain Street,Winooski,Chittenden,VT,05037,(802) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,VT-RCF-50037,Vermont Department of Health,2024-06-13,97,True,True,True,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4338,-73.2133
38,Killington Manor,2300 Ski Country Avenue,Shelburne,Chittenden,VT,05038,(802) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,VT-RCF-50038,Vermont Department of Health,2024-07-14,98,False,False,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.443799999999996,-73.2033
39,Woodstock Village,2400 Sugarbush Boulevard,Williston,Chittenden,VT,05039,(802) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,VT-RCF-50039,Vermont Department of Health,2024-08-15,99,False,True,False,https://www.chittenden-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4538,-73.19330000000001
40,Green Mountain Manor,1000 Main Street,Guildhall,Essex,VT,05040,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50040,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.essex-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.376400000000004,-71.67540000000001
41,Maple Valley Village,1100 Vermont Avenue,Bloomfield,Essex,VT,05041,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50041,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.essex-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.3864,-71.6654
42,Champlain Commons,1200 Green Mountain Boulevard,Brighton,Essex,VT,05042,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50042,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.essex-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.3964,-71.6554
43,Stowe Village,1300 Maple Valley Drive,Brunswick,Essex,VT,05043,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50043,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.essex-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4064,-71.64540000000001
44,Burlington Manor,1400 Champlain Street,Canaan,Essex,VT,05044,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50044,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.essex-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.4164,-71.6354
45,Green Mountain Manor,1000 Main Street,St. Albans,Franklin,VT,05045,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50045,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.8264,-72.87540000000001
46,Maple Valley Village,1100 Vermont Avenue,Swanton,Franklin,VT,05046,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50046,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.8364,-72.86540000000001
47,Champlain Commons,1200 Green Mountain Boulevard,Enosburg,Franklin,VT,05047,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50047,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.846399999999996,-72.8554
48,Stowe Village,1300 Maple Valley Drive,Georgia,Franklin,VT,05048,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50048,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.856399999999994,-72.84540000000001
49,Burlington Manor,1400 Champlain Street,Highgate,Franklin,VT,05049,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50049,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.8664,-72.8354
50,Montpelier Commons,1500 Stowe Avenue,Fairfax,Franklin,VT,05050,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50050,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.8764,-72.8254
51,Rutland Village,1600 Burlington Boulevard,Richford,Franklin,VT,05051,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50051,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.886399999999995,-72.81540000000001
52,Brattleboro Manor,1700 Montpelier Drive,Bakersfield,Franklin,VT,05052,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50052,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.franklin-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.8964,-72.8054
53,Green Mountain Manor,1000 Main Street,South Hero,Grand Isle,VT,05053,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50053,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.grandisle-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.726400000000005,-73.37540000000001
54,Maple Valley Village,1100 Vermont Avenue,North Hero,Grand Isle,VT,05054,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50054,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.grandisle-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.7364,-73.36540000000001
55,Champlain Commons,1200 Green Mountain Boulevard,Isle La Motte,Grand Isle,VT,05055,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50055,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.grandisle-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.7464,-73.3554
56,Stowe Village,1300 Maple Valley Drive,Grand Isle,Grand Isle,VT,05056,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50056,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.grandisle-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.7564,-73.34540000000001
57,Burlington Manor,1400 Champlain Street,Alburgh,Grand Isle,VT,05057,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50057,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.grandisle-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.766400000000004,-73.3354
58,Green Mountain Manor,1000 Main Street,Morristown,Lamoille,VT,05058,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50058,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5264,-72.5754
59,Maple Valley Village,1100 Vermont Avenue,Stowe,Lamoille,VT,05059,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50059,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5364,-72.5654
60,Champlain Commons,1200 Green Mountain Boulevard,Hyde Park,Lamoille,VT,05060,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50060,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5464,-72.55539999999999
61,Stowe Village,1300 Maple Valley Drive,Johnson,Lamoille,VT,05061,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50061,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5564,-72.5454
62,Burlington Manor,1400 Champlain Street,Hardwick,Lamoille,VT,05062,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50062,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5664,-72.5354
63,Montpelier Commons,1500 Stowe Avenue,Wolcott,Lamoille,VT,05063,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50063,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5764,-72.52539999999999
64,Rutland Village,1600 Burlington Boulevard,Elmore,Lamoille,VT,05064,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50064,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5864,-72.5154
65,Brattleboro Manor,1700 Montpelier Drive,Waterville,Lamoille,VT,05065,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50065,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.lamoille-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.5964,-72.5054
66,Green Mountain Manor,1000 Main Street,Chelsea,Orange,VT,05066,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50066,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.orange-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.0764,-72.37540000000001
67,Maple Valley Village,1100 Vermont Avenue,Randolph,Orange,VT,05067,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50067,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.orange-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.0864,-72.36540000000001
68,Champlain Commons,1200 Green Mountain Boulevard,Bradford,Orange,VT,05068,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50068,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.orange-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.096399999999996,-72.3554
69,Stowe Village,1300 Maple Valley Drive,Newbury,Orange,VT,05069,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50069,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.orange-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.106399999999994,-72.34540000000001
70,Burlington Manor,1400 Champlain Street,Topsham,Orange,VT,05070,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50070,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.orange-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.1164,-72.3354
71,Green Mountain Manor,1000 Main Street,Newport,Orleans,VT,05071,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50071,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.orleans-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.726400000000005,-72.2754
72,Maple Valley Village,1100 Vermont Avenue,Barton,Orleans,VT,05072,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50072,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.orleans-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.7364,-72.2654
73,Champlain Commons,1200 Green Mountain Boulevard,Derby,Orleans,VT,05073,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50073,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.orleans-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.7464,-72.2554
74,Stowe Village,1300 Maple Valley Drive,Glover,Orleans,VT,05074,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50074,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.orleans-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.7564,-72.2454
75,Burlington Manor,1400 Champlain Street,Irasburg,Orleans,VT,05075,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50075,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.orleans-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.766400000000004,-72.2354
76,Green Mountain Manor,1000 Main Street,Rutland,Rutland,VT,05076,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50076,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.561,-73.01270000000001
77,Maple Valley Village,1100 Vermont Avenue,Killington,Rutland,VT,05077,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50077,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.571,-73.0027
78,Champlain Commons,1200 Green Mountain Boulevard,Pittsford,Rutland,VT,05078,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50078,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.580999999999996,-72.9927
79,Stowe Village,1300 Maple Valley Drive,Poultney,Rutland,VT,05079,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50079,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.590999999999994,-72.98270000000001
80,Burlington Manor,1400 Champlain Street,Castleton,Rutland,VT,05080,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50080,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.601,-72.9727
81,Montpelier Commons,1500 Stowe Avenue,Fair Haven,Rutland,VT,05081,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50081,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.611,-72.9627
82,Rutland Village,1600 Burlington Boulevard,Proctor,Rutland,VT,05082,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50082,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.620999999999995,-72.95270000000001
83,Brattleboro Manor,1700 Montpelier Drive,West Rutland,Rutland,VT,05083,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50083,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.631,-72.9427
84,White River Village,1800 Rutland Street,Rutland,Rutland,VT,05084,(802) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,VT-RCF-50084,Vermont Department of Health,2024-11-09,93,False,True,True,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.641,-73.01270000000001
