id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Palmetto Manor,1000 Main Street,Abbeville,Abbeville,SC,29001,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50001,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1282,-82.41900000000001
17,Palmetto Manor,1000 Main Street,Allendale,Allendale,SC,29017,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50017,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.allendale-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.957100000000004,-81.3481
18,Magnolia Village,1100 Palmetto Avenue,Allendale,Allendale,SC,29018,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50018,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.allendale-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.9671,-81.3381
19,Azalea Commons,1200 Magnolia Drive,Allendale,Allendale,SC,29019,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50019,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.allendale-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.9771,-81.32809999999999
20,Lowcountry Village,1300 Azalea Street,Allendale,Allendale,SC,29020,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50020,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.allendale-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.9871,-81.3181
21,Upstate Manor,1400 Carolina Avenue,Allendale,Allendale,SC,29021,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50021,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.allendale-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.9971,-81.3081
22,Midlands Commons,1500 Gamecock Boulevard,Allendale,Allendale,SC,29022,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50022,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.allendale-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.0071,-81.29809999999999
23,Palmetto Manor,1000 Main Street,Anderson,Anderson,SC,29023,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50023,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.4534,-82.6901
24,Magnolia Village,1100 Palmetto Avenue,Anderson,Anderson,SC,29024,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50024,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.4634,-82.6801
25,Azalea Commons,1200 Magnolia Drive,Anderson,Anderson,SC,29025,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50025,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.4734,-82.67009999999999
26,Lowcountry Village,1300 Azalea Street,Anderson,Anderson,SC,29026,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50026,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.483399999999996,-82.6601
27,Upstate Manor,1400 Carolina Avenue,Anderson,Anderson,SC,29027,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50027,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.4934,-82.6501
28,Midlands Commons,1500 Gamecock Boulevard,Anderson,Anderson,SC,29028,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50028,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.5034,-82.64009999999999
29,Pee Dee Village,1600 Tiger Drive,Anderson,Anderson,SC,29029,(809) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,SC-ALF-50029,South Carolina Department of Health and Environmental Control,2024-09-07,81,True,True,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.5134,-82.6301
30,Coastal Manor,1700 Clemson Street,Anderson,Anderson,SC,29030,(810) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,SC-ALF-50030,South Carolina Department of Health and Environmental Control,2024-10-08,82,False,False,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.5234,-82.6201
31,Carolina Commons,1800 USC Avenue,Anderson,Anderson,SC,29031,(811) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,SC-ALF-50031,South Carolina Department of Health and Environmental Control,2024-11-09,83,False,True,True,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.5334,-82.6901
32,Gamecock Village,1900 Citadel Drive,Anderson,Anderson,SC,29032,(812) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,SC-ALF-50032,South Carolina Department of Health and Environmental Control,2024-03-10,84,True,False,False,https://www.anderson-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.5434,-82.6801
33,Palmetto Manor,1000 Main Street,Bamberg,Bamberg,SC,29033,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50033,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.bamberg-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2471,-81.07480000000001
34,Magnolia Village,1100 Palmetto Avenue,Bamberg,Bamberg,SC,29034,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50034,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.bamberg-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2571,-81.0648
35,Azalea Commons,1200 Magnolia Drive,Bamberg,Bamberg,SC,29035,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50035,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.bamberg-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2671,-81.0548
36,Lowcountry Village,1300 Azalea Street,Bamberg,Bamberg,SC,29036,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50036,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.bamberg-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2771,-81.04480000000001
37,Upstate Manor,1400 Carolina Avenue,Bamberg,Bamberg,SC,29037,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50037,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.bamberg-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2871,-81.0348
38,Midlands Commons,1500 Gamecock Boulevard,Bamberg,Bamberg,SC,29038,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50038,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.bamberg-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2971,-81.0248
39,Palmetto Manor,1000 Main Street,Barnwell,Barnwell,SC,29039,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50039,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.barnwell-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.1946,-81.3948
40,Magnolia Village,1100 Palmetto Avenue,Barnwell,Barnwell,SC,29040,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50040,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.barnwell-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2046,-81.3848
41,Azalea Commons,1200 Magnolia Drive,Barnwell,Barnwell,SC,29041,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50041,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.barnwell-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2146,-81.3748
42,Lowcountry Village,1300 Azalea Street,Barnwell,Barnwell,SC,29042,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50042,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.barnwell-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.224599999999995,-81.3648
43,Upstate Manor,1400 Carolina Avenue,Barnwell,Barnwell,SC,29043,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50043,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.barnwell-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2346,-81.3548
44,Midlands Commons,1500 Gamecock Boulevard,Barnwell,Barnwell,SC,29044,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50044,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.barnwell-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2446,-81.34479999999999
45,Palmetto Manor,1000 Main Street,Beaufort,Beaufort,SC,29045,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50045,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.381600000000006,-80.7098
46,Magnolia Village,1100 Palmetto Avenue,Beaufort,Beaufort,SC,29046,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50046,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.391600000000004,-80.6998
47,Azalea Commons,1200 Magnolia Drive,Beaufort,Beaufort,SC,29047,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50047,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.4016,-80.68979999999999
48,Lowcountry Village,1300 Azalea Street,Beaufort,Beaufort,SC,29048,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50048,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.4116,-80.6798
49,Upstate Manor,1400 Carolina Avenue,Beaufort,Beaufort,SC,29049,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50049,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.421600000000005,-80.6698
50,Midlands Commons,1500 Gamecock Boulevard,Beaufort,Beaufort,SC,29050,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50050,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.4316,-80.65979999999999
51,Pee Dee Village,1600 Tiger Drive,Beaufort,Beaufort,SC,29051,(809) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,SC-ALF-50051,South Carolina Department of Health and Environmental Control,2024-09-07,81,True,True,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.4416,-80.6498
52,Coastal Manor,1700 Clemson Street,Beaufort,Beaufort,SC,29052,(810) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,SC-ALF-50052,South Carolina Department of Health and Environmental Control,2024-10-08,82,False,False,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.451600000000006,-80.6398
53,Carolina Commons,1800 USC Avenue,Beaufort,Beaufort,SC,29053,(811) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,SC-ALF-50053,South Carolina Department of Health and Environmental Control,2024-11-09,83,False,True,True,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.461600000000004,-80.7098
54,Gamecock Village,1900 Citadel Drive,Beaufort,Beaufort,SC,29054,(812) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,SC-ALF-50054,South Carolina Department of Health and Environmental Control,2024-03-10,84,True,False,False,https://www.beaufort-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.4716,-80.6998
55,Palmetto Manor,1000 Main Street,Moncks Corner,Berkeley,SC,29055,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50055,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.147400000000005,-79.98450000000001
56,Magnolia Village,1100 Palmetto Avenue,Moncks Corner,Berkeley,SC,29056,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50056,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.1574,-79.9745
57,Azalea Commons,1200 Magnolia Drive,Moncks Corner,Berkeley,SC,29057,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50057,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.1674,-79.9645
58,Lowcountry Village,1300 Azalea Street,Moncks Corner,Berkeley,SC,29058,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50058,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.1774,-79.95450000000001
59,Upstate Manor,1400 Carolina Avenue,Moncks Corner,Berkeley,SC,29059,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50059,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.187400000000004,-79.9445
60,Midlands Commons,1500 Gamecock Boulevard,Moncks Corner,Berkeley,SC,29060,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50060,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.1974,-79.9345
61,Pee Dee Village,1600 Tiger Drive,Moncks Corner,Berkeley,SC,29061,(809) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,SC-ALF-50061,South Carolina Department of Health and Environmental Control,2024-09-07,81,True,True,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2074,-79.92450000000001
62,Coastal Manor,1700 Clemson Street,Moncks Corner,Berkeley,SC,29062,(810) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,SC-ALF-50062,South Carolina Department of Health and Environmental Control,2024-10-08,82,False,False,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.217400000000005,-79.9145
63,Carolina Commons,1800 USC Avenue,Moncks Corner,Berkeley,SC,29063,(811) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,SC-ALF-50063,South Carolina Department of Health and Environmental Control,2024-11-09,83,False,True,True,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2274,-79.98450000000001
64,Gamecock Village,1900 Citadel Drive,Moncks Corner,Berkeley,SC,29064,(812) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,SC-ALF-50064,South Carolina Department of Health and Environmental Control,2024-03-10,84,True,False,False,https://www.berkeley-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.2374,-79.9745
65,Palmetto Manor,1000 Main Street,St. Matthews,Calhoun,SC,29065,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50065,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.calhoun-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.555400000000006,-80.89980000000001
66,Magnolia Village,1100 Palmetto Avenue,St. Matthews,Calhoun,SC,29066,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50066,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.calhoun-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.565400000000004,-80.88980000000001
67,Azalea Commons,1200 Magnolia Drive,St. Matthews,Calhoun,SC,29067,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50067,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.calhoun-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.5754,-80.8798
68,Lowcountry Village,1300 Azalea Street,St. Matthews,Calhoun,SC,29068,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50068,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.calhoun-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.5854,-80.86980000000001
69,Upstate Manor,1400 Carolina Avenue,St. Matthews,Calhoun,SC,29069,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50069,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.calhoun-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.595400000000005,-80.8598
70,Midlands Commons,1500 Gamecock Boulevard,St. Matthews,Calhoun,SC,29070,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50070,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.calhoun-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.6054,-80.8498
71,Palmetto Manor,1000 Main Street,Charleston,Charleston,SC,29071,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50071,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7265,-79.9711
72,Magnolia Village,1100 Palmetto Avenue,Charleston,Charleston,SC,29072,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50072,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7365,-79.9611
73,Azalea Commons,1200 Magnolia Drive,Charleston,Charleston,SC,29073,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50073,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7465,-79.9511
74,Lowcountry Village,1300 Azalea Street,Charleston,Charleston,SC,29074,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50074,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.756499999999996,-79.9411
75,Upstate Manor,1400 Carolina Avenue,Charleston,Charleston,SC,29075,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50075,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7665,-79.9311
76,Midlands Commons,1500 Gamecock Boulevard,Charleston,Charleston,SC,29076,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50076,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7765,-79.9211
