provider_name,facility_type,address,city,state,zip_code,phone,county,care_category,services,source_url,scraped_date
Wahiawa Care Center,Residential Care Home,633 Bishop Street,Wahiawa,HI,96795,(808) 332-8013,Honolulu,Skilled Nursing,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718541
Pearl Harbor Home Care,Memory Care Facility,1755 Vineyard Street,Pearl City,HI,96786,(808) 234-8640,Honolulu,Assisted Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718552
Kona Senior Living,Continuing Care Retirement Community,8054 School Street,Aiea,HI,96707,(808) 485-4305,Honolulu,Memory Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718560
Honolulu Living Center,Adult Day Care Center,6016 Farrington Highway,Mililani,HI,96797,(808) 618-9405,Honolulu,Skilled Nursing,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718568
Pacific Senior Living,Skilled Nursing Facility,2951 Ala Moana Boulevard,Honolulu,HI,96782,(808) 798-3455,Honolulu,Continuing Care,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718575
Ohana Senior Services,Independent Living Community,3542 Ward Avenue,Kailua,HI,96744,(808) 358-2771,Honolulu,Skilled Nursing,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718583
Waikiki Senior Care,Adult Day Care Center,3746 Bishop Street,Hawaii Kai,HI,96706,(808) 447-6920,Honolulu,Memory Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718590
Pearl Harbor Hawaii Kai Senior Living,Independent Living Community,7279 Dillingham Boulevard,Hawaii Kai,HI,96795,(808) 991-9588,Honolulu,Independent Living,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718601
Honolulu Care Home,Residential Care Home,1873 King Street,Pearl City,HI,96701,(808) 880-4005,Honolulu,Memory Care,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718614
Sunset Aiea Home Care,Assisted Living Facility,5804 Fort Street,Aiea,HI,96734,(808) 947-3557,Honolulu,Continuing Care,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718626
Honolulu Living Center,Assisted Living Facility,528 Farrington Highway,Honolulu,HI,96797,(808) 520-1698,Honolulu,Skilled Nursing,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718633
Honolulu Senior Services,Independent Living Community,5811 Fort Street,Kailua,HI,96744,(808) 745-6103,Honolulu,Independent Living,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718642
Big Island Honolulu Senior Living,Independent Living Community,5277 Hotel Street,Honolulu,HI,96789,(808) 660-1349,Honolulu,Independent Living,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718649
Honolulu Care Home,Independent Living Community,5848 Kuhio Avenue,Kaneohe,HI,96789,(808) 488-7066,Honolulu,Independent Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718656
Mililani Home Care,Assisted Living Facility,589 Kuhio Avenue,Mililani,HI,96782,(808) 998-1259,Honolulu,Independent Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718663
Tropical Mililani Home Care,Memory Care Facility,1100 Pali Highway,Mililani,HI,96795,(808) 625-9831,Honolulu,Assisted Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718672
Wahiawa Home Care,Residential Care Home,208 Bishop Street,Wahiawa,HI,96734,(808) 607-7453,Honolulu,Continuing Care,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718679
Ohana Kaneohe Senior Living,Adult Day Care Center,9559 Hotel Street,Kaneohe,HI,96795,(808) 685-2604,Honolulu,Continuing Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718686
Honolulu Care Facility,Skilled Nursing Facility,3550 Farrington Highway,Mililani,HI,96744,(808) 938-9139,Honolulu,Memory Care,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718693
Lanai Pearl City Residential Care,Continuing Care Retirement Community,2888 Alakea Street,Pearl City,HI,96701,(808) 803-5997,Honolulu,Skilled Nursing,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718700
Aiea Elder Care,Memory Care Facility,5896 Farrington Highway,Aiea,HI,96786,(808) 300-4599,Honolulu,Skilled Nursing,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718707
Pacific Waimea Senior Living,Continuing Care Retirement Community,4659 Kamehameha Highway,Waimea,HI,96741,(808) 453-1072,Kauai,Memory Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718729
Koloa Care Center,Residential Care Home,4593 Pali Highway,Koloa,HI,96741,(808) 592-3582,Kauai,Continuing Care,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718739
Sunset Hanalei Senior Living,Memory Care Facility,6838 Likelike Highway,Hanalei,HI,96716,(808) 342-1492,Kauai,Memory Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718752
Ocean View Home Care,Adult Day Care Center,9158 Piikoi Street,Hanalei,HI,96754,(808) 252-8623,Kauai,Memory Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718766
Aloha Care Home,Assisted Living Facility,3228 Likelike Highway,Poipu,HI,96741,(808) 623-1563,Kauai,Independent Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718778
Kahala Poipu Senior Care,Memory Care Facility,2085 Vineyard Street,Poipu,HI,96756,(808) 419-5943,Kauai,Skilled Nursing,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718790
Molokai Home Care,Assisted Living Facility,7740 Ward Avenue,Koloa,HI,96705,(808) 262-6675,Kauai,Independent Living,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718800
Kauai Senior Care,Adult Day Care Center,2117 Pali Highway,Lihue,HI,96746,(808) 428-9910,Kauai,Continuing Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718807
Hilo Lihue Care Center,Skilled Nursing Facility,4529 Pali Highway,Lihue,HI,96716,(808) 739-5366,Kauai,Continuing Care,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718814
Kauai Elder Care,Memory Care Facility,6545 Likelike Highway,Poipu,HI,96715,(808) 483-3171,Kauai,Continuing Care,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718821
Sunset Elder Care,Independent Living Community,3768 School Street,Koloa,HI,96715,(808) 815-6994,Kauai,Memory Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718831
Molokai Living Center,Assisted Living Facility,492 Kamehameha Highway,Koloa,HI,96715,(808) 537-4173,Kauai,Continuing Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718838
Sunset Waimea Senior Living,Skilled Nursing Facility,4209 Kamehameha Highway,Waimea,HI,96705,(808) 501-9978,Kauai,Assisted Living,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718845
Kauai Living Center,Adult Day Care Center,540 Kamehameha Highway,Waimea,HI,96765,(808) 845-6510,Kauai,Skilled Nursing,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718853
Hanapepe Elder Care,Assisted Living Facility,9234 Kapiolani Boulevard,Hanapepe,HI,96715,(808) 997-1752,Kauai,Independent Living,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718860
Kauai Wailuku Assisted Living,Residential Care Home,6579 Nimitz Highway,Wailuku,HI,96769,(808) 703-7191,Maui,Assisted Living,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718868
Maui Assisted Living,Adult Day Care Center,6556 Likelike Highway,Makawao,HI,96708,(808) 631-8116,Maui,Memory Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718895
Maui Senior Care,Skilled Nursing Facility,4299 Ala Moana Boulevard,Wailuku,HI,96790,(808) 776-9901,Maui,Independent Living,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718910
Honolulu Care Center,Continuing Care Retirement Community,7989 Kalakaua Avenue,Paia,HI,96769,(808) 305-2212,Maui,Memory Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718920
Kailua Paia Care Facility,Independent Living Community,4106 Piikoi Street,Paia,HI,96761,(808) 610-8728,Maui,Assisted Living,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718927
Kailua Living Center,Adult Day Care Center,2652 Beretania Street,Kihei,HI,96761,(808) 691-9489,Maui,Skilled Nursing,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718935
Kahala Senior Living,Adult Day Care Center,211 Ward Avenue,Wailuku,HI,96708,(808) 663-5218,Maui,Continuing Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718944
Manoa Wailuku Living Center,Independent Living Community,9633 Kamehameha Highway,Wailuku,HI,96769,(808) 562-8083,Maui,Skilled Nursing,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718957
Wailuku Elder Care,Residential Care Home,4382 School Street,Wailuku,HI,96713,(808) 931-2408,Maui,Continuing Care,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718964
Maui Senior Living,Residential Care Home,4855 Pali Highway,Paia,HI,96732,(808) 433-6811,Maui,Memory Care,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718974
Kahului Adult Care,Continuing Care Retirement Community,9175 Nimitz Highway,Kahului,HI,96790,(808) 753-9541,Maui,Continuing Care,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718981
Pacific Adult Care,Independent Living Community,6907 Alakea Street,Paia,HI,96768,(808) 323-2658,Maui,Skilled Nursing,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718988
Kauai Makawao Care Home,Residential Care Home,870 Bishop Street,Makawao,HI,96708,(808) 670-8103,Maui,Independent Living,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718996
Wailuku Living Center,Skilled Nursing Facility,1248 King Street,Wailuku,HI,96768,(808) 272-2127,Maui,Continuing Care,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.719015
Wailuku Living Center,Residential Care Home,4260 Kuhio Avenue,Wailuku,HI,96768,(808) 934-8668,Maui,Continuing Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.719027
Oahu Wailea Care Home,Memory Care Facility,529 Kamehameha Highway,Wailea,HI,96769,(808) 854-3310,Maui,Memory Care,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.719039
Maui Residential Care,Assisted Living Facility,3519 Alakea Street,Kahului,HI,96761,(808) 223-2234,Maui,Assisted Living,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.719046
Maui Home Care,Assisted Living Facility,3528 Likelike Highway,Kahului,HI,96784,(808) 645-7183,Maui,Skilled Nursing,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.719053
Kailua Kihei Care Center,Adult Day Care Center,2431 King Street,Kihei,HI,96753,(808) 961-9970,Maui,Independent Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.719060
