id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Constitution Manor,1000 Main Street,Bridgeport,Fairfield,CT,06001,(203) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,CT-RCF-60001,Connecticut Department of Public Health,2024-03-01,80,True,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1764,-73.37540000000001
12,New Britain Manor,2100 Norwalk Drive,Stamford,Fairfield,CT,06012,(214) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,CT-RCF-60012,Connecticut Department of Public Health,2024-05-12,91,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1864,-73.34540000000001
13,West Hartford Village,2200 Danbury Street,Norwalk,Fairfield,CT,06013,(215) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,52,CT-RCF-60013,Connecticut Department of Public Health,2024-06-13,92,True,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1964,-73.3354
14,Greenwich Commons,2300 New Britain Avenue,Danbury,Fairfield,CT,06014,(216) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,53,CT-RCF-60014,Connecticut Department of Public Health,2024-07-14,93,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.206399999999995,-73.3254
15,Hamden Manor,2400 West Hartford Boulevard,New Canaan,Fairfield,CT,06015,(217) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,54,CT-RCF-60015,Connecticut Department of Public Health,2024-08-15,94,False,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2164,-73.31540000000001
16,Meriden Village,2500 Greenwich Drive,Greenwich,Fairfield,CT,06016,(218) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,55,CT-RCF-60016,Connecticut Department of Public Health,2024-09-16,95,True,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2264,-73.3054
17,Bristol Commons,2600 Hamden Street,Westport,Fairfield,CT,06017,(219) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,56,CT-RCF-60017,Connecticut Department of Public Health,2024-10-17,96,False,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.236399999999996,-73.37540000000001
18,West Haven Manor,2700 Meriden Avenue,Fairfield,Fairfield,CT,06018,(220) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,57,CT-RCF-60018,Connecticut Department of Public Health,2024-11-18,97,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2464,-73.36540000000001
19,Milford Village,2800 Bristol Boulevard,Ridgefield,Fairfield,CT,06019,(221) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,58,CT-RCF-60019,Connecticut Department of Public Health,2024-03-19,98,True,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2564,-73.3554
20,Middletown Commons,2900 West Haven Drive,Trumbull,Fairfield,CT,06020,(222) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,59,CT-RCF-60020,Connecticut Department of Public Health,2024-04-20,99,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2664,-73.34540000000001
21,Constitution State Manor,3000 Milford Street,Bridgeport,Fairfield,CT,06021,(223) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,60,CT-RCF-60021,Connecticut Department of Public Health,2024-05-21,80,False,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1764,-73.3354
22,Yankee Village,3100 Middletown Avenue,Stamford,Fairfield,CT,06022,(224) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,61,CT-RCF-60022,Connecticut Department of Public Health,2024-06-22,81,True,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1864,-73.3254
23,Long Island Sound Commons,3200 Constitution State Boulevard,Norwalk,Fairfield,CT,06023,(225) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,62,CT-RCF-60023,Connecticut Department of Public Health,2024-07-23,82,False,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1964,-73.31540000000001
24,Pequot Manor,3300 Yankee Drive,Danbury,Fairfield,CT,06024,(226) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,63,CT-RCF-60024,Connecticut Department of Public Health,2024-08-24,83,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.206399999999995,-73.3054
25,Mystic Village,3400 Long Island Sound Street,New Canaan,Fairfield,CT,06025,(227) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,64,CT-RCF-60025,Connecticut Department of Public Health,2024-09-25,84,True,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2164,-73.37540000000001
26,Litchfield Commons,3500 Pequot Avenue,Greenwich,Fairfield,CT,06026,(228) 225-1025,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,65,CT-RCF-60026,Connecticut Department of Public Health,2024-10-26,85,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2264,-73.36540000000001
27,Farmington Manor,3600 Mystic Boulevard,Westport,Fairfield,CT,06027,(229) 226-1026,Senior Living,Assisted Living; Personal Care; Hospice Care,66,CT-RCF-60027,Connecticut Department of Public Health,2024-11-27,86,False,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.236399999999996,-73.3554
28,Guilford Village,3700 Litchfield Drive,Fairfield,Fairfield,CT,06028,(230) 227-1027,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,67,CT-RCF-60028,Connecticut Department of Public Health,2024-03-28,87,True,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2464,-73.34540000000001
29,Constitution Manor,3800 Main Street,Ridgefield,Fairfield,CT,06029,(231) 228-1028,Senior Living,Assisted Living; Memory Care; Independent Living,68,CT-RCF-60029,Connecticut Department of Public Health,2024-04-01,88,False,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2564,-73.3354
30,Nutmeg Village,3900 Connecticut Avenue,Trumbull,Fairfield,CT,06030,(232) 229-1029,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,69,CT-RCF-60030,Connecticut Department of Public Health,2024-05-02,89,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2664,-73.3254
31,Charter Oak Commons,4000 Constitution Boulevard,Bridgeport,Fairfield,CT,06031,(233) 230-1030,Senior Living,Continuing Care; Adult Day Services; Personal Care,70,CT-RCF-60031,Connecticut Department of Public Health,2024-06-03,90,True,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1764,-73.31540000000001
32,Elm City Village,4100 Nutmeg Drive,Stamford,Fairfield,CT,06032,(234) 231-1031,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,71,CT-RCF-60032,Connecticut Department of Public Health,2024-07-04,91,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1864,-73.3054
33,Bridgeport Commons,4200 Charter Oak Street,Norwalk,Fairfield,CT,06033,(235) 232-1032,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,72,CT-RCF-60033,Connecticut Department of Public Health,2024-08-05,92,False,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1964,-73.37540000000001
34,Hartford Manor,4300 Elm City Avenue,Danbury,Fairfield,CT,06034,(236) 233-1033,Senior Living,Assisted Living; Personal Care; Hospice Care,73,CT-RCF-60034,Connecticut Department of Public Health,2024-09-06,93,True,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.206399999999995,-73.36540000000001
35,New Haven Village,4400 Bridgeport Boulevard,New Canaan,Fairfield,CT,06035,(237) 234-1034,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,74,CT-RCF-60035,Connecticut Department of Public Health,2024-10-07,94,False,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2164,-73.3554
36,Constitution Manor,1000 Main Street,Hartford,Hartford,CT,06036,(203) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,CT-RCF-60036,Connecticut Department of Public Health,2024-03-01,80,True,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.726400000000005,-72.72540000000001
37,Nutmeg Village,1100 Connecticut Avenue,New Britain,Hartford,CT,06037,(204) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,CT-RCF-60037,Connecticut Department of Public Health,2024-04-02,81,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7364,-72.7154
38,Charter Oak Commons,1200 Constitution Boulevard,West Hartford,Hartford,CT,06038,(205) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,CT-RCF-60038,Connecticut Department of Public Health,2024-05-03,82,False,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7464,-72.7054
39,Elm City Village,1300 Nutmeg Drive,Bristol,Hartford,CT,06039,(206) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,CT-RCF-60039,Connecticut Department of Public Health,2024-06-04,83,True,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7564,-72.6954
40,Bridgeport Commons,1400 Charter Oak Street,Manchester,Hartford,CT,06040,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,CT-RCF-60040,Connecticut Department of Public Health,2024-07-05,84,False,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.766400000000004,-72.6854
41,Hartford Manor,1500 Elm City Avenue,East Hartford,Hartford,CT,06041,(208) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,CT-RCF-60041,Connecticut Department of Public Health,2024-08-06,85,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7764,-72.6754
42,New Haven Village,1600 Bridgeport Boulevard,Enfield,Hartford,CT,06042,(209) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,CT-RCF-60042,Connecticut Department of Public Health,2024-09-07,86,True,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7864,-72.6654
43,Stamford Commons,1700 Hartford Drive,Windsor,Hartford,CT,06043,(210) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,CT-RCF-60043,Connecticut Department of Public Health,2024-10-08,87,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.796400000000006,-72.6554
44,Waterbury Manor,1800 New Haven Street,Glastonbury,Hartford,CT,06044,(211) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,CT-RCF-60044,Connecticut Department of Public Health,2024-11-09,88,False,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.806400000000004,-72.72540000000001
45,Norwalk Village,1900 Stamford Avenue,Farmington,Hartford,CT,06045,(212) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,CT-RCF-60045,Connecticut Department of Public Health,2024-03-10,89,True,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.8164,-72.7154
46,Danbury Commons,2000 Waterbury Boulevard,Hartford,Hartford,CT,06046,(213) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,CT-RCF-60046,Connecticut Department of Public Health,2024-04-11,90,False,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.726400000000005,-72.7054
47,New Britain Manor,2100 Norwalk Drive,New Britain,Hartford,CT,06047,(214) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,CT-RCF-60047,Connecticut Department of Public Health,2024-05-12,91,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7364,-72.6954
48,West Hartford Village,2200 Danbury Street,West Hartford,Hartford,CT,06048,(215) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,52,CT-RCF-60048,Connecticut Department of Public Health,2024-06-13,92,True,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7464,-72.6854
49,Greenwich Commons,2300 New Britain Avenue,Bristol,Hartford,CT,06049,(216) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,53,CT-RCF-60049,Connecticut Department of Public Health,2024-07-14,93,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7564,-72.6754
50,Hamden Manor,2400 West Hartford Boulevard,Manchester,Hartford,CT,06050,(217) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,54,CT-RCF-60050,Connecticut Department of Public Health,2024-08-15,94,False,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.766400000000004,-72.6654
51,Meriden Village,2500 Greenwich Drive,East Hartford,Hartford,CT,06051,(218) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,55,CT-RCF-60051,Connecticut Department of Public Health,2024-09-16,95,True,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7764,-72.6554
52,Bristol Commons,2600 Hamden Street,Enfield,Hartford,CT,06052,(219) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,56,CT-RCF-60052,Connecticut Department of Public Health,2024-10-17,96,False,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7864,-72.72540000000001
53,West Haven Manor,2700 Meriden Avenue,Windsor,Hartford,CT,06053,(220) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,57,CT-RCF-60053,Connecticut Department of Public Health,2024-11-18,97,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.796400000000006,-72.7154
54,Milford Village,2800 Bristol Boulevard,Glastonbury,Hartford,CT,06054,(221) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,58,CT-RCF-60054,Connecticut Department of Public Health,2024-03-19,98,True,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.806400000000004,-72.7054
55,Middletown Commons,2900 West Haven Drive,Farmington,Hartford,CT,06055,(222) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,59,CT-RCF-60055,Connecticut Department of Public Health,2024-04-20,99,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.8164,-72.6954
56,Constitution State Manor,3000 Milford Street,Hartford,Hartford,CT,06056,(223) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,60,CT-RCF-60056,Connecticut Department of Public Health,2024-05-21,80,False,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.726400000000005,-72.6854
57,Yankee Village,3100 Middletown Avenue,New Britain,Hartford,CT,06057,(224) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,61,CT-RCF-60057,Connecticut Department of Public Health,2024-06-22,81,True,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7364,-72.6754
58,Long Island Sound Commons,3200 Constitution State Boulevard,West Hartford,Hartford,CT,06058,(225) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,62,CT-RCF-60058,Connecticut Department of Public Health,2024-07-23,82,False,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7464,-72.6654
59,Pequot Manor,3300 Yankee Drive,Bristol,Hartford,CT,06059,(226) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,63,CT-RCF-60059,Connecticut Department of Public Health,2024-08-24,83,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7564,-72.6554
60,Mystic Village,3400 Long Island Sound Street,Manchester,Hartford,CT,06060,(227) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,64,CT-RCF-60060,Connecticut Department of Public Health,2024-09-25,84,True,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.766400000000004,-72.72540000000001
61,Litchfield Commons,3500 Pequot Avenue,East Hartford,Hartford,CT,06061,(228) 225-1025,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,65,CT-RCF-60061,Connecticut Department of Public Health,2024-10-26,85,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7764,-72.7154
62,Farmington Manor,3600 Mystic Boulevard,Enfield,Hartford,CT,06062,(229) 226-1026,Senior Living,Assisted Living; Personal Care; Hospice Care,66,CT-RCF-60062,Connecticut Department of Public Health,2024-11-27,86,False,True,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7864,-72.7054
63,Guilford Village,3700 Litchfield Drive,Windsor,Hartford,CT,06063,(230) 227-1027,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,67,CT-RCF-60063,Connecticut Department of Public Health,2024-03-28,87,True,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.796400000000006,-72.6954
64,Constitution Manor,3800 Main Street,Glastonbury,Hartford,CT,06064,(231) 228-1028,Senior Living,Assisted Living; Memory Care; Independent Living,68,CT-RCF-60064,Connecticut Department of Public Health,2024-04-01,88,False,True,True,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.806400000000004,-72.6854
65,Nutmeg Village,3900 Connecticut Avenue,Farmington,Hartford,CT,06065,(232) 229-1029,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,69,CT-RCF-60065,Connecticut Department of Public Health,2024-05-02,89,False,False,False,https://www.hartford-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.8164,-72.6754
66,Constitution Manor,1000 Main Street,Torrington,Litchfield,CT,06066,(203) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,CT-RCF-60066,Connecticut Department of Public Health,2024-03-01,80,True,True,True,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.726400000000005,-73.2754
67,Nutmeg Village,1100 Connecticut Avenue,Watertown,Litchfield,CT,06067,(204) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,CT-RCF-60067,Connecticut Department of Public Health,2024-04-02,81,False,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7364,-73.2654
68,Charter Oak Commons,1200 Constitution Boulevard,Litchfield,Litchfield,CT,06068,(205) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,CT-RCF-60068,Connecticut Department of Public Health,2024-05-03,82,False,True,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7464,-73.2554
69,Elm City Village,1300 Nutmeg Drive,New Milford,Litchfield,CT,06069,(206) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,CT-RCF-60069,Connecticut Department of Public Health,2024-06-04,83,True,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7564,-73.2454
70,Bridgeport Commons,1400 Charter Oak Street,Bethlehem,Litchfield,CT,06070,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,CT-RCF-60070,Connecticut Department of Public Health,2024-07-05,84,False,True,True,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.766400000000004,-73.2354
71,Hartford Manor,1500 Elm City Avenue,Brookfield,Litchfield,CT,06071,(208) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,CT-RCF-60071,Connecticut Department of Public Health,2024-08-06,85,False,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7764,-73.2254
72,New Haven Village,1600 Bridgeport Boulevard,Canaan,Litchfield,CT,06072,(209) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,CT-RCF-60072,Connecticut Department of Public Health,2024-09-07,86,True,True,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7864,-73.2154
73,Stamford Commons,1700 Hartford Drive,Colebrook,Litchfield,CT,06073,(210) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,CT-RCF-60073,Connecticut Department of Public Health,2024-10-08,87,False,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.796400000000006,-73.2054
74,Waterbury Manor,1800 New Haven Street,Cornwall,Litchfield,CT,06074,(211) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,CT-RCF-60074,Connecticut Department of Public Health,2024-11-09,88,False,True,True,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.806400000000004,-73.2754
75,Norwalk Village,1900 Stamford Avenue,Goshen,Litchfield,CT,06075,(212) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,CT-RCF-60075,Connecticut Department of Public Health,2024-03-10,89,True,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.8164,-73.2654
76,Danbury Commons,2000 Waterbury Boulevard,Torrington,Litchfield,CT,06076,(213) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,CT-RCF-60076,Connecticut Department of Public Health,2024-04-11,90,False,True,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.726400000000005,-73.2554
77,New Britain Manor,2100 Norwalk Drive,Watertown,Litchfield,CT,06077,(214) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,CT-RCF-60077,Connecticut Department of Public Health,2024-05-12,91,False,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7364,-73.2454
78,West Hartford Village,2200 Danbury Street,Litchfield,Litchfield,CT,06078,(215) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,52,CT-RCF-60078,Connecticut Department of Public Health,2024-06-13,92,True,True,True,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7464,-73.2354
79,Greenwich Commons,2300 New Britain Avenue,New Milford,Litchfield,CT,06079,(216) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,53,CT-RCF-60079,Connecticut Department of Public Health,2024-07-14,93,False,False,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.7564,-73.2254
80,Hamden Manor,2400 West Hartford Boulevard,Bethlehem,Litchfield,CT,06080,(217) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,54,CT-RCF-60080,Connecticut Department of Public Health,2024-08-15,94,False,True,False,https://www.litchfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.766400000000004,-73.2154
81,Constitution Manor,1000 Main Street,Middletown,Middlesex,CT,06081,(203) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,CT-RCF-60081,Connecticut Department of Public Health,2024-03-01,80,True,True,True,https://www.middlesex-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.476400000000005,-72.5754
