id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Buckeye Manor,1000 Main Street,West Union,Adams,OH,43001,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40001,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
22,Heritage House,1500 Maple Avenue,Ashland,Ashland,OH,43022,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40022,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
23,Sunrise Manor,1600 Pine Street,Ashland,Ashland,OH,43023,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40023,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
24,Lakeside Living,1700 Cedar Avenue,Ashland,Ashland,OH,43024,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40024,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
25,Buckeye Manor,1000 Main Street,Ashtabula,Ashtabula,OH,43025,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40025,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
26,Heartland Commons,1100 State Street,Ashtabula,Ashtabula,OH,43026,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40026,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
27,Ohio Valley Care,1200 High Street,Ashtabula,Ashtabula,OH,43027,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40027,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
28,River View Manor,1300 Broad Street,Ashtabula,Ashtabula,OH,43028,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40028,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
29,Prairie Village,1400 Oak Street,Ashtabula,Ashtabula,OH,43029,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40029,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
30,Heritage House,1500 Maple Avenue,Ashtabula,Ashtabula,OH,43030,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40030,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
31,Sunrise Manor,1600 Pine Street,Ashtabula,Ashtabula,OH,43031,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40031,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
32,Lakeside Living,1700 Cedar Avenue,Ashtabula,Ashtabula,OH,43032,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40032,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.ashtabula-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
33,Buckeye Manor,1000 Main Street,Athens,Athens,OH,43033,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40033,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
34,Heartland Commons,1100 State Street,Athens,Athens,OH,43034,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40034,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
35,Ohio Valley Care,1200 High Street,Athens,Athens,OH,43035,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40035,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
36,River View Manor,1300 Broad Street,Athens,Athens,OH,43036,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40036,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
37,Prairie Village,1400 Oak Street,Athens,Athens,OH,43037,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40037,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
38,Heritage House,1500 Maple Avenue,Athens,Athens,OH,43038,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40038,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
39,Sunrise Manor,1600 Pine Street,Athens,Athens,OH,43039,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40039,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
40,Lakeside Living,1700 Cedar Avenue,Athens,Athens,OH,43040,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40040,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.athens-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
41,Buckeye Manor,1000 Main Street,Wapakoneta,Auglaize,OH,43041,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40041,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
42,Heartland Commons,1100 State Street,Wapakoneta,Auglaize,OH,43042,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40042,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
43,Ohio Valley Care,1200 High Street,Wapakoneta,Auglaize,OH,43043,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40043,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
44,River View Manor,1300 Broad Street,Wapakoneta,Auglaize,OH,43044,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40044,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
45,Prairie Village,1400 Oak Street,Wapakoneta,Auglaize,OH,43045,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40045,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
46,Heritage House,1500 Maple Avenue,Wapakoneta,Auglaize,OH,43046,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40046,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
47,Sunrise Manor,1600 Pine Street,Wapakoneta,Auglaize,OH,43047,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40047,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
48,Lakeside Living,1700 Cedar Avenue,Wapakoneta,Auglaize,OH,43048,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40048,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.auglaize-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
49,Buckeye Manor,1000 Main Street,St. Clairsville,Belmont,OH,43049,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40049,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
50,Heartland Commons,1100 State Street,St. Clairsville,Belmont,OH,43050,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40050,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
51,Ohio Valley Care,1200 High Street,St. Clairsville,Belmont,OH,43051,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40051,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
52,River View Manor,1300 Broad Street,St. Clairsville,Belmont,OH,43052,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40052,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
53,Prairie Village,1400 Oak Street,St. Clairsville,Belmont,OH,43053,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40053,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
54,Heritage House,1500 Maple Avenue,St. Clairsville,Belmont,OH,43054,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40054,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
55,Sunrise Manor,1600 Pine Street,St. Clairsville,Belmont,OH,43055,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40055,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
56,Lakeside Living,1700 Cedar Avenue,St. Clairsville,Belmont,OH,43056,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40056,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.belmont-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
57,Buckeye Manor,1000 Main Street,Georgetown,Brown,OH,43057,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40057,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
58,Heartland Commons,1100 State Street,Georgetown,Brown,OH,43058,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40058,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
59,Ohio Valley Care,1200 High Street,Georgetown,Brown,OH,43059,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40059,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
60,River View Manor,1300 Broad Street,Georgetown,Brown,OH,43060,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40060,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
61,Prairie Village,1400 Oak Street,Georgetown,Brown,OH,43061,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40061,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
62,Heritage House,1500 Maple Avenue,Georgetown,Brown,OH,43062,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40062,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
63,Sunrise Manor,1600 Pine Street,Georgetown,Brown,OH,43063,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40063,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
64,Lakeside Living,1700 Cedar Avenue,Georgetown,Brown,OH,43064,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40064,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.brown-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
65,Buckeye Manor,1000 Main Street,Hamilton,Butler,OH,43065,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40065,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4162,-84.59200000000001
66,Heartland Commons,1100 State Street,Hamilton,Butler,OH,43066,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40066,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4262,-84.58200000000001
67,Ohio Valley Care,1200 High Street,Hamilton,Butler,OH,43067,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40067,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4362,-84.572
68,River View Manor,1300 Broad Street,Hamilton,Butler,OH,43068,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40068,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4462,-84.56200000000001
69,Prairie Village,1400 Oak Street,Hamilton,Butler,OH,43069,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40069,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4562,-84.552
70,Heritage House,1500 Maple Avenue,Hamilton,Butler,OH,43070,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40070,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4662,-84.542
71,Sunrise Manor,1600 Pine Street,Hamilton,Butler,OH,43071,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40071,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4762,-84.53200000000001
72,Lakeside Living,1700 Cedar Avenue,Hamilton,Butler,OH,43072,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40072,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.486200000000004,-84.522
73,Meadowbrook,1800 First Street,Hamilton,Butler,OH,43073,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40073,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4962,-84.59200000000001
74,Maple Ridge,1900 Second Street,Hamilton,Butler,OH,43074,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40074,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.5062,-84.58200000000001
75,Cedar Grove,2000 Third Street,Hamilton,Butler,OH,43075,(226) 410-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,OH-ALF-40075,Ohio Department of Health,2024-04-11,85,False,True,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4162,-84.572
76,Woodland Manor,2100 Fourth Street,Hamilton,Butler,OH,43076,(227) 411-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,OH-ALF-40076,Ohio Department of Health,2024-05-12,86,False,False,False,https://www.butler-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.4262,-84.56200000000001
77,Buckeye Manor,1000 Main Street,Carrollton,Carroll,OH,43077,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40077,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
78,Heartland Commons,1100 State Street,Carrollton,Carroll,OH,43078,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40078,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
79,Ohio Valley Care,1200 High Street,Carrollton,Carroll,OH,43079,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40079,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
80,River View Manor,1300 Broad Street,Carrollton,Carroll,OH,43080,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40080,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
81,Prairie Village,1400 Oak Street,Carrollton,Carroll,OH,43081,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40081,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
82,Heritage House,1500 Maple Avenue,Carrollton,Carroll,OH,43082,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40082,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
83,Sunrise Manor,1600 Pine Street,Carrollton,Carroll,OH,43083,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40083,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
84,Lakeside Living,1700 Cedar Avenue,Carrollton,Carroll,OH,43084,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40084,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.carroll-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
85,Buckeye Manor,1000 Main Street,Urbana,Champaign,OH,43085,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40085,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.champaign-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
86,Heartland Commons,1100 State Street,Urbana,Champaign,OH,43086,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40086,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.champaign-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
87,Ohio Valley Care,1200 High Street,Urbana,Champaign,OH,43087,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40087,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.champaign-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
