id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Pine Tree Manor,1000 Main Street,Lewiston,Androscoggin,ME,04001,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40001,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.046400000000006,-70.25540000000001
33,Lewiston Manor,1700 Bangor Drive,Yarmouth,Cumberland,ME,04033,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40033,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8964,-70.2254
34,Biddeford Commons,1800 Augusta Street,Portland,Cumberland,ME,04034,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40034,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9064,-70.2954
35,Waterville Village,1900 Lewiston Avenue,South Portland,Cumberland,ME,04035,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40035,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.916399999999996,-70.2854
36,Presque Isle Manor,2000 Biddeford Boulevard,Westbrook,Cumberland,ME,04036,(207) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,ME-ALF-40036,Maine Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8264,-70.27539999999999
37,Caribou Commons,2100 Waterville Drive,Gorham,Cumberland,ME,04037,(207) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,ME-ALF-40037,Maine Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8364,-70.2654
38,Bar Harbor Village,2200 Presque Isle Street,Scarborough,Cumberland,ME,04038,(207) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,ME-ALF-40038,Maine Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.846399999999996,-70.2554
39,Camden Manor,2300 Caribou Avenue,Cape Elizabeth,Cumberland,ME,04039,(207) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,ME-ALF-40039,Maine Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.856399999999994,-70.24539999999999
40,Rockland Commons,2400 Bar Harbor Boulevard,Falmouth,Cumberland,ME,04040,(207) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,ME-ALF-40040,Maine Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8664,-70.2354
41,Bath Village,2500 Camden Drive,Yarmouth,Cumberland,ME,04041,(207) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,40,ME-ALF-40041,Maine Department of Health and Human Services,2024-09-16,95,True,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8764,-70.2254
42,Saco Manor,2600 Rockland Street,Portland,Cumberland,ME,04042,(207) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,41,ME-ALF-40042,Maine Department of Health and Human Services,2024-10-17,96,False,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.886399999999995,-70.2954
43,Westbrook Commons,2700 Bath Avenue,South Portland,Cumberland,ME,04043,(207) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,42,ME-ALF-40043,Maine Department of Health and Human Services,2024-11-18,97,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8964,-70.2854
44,Gorham Village,2800 Saco Boulevard,Westbrook,Cumberland,ME,04044,(207) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,43,ME-ALF-40044,Maine Department of Health and Human Services,2024-03-19,98,True,True,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9064,-70.27539999999999
45,Scarborough Manor,2900 Westbrook Drive,Gorham,Cumberland,ME,04045,(207) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,44,ME-ALF-40045,Maine Department of Health and Human Services,2024-04-20,99,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.916399999999996,-70.2654
46,Lobster Bay Village,3000 Gorham Street,Scarborough,Cumberland,ME,04046,(207) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,45,ME-ALF-40046,Maine Department of Health and Human Services,2024-05-21,80,False,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8264,-70.2554
47,Blueberry Hill Commons,3100 Scarborough Avenue,Cape Elizabeth,Cumberland,ME,04047,(207) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,46,ME-ALF-40047,Maine Department of Health and Human Services,2024-06-22,81,True,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8364,-70.24539999999999
48,Coastal Pines Manor,3200 Lobster Bay Boulevard,Falmouth,Cumberland,ME,04048,(207) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,47,ME-ALF-40048,Maine Department of Health and Human Services,2024-07-23,82,False,True,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.846399999999996,-70.2354
49,Lighthouse Point Village,3300 Blueberry Hill Drive,Yarmouth,Cumberland,ME,04049,(207) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,48,ME-ALF-40049,Maine Department of Health and Human Services,2024-08-24,83,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.856399999999994,-70.2254
50,Acadia National Commons,3400 Coastal Pines Street,Portland,Cumberland,ME,04050,(207) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,49,ME-ALF-40050,Maine Department of Health and Human Services,2024-09-25,84,True,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8664,-70.2954
51,Pine Tree Manor,1000 Main Street,Farmington,Franklin,ME,04051,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40051,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9264,-70.2754
52,Lighthouse Village,1100 Maine Avenue,Wilton,Franklin,ME,04052,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40052,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9364,-70.2654
53,Acadia Commons,1200 Pine Tree Boulevard,Jay,Franklin,ME,04053,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40053,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9464,-70.2554
54,Downeast Village,1300 Lighthouse Drive,Livermore Falls,Franklin,ME,04054,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40054,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.956399999999995,-70.2454
55,Portland Manor,1400 Acadia Street,Rangeley,Franklin,ME,04055,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40055,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9664,-70.2354
56,Bangor Commons,1500 Downeast Avenue,Kingfield,Franklin,ME,04056,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40056,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9764,-70.2254
57,Augusta Village,1600 Portland Boulevard,Phillips,Franklin,ME,04057,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40057,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.986399999999996,-70.2154
58,Lewiston Manor,1700 Bangor Drive,Strong,Franklin,ME,04058,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40058,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.franklin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9964,-70.2054
59,Pine Tree Manor,1000 Main Street,Ellsworth,Hancock,ME,04059,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40059,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.476400000000005,-68.4054
60,Lighthouse Village,1100 Maine Avenue,Bar Harbor,Hancock,ME,04060,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40060,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.4864,-68.3954
61,Acadia Commons,1200 Pine Tree Boulevard,Bucksport,Hancock,ME,04061,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40061,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.4964,-68.38539999999999
62,Downeast Village,1300 Lighthouse Drive,Blue Hill,Hancock,ME,04062,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40062,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.5064,-68.3754
63,Portland Manor,1400 Acadia Street,Southwest Harbor,Hancock,ME,04063,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40063,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.516400000000004,-68.3654
64,Bangor Commons,1500 Downeast Avenue,Mount Desert,Hancock,ME,04064,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40064,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.5264,-68.35539999999999
65,Augusta Village,1600 Portland Boulevard,Stonington,Hancock,ME,04065,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40065,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.5364,-68.3454
66,Lewiston Manor,1700 Bangor Drive,Deer Isle,Hancock,ME,04066,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40066,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.546400000000006,-68.33539999999999
67,Biddeford Commons,1800 Augusta Street,Ellsworth,Hancock,ME,04067,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40067,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.556400000000004,-68.4054
68,Waterville Village,1900 Lewiston Avenue,Bar Harbor,Hancock,ME,04068,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40068,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.hancock-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.5664,-68.3954
69,Pine Tree Manor,1000 Main Street,Augusta,Kennebec,ME,04069,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40069,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3264,-69.75540000000001
70,Lighthouse Village,1100 Maine Avenue,Waterville,Kennebec,ME,04070,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40070,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3364,-69.7454
71,Acadia Commons,1200 Pine Tree Boulevard,Gardiner,Kennebec,ME,04071,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40071,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.346399999999996,-69.7354
72,Downeast Village,1300 Lighthouse Drive,Hallowell,Kennebec,ME,04072,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40072,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.356399999999994,-69.72540000000001
73,Portland Manor,1400 Acadia Street,Winthrop,Kennebec,ME,04073,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40073,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3664,-69.7154
74,Bangor Commons,1500 Downeast Avenue,Oakland,Kennebec,ME,04074,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40074,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3764,-69.7054
75,Augusta Village,1600 Portland Boulevard,Vassalboro,Kennebec,ME,04075,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40075,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.386399999999995,-69.6954
76,Lewiston Manor,1700 Bangor Drive,Belgrade,Kennebec,ME,04076,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40076,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3964,-69.6854
77,Biddeford Commons,1800 Augusta Street,Augusta,Kennebec,ME,04077,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40077,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.4064,-69.75540000000001
78,Waterville Village,1900 Lewiston Avenue,Waterville,Kennebec,ME,04078,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40078,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.416399999999996,-69.7454
79,Presque Isle Manor,2000 Biddeford Boulevard,Gardiner,Kennebec,ME,04079,(207) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,ME-ALF-40079,Maine Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3264,-69.7354
